"time" "age1_M_healthy.S" "age1_F_healthy.S" "age1_M_vulner.S" "age1_F_vulner.S" "age2_M_healthy.S" "age2_F_healthy.S" "age2_M_vulner.S" "age2_F_vulner.S" "age3_M_healthy.S" "age3_F_healthy.S" "age3_M_vulner.S" "age3_F_vulner.S" "age1_M_healthy.E" "age1_F_healthy.E" "age1_M_vulner.E" "age1_F_vulner.E" "age2_M_healthy.E" "age2_F_healthy.E" "age2_M_vulner.E" "age2_F_vulner.E" "age3_M_healthy.E" "age3_F_healthy.E" "age3_M_vulner.E" "age3_F_vulner.E" "age1_M_healthy.A" "age1_F_healthy.A" "age1_M_vulner.A" "age1_F_vulner.A" "age2_M_healthy.A" "age2_F_healthy.A" "age2_M_vulner.A" "age2_F_vulner.A" "age3_M_healthy.A" "age3_F_healthy.A" "age3_M_vulner.A" "age3_F_vulner.A" "age1_M_healthy.I" "age1_F_healthy.I" "age1_M_vulner.I" "age1_F_vulner.I" "age2_M_healthy.I" "age2_F_healthy.I" "age2_M_vulner.I" "age2_F_vulner.I" "age3_M_healthy.I" "age3_F_healthy.I" "age3_M_vulner.I" "age3_F_vulner.I" "age1_M_healthy.R" "age1_F_healthy.R" "age1_M_vulner.R" "age1_F_vulner.R" "age2_M_healthy.R" "age2_F_healthy.R" "age2_M_vulner.R" "age2_F_vulner.R" "age3_M_healthy.R" "age3_F_healthy.R" "age3_M_vulner.R" "age3_F_vulner.R" "age1_M_healthy.Q" "age1_F_healthy.Q" "age1_M_vulner.Q" "age1_F_vulner.Q" "age2_M_healthy.Q" "age2_F_healthy.Q" "age2_M_vulner.Q" "age2_F_vulner.Q" "age3_M_healthy.Q" "age3_F_healthy.Q" "age3_M_vulner.Q" "age3_F_vulner.Q" "age1_M_healthy.D" "age1_F_healthy.D" "age1_M_vulner.D" "age1_F_vulner.D" "age2_M_healthy.D" "age2_F_healthy.D" "age2_M_vulner.D" "age2_F_vulner.D" "age3_M_healthy.D" "age3_F_healthy.D" "age3_M_vulner.D" "age3_F_vulner.D"
0 400 400 0 0 486 486 54 54 0 0 60 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 399.905658373309 399.905658373309 0 0 485.885428120312 485.992417336765 53.9872638803967 53.9872638803967 0 0 59.9999996540267 59.9999996540267 0.0739640011873115 0.0739640011873115 0 0 0.0898191289586204 0.00612733215923575 0.00998514016028705 0.00998514016028705 0 0 3.06543099399874e-07 3.06543099399874e-07 0.0191543299629706 0.0191543299629706 0 0 0.0223266190437219 0.00131682521994442 0.00235075867727366 0.00235075867727366 0 0 3.05989547139436e-08 3.05989547139436e-08 0.00019614759274481 0.00019614759274481 0 0 0.844831959169527 6.88643159106777e-05 0.000252498841651137 0.000252498841651137 0 0 7.21134990895498e-09 7.21134990895498e-09 0.00102645443369146 0.00102645443369146 0 0 0.111592502408706 6.84938231726556e-05 0.000138682283074935 0.000138682283074935 0 0 1.32003343064854e-09 1.32003343064854e-09 0 0 0 0 0 0 0 0 0 0 0 0 6.93514754254666e-07 6.93514754254666e-07 0 0 0.0460016701079316 1.14771702707758e-06 9.03964106201506e-06 9.03964106201506e-06 0 0 2.99862293538755e-10 2.99862293538755e-10
2 399.814076177718 399.814076177718 0 0 485.774557156168 485.976132442189 53.9749002839919 53.9749002839919 0 0 59.9999970379969 59.9999970379969 0.117005158171162 0.117005158171162 0 0 0.141798149222235 0.0169218331419357 0.0157956963531069 0.0157956963531069 0 0 2.36634044647042e-06 2.36634044647042e-06 0.0613565345730146 0.0613565345730146 0 0 0.0714542624118755 0.00603640720958846 0.0075301201521427 0.0075301201521427 0 0 4.48968271848438e-07 4.48968271848438e-07 0.00063723378129868 0.00063723378129868 0 0 0.715479668435458 0.000314065501605289 0.000781758127840772 0.000781758127840772 0 0 1.00328002143241e-07 1.00328002143241e-07 0.00692017276950464 0.00692017276950464 0 0 0.211798244263686 0.00058548115419926 0.000932683839947969 0.000932683839947969 0 0 3.80088241102128e-08 3.80088241102128e-08 0 0 0 0 0 0 0 0 0 0 0 0 4.7229872556414e-06 4.7229872556414e-06 0 0 0.0849125194985351 9.77080348189882e-06 5.94575350634883e-05 5.94575350634883e-05 0 0 8.35756950104247e-09 8.35756950104247e-09
3 399.716985353391 399.716985353391 0 0 485.657882654367 485.945912422308 53.9617930227078 53.9617930227078 0 0 59.9999886011026 59.9999886011026 0.147647916893051 0.147647916893051 0 0 0.178115078475052 0.034558336347833 0.0199324687805619 0.0199324687805619 0 0 8.34390118224818e-06 8.34390118224818e-06 0.114073067666006 0.114073067666006 0 0 0.132590912232128 0.0163939345813059 0.0139998764862826 0.0139998764862826 0 0 2.24103509423421e-06 2.24103509423421e-06 0.00120141980971513 0.00120141980971513 0 0 0.607331745012897 0.000849320853125911 0.00140633732077826 0.00140633732077826 0 0 4.78025432378843e-07 4.78025432378843e-07 0.0200784015596903 0.0200784015596903 0 0 0.306177148635 0.00224859143455422 0.00269984929245553 0.00269984929245553 0 0 2.76836176154813e-07 2.76836176154813e-07 0 0 0 0 0 0 0 0 0 0 0 0 1.38406806768872e-05 1.38406806768872e-05 0 0 0.117902461277941 3.73944747234004e-05 0.000168445412155572 0.000168445412155572 0 0 5.90994674023075e-08 5.90994674023075e-08
4 399.609135769217 399.609135769217 0 0 485.529846853467 485.898592353337 53.9472333288443 53.9472333288443 0 0 59.9999689187901 59.9999689187901 0.174847013578023 0.174847013578023 0 0 0.209230356148196 0.0588008106177971 0.0236043468330331 0.0236043468330331 0 0 2.10252282922077e-05 2.10252282922077e-05 0.172483615873606 0.172483615873606 0 0 0.19979472240493 0.0346028080810709 0.0211684437663062 0.0211684437663062 0 0 7.18856395047224e-06 7.18856395047224e-06 0.0018411798913209 0.0018411798913209 0 0 0.51685102353397 0.00178557277047312 0.00206197907143777 0.00206197907143777 0 0 1.47054122680592e-06 1.47054122680592e-06 0.0416634221419075 0.0416634221419075 0 0 0.398337304450597 0.00611705253744118 0.00559020014060984 0.00559020014060984 0 0 1.15658531595589e-06 1.15658531595589e-06 0 0 0 0 0 0 0 0 0 0 0 0 2.89992982481753e-05 2.89992982481753e-05 0 0 0.145939739995673 0.000101402656410789 0.000341701344332337 0.000341701344332337 0 0 2.40291156995554e-07 2.40291156995554e-07
5 399.4863952666 399.4863952666 0 0 485.386485610082 485.831577473467 53.9306633609909 53.9306633609909 0 0 59.9999309502866 59.9999309502866 0.203190050913417 0.203190050913417 0 0 0.240280379317171 0.089087207201953 0.0274306568733113 0.0274306568733113 0 0 4.33594694280338e-05 4.33594694280338e-05 0.23540278513714 0.23540278513714 0 0 0.271214849416686 0.0623511626022682 0.0288903418122853 0.0288903418122853 0 0 1.79053888344456e-05 1.79053888344456e-05 0.00254452860379272 0.00254452860379272 0 0 0.441223297073662 0.00320510021443097 0.00273694476741719 0.00273694476741719 0 0 3.52295593246103e-06 3.52295593246103e-06 0.072416494362365 0.072416494362365 0 0 0.490961039565227 0.0135550371760327 0.00969723417758367 0.00969723417758367 0 0 3.54408016659131e-06 3.54408016659131e-06 0 0 0 0 0 0 0 0 0 0 0 0 5.08743837343269e-05 5.08743837343269e-05 0 0 0.169834824546005 0.00022401933886735 0.000581461378463096 0.000581461378463096 0 0 7.17819050848079e-07 7.17819050848079e-07
6 399.344862460918 399.344862460918 0 0 485.224289362547 485.742167599627 53.9115564322239 53.9115564322239 0 0 59.999866404654 59.999866404654 0.235298301191864 0.235298301191864 0 0 0.274049242160073 0.125174214703467 0.0317652706609016 0.0317652706609016 0 0 7.81090079662161e-05 7.81090079662161e-05 0.303394371139092 0.303394371139092 0 0 0.346919233951639 0.100905604752016 0.0372347637307068 0.0372347637307068 0 0 3.77078154967101e-05 3.77078154967101e-05 0.00331707746691538 0.00331707746691538 0 0 0.378160773343713 0.00516761694594113 0.00344257446877886 0.00344257446877886 0 0 7.14989329390422e-06 7.14989329390422e-06 0.113047669746876 0.113047669746876 0 0 0.586310124344871 0.0261539956367794 0.0151108568186136 0.0151108568186136 0 0 8.87424063093674e-06 8.87424063093674e-06 0 0 0 0 0 0 0 0 0 0 0 0 8.01195374534537e-05 8.01195374534537e-05 0 0 0.190271263653223 0.000430968334565872 0.000890102097096278 0.000890102097096278 0 0 1.75438858068585e-06 1.75438858068585e-06
7 399.180427985411 399.180427985411 0 0 485.039632055122 485.627234590554 53.8893577780304 53.8893577780304 0 0 59.9997659617454 59.9997659617454 0.272935814067108 0.272935814067108 0 0 0.312330776224967 0.167258648618745 0.0368463348990595 0.0368463348990595 0 0 0.000127755037896544 0.000127755037896544 0.377917999028914 0.377917999028914 0 0 0.427937272087933 0.151347991711726 0.0463808453353667 0.0463808453353667 0 0 7.04223956590136e-05 7.04223956590136e-05 0.00417390347413679 0.00417390347413679 0 0 0.325783896192722 0.0077230844009557 0.00420031703724601 0.00420031703724601 0 0 1.28896893217715e-05 1.28896893217715e-05 0.164426801789514 0.164426801789514 0 0 0.686487187948898 0.0456850218788248 0.0219430160300229 0.0219430160300229 0 0 1.92524854401659e-05 1.92524854401659e-05 0 0 0 0 0 0 0 0 0 0 0 0 0.000117496230099077 0.000117496230099077 0 0 0.207828812423509 0.000750662835408844 0.00127170866792398 0.00127170866792398 0 0 3.71864622557011e-06 3.71864622557011e-06
8 398.988520754134 398.988520754134 0 0 484.828452608411 485.483038420561 53.863450301808 53.863450301808 0 0 59.999619317091 59.999619317091 0.317542450603525 0.317542450603525 0 0 0.356563219816548 0.215946220355872 0.0428682308314759 0.0428682308314759 0 0 0.000194578332525637 0.000194578332525637 0.460950680460796 0.460950680460796 0 0 0.515850550222149 0.214790815063085 0.0565712198747341 0.0565712198747341 0 0 0.00012022186226257 0.00012022186226257 0.00513594168963553 0.00513594168963553 0 0 0.282543189117854 0.0109231200778631 0.00503622549368364 0.00503622549368364 0 0 2.1275803716388e-05 2.1275803716388e-05 0.22768622527032 0.22768622527032 0 0 0.793588662000111 0.0740874098610254 0.03034125349512 0.03034125349512 0 0 3.75201942535305e-05 3.75201942535305e-05 0 0 0 0 0 0 0 0 0 0 0 0 0.000163947842090263 0.000163947842090263 0 0 0.223001770432583 0.00121401408126436 0.00173276849694589 0.00173276849694589 0 0 7.08671625859003e-06 7.08671625859003e-06
9 398.763926072765 398.763926072765 0 0 484.586046214023 485.305091588789 53.8331300198232 53.8331300198232 0 0 59.999415081341 59.999415081341 0.37050339018826 0.37050339018826 0 0 0.408131331472641 0.272196649551555 0.0500179576754151 0.0500179576754151 0 0 0.000280821154694062 0.000280821154694062 0.554835677595878 0.554835677595878 0 0 0.612635109856447 0.292540635027578 0.0680934695231305 0.0680934695231305 0 0 0.00019153209779571 0.00019153209779571 0.00622855652091189 0.00622855652091189 0 0 0.247163447573005 0.0148294772777205 0.00597892394627261 0.00597892394627261 0 0 3.28292008880698e-05 3.28292008880698e-05 0.304285653035336 0.304285653035336 0 0 0.909809874971125 0.113486910882281 0.0404971177104672 0.0404971177104672 0 0 6.72960722652713e-05 6.72960722652713e-05 0 0 0 0 0 0 0 0 0 0 0 0 0.000220649895414865 0.000220649895414865 0 0 0.236214022103589 0.00185473847213685 0.00228251132154767 0.00228251132154767 0 0 1.24401333179221e-05 1.24401333179221e-05
