"time" "age1.S" "age2_no_comorbid.S" "age2_comorbid.S" "age3_no_comorbid.S" "age3_comorbid.S" "age1.E" "age2_no_comorbid.E" "age2_comorbid.E" "age3_no_comorbid.E" "age3_comorbid.E" "age1.P" "age2_no_comorbid.P" "age2_comorbid.P" "age3_no_comorbid.P" "age3_comorbid.P" "age1.A" "age2_no_comorbid.A" "age2_comorbid.A" "age3_no_comorbid.A" "age3_comorbid.A" "age1.I" "age2_no_comorbid.I" "age2_comorbid.I" "age3_no_comorbid.I" "age3_comorbid.I" "age1.H" "age2_no_comorbid.H" "age2_comorbid.H" "age3_no_comorbid.H" "age3_comorbid.H" "age1.R" "age2_no_comorbid.R" "age2_comorbid.R" "age3_no_comorbid.R" "age3_comorbid.R" "age1.D" "age2_no_comorbid.D" "age2_comorbid.D" "age3_no_comorbid.D" "age3_comorbid.D"
0 203.5 234.5 31.3 11 18.65 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 203.481801223019 234.487417131601 31.2983204956039 10.9996065023733 18.6493328426602 0.0168939702916884 0.811653532911678 0.00155908896949795 0.000365285124431804 0.000619324324604831 0.00109274550079486 0.140644926952134 0.000100845207165688 2.36273427585096e-05 4.00590856769277e-05 3.94666296036551e-05 0.0109825056737319 3.64220656897113e-06 8.533424324085e-07 1.44680330585623e-06 0.000166436703798623 0.0463122316475811 1.5357322099029e-05 3.59821199137861e-06 6.09878005490672e-06 3.21627098398572e-07 0.000161948203472911 9.22789523693526e-08 1.98824244096706e-08 8.19514019524949e-08 5.79774055228971e-06 0.00277431911569237 4.32960434584556e-07 1.06490935263363e-07 1.03844991528202e-07 3.84870711137615e-08 5.34038947728559e-05 4.54514037891755e-08 7.2317404158043e-09 4.25498021460369e-08
2 203.43221655597 234.453131370854 31.2937441872397 10.9985342655402 18.6475149138476 0.0584223410725441 0.680352550083919 0.00539188705805163 0.00126331951120528 0.00214190080763441 0.00663745424963785 0.183731997906991 0.000612566177865018 0.000143522586465788 0.000243336021598813 0.000491449234888357 0.0314651690162432 4.53547888706234e-05 1.06264179750182e-05 1.80166086576445e-05 0.00207239292128297 0.132669216844075 0.00019119569768128 4.47988875118477e-05 7.59083253815712e-05 8.19741828007917e-06 0.000981619976612653 2.35167192679894e-06 5.0670763227117e-07 2.08802201743084e-06 0.000150461076912878 0.0173063420077506 1.12351506117023e-05 2.76346400917437e-06 2.6944816492238e-06 1.14805673320152e-06 0.000361733310846311 1.22221526370825e-06 1.96885039259558e-07 1.14188542369316e-06
3 203.357152542585 234.401221327473 31.286815469296 10.9969107556645 18.6447623266493 0.114400382330236 0.591056311490236 0.0105590552792199 0.00247408923565068 0.0041947058404441 0.0172582779813492 0.187560245150004 0.00159284818044948 0.000373210924510495 0.000632762158374612 0.00195453247494594 0.0518181695619344 0.00018038643801996 4.22645141433121e-05 7.16575626157063e-05 0.00824157124267155 0.21845621382137 0.000760256878220441 0.000178143897259111 0.000301755771969601 4.99687737474471e-05 0.00254631276854548 1.43334680001256e-05 3.08850625686431e-06 1.27237313005865e-05 0.000934641290884955 0.0462943376294636 6.97860770745257e-05 1.71655003128045e-05 1.67349992797705e-05 8.08332162337273e-06 0.00104708210517575 7.8643830096396e-06 1.28175738117803e-06 7.33328668328881e-06
4 203.260395413297 234.334298238599 31.2778828779025 10.9948175291989 18.6412133563236 0.178577322402994 0.533045220653334 0.016484352271695 0.0038626573214126 0.00654895991312227 0.0320065118631957 0.178162705174874 0.00295427568886795 0.000692227520488826 0.00117364029610151 0.00490223682384722 0.0688974954184998 0.000452458020777934 0.00010601365211114 0.000179741328352069 0.0206697246505633 0.290419438407675 0.00190649093957422 0.000446755875611549 0.00075651104678436 0.000170233077028714 0.00470245274711304 4.88262372826129e-05 1.0521297538477e-05 4.33333652568553e-05 0.00324710967987488 0.0883214611647417 0.000242434209222579 5.96343517782391e-05 5.81317399595405e-05 3.14482055738905e-05 0.00215298783522934 2.8284730088904e-05 4.66078212210288e-06 2.63259867710049e-05
5 203.143955865137 234.253744700057 31.2671309557005 10.9922977039909 18.6369411072209 0.24753698374441 0.498840175063309 0.0228531291425438 0.00535537603654713 0.00907979664378217 0.0497026332396508 0.166659438763153 0.00458815840496482 0.00107512611792254 0.00182282746356867 0.00959677384082051 0.0822587635172684 0.000885806548555234 0.000207556913783086 0.000351903312914051 0.0404612003594742 0.346691720817405 0.00373159644883042 0.000874497412770504 0.00148034532398558 0.000423096625848456 0.00724946508748806 0.000121341593186562 2.6148504040904e-05 0.00010766796377909 0.00823506074295266 0.140871099326386 0.00061481022006004 0.000151237905380878 0.000147409400927584 8.83863099214997e-05 0.00368463736814568 7.42019413077883e-05 1.23531186794782e-05 6.89426701494156e-05
6 203.008487485355 234.160003661519 31.2546188256099 10.9893649920276 18.6319688273923 0.319756285510744 0.483295748718142 0.0295254801849699 0.00691954315083924 0.0117317708875593 0.0694177023216713 0.157428454920691 0.00640894664163996 0.00150188395332293 0.0025463759754066 0.0161253633794724 0.0924616020526592 0.00148853701906814 0.000348799788158783 0.000591374186287391 0.0679823527790901 0.389639067017766 0.00626924249491906 0.00146930060653575 0.00248642383371765 0.000863787481677877 0.0100122893347612 0.000247709345368229 5.33829915997845e-05 0.000219750144844154 0.0171647138344934 0.201529473621087 0.00128142331564024 0.000315232642594008 0.000307216013891643 0.000202309337505861 0.00562970281616242 0.000159835388431533 2.6864839344058e-05 0.000148261566034965
7 202.853637719887 234.052820492006 31.2403125006387 10.9860112600215 18.6262827272183 0.394913506499596 0.482917457318549 0.0364724696873049 0.00854846789893482 0.0144935387559213 0.09057826784373 0.151914445891439 0.00836391609344519 0.00196017124049555 0.00332338123956745 0.0244658137111862 0.100340234087016 0.00225867435099499 0.000529288076858984 0.000897383875765458 0.103138274701612 0.42278383585422 0.00951064522143342 0.00222915770391924 0.00377109211753222 0.00154318807168746 0.0128618618542304 0.0004425117085198 9.53698134077168e-05 0.000392486320190501 0.0313210898006446 0.26839225456538 0.00233818833437634 0.000575226722168184 0.000560532226451997 0.000402139484928908 0.00796941842365277 0.000301093965236404 5.10585226837639e-05 0.000278858246246789
8 202.678302662136 233.931418394648 31.224108297452 10.9822120032783 18.6198412601036 0.473421239800637 0.495375436078268 0.0437330997085844 0.0102513970165539 0.0173807776689754 0.112927686828681 0.150366874448272 0.0104296106272784 0.00244451920640068 0.00414457119994297 0.0345458417716523 0.106714757109331 0.00318963875736131 0.000747490849329698 0.00126733675818172 0.14562303710028 0.449587190196751 0.0134276813024816 0.00314753622205571 0.00532306901520623 0.00250531004938515 0.0157147710483026 0.000718362280066335 0.000154830928730472 0.000637030160265681 0.0519528156645682 0.34013795821481 0.00387831858744321 0.000954170800009627 0.000929688634148696 0.000721406648562864 0.0106846182559085 0.000514991284786431 8.80516986370521e-05 0.000476266459645102
9 202.480795935955 233.794614294766 31.2058483045892 10.9779299559466 18.6125812434913 0.556129373773518 0.519168400375235 0.0513869706001956 0.0120471176982295 0.0204253404610891 0.136449635769858 0.152614394539656 0.0126048005497071 0.00295467227977145 0.00500951254706705 0.0462861610580138 0.112295186162218 0.00427422495616899 0.00100173307596419 0.00169839289697565 0.19510140583123 0.473044719160384 0.017989669079986 0.00421731207299964 0.00713011454571289 0.00378695038186907 0.0185259745587689 0.00108581099236696 0.000234044801128218 0.000962702108985056 0.0802531245561919 0.415977900129502 0.00599092369373093 0.001474014263708 0.00143603227067701 0.00119741267480282 0.0137591303082247 0.000819295538606959 0.000141149861602012 0.000756661678217429
10 202.25895149884 233.640888882444 31.1853297314306 10.9731172650624 18.6044215448559 0.64414652239389 0.553396037868893 0.059537877626351 0.0139601234079447 0.0236687546871063 0.161295468533973 0.158392538213753 0.0149037985798454 0.00349402441077291 0.00592395956917406 0.0596278147355721 0.117666207383249 0.00550712947331288 0.00129078832973713 0.0021884729408725 0.251324076343038 0.495622468292796 0.0231740133558133 0.00543326640935834 0.00918325540296455 0.00541868888103085 0.0212802947222919 0.00155363391837011 0.00033490896295374 0.00137725031067627 0.117365354449636 0.495571841016922 0.0087614386391075 0.00215581215726087 0.00210003246049732 0.00187057582263941 0.0171817300585631 0.00123237697657038 0.000213811259521985 0.00113672977282736
11 202.01017961916 233.46842406088 31.1623099066334 10.9677166418126 18.5952650336186 0.738738622011854 0.597605502956237 0.0683045398881691 0.0160184520602221 0.0271585573566493 0.187728239557707 0.167473462693628 0.0173513164490125 0.00406841666822906 0.00689781553295199 0.0745475021661391 0.123301612652971 0.00688637203939289 0.00161421263391843 0.00273682414750715 0.314192254210382 0.519318099793456 0.0289721800190264 0.00679348953656612 0.0114791540599702 0.00742657880882103 0.0239848200060065 0.00212932196038809 0.000459045508005339 0.00188728763497937 0.164403186508905 0.57894513549236 0.0122731558068853 0.00302010386046122 0.0029416513318644 0.00278399757612685 0.0209473055256353 0.00177320720371508 0.000309637920021472 0.0016336763174824
12 201.73149013569 233.275117487433 31.1365082190049 10.9616617918648 18.5849993107527 0.841277080372504 0.651689093679212 0.0778159190533011 0.0182526015900838 0.0309464563322785 0.216084388315152 0.179707526316926 0.0199789549465991 0.0046853179709742 0.00794374365078808 0.0910647057827771 0.129587433199238 0.00841396252380426 0.00197250181141322 0.00334428716207787 0.383787650007292 0.54575867677693 0.0353924872456991 0.00830004014223273 0.0140212144555854 0.00983409195969014 0.02666281150503 0.00281964274263954 0.000607922457276685 0.00249879321236487 0.222478688236715 0.666419403470188 0.0166093430118176 0.00408743653527286 0.00398085506368813 0.00398325963604287 0.0250575676195846 0.00246147147123736 0.000432387627903931 0.00226533937055235
13 201.419493664701 233.058581504866 31.1076059748499 10.9548773517402 18.573496600905 0.953216921390084 0.715816471803768 0.0882093291034483 0.0206951021954116 0.0350876050858569 0.246750164384704 0.195031026628359 0.0228230591514039 0.00535332625602927 0.00907632133408599 0.109243856398345 0.136844517540724 0.0100961124684669 0.00236714243261997 0.00401338239712386 0.460381553010134 0.576296043786666 0.042460977361857 0.00995915604153351 0.0168199280195431 0.0126640340004357 0.0293491487237194 0.00363119440028078 0.00078297350008638 0.00321760642082491 0.292733368511689 0.758559778179984 0.0218555908663973 0.00537894577818501 0.00523818046427854 0.00551643760390808 0.0295215084707953 0.00331776179822934 0.000586002055923338 0.00305037537329266
