"","age1.D","age2_no_comorbid.D","age2_comorbid.D","age3_no_comorbid.D","age3_comorbid.D"
"1",38,40,17,2,29
"2",0,0,0,0,0
"3",55,72,38,8,32
"4",92,107,34,13,40
"5",251,273,59,22,50
"6",0,1,0,0,0
"7",53,69,29,8,40
"8",65,105,31,7,36
"9",0,0,0,0,0
"10",34,41,13,0,16
"11",0,0,0,0,0
"12",53,50,30,9,37
"13",54,94,34,14,40
"14",138,185,54,21,41
"15",51,62,25,5,35
"16",105,118,48,7,49
"17",0,0,0,0,0
"18",0,0,0,0,0
"19",88,92,30,12,46
"20",45,50,26,8,34
"21",80,132,47,12,38
"22",234,254,74,17,49
"23",53,47,30,4,36
"24",29,48,23,7,31
"25",57,82,31,9,42
"26",68,69,38,10,30
"27",33,50,29,2,29
"28",0,0,0,0,0
"29",0,0,0,0,0
"30",78,93,38,8,34
"31",40,49,34,4,36
"32",37,39,18,4,28
"33",64,70,31,9,31
"34",29,52,22,6,21
"35",52,91,39,7,31
"36",68,103,40,16,44
"37",77,74,30,13,32
"38",29,37,21,2,31
"39",22,40,21,9,21
"40",65,65,31,13,35
"41",52,49,38,5,42
"42",97,102,26,12,34
"43",0,0,0,0,0
"44",57,70,39,10,31
"45",28,35,21,5,29
"46",20,27,18,8,26
"47",27,32,20,1,27
"48",51,70,25,8,18
"49",47,60,23,7,37
"50",61,88,26,9,34
"51",46,88,22,2,40
"52",49,70,32,9,40
"53",139,137,48,12,45
"54",31,24,21,4,21
"55",86,105,37,10,36
"56",19,31,16,5,26
"57",0,0,0,0,0
"58",33,54,25,5,31
"59",44,62,29,7,34
"60",40,63,41,3,45
"61",52,61,28,7,37
"62",30,38,34,5,36
"63",44,58,20,6,26
"64",49,63,23,2,28
"65",43,62,29,13,28
"66",43,42,27,5,29
"67",0,0,0,0,0
"68",48,60,33,5,35
"69",41,54,22,8,26
"70",108,110,41,12,34
"71",39,57,21,10,39
"72",19,32,16,2,33
"73",88,104,46,8,40
"74",51,42,24,8,32
"75",38,62,29,8,32
"76",47,79,36,5,33
"77",59,71,31,6,44
"78",73,79,38,12,34
"79",79,94,33,10,41
"80",20,37,13,7,30
"81",45,70,33,11,40
"82",38,60,23,5,45
"83",21,36,27,4,31
"84",43,41,26,4,29
"85",29,45,19,4,21
"86",64,71,24,10,42
"87",0,0,0,0,0
"88",30,47,23,4,32
"89",27,44,27,5,33
"90",61,89,27,10,35
"91",0,0,0,0,0
"92",0,0,0,0,0
"93",0,0,0,0,0
"94",19,34,10,4,28
"95",35,47,29,7,24
"96",52,65,40,10,37
"97",0,0,0,0,0
"98",36,42,20,2,30
"99",31,32,26,9,30
"100",64,69,29,7,40
