"time" "age1.S" "age2_no_comorbid.S" "age2_comorbid.S" "age3_no_comorbid.S" "age3_comorbid.S" "age1.E" "age2_no_comorbid.E" "age2_comorbid.E" "age3_no_comorbid.E" "age3_comorbid.E" "age1.P" "age2_no_comorbid.P" "age2_comorbid.P" "age3_no_comorbid.P" "age3_comorbid.P" "age1.A" "age2_no_comorbid.A" "age2_comorbid.A" "age3_no_comorbid.A" "age3_comorbid.A" "age1.I" "age2_no_comorbid.I" "age2_comorbid.I" "age3_no_comorbid.I" "age3_comorbid.I" "age1.H" "age2_no_comorbid.H" "age2_comorbid.H" "age3_no_comorbid.H" "age3_comorbid.H" "age1.R" "age2_no_comorbid.R" "age2_comorbid.R" "age3_no_comorbid.R" "age3_comorbid.R" "age1.D" "age2_no_comorbid.D" "age2_comorbid.D" "age3_no_comorbid.D" "age3_comorbid.D"
0 814 941 125.2 44 74.6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 813.968784327141 940.978348275097 125.197119239152 43.9993250587679 74.5988556678201 0.0275620567014577 0.706549633907427 0.00254358522172903 0.000595943558728321 0.00101039521548029 0.00330595177103493 0.257003023099242 0.000305091308854723 7.14805686311091e-05 0.00012119205499729 5.62661491117686e-05 0.00921016927688994 5.19253940619405e-06 1.21657141132174e-06 2.0626415291955e-06 0.000281510599407504 0.0461042537734603 2.60161724511306e-05 6.09424240945441e-06 1.03609249869274e-05 3.47426222268829e-07 0.0001014816821815 9.98113679845065e-08 2.15014571408144e-08 8.88493527486027e-08 9.48741491076609e-06 0.00263735263562495 7.0524874947879e-07 1.73713776827171e-07 1.6617151752855e-07 5.27971849228391e-08 4.5810527972103e-05 7.0545295160119e-08 1.10756907253159e-08 6.63220229640336e-08
2 813.886483290573 940.921261275258 125.189523816857 43.9975454819632 74.5958384762376 0.0887391063540099 0.534115276975354 0.00818954060375755 0.00191877162176618 0.00325319006781267 0.020279267699563 0.360284618358008 0.00187150841597085 0.000438483286249828 0.000743428480778117 0.000705914903599956 0.0276651456979457 6.51461939145027e-05 1.52633160624726e-05 2.58782585968286e-05 0.00353415569644809 0.13865798729147 0.00032709472273399 7.66068893375364e-05 0.000130610847950666 8.88334704731892e-06 0.000635084241716241 2.55515507284864e-06 5.50348436558594e-07 2.27946818407988e-06 0.000248002240189937 0.0170841899596714 1.84930434070663e-05 4.5529510561089e-06 4.39835296451382e-06 1.37918562927926e-06 0.000296422218126357 1.845008325912e-06 2.89623842580143e-07 1.73828602323276e-06
3 813.763466718461 940.835928190241 125.178170254429 43.9948853209806 74.591328294208 0.164575308745106 0.439013776938421 0.015188847048691 0.00355874094794487 0.00603368351628834 0.0533285684627322 0.389959516820787 0.00492163689775539 0.00115312368667301 0.00195506879604105 0.00283097875922663 0.0474178721693432 0.000261264218539767 6.12129202265793e-05 0.0001037837238387 0.0141828148660507 0.237969098144596 0.0013146430864398 0.000307835868087651 0.000526377254670119 5.43530837542006e-05 0.00169187153073578 1.56530880099432e-05 3.37095198048454e-06 1.39952248115467e-05 0.0015526291476236 0.0472016201270955 0.000116144475551517 2.85807789167872e-05 2.78852256738018e-05 8.62847492870971e-06 0.000818054028535583 1.15567555664157e-05 1.81386555357989e-06 1.09120506302658e-05
4 813.603862716839 940.72520775909 125.163438906948 43.9914336187428 74.5854760899593 0.247174692141929 0.394778796943716 0.0228131691259094 0.00534524887875941 0.00906262650807845 0.100207146812033 0.389390561364339 0.00924831412011372 0.00216688574066542 0.00367385627849182 0.00716748161710512 0.0652591573943875 0.000661483636784737 0.000154984000161266 0.000262768327546146 0.0359325582300969 0.327946965967289 0.00333581372843765 0.000780962806442452 0.00133934892492309 0.000185959249826343 0.00319549175014957 5.36212328095538e-05 1.154573005255e-05 4.80501424676171e-05 0.00543923857943597 0.0926179352509841 0.000408183950911622 0.000100397343169355 9.89281810096737e-05 3.02065306600995e-05 0.00160333223904744 4.05072570217493e-05 6.35675797350708e-06 3.83316781401753e-05
5 813.407732231449 940.589136289961 125.14533460521 43.9871914140625 74.5782836247514 0.334458023937362 0.38554011842222 0.0308710189785164 0.0072334775798593 0.012264032442216 0.158021581715214 0.381406225863173 0.0145847513260138 0.00341729005700187 0.00579385996028044 0.0141817183795627 0.0803737552355358 0.00130886037215108 0.00030666700508359 0.000519939967709904 0.0711453139058652 0.404447756036371 0.00661503610104989 0.00154838550599273 0.00266338447402381 0.000464488015010647 0.00502297833247619 0.00013410373980322 2.88707520997761e-05 0.000120443785826608 0.0139193960468831 0.151454010921954 0.0010479093947387 0.000257621626175715 0.000256354181090337 7.72465506261148e-05 0.00261886522729715 0.000103714877191444 1.62734112733634e-05 9.83604374092927e-05
6 813.17233257188 940.425803311241 125.123603161071 43.982099026273 74.5696497127265 0.427310243961978 0.401995111325363 0.0394445753306492 0.0092427408865618 0.0156706470485798 0.224725258767467 0.377597224849155 0.0207423710041466 0.00486018896768287 0.00824022947702596 0.0241221042956392 0.093074446852863 0.00222635630411425 0.000521646036036167 0.000884427142915865 0.121094725073727 0.468974021252092 0.0112766489402662 0.00263904961561488 0.00455286378120384 0.000953874085907293 0.0070600440693431 0.000275743629345229 5.93548754129157e-05 0.000248219379830194 0.0292987399465871 0.221667200125653 0.0022127231311148 0.000543727033192826 0.000546303576191202 0.000162481988340291 0.00382864028448263 0.000218420589822607 3.42663124715464e-05 0.00020759686771194
7 812.892807504134 940.23182917959 125.097794913161 43.9760509271026 74.5593954354967 0.528089955880662 0.438965638519247 0.0487522124014574 0.0114242854047426 0.0193693566180409 0.29948610739335 0.383601523828295 0.0276447720829079 0.00647772764698074 0.0109826927832901 0.0371156248818302 0.10414015604041 0.0034257431637973 0.000802685309320376 0.00136091645625682 0.186445777640525 0.525376216149875 0.0173886349516824 0.00406871407216535 0.00703966720603149 0.00171602507249608 0.00922260789234847 0.000496687502341542 0.000106897996742443 0.000448120043276466 0.0540395241378972 0.301660107227912 0.00409397005512837 0.00100553743672474 0.00101989286321287 0.000299480858885998 0.00520457075241561 0.000403066681574556 6.32250307106237e-05 0.00038391853318824
8 812.562515254046 940.0025911852 125.067294810188 43.9689027670467 74.5472760550383 0.639902603850786 0.493925174771876 0.0590815199859985 0.0138456088203305 0.0234746004090148 0.382609522805066 0.402071982990135 0.0353206630079529 0.00827669381605781 0.0140327581517707 0.0532578688813045 0.114488786433416 0.00491591616705267 0.0011518775524218 0.0019529560320606 0.267704079047932 0.578218993847022 0.0250039173692233 0.00584963556618328 0.0101494370728751 0.00280893311886784 0.0114617785119351 0.000814028716718382 0.00017517167352207 0.000736070052317899 0.0906994314094991 0.390511645757444 0.00689230394350551 0.00169209073786634 0.00173207537380269 0.000502306840487849 0.00673045248871736 0.000676840621481132 0.000106154786888341 0.000646047869838768
9 812.173124427441 939.732288185317 125.031331010416 43.9604733604948 74.5329843793844 0.7662919165997 0.566119765994626 0.0707609492449348 0.0165838309487599 0.0281171315631247 0.475337634674107 0.434318409175906 0.0438854016273273 0.0102842002506047 0.0174363940612526 0.0726812404507206 0.125031394580997 0.00670919668123416 0.00157212157159633 0.00266546066457014 0.365557313058693 0.632050394506424 0.0341919827533262 0.00799798001469212 0.0139141881441134 0.00428726284985625 0.0137615626967306 0.00124396256671238 0.000267653169623001 0.0011272897581301 0.141934666243827 0.48802750921732 0.0108177998325042 0.00265467342909657 0.00274159127729687 0.000785538682088036 0.00840277851088379 0.00105969687769895 0.000166180120804317 0.00101356514710771
