"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"1",80,94,76,72,76
"2",105,125,98,91,97
"3",112,128,103,96,102
"4",111,122,102,94,99
"5",61,78,62,60,64
"6",112,123,102,93,99
"7",93,110,87,81,87
"8",95,108,88,82,87
"9",138,149,124,113,120
"10",75,88,71,67,72
"11",84,112,83,80,87
"12",76,91,74,70,75
"13",117,132,107,98,105
"14",131,148,115,103,111
"15",92,107,86,80,85
"16",97,110,89,83,88
"17",119,135,110,102,109
"18",107,138,98,90,98
"19",82,97,76,71,76
"20",79,109,77,72,79
"21",94,117,87,81,88
"22",101,115,94,88,94
"23",104,120,94,86,92
"24",108,125,98,90,97
"25",110,128,103,96,103
"26",163,171,143,128,136
"27",74,89,71,68,72
"28",117,134,111,104,110
"29",116,132,107,99,106
"30",102,115,94,87,92
"31",90,122,87,81,89
"32",155,167,139,128,135
"33",61,76,59,56,60
"34",73,88,71,68,73
"35",104,117,97,90,95
"36",133,151,122,113,120
"37",133,147,119,108,115
"38",90,104,85,79,84
"39",131,143,118,108,115
"40",85,101,82,78,83
"41",109,128,102,94,101
"42",111,126,98,89,95
"43",73,88,70,66,71
"44",105,133,96,88,96
"45",84,105,79,73,80
"46",74,89,71,67,72
"47",102,128,92,83,91
"48",114,130,105,98,104
"49",112,127,105,98,104
"50",138,154,127,118,125
"51",83,99,79,75,80
"52",107,122,101,96,101
"53",87,102,83,79,83
"54",129,155,116,105,114
"55",86,113,82,76,83
"56",112,126,103,96,102
"57",118,138,106,97,104
"58",68,84,65,61,66
"59",95,110,90,85,90
"60",113,133,102,93,101
"61",133,146,121,111,118
"62",96,116,89,83,89
"63",118,129,107,99,105
"64",96,107,89,82,87
"65",157,168,140,127,134
"66",96,107,88,82,87
"67",72,87,69,66,70
"68",73,95,72,68,74
"69",73,115,75,71,80
"70",123,149,112,103,111
"71",91,110,86,81,87
"72",119,137,109,101,108
"73",113,137,103,95,103
"74",74,115,74,70,79
"75",134,149,122,113,120
"76",100,116,95,90,95
"77",74,93,72,69,74
"78",101,116,93,86,92
"79",139,150,123,112,119
"80",87,106,81,76,82
"81",79,97,76,72,78
"82",76,95,72,67,72
"83",99,110,92,86,91
"84",91,126,87,81,89
"85",83,98,80,76,80
"86",124,166,116,106,118
"87",109,125,99,92,98
"88",113,127,105,97,103
"89",134,146,121,111,117
"90",164,173,144,130,138
"91",71,93,70,66,72
"92",90,105,86,81,86
"93",63,81,63,61,66
"94",147,161,133,122,130
"95",122,172,120,112,125
"96",81,104,78,74,80
"97",85,101,81,76,81
"98",106,120,99,93,98
"99",102,116,94,87,92
"100",106,119,97,89,95
"101",71,86,69,65,70
"102",111,126,104,98,104
"103",88,100,81,75,80
"104",167,174,145,129,137
"105",70,88,70,67,72
"106",97,111,90,83,89
"107",120,131,108,99,105
"108",106,119,98,92,97
"109",76,102,74,69,76
"110",236,258,205,182,196
"111",85,98,79,73,78
"112",81,96,78,74,78
"113",54,68,53,50,54
"114",99,121,93,86,93
"115",52,68,53,52,56
"116",142,181,128,115,128
"117",88,102,83,78,83
"118",74,88,70,66,71
"119",105,117,97,90,95
"120",59,77,58,56,60
"121",136,149,123,114,121
"122",85,97,79,73,78
"123",85,103,83,79,84
"124",102,131,92,84,92
"125",133,147,119,109,116
"126",159,178,143,130,139
"127",68,87,66,63,68
"128",117,131,106,98,105
"129",91,120,87,81,89
"130",103,114,94,86,92
"131",93,107,87,82,87
"132",120,135,112,104,110
"133",71,88,68,64,69
"134",168,192,151,138,148
"135",77,90,72,68,73
"136",155,165,138,125,133
"137",118,128,105,96,102
"138",91,101,83,76,81
"139",99,112,92,86,92
"140",137,150,123,112,119
"141",70,99,71,68,75
"142",126,141,114,104,111
"143",125,137,108,97,104
"144",77,94,72,67,72
"145",93,105,85,79,84
"146",72,91,71,68,73
"147",101,118,96,91,97
"148",119,132,108,100,106
"149",92,118,90,86,92
"150",130,143,118,109,115
"151",98,112,92,87,92
"152",149,170,130,117,126
"153",73,87,70,66,70
"154",86,101,83,79,84
"155",63,89,63,60,67
"156",135,152,121,111,119
"157",94,114,89,84,90
"158",102,119,93,86,92
"159",68,85,67,64,68
"160",144,159,129,118,125
"161",93,125,91,86,94
"162",147,163,131,119,127
"163",98,113,90,84,89
"164",150,162,133,120,128
"165",101,115,95,89,94
"166",109,128,98,89,96
"167",88,104,83,78,83
