"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"1",1,2,1,0,0
"2",17,16,5,2,4
"3",19,16,3,2,2
"4",0,1,0,0,0
"5",22,16,6,2,2
"6",1,1,1,0,0
"7",0,1,0,0,0
"8",14,9,3,2,2
"9",1,2,1,0,1
"10",1,1,0,0,0
"11",12,10,3,1,2
"12",0,1,0,0,0
"13",21,19,4,2,2
"14",0,1,0,0,0
"15",1,1,0,0,0
"16",3,2,1,0,0
"17",3,2,1,1,2
"18",0,1,0,0,0
"19",0,1,0,0,0
"20",0,1,0,0,0
"21",2,2,1,1,1
"22",0,1,0,0,0
"23",1,1,0,0,0
"24",21,21,5,3,3
"25",0,1,0,0,0
"26",1,1,0,0,0
"27",0,1,0,0,0
"28",20,15,3,2,2
"29",0,1,0,0,0
"30",0,1,0,0,0
"31",1,1,1,0,0
"32",0,1,0,0,0
"33",16,13,3,2,3
"34",0,1,0,0,0
"35",0,1,0,0,1
"36",0,1,0,0,0
"37",1,1,0,0,0
"38",1,3,0,0,0
"39",0,1,0,0,0
"40",1,1,1,0,0
"41",0,1,0,0,0
"42",1,2,0,0,0
"43",0,1,0,0,0
"44",13,9,4,2,2
"45",1,1,0,0,0
"46",1,1,0,0,0
"47",1,1,0,1,0
"48",0,1,1,0,0
"49",1,1,1,0,0
"50",16,14,3,2,2
"51",2,3,0,0,0
"52",2,1,1,0,0
"53",0,1,0,0,0
"54",27,26,5,2,2
"55",25,19,4,2,3
"56",1,1,0,0,0
"57",17,19,4,1,3
"58",3,3,0,0,0
"59",0,1,0,0,0
"60",1,1,0,0,0
"61",1,1,0,0,0
"62",0,2,0,0,0
"63",13,11,3,1,2
"64",0,1,0,0,0
"65",3,1,0,0,1
"66",1,1,0,0,0
"67",0,1,0,0,0
"68",3,1,0,0,0
"69",0,1,0,0,0
"70",15,13,3,3,3
"71",0,1,0,0,0
"72",0,1,0,0,0
"73",23,21,6,2,3
"74",2,1,0,1,0
"75",2,2,0,0,0
"76",8,8,3,1,1
"77",0,1,0,0,0
"78",1,1,0,0,0
"79",1,1,0,0,0
"80",0,1,0,0,0
"81",0,1,0,0,0
"82",24,16,6,3,2
"83",0,2,0,1,0
