"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"1",0,0,0,0,0
"2",11,17,10,3,8
"3",0,0,0,0,0
"4",16,23,3,2,8
"5",17,21,6,4,12
"6",16,14,4,1,8
"7",20,20,5,3,8
"8",18,16,9,4,10
"9",13,17,7,3,6
"10",22,18,9,3,7
"11",18,14,8,2,7
"12",25,24,7,3,12
"13",17,17,8,3,6
"14",15,16,9,3,7
"15",15,19,7,3,9
"16",14,11,6,2,5
"17",18,22,6,4,11
"18",20,13,9,3,5
"19",20,16,7,2,11
"20",0,0,0,0,0
"21",0,0,0,0,0
"22",23,12,8,3,7
"23",15,19,7,3,9
"24",16,13,5,4,7
"25",19,19,4,2,7
"26",21,19,10,5,8
"27",18,16,6,2,8
"28",18,18,6,2,9
"29",0,0,0,0,0
"30",15,18,7,5,10
"31",21,13,9,3,7
"32",16,19,10,3,5
"33",17,15,9,2,5
"34",0,0,0,0,0
"35",14,23,11,3,7
"36",15,17,6,3,9
"37",0,0,0,0,0
"38",0,0,0,0,0
"39",17,19,7,2,10
"40",0,0,0,0,0
"41",15,17,9,4,6
"42",13,16,6,4,6
"43",22,20,5,2,9
"44",0,0,0,0,0
"45",15,13,7,3,7
"46",18,16,12,2,9
"47",26,18,8,2,11
"48",0,0,0,0,0
"49",8,12,5,3,9
"50",12,17,6,2,7
"51",12,12,11,5,9
"52",0,0,0,0,0
"53",0,0,0,0,0
"54",0,1,0,0,0
"55",16,22,9,2,9
"56",0,0,0,0,0
"57",0,0,0,0,0
"58",11,15,4,4,7
"59",9,23,10,3,8
"60",0,0,0,0,0
"61",0,0,0,0,0
"62",16,18,8,4,10
"63",18,17,7,2,7
"64",12,18,7,5,8
"65",11,17,11,4,7
"66",22,23,11,4,8
"67",13,25,10,3,7
"68",19,11,6,3,8
"69",21,20,9,2,4
"70",14,21,7,4,5
"71",14,15,7,3,14
"72",0,0,0,0,0
"73",11,18,13,3,8
"74",16,18,6,2,6
"75",0,0,0,0,0
"76",17,12,6,3,8
"77",24,21,7,4,9
"78",14,23,9,3,9
"79",13,17,4,2,7
"80",17,21,7,4,7
