"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"1",1,1,0,0,0
"2",31,24,5,3,5
"3",7,2,1,0,0
"4",0,0,0,0,0
"5",3,2,0,0,0
"6",0,1,0,0,0
"7",0,1,0,0,0
"8",5,3,1,0,0
"9",1,0,0,0,0
"10",0,1,0,0,0
"11",4,5,2,1,0
"12",0,1,0,0,0
"13",0,1,0,0,0
"14",1,1,0,0,0
"15",0,1,0,0,0
"16",35,32,5,2,3
"17",20,15,2,1,3
"18",0,1,0,0,0
"19",20,22,5,3,3
"20",2,2,0,0,1
"21",2,2,0,1,0
"22",1,3,0,0,0
"23",1,1,0,0,0
"24",1,1,0,0,0
"25",0,1,0,0,0
"26",1,2,1,0,0
"27",2,1,0,0,0
"28",0,2,0,0,0
"29",21,10,2,1,3
"30",0,1,1,0,0
"31",22,15,2,3,3
"32",26,21,5,2,3
"33",19,13,4,2,3
"34",0,1,0,0,0
"35",0,1,0,0,0
"36",32,16,5,1,2
"37",2,2,1,0,0
"38",20,16,4,3,2
"39",0,1,0,0,1
"40",0,0,0,0,0
"41",0,1,0,0,0
"42",2,1,1,0,0
"43",34,25,5,3,3
"44",0,1,1,0,0
"45",1,1,0,0,0
"46",4,2,0,1,0
"47",16,15,3,1,3
"48",18,14,3,3,3
"49",1,1,1,0,0
"50",0,1,0,0,0
"51",0,1,0,0,0
"52",0,1,0,0,0
"53",0,1,0,0,0
"54",0,1,0,0,0
"55",34,26,8,4,3
"56",0,1,0,0,0
"57",20,13,5,2,2
"58",0,1,0,0,0
"59",0,1,0,0,0
"60",1,0,0,0,0
"61",3,2,1,0,0
"62",0,1,0,0,0
"63",7,6,1,0,1
"64",0,0,0,0,0
"65",40,24,5,2,4
"66",0,1,0,0,0
"67",0,1,0,0,0
"68",9,5,4,1,2
"69",2,2,0,0,1
"70",0,1,0,0,0
"71",15,11,3,1,3
"72",0,0,0,0,0
"73",3,5,1,0,0
"74",17,16,3,2,2
"75",0,1,0,0,0
"76",3,2,0,0,0
"77",16,13,4,1,2
"78",37,27,5,3,3
"79",0,1,0,0,0
"80",20,11,3,1,2
"81",0,1,0,0,0
"82",1,1,2,0,0
"83",1,1,0,0,0
"84",2,1,1,0,0
"85",1,1,0,0,0
"86",18,17,4,1,2
"87",1,1,0,0,0
"88",0,0,0,0,0
"89",0,0,0,0,0
"90",16,15,4,3,1
"91",0,1,0,0,0
"92",2,1,1,0,0
"93",1,1,0,0,0
"94",0,1,0,0,0
"95",1,1,0,0,0
"96",1,1,0,0,0
"97",2,1,0,0,0
"98",2,4,1,0,1
"99",1,0,0,0,0
"100",33,29,4,5,4
"101",3,3,2,0,1
"102",41,30,7,4,6
"103",1,1,0,0,0
"104",3,2,0,0,1
"105",4,1,2,0,0
"106",20,18,4,2,1
"107",0,1,0,0,0
"108",0,1,0,0,0
"109",36,28,6,2,2
"110",0,1,0,0,0
"111",1,1,0,0,0
"112",0,2,0,0,0
"113",7,2,0,0,1
"114",1,2,0,0,0
"115",23,19,6,2,2
"116",4,2,0,0,1
"117",0,1,0,0,0
"118",26,20,5,2,4
"119",2,1,0,1,0
"120",0,1,1,0,0
"121",1,1,0,0,0
"122",0,1,0,0,0
"123",0,1,0,0,0
"124",15,11,3,2,1
"125",41,23,5,3,3
"126",1,1,0,0,0
"127",2,1,3,0,0
"128",0,1,0,0,0
"129",1,1,0,0,0
"130",5,6,1,1,0
"131",0,0,0,0,0
"132",38,28,6,2,3
"133",31,28,5,3,4
"134",2,1,0,0,0
"135",3,1,1,0,0
"136",0,0,0,0,0
"137",27,29,4,1,2
"138",33,26,5,2,3
"139",0,2,0,0,0
"140",1,0,0,0,0
"141",0,1,0,0,0
"142",0,1,0,0,0
"143",20,20,3,1,2
"144",0,1,0,0,0
"145",23,16,5,3,2
"146",0,0,0,0,0
"147",25,23,5,2,2
"148",0,0,0,0,0
"149",0,0,0,0,0
"150",38,26,6,4,4
"151",1,2,0,0,0
"152",8,4,1,1,1
"153",0,1,0,0,0
"154",2,1,1,0,1
"155",19,26,6,2,2
"156",0,0,0,0,0
"157",0,1,0,0,1
"158",30,23,5,1,4
"159",0,1,0,1,0
"160",0,1,0,0,0
"161",0,1,0,0,0
"162",0,1,0,0,2
"163",0,1,0,0,0
"164",1,1,0,0,0
"165",21,14,3,1,1
"166",0,1,0,0,0
"167",1,1,0,0,0
"168",1,1,0,0,0
"169",0,1,0,0,0
"170",2,3,1,0,1
"171",0,1,0,0,0
"172",0,1,0,0,0
"173",1,3,0,0,0
"174",0,3,0,0,0
"175",0,1,0,0,0
"176",0,0,0,0,0
"177",0,2,0,0,0
"178",0,1,0,0,0
"179",0,1,0,0,0
"180",24,17,6,1,3
"181",0,1,0,0,0
"182",0,0,0,0,0
"183",0,1,0,0,0
"184",0,1,1,0,0
"185",0,1,0,0,0
"186",0,1,0,0,0
"187",42,32,6,2,3
"188",0,1,0,0,0
"189",6,4,1,0,0
"190",0,1,0,0,0
"191",3,4,1,1,1
"192",1,1,0,0,1
"193",3,3,1,0,0
"194",1,1,0,0,0
"195",6,2,0,1,1
"196",0,1,0,0,0
"197",4,3,0,0,0
"198",0,1,0,0,0
"199",23,23,7,2,1
"200",0,1,0,0,0
"201",30,25,4,2,2
"202",30,26,5,2,3
"203",25,16,6,2,1
"204",41,38,6,4,3
"205",0,1,0,0,0
"206",5,7,4,0,3
"207",3,3,0,0,1
"208",23,13,4,2,3
"209",0,1,0,0,0
"210",0,1,0,0,0
"211",3,5,2,0,0
"212",28,18,4,1,4
"213",20,20,4,2,2
"214",16,14,4,2,2
"215",26,17,6,2,1
"216",0,1,0,0,0
"217",0,1,0,0,0
"218",9,7,2,1,1
"219",33,29,5,3,4
"220",0,1,0,0,0
"221",0,0,0,0,0
"222",0,1,0,0,0
"223",0,1,0,0,0
"224",0,2,0,0,0
"225",26,25,6,4,4
"226",0,1,0,0,0
"227",2,1,1,0,0
"228",1,3,0,0,0
"229",0,0,0,0,0
"230",5,2,0,1,0
"231",0,1,0,0,0
"232",22,12,5,1,2
"233",24,20,4,2,3
"234",12,9,4,1,2
"235",0,0,0,0,0
"236",0,1,0,0,0
"237",0,1,0,0,0
"238",1,2,1,0,0
"239",0,0,0,0,1
"240",36,26,7,2,4
"241",12,8,1,2,2
"242",1,1,0,0,0
"243",4,1,0,0,0
"244",1,1,0,0,0
"245",1,0,0,0,0
"246",0,1,0,0,0
"247",0,1,0,0,0
"248",1,1,0,0,1
"249",1,1,1,0,0
"250",0,0,0,0,0
"251",24,20,5,1,3
"252",2,6,1,0,0
"253",13,11,1,1,2
"254",0,1,0,0,0
"255",0,0,0,0,0
"256",0,1,0,0,0
"257",0,1,0,0,0
"258",0,1,0,0,0
"259",1,1,1,0,0
"260",18,19,5,1,3
"261",24,20,3,3,2
"262",0,1,0,0,0
"263",2,2,0,0,0
"264",0,0,0,0,0
"265",18,16,3,1,2
"266",0,1,0,0,0
"267",28,26,4,1,2
"268",0,1,0,0,0
"269",17,14,3,1,2
"270",0,1,0,0,0
"271",0,1,0,0,0
"272",1,2,0,0,0
"273",0,1,0,0,0
"274",25,21,5,3,3
"275",1,1,0,0,0
"276",0,1,0,0,0
"277",0,1,0,0,0
"278",17,16,3,2,3
"279",26,19,5,3,3
"280",1,1,0,1,0
"281",17,21,4,1,2
"282",5,2,1,0,0
"283",0,1,0,0,0
"284",0,1,0,0,0
"285",0,1,0,0,0
"286",2,2,0,0,0
"287",0,0,0,0,0
"288",0,1,0,0,0
"289",0,1,0,0,0
"290",19,15,3,1,1
"291",30,18,4,2,2
"292",0,1,0,0,0
"293",1,1,0,0,0
"294",0,1,0,0,0
