"","age1.R","age2_no_comorbid.R","age2_comorbid.R","age3_no_comorbid.R","age3_comorbid.R"
"1",638,596,58,14,15
"2",661,610,63,18,9
"3",0,1,0,0,0
"4",0,1,0,0,0
"5",647,605,52,15,16
"6",631,562,65,18,15
"7",621,570,50,22,15
"8",640,547,58,16,22
"9",626,596,61,16,19
"10",0,1,0,0,0
"11",648,577,62,16,13
"12",0,1,0,0,0
"13",0,2,0,0,0
"14",1,1,0,0,0
"15",651,554,64,16,11
"16",641,560,52,18,13
"17",0,0,0,0,0
"18",604,568,59,15,21
"19",0,1,0,0,0
"20",641,568,62,15,20
"21",634,554,58,11,14
"22",632,589,46,18,19
"23",0,1,0,0,0
"24",0,1,0,0,0
"25",623,621,50,16,20
"26",633,547,53,20,18
"27",604,542,68,16,12
"28",0,1,0,0,0
"29",640,573,55,12,13
"30",1,1,0,0,0
"31",5,4,0,0,0
"32",0,1,0,0,0
"33",643,554,58,18,18
"34",0,0,0,0,0
"35",0,0,0,0,0
"36",0,1,0,0,0
"37",0,1,0,0,0
"38",0,1,0,0,0
"39",0,1,0,0,0
"40",0,1,0,0,0
"41",0,1,0,0,0
"42",639,578,62,19,19
"43",642,593,63,20,18
"44",635,589,59,16,15
"45",652,584,66,18,14
"46",0,1,0,0,0
"47",636,562,54,14,10
"48",623,564,57,16,12
"49",657,587,70,19,14
"50",632,576,57,17,13
"51",0,1,0,0,0
"52",626,567,68,21,20
"53",659,575,59,19,15
"54",632,590,59,15,15
"55",0,1,0,0,0
"56",621,610,71,17,18
"57",1,1,0,0,0
"58",638,561,59,14,16
"59",665,605,55,16,19
"60",634,576,58,21,18
"61",658,616,60,18,12
"62",619,569,57,15,13
"63",654,586,66,17,23
"64",0,1,0,0,0
"65",0,1,0,0,0
"66",630,603,62,15,19
"67",628,574,43,20,13
"68",0,1,0,0,0
"69",2,2,0,0,0
"70",1,2,0,0,0
"71",635,590,59,14,16
"72",638,583,54,25,15
"73",642,596,61,20,13
"74",0,1,0,0,0
"75",627,599,67,26,15
"76",0,1,0,0,0
"77",633,584,51,17,14
"78",2,3,0,0,0
"79",626,577,64,16,15
"80",642,556,54,18,13
"81",621,538,56,11,15
"82",613,527,55,15,8
"83",651,591,61,10,15
"84",0,1,0,0,0
"85",625,587,48,16,16
"86",635,568,48,18,12
"87",640,599,68,17,15
"88",0,1,0,0,0
"89",0,2,0,0,0
"90",0,1,0,0,0
"91",607,558,64,13,11
"92",638,610,64,18,13
"93",1,1,0,0,0
"94",630,588,62,19,15
"95",637,577,59,17,18
"96",1,1,0,0,0
"97",598,574,55,18,7
"98",0,1,0,0,0
"99",633,547,58,13,13
