"","age1.E","age2_no_comorbid.E","age2_comorbid.E","age3_no_comorbid.E","age3_comorbid.E"
"1",1,2,0,1,0
"2",0,1,0,0,0
"3",2,2,1,0,0
"4",0,1,0,0,0
"5",12,13,3,2,2
"6",0,1,0,0,0
"7",0,1,0,0,0
"8",0,1,0,0,0
"9",1,1,0,0,0
"10",7,7,2,1,1
"11",13,11,3,1,1
"12",0,1,0,0,0
"13",1,2,1,0,0
"14",0,1,0,0,0
"15",6,8,2,1,1
"16",0,1,0,0,0
"17",0,1,0,0,0
"18",0,1,0,0,0
"19",0,1,0,0,0
"20",0,1,0,0,0
"21",0,1,0,0,0
"22",1,1,0,0,0
"23",1,2,0,0,0
"24",1,1,0,0,0
"25",14,11,3,2,3
"26",3,2,1,0,0
"27",1,1,1,0,0
"28",2,2,1,0,0
"29",0,1,0,0,0
"30",0,1,0,0,0
"31",0,1,0,0,0
"32",0,1,0,0,0
"33",1,1,1,0,0
"34",1,1,0,0,0
"35",0,1,0,0,0
"36",5,2,0,0,1
"37",0,1,0,0,0
"38",0,1,0,0,0
"39",2,2,0,0,0
"40",0,1,0,0,0
"41",1,1,1,0,0
"42",2,2,1,0,0
"43",10,7,2,1,1
"44",3,2,1,0,1
"45",12,12,3,2,2
"46",0,1,0,0,0
"47",6,5,2,1,1
"48",9,12,4,1,2
"49",3,2,0,0,1
"50",17,12,3,1,2
"51",1,1,0,0,0
"52",2,1,0,1,0
"53",7,6,1,0,2
"54",10,6,2,1,1
"55",9,6,2,1,1
"56",0,1,0,0,0
"57",0,1,0,0,0
"58",2,1,0,0,0
"59",0,1,0,0,0
"60",0,1,0,0,0
"61",0,1,0,0,0
"62",13,10,3,2,4
"63",1,1,0,0,0
"64",17,11,5,2,2
"65",1,1,0,0,0
"66",1,1,0,0,0
"67",0,1,0,0,0
"68",1,1,0,0,0
"69",1,1,0,0,0
"70",5,3,1,0,1
"71",0,1,0,0,0
"72",0,1,0,0,0
"73",0,1,0,0,0
"74",3,3,0,1,1
"75",1,1,0,0,0
"76",1,1,0,0,0
"77",0,1,0,0,0
"78",1,1,0,0,0
"79",0,1,0,0,0
"80",9,9,2,2,2
"81",0,1,0,0,1
"82",10,7,3,2,4
"83",0,1,0,0,0
"84",9,7,2,2,2
"85",0,1,0,0,0
"86",1,1,0,0,1
"87",8,7,2,1,1
"88",3,2,1,0,1
"89",2,2,1,1,0
"90",8,9,2,1,1
"91",11,10,2,1,2
"92",0,1,0,0,0
"93",0,1,0,0,0
"94",0,1,0,0,0
"95",13,6,2,1,1
"96",3,2,1,1,0
"97",10,7,3,1,2
"98",3,2,1,0,1
"99",0,1,0,0,0
"100",1,1,0,0,0
"101",3,2,0,0,0
"102",0,1,0,0,0
"103",2,2,1,0,0
"104",4,4,2,1,1
"105",4,4,2,1,1
"106",1,1,0,0,0
"107",0,1,0,0,0
"108",1,1,0,0,0
"109",2,1,0,0,0
"110",1,2,0,0,0
"111",0,1,0,0,0
"112",15,13,3,1,2
"113",1,2,0,0,0
"114",17,16,3,1,2
"115",0,1,0,0,0
"116",0,1,0,0,0
"117",10,7,3,2,2
"118",0,1,0,0,0
"119",18,9,3,1,2
"120",2,3,1,0,0
"121",10,11,2,2,2
"122",0,1,0,0,0
"123",1,1,0,0,0
"124",0,1,0,0,0
"125",3,1,0,0,0
"126",18,16,6,2,3
"127",0,1,0,0,0
"128",1,1,0,0,0
"129",0,1,0,0,0
"130",0,1,0,0,0
"131",1,1,1,0,0
"132",0,1,0,0,0
"133",1,1,0,0,0
"134",0,1,0,0,0
"135",8,8,2,1,2
"136",1,1,0,0,0
"137",8,7,3,1,3
"138",1,1,0,0,1
"139",1,1,0,0,0
"140",12,8,2,2,3
"141",2,2,0,0,0
"142",3,2,0,0,0
"143",0,1,0,0,0
"144",5,4,2,1,1
"145",1,1,0,0,0
"146",0,1,0,0,0
"147",0,1,0,0,0
"148",1,1,0,0,0
"149",0,1,0,0,0
"150",0,1,0,0,0
"151",2,1,0,0,0
"152",1,1,1,0,0
"153",0,1,0,0,0
"154",12,14,7,1,1
"155",8,8,2,1,1
"156",8,4,2,0,1
"157",1,1,0,0,0
"158",0,1,0,0,0
"159",2,1,0,0,0
"160",1,1,0,0,0
"161",0,1,0,0,0
"162",5,7,1,0,3
"163",1,1,1,0,1
"164",1,1,0,0,0
"165",11,8,3,3,2
"166",1,1,0,0,0
"167",0,1,0,0,0
"168",1,1,0,0,0
"169",5,3,2,0,1
"170",0,1,0,0,0
"171",1,1,0,0,0
"172",17,15,3,2,3
"173",0,1,0,0,0
"174",14,9,3,2,2
"175",0,1,0,0,0
"176",8,8,3,2,1
"177",0,1,0,0,0
"178",7,7,2,1,2
"179",2,1,0,1,0
"180",11,17,4,2,2
"181",0,1,0,0,0
"182",13,10,3,1,2
"183",7,7,2,1,1
"184",1,1,0,0,0
"185",2,1,1,0,0
"186",1,3,0,0,0
"187",8,8,4,1,1
"188",16,13,3,2,2
"189",1,1,0,0,0
"190",0,1,0,0,0
"191",0,1,0,0,0
"192",1,1,0,0,0
"193",1,1,0,0,0
"194",2,2,0,0,0
"195",3,1,1,0,0
"196",2,2,1,0,1
"197",9,7,2,1,2
"198",0,1,0,0,0
"199",0,1,0,0,0
"200",10,8,2,1,2
"201",0,1,0,1,0
"202",0,1,0,0,0
"203",1,1,0,0,0
"204",11,10,3,2,2
"205",3,2,0,0,1
"206",14,10,4,2,3
"207",0,1,0,0,0
"208",9,7,4,2,2
"209",3,1,1,0,0
"210",1,1,0,0,0
"211",2,2,0,0,0
"212",0,1,0,0,1
"213",1,1,0,0,0
"214",1,1,0,0,0
"215",1,1,0,0,0
"216",0,1,0,0,0
"217",0,1,0,0,0
"218",0,1,0,0,0
"219",0,1,0,0,0
"220",0,1,0,0,0
"221",0,1,0,0,0
"222",3,1,0,0,1
"223",2,1,0,0,0
"224",0,1,0,0,0
"225",0,1,0,0,0
"226",0,1,0,0,0
"227",0,1,1,0,0
"228",0,1,0,0,0
"229",8,7,1,1,1
"230",1,1,0,0,0
"231",0,1,0,0,0
"232",0,1,0,0,0
"233",1,2,0,0,0
"234",0,1,0,0,0
"235",0,1,0,0,0
"236",13,13,5,1,3
"237",2,1,1,0,0
"238",0,1,0,0,0
"239",0,1,0,0,0
"240",1,1,0,0,0
"241",6,4,2,0,1
"242",4,5,1,1,1
"243",0,1,1,0,0
"244",1,1,0,0,0
"245",0,1,0,0,0
"246",0,1,0,0,0
"247",1,1,0,0,0
"248",0,1,0,0,0
"249",0,1,0,0,0
"250",0,1,0,0,0
"251",0,2,0,0,0
"252",0,1,0,0,0
"253",15,11,3,1,2
"254",0,1,0,0,0
"255",0,1,0,0,0
"256",0,1,0,0,0
"257",1,1,0,0,0
"258",18,11,3,2,2
"259",0,1,0,0,0
"260",0,1,0,0,0
"261",1,1,0,0,0
"262",2,3,0,0,0
"263",0,1,0,0,0
"264",2,2,0,0,1
"265",0,1,0,0,0
"266",1,3,0,0,0
"267",7,7,2,1,1
"268",0,1,0,0,0
"269",14,13,3,2,1
"270",3,4,1,0,1
"271",7,5,2,1,1
"272",0,1,0,0,0
"273",4,2,1,0,0
"274",1,1,0,0,0
"275",0,1,0,0,0
"276",0,1,0,0,0
"277",8,7,4,2,2
"278",1,1,0,0,0
"279",0,1,0,0,0
"280",7,6,2,1,1
"281",0,1,0,0,0
"282",3,3,1,1,1
"283",0,1,0,0,0
"284",3,2,0,0,0
"285",1,1,1,0,0
"286",1,1,0,0,0
"287",13,9,4,1,2
"288",1,2,1,0,0
"289",9,9,2,1,2
"290",1,1,0,0,0
"291",3,4,0,0,1
"292",0,1,0,0,0
"293",0,1,0,0,0
"294",0,1,0,0,0
"295",0,1,0,0,0
"296",1,1,0,0,0
"297",0,1,0,0,0
"298",0,1,0,0,0
"299",8,6,2,2,2
"300",1,1,0,0,0
"301",0,1,0,0,0
"302",0,1,0,0,0
"303",13,9,2,2,4
"304",0,1,0,0,1
"305",0,1,0,0,0
"306",1,1,0,0,0
"307",13,10,4,1,2
"308",0,1,0,0,0
"309",0,1,0,0,0
"310",0,1,0,0,0
"311",2,2,0,1,1
"312",9,6,2,1,1
"313",1,1,0,0,0
"314",0,1,0,0,0
"315",2,1,0,0,0
"316",0,1,0,0,0
"317",3,1,0,1,0
"318",14,10,2,1,2
"319",0,1,0,0,0
"320",0,1,0,0,0
"321",10,7,3,2,1
"322",2,3,1,1,0
"323",12,8,2,1,1
"324",5,4,1,0,1
"325",0,1,0,0,0
"326",0,1,0,0,0
"327",8,8,2,2,3
"328",0,1,0,0,0
"329",0,1,0,0,0
"330",0,1,0,0,0
"331",7,6,1,1,2
"332",0,1,0,0,0
"333",7,5,2,1,1
"334",0,1,0,0,0
"335",1,1,0,0,0
"336",7,6,2,1,2
"337",13,9,3,1,2
"338",1,1,0,0,0
"339",1,2,0,0,1
"340",0,1,0,0,0
"341",1,1,0,0,0
"342",7,5,2,2,3
"343",3,1,0,1,0
"344",3,2,0,0,0
"345",0,1,0,0,0
"346",0,1,0,0,0
"347",13,10,3,1,2
"348",10,9,3,2,2
"349",0,1,0,0,0
"350",1,2,1,0,0
"351",0,1,0,0,0
"352",1,2,0,0,0
"353",0,1,0,0,0
"354",0,1,0,0,0
"355",0,1,0,0,0
"356",4,3,1,0,0
"357",0,1,0,0,1
"358",0,1,0,0,0
"359",4,3,1,0,0
"360",9,9,2,1,1
"361",0,1,0,0,0
"362",0,1,0,0,0
"363",0,1,0,0,0
"364",0,1,0,0,0
"365",0,1,0,0,0
"366",1,1,0,0,0
"367",0,1,0,0,0
"368",14,8,4,1,1
"369",9,6,3,1,2
"370",0,1,0,0,0
"371",0,1,0,0,0
"372",0,1,0,0,0
"373",0,1,0,0,0
"374",9,6,2,1,2
"375",1,1,0,0,0
"376",0,1,0,0,0
"377",4,2,1,0,0
"378",0,1,0,0,0
"379",0,1,0,0,0
"380",7,7,3,1,2
"381",1,2,1,0,0
"382",2,1,1,0,1
"383",2,1,0,0,0
"384",0,1,0,0,0
"385",1,1,0,0,0
"386",2,1,1,0,0
"387",2,2,1,1,0
"388",2,1,0,0,0
"389",3,1,0,0,0
"390",0,1,0,0,0
"391",3,4,1,0,1
"392",2,2,0,0,0
"393",8,7,3,1,2
"394",6,5,1,1,1
"395",1,1,0,0,0
"396",1,1,0,0,0
"397",1,3,1,1,0
"398",0,1,0,0,0
"399",3,2,1,0,0
"400",1,1,0,0,0
"401",1,1,0,0,0
"402",2,3,0,0,0
"403",11,6,2,1,2
"404",0,1,0,0,0
"405",0,1,0,0,0
"406",2,2,0,1,1
"407",0,1,0,0,0
"408",11,9,4,1,2
"409",0,1,0,0,0
"410",0,1,0,0,0
"411",2,3,0,0,0
"412",12,9,3,2,1
"413",0,1,0,0,0
"414",1,1,0,0,0
"415",10,9,2,1,2
"416",2,1,1,0,0
"417",0,2,1,0,0
"418",1,1,0,0,0
"419",0,1,0,0,0
"420",4,5,2,1,0
"421",11,8,3,2,3
"422",1,1,0,0,0
"423",0,1,0,0,0
"424",0,1,0,0,0
"425",1,1,0,0,0
"426",1,1,0,0,0
"427",0,1,0,0,0
"428",12,12,2,2,3
"429",0,1,0,0,0
"430",1,1,0,0,0
"431",1,1,0,0,0
"432",0,1,0,0,0
