"","age1.A","age2_no_comorbid.A","age2_comorbid.A","age3_no_comorbid.A","age3_comorbid.A"
"1",0,0,0,9.97837268176687,0
"2",0,0,0,0,24.3368408797794
"3",0,9.80812307931285,0,0,0
"4",0,0,0,0,0
"5",0,0,0,0,0
"6",0,0,0,0,0
"7",0,0,0,0,0
"8",0,0,0,0,0
"9",0,0,0,0,0
"10",0,0,0,0,0
"11",0,0,0,0,0
"12",0,0,0,0,0
"13",0,0,0,0,0
"14",0,0,0,0,0
"15",0,2.35559001291618,0,0,0
"16",0,0,0,0,0
"17",0,0,0,0,0
"18",0,14.7404389828793,0,0,0
"19",0,0,0,0,0
"20",0,0,0,0,0
"21",13.7469988407303,0,0,0,0
"22",0,0,0,0,0
"23",0,0,0,0,0
"24",0,17.6430241445367,0,0,0
"25",0,8.29538668488014,0,0,0
"26",24.7256023393519,12.3951537325222,0,0,0
"27",0,0,0,0,0
"28",31.2676435276801,3.55686966029096,0,0,0
"29",0,0,0,0,0
"30",0,1.1466320078808,0,0,0
"31",0,0,0,0,0
"32",0,1.63236497360921,0,0,0
"33",0,0,0,0,0
"34",0,0,0,0,0
"35",7.97831486432548,0,0,0,0
"36",0,0,0,0,0
"37",0,5.70662891572411,0,0,0
"38",0,8.92610402785502,0,0,0
"39",0,3.04657648994186,0,0,0
"40",0,2.20338383614272,0,0,0
"41",0,0,0,0,0
"42",0,0,0,0,0
"43",0,0,0,0,0
"44",26.4330186521324,0,0,0,0
"45",0,1.97196693550846,0,0,0
"46",0,0,0,0,0
"47",0,0,0,0,0
"48",0,0,0,0,0
"49",0,0,0,0,0
"50",0,0,0,0,0
"51",0,0,0,0,0
"52",0,7.86966719513544,0,0,0
"53",0,0,0,0,0
"54",14.6386855692825,0,0,0,0
"55",0,0,0,0,0
"56",0,1.11511399789939,0,0,0
"57",0,0,0,0,0
"58",0,0,0,0,0
"59",0,0,0,0,0
"60",0,0,0,0,0
"61",10.6937326447833,0,0,0,0
"62",12.3805003477337,22.0811613024824,0,0,0
"63",0,0,0,0,0
"64",0,3.61914353741384,0,0,0
"65",0,0,0,0,0
"66",37.0752382742042,0,0,0,0
"67",0,0,0,0,0
"68",0,0,0,0,0
"69",0,21.0671532161816,0,0,0
"70",0,0,0,0,0
"71",0,9.23155918061112,0,0,0
"72",0,0,0,0,0
"73",0,1.28549495414732,0,0,0
"74",18.4224721756097,0,0,0,0
"75",0,0,0,0,0
"76",0,0,0,0,0
"77",0,0,0,0,0
"78",45.1630845952592,92.2652011679531,26.5498681188972,0,0
"79",0,0,0,0,0
"80",0,0,0,0,0
"81",0,8.57199206539456,0,0,0
"82",0,0,0,0,0
"83",16.9221865108617,0,0,0,0
"84",0,0,0,0,0
"85",0,0,0,0,0
"86",0,0,0,0,0
"87",0,7.73878596214789,0,0,0
"88",48.2203944391349,0,0,0,0
"89",0,0,0,0,0
"90",0,0,0,0,0
"91",0,0,0,0,0
"92",0,0,0,0,27.6493450846862
"93",0,13.6549066220314,0,0,0
"94",0,0,0,0,0
"95",0,0,0,0,0
"96",0,0,0,0,0
"97",0,18.3834510381223,0,0,0
"98",0,0,0,0,0
"99",0,0,0,0,0
"100",0,4.15378213878386,0,0,0
"101",0,4.55049622985914,0,0,0
"102",55.7548787716639,54.6730143633198,0,0,0
"103",0,3.92707606333807,0,0,0
"104",0,0,0,0,0
"105",0,0,0,0,0
"106",0,0,0,0,0
"107",15.0958003251243,0,0,0,0
"108",0,0,0,0,0
"109",0,0,0,0,0
"110",0,0,0,0,0
"111",0,0,0,0,0
"112",0,0,0,0,0
"113",0,1.3490119401604,0,0,0
