"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"1",813,939,125,43,75
"2",5,44,4,4,6
"3",6,37,3,7,13
"4",6,35,10,5,13
"5",814,941,125,44,75
"6",814,941,125,44,75
"7",3,52,7,6,13
"8",2,43,6,3,16
"9",3,52,8,4,11
"10",3,53,4,7,15
"11",4,42,5,7,7
"12",4,63,7,5,16
"13",5,50,6,3,6
"14",2,49,5,5,13
"15",5,41,4,8,13
"16",6,46,5,6,6
"17",814,941,125,44,75
"18",7,52,4,3,11
"19",814,941,125,44,75
"20",6,52,8,5,8
"21",3,45,3,5,8
"22",8,48,8,8,10
"23",4,58,6,6,12
"24",4,43,5,5,11
"25",1,48,8,5,13
"26",2,44,0,7,9
"27",813,941,125,44,75
"28",6,47,4,6,8
"29",10,38,4,3,8
"30",7,45,9,5,5
"31",2,33,6,5,5
"32",10,48,6,6,12
"33",2,49,7,7,10
"34",9,46,7,6,7
"35",4,47,7,5,12
"36",4,48,5,4,7
"37",6,48,7,5,6
"38",4,35,5,5,12
"39",11,57,9,4,10
"40",7,39,5,8,9
"41",3,36,5,5,7
"42",814,941,125,44,75
"43",5,34,4,3,3
"44",4,46,6,8,7
"45",813,941,125,44,75
"46",2,54,8,4,15
"47",813,941,125,44,75
"48",2,57,7,4,10
"49",6,35,5,7,11
"50",3,51,7,6,17
"51",2,32,6,7,11
"52",814,941,125,44,75
"53",2,44,7,6,5
"54",9,38,3,3,11
"55",1,31,3,7,16
"56",814,941,125,44,75
"57",3,42,5,10,11
"58",6,41,6,9,5
"59",3,42,6,6,10
"60",8,43,3,7,10
"61",3,53,5,3,12
"62",5,33,10,6,8
"63",5,44,2,4,9
"64",6,44,5,7,7
"65",5,42,4,6,12
"66",5,45,4,3,10
"67",8,40,8,5,11
"68",5,41,6,6,13
"69",6,53,5,7,17
"70",814,941,125,44,75
"71",5,41,6,6,14
"72",4,36,6,5,12
"73",814,941,125,44,75
"74",5,48,8,6,10
"75",5,55,6,6,11
"76",814,941,125,44,75
"77",4,50,7,6,12
"78",5,59,6,7,5
"79",814,941,125,44,75
"80",3,51,5,5,5
"81",0,41,4,8,9
"82",814,941,125,44,75
"83",6,48,6,6,10
"84",4,37,6,3,8
"85",6,52,6,3,9
"86",5,34,5,5,10
"87",9,46,6,7,11
"88",4,54,8,7,11
"89",2,34,7,10,8
"90",7,46,5,2,12
"91",3,35,5,5,11
"92",4,31,4,5,4
"93",4,33,4,6,11
"94",5,41,10,4,10
"95",4,55,4,5,12
"96",6,49,8,4,5
"97",9,53,7,1,11
"98",8,30,9,4,4
"99",7,46,8,9,8
"100",3,46,6,11,6
"101",814,941,125,44,75
"102",814,941,125,44,75
"103",7,41,7,7,17
"104",0,35,3,4,8
"105",7,46,5,5,12
"106",9,50,3,4,9
"107",5,35,6,10,3
"108",5,48,4,4,7
"109",5,44,4,10,7
"110",13,52,6,4,9
"111",3,34,10,10,10
"112",6,48,7,6,10
"113",7,36,8,2,11
"114",5,39,6,4,12
"115",7,43,3,6,13
"116",7,36,7,2,5
"117",814,941,125,44,75
"118",5,53,7,3,15
"119",6,40,8,7,13
"120",814,941,125,44,75
"121",4,37,7,7,5
"122",5,42,6,6,12
"123",2,55,5,3,12
"124",4,39,4,4,7
"125",10,40,5,13,13
"126",3,40,8,6,12
"127",4,48,3,2,6
"128",5,45,10,7,18
"129",5,34,1,9,10
"130",4,38,5,8,10
"131",8,53,6,5,11
"132",4,43,5,2,8
"133",814,941,125,44,75
"134",6,49,3,5,7
"135",814,941,125,44,75
"136",10,46,7,6,8
"137",2,39,5,6,12
"138",6,39,6,5,3
"139",9,44,2,4,13
"140",11,54,8,6,11
"141",10,53,3,10,7
"142",9,47,4,8,10
"143",2,52,8,12,9
"144",6,47,6,9,9
"145",10,39,3,5,9
"146",2,46,5,3,5
"147",5,52,3,5,8
"148",5,45,5,6,9
"149",4,55,9,9,4
"150",3,44,7,5,7
"151",9,34,7,4,8
"152",5,47,3,3,14
"153",2,37,3,7,12
"154",814,941,125,44,75
"155",4,62,14,9,10
"156",6,42,5,3,10
"157",6,51,8,7,6
"158",4,38,7,4,13
"159",6,41,3,7,11
"160",3,35,3,5,5
"161",5,52,9,2,5
"162",5,33,3,5,10
"163",4,40,6,4,7
"164",814,941,125,44,75
"165",3,49,9,1,10
"166",814,941,125,44,75
"167",6,33,3,4,11
"168",8,59,10,6,12
"169",5,39,8,7,9
"170",6,45,4,4,10
"171",8,51,5,6,11
"172",3,41,6,5,8
"173",814,941,125,44,75
"174",2,40,11,3,7
"175",6,58,5,8,14
"176",3,42,8,6,7
"177",6,45,6,4,9
"178",7,50,5,8,7
"179",814,940,125,44,75
"180",5,40,3,5,11
"181",9,39,5,1,14
"182",5,41,8,7,3
"183",15,71,6,5,13
"184",7,59,7,6,12
"185",6,47,5,3,11
"186",814,941,125,44,75
"187",4,42,3,5,14
"188",2,43,3,9,6
"189",7,32,1,7,9
"190",9,57,11,7,15
"191",6,47,5,6,7
"192",8,59,8,9,9
"193",6,50,5,5,8
"194",10,36,5,3,10
"195",8,42,5,5,13
"196",4,32,5,6,9
"197",814,941,125,44,75
"198",814,941,125,44,75
"199",812,940,125,44,75
"200",3,37,3,4,10
"201",4,41,3,6,13
"202",4,43,2,5,13
"203",814,941,125,44,75
"204",4,35,7,3,5
"205",5,48,5,6,13
"206",814,941,125,44,75
"207",2,32,4,7,3
"208",4,34,3,3,4
"209",2,44,7,4,13
"210",5,36,7,2,8
"211",7,50,5,9,7
"212",814,941,125,44,75
"213",4,68,11,11,13
"214",5,58,9,5,9
"215",9,45,7,9,12
"216",5,31,10,6,8
"217",2,47,4,10,7
"218",814,941,125,44,75
"219",0,53,6,4,10
"220",3,40,5,3,10
"221",9,51,6,8,8
"222",4,48,4,7,8
"223",6,50,4,6,13
"224",813,940,125,44,75
"225",2,42,9,3,13
"226",814,941,125,44,75
"227",4,43,4,4,8
"228",7,54,4,3,12
"229",4,41,11,5,6
"230",814,941,125,44,75
"231",1,38,4,4,8
"232",4,56,4,6,13
"233",814,941,125,44,75
"234",4,40,1,7,13
"235",2,33,7,4,12
"236",814,941,125,44,75
"237",5,49,5,5,11
"238",3,38,1,9,6
"239",6,43,9,3,7
"240",7,54,11,7,10
"241",7,43,5,6,9
"242",814,941,125,44,75
"243",6,40,5,2,11
"244",4,45,3,6,9
"245",4,31,5,7,11
"246",4,47,8,6,9
"247",5,46,5,1,13
"248",6,44,4,7,10
"249",7,51,3,5,9
"250",6,53,7,9,20
"251",6,56,9,5,12
"252",6,64,10,6,13
"253",814,941,125,44,75
"254",814,941,125,44,75
"255",4,65,6,6,10
