"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"1",19,16,13,6,9
"2",0,0,0,0,0
"3",0,1,0,0,0
"4",0,0,0,1,0
"5",0,0,0,0,0
"6",19,17,9,2,8
"7",19,21,6,5,10
"8",19,18,7,3,8
"9",17,17,7,3,10
"10",22,19,11,2,7
"11",17,20,6,2,7
"12",17,21,12,2,8
"13",19,14,9,3,9
"14",0,0,0,0,0
"15",1,0,0,0,0
"16",0,0,0,0,0
"17",13,16,9,2,7
"18",0,0,0,0,0
"19",22,16,10,3,8
"20",17,24,4,2,10
"21",15,21,6,2,8
"22",0,0,0,0,0
"23",0,0,0,0,0
"24",0,0,0,0,0
"25",15,17,10,5,5
"26",0,0,0,0,0
"27",13,22,9,3,8
"28",0,0,0,0,0
"29",17,20,9,2,10
"30",24,17,7,5,9
"31",24,27,5,2,12
"32",0,0,0,0,0
"33",19,23,13,2,5
"34",20,23,7,3,5
"35",0,0,0,0,0
"36",24,23,5,3,6
"37",16,15,6,4,8
"38",0,0,0,0,0
"39",20,24,6,3,7
"40",0,0,0,0,0
"41",17,21,8,4,11
"42",0,0,0,0,0
"43",0,0,0,0,0
"44",0,0,0,0,0
"45",19,17,10,1,8
"46",0,0,0,0,0
"47",15,20,7,4,8
"48",19,24,7,1,10
"49",18,24,8,4,11
"50",21,17,7,4,7
"51",0,0,0,0,0
"52",19,17,10,5,9
"53",0,0,0,0,0
"54",20,18,7,3,6
"55",17,20,11,1,11
"56",14,17,9,2,12
"57",0,0,0,0,0
"58",16,24,11,2,6
"59",17,14,7,4,10
"60",17,14,6,4,10
"61",0,0,0,0,0
"62",0,0,0,0,0
"63",16,13,6,3,10
"64",0,0,0,0,0
"65",18,15,5,1,5
"66",19,17,9,5,9
"67",14,20,8,3,13
"68",11,22,9,4,8
"69",16,17,13,3,9
"70",14,24,5,5,8
"71",0,0,0,0,0
"72",13,15,12,0,8
"73",0,0,0,0,0
"74",0,1,0,0,0
"75",0,0,0,0,0
"76",0,0,0,0,0
"77",21,19,11,5,9
"78",27,21,5,2,8
"79",0,0,0,0,0
"80",19,23,9,5,4
"81",0,0,0,0,0
"82",0,0,0,0,0
"83",16,20,5,3,7
"84",0,0,0,0,0
"85",15,16,6,4,11
"86",17,25,13,1,7
"87",24,18,8,3,12
"88",0,0,0,0,0
"89",16,17,8,1,9
"90",18,19,7,2,10
"91",0,0,0,0,0
"92",0,0,0,0,0
"93",0,0,0,0,0
"94",13,19,10,3,10
"95",0,0,0,0,0
"96",18,22,8,1,9
"97",0,0,0,0,0
"98",1,0,0,0,0
"99",18,16,6,2,9
"100",0,0,0,0,0
"101",0,0,0,0,0
"102",0,0,0,0,0
"103",18,16,10,2,9
"104",0,0,0,0,0
"105",0,0,0,0,0
"106",17,19,8,2,11
"107",0,0,0,0,0
"108",17,14,8,2,10
"109",14,24,9,3,10
"110",13,16,9,3,13
"111",0,0,0,0,0
"112",20,17,7,3,5
"113",25,13,7,1,6
"114",0,0,0,0,0
"115",0,0,0,0,0
"116",15,20,8,4,9
"117",18,19,9,4,7
"118",0,0,0,0,0
"119",13,18,9,5,8
"120",0,0,0,0,0
"121",0,0,0,0,0
"122",19,24,8,1,12
"123",22,13,6,5,9
"124",0,0,0,0,0
"125",20,18,8,4,7
"126",14,16,13,5,8
"127",17,23,8,2,9
"128",16,18,5,5,8
"129",22,22,8,4,8
"130",20,18,11,6,10
"131",18,19,11,4,8
"132",0,0,0,0,0
"133",14,16,10,4,6
"134",16,19,9,2,9
"135",0,0,0,0,0
"136",0,0,0,0,0
"137",15,19,10,3,8
"138",19,19,8,4,12
"139",0,0,0,0,0
"140",0,0,0,0,0
"141",18,16,9,2,7
"142",22,20,13,3,5
"143",1,0,0,0,0
"144",18,19,8,4,9
"145",20,19,7,3,9
"146",19,17,9,4,8
"147",15,18,5,4,9
"148",0,0,0,0,0
"149",18,15,6,2,8
"150",25,19,6,3,10
"151",14,17,10,1,5
"152",0,0,0,0,0
"153",19,18,10,4,16
"154",16,17,4,3,11
"155",19,21,10,2,8
"156",12,16,8,3,11
"157",20,16,8,5,11
