"","age1.R","age2_no_comorbid.R","age2_comorbid.R","age3_no_comorbid.R","age3_comorbid.R"
"1",769,791,80,31,24
"2",747,772,80,23,17
"3",749,782,82,27,25
"4",748,780,88,23,21
"5",764,781,90,26,22
"6",0,1,0,0,0
"7",756,799,76,26,19
"8",756,757,84,30,22
"9",753,815,69,25,25
"10",0,1,0,0,0
"11",752,786,82,26,29
"12",759,766,83,27,21
"13",768,779,84,22,27
"14",746,773,81,20,21
"15",747,779,79,25,20
"16",753,775,81,26,29
"17",761,793,87,23,19
"18",0,1,0,0,0
"19",756,776,79,26,24
"20",0,1,0,0,0
"21",0,1,0,0,0
"22",752,772,86,24,22
"23",750,786,77,31,23
"24",759,760,80,26,31
"25",754,780,73,29,27
"26",0,1,0,0,0
"27",0,1,0,0,0
"28",746,771,81,24,29
"29",755,790,83,26,18
"30",767,748,71,25,27
"31",0,1,0,0,0
"32",761,798,87,22,23
"33",0,1,0,0,0
"34",767,774,82,21,21
"35",756,771,67,24,14
"36",0,1,1,0,0
"37",761,781,78,26,25
"38",759,771,79,29,23
"39",756,767,76,24,21
"40",756,787,87,21,22
"41",743,766,83,27,27
"42",758,772,82,28,11
"43",760,793,81,27,23
"44",0,1,0,0,0
"45",761,749,82,23,28
"46",763,782,80,22,18
"47",762,779,78,34,28
"48",0,3,0,0,0
"49",0,1,0,0,0
"50",752,764,91,26,19
"51",752,752,84,26,18
"52",742,776,89,23,28
"53",759,767,75,23,25
"54",0,1,0,0,0
"55",757,783,84,26,24
"56",760,786,79,32,23
"57",759,773,78,24,18
"58",761,793,80,21,27
"59",747,758,83,24,25
"60",759,774,84,22,16
"61",0,1,0,0,0
"62",767,796,93,26,21
"63",747,755,83,21,19
"64",758,788,78,27,20
"65",0,1,0,0,0
"66",743,764,84,28,18
"67",759,780,88,23,30
"68",0,1,0,0,0
"69",0,1,0,0,0
"70",0,1,0,0,0
"71",740,780,84,21,27
"72",0,0,0,0,0
"73",767,816,86,29,24
"74",747,779,85,26,23
"75",739,788,86,30,19
"76",763,773,80,29,20
"77",763,769,92,34,16
"78",756,775,80,28,21
"79",751,798,79,26,26
"80",764,756,79,25,29
"81",766,790,80,23,17
"82",0,1,0,0,0
"83",761,777,93,26,24
"84",758,784,87,34,20
"85",0,1,0,0,0
"86",763,770,82,26,20
"87",0,1,0,0,0
"88",762,775,83,23,26
"89",748,776,83,21,21
"90",772,788,82,30,19
"91",768,780,83,30,20
"92",754,788,84,24,23
"93",2,3,1,0,0
"94",761,790,93,27,27
"95",752,775,79,31,21
"96",746,782,89,23,18
"97",751,759,80,29,21
"98",757,749,75,30,26
"99",754,776,86,24,18
"100",766,764,78,30,18
"101",0,1,0,0,0
"102",759,771,92,21,18
"103",760,770,80,20,20
"104",767,801,82,21,24
"105",761,797,77,26,21
"106",761,804,73,29,26
"107",758,801,79,28,19
"108",759,759,80,26,19
"109",758,776,87,22,21
"110",752,760,77,25,30
"111",761,796,81,23,26
"112",0,1,0,0,0
"113",739,786,89,24,19
"114",1,1,0,0,0
"115",760,784,76,31,20
"116",767,769,87,30,19
"117",762,785,79,26,13
"118",746,770,80,27,23
"119",756,775,74,26,21
"120",752,791,82,25,18
"121",0,2,0,0,0
"122",763,789,87,21,21
"123",764,799,78,31,21
"124",760,781,84,27,24
"125",759,788,82,28,21
"126",0,1,0,0,0
"127",751,766,84,29,21
"128",753,767,86,25,18
"129",757,786,75,29,24
"130",759,759,83,22,18
"131",757,779,82,26,28
"132",758,781,73,27,28
"133",756,790,77,28,20
"134",759,766,87,25,22
"135",755,770,83,20,25
"136",743,763,81,24,21
"137",757,789,88,23,21
"138",733,766,84,28,22
"139",762,789,79,28,30
"140",760,796,84,27,25
"141",747,783,75,24,25
"142",1,2,1,0,0
"143",759,796,78,23,26
"144",762,776,85,23,26
"145",757,802,83,23,26
"146",761,766,88,28,22
"147",749,779,86,23,25
"148",760,792,71,27,25
"149",751,772,77,25,21
"150",764,782,83,25,19
"151",0,1,0,0,0
"152",757,765,90,20,29
"153",747,765,81,25,22
"154",0,1,0,0,0
"155",749,784,78,23,26
"156",754,753,80,27,18
"157",744,789,69,24,24
"158",1,1,0,0,0
"159",738,776,87,21,18
"160",741,763,78,29,22
"161",740,744,89,28,21
"162",760,795,78,28,22
"163",750,755,76,20,30
"164",0,1,0,0,0
"165",1,1,0,0,0
"166",751,782,80,29,18
"167",749,761,85,31,17
"168",765,790,88,33,18
"169",754,776,81,28,19
"170",1,1,0,0,0
"171",758,770,79,28,17
"172",754,781,80,31,24
"173",755,777,79,31,22
"174",752,773,84,32,23
"175",760,789,70,24,28
"176",743,763,79,23,19
"177",1,1,0,0,0
"178",749,769,76,26,23
"179",0,1,0,0,0
"180",754,772,78,23,26
"181",760,803,87,24,22
"182",770,802,86,26,23
