"","age1.E","age2_no_comorbid.E","age2_comorbid.E","age3_no_comorbid.E","age3_comorbid.E"
"1",144,117,23,10,14
"2",145,150,18,7,13
"3",143,152,22,9,17
"4",0,1,0,0,0
"5",158,158,30,10,15
"6",133,132,25,8,10
"7",0,1,0,0,0
"8",135,137,19,9,12
"9",157,145,23,6,11
"10",139,131,25,7,13
"11",156,137,20,9,10
"12",131,140,22,7,12
"13",146,147,21,6,12
"14",0,1,0,0,0
"15",0,1,0,0,0
"16",132,135,24,6,12
"17",1,1,0,0,0
"18",120,151,22,7,12
"19",141,134,21,7,12
"20",136,144,21,6,11
"21",0,1,0,0,0
"22",160,142,22,5,16
"23",143,125,24,5,14
"24",160,135,21,7,12
"25",122,143,20,8,14
"26",134,166,23,9,15
"27",131,141,29,6,19
"28",0,1,0,0,0
"29",132,145,26,11,9
"30",133,129,22,8,12
"31",133,119,18,9,9
"32",137,136,21,7,14
"33",0,1,0,0,0
"34",133,164,21,11,16
"35",144,141,22,7,14
"36",133,124,19,7,12
"37",129,135,26,8,13
"38",137,135,20,7,13
"39",135,147,20,9,11
"40",149,141,21,8,9
"41",0,1,0,0,0
"42",127,126,22,7,14
"43",138,124,21,8,14
"44",0,1,0,0,0
"45",153,161,21,10,10
"46",0,1,0,0,0
"47",134,154,22,6,12
"48",1,1,0,0,0
"49",0,1,0,0,0
"50",150,143,24,9,19
"51",135,141,20,10,9
"52",134,133,24,8,13
"53",168,138,28,8,10
"54",144,145,20,9,18
"55",152,160,24,7,14
"56",142,150,17,8,10
"57",144,122,25,8,13
"58",0,1,0,0,0
"59",136,129,29,7,12
"60",139,126,25,9,14
"61",146,130,21,7,11
"62",135,146,21,8,10
"63",129,130,18,7,10
"64",0,1,0,0,0
"65",145,130,22,10,11
"66",156,144,19,11,12
"67",139,140,21,7,9
"68",158,130,20,8,13
"69",148,132,19,9,15
"70",137,135,26,7,15
"71",129,137,19,8,9
"72",134,149,22,8,11
"73",123,130,22,8,12
"74",0,1,0,0,0
"75",0,1,0,0,0
"76",132,141,23,7,11
"77",139,127,20,9,11
"78",0,1,0,0,0
"79",134,133,21,7,13
"80",144,144,23,8,11
"81",0,1,0,0,0
"82",132,139,23,9,12
"83",0,1,0,0,0
"84",151,146,22,7,13
