"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"1",813,940,125,43,75
"2",814,940,125,44,75
"3",272,480,62,30,55
"4",811,940,124,44,75
"5",321,540,69,31,59
"6",333,547,72,32,50
"7",330,552,69,33,56
"8",272,502,71,33,47
"9",321,554,73,29,55
"10",814,941,125,44,75
"11",404,613,77,34,50
"12",814,941,125,44,75
"13",814,941,125,44,74
"14",812,941,125,44,75
"15",813,940,125,44,75
"16",813,941,124,44,75
"17",813,940,125,44,75
"18",767,897,121,44,72
"19",814,941,125,44,75
"20",814,941,125,44,75
"21",814,941,125,44,75
"22",814,941,125,44,75
"23",813,937,125,44,74
"24",814,941,125,44,75
"25",805,938,124,44,75
"26",292,487,67,29,46
"27",814,941,125,44,75
"28",814,941,125,44,75
"29",331,549,81,33,49
"30",800,930,124,44,74
"31",814,941,125,44,75
"32",814,941,125,44,75
"33",814,941,125,44,75
"34",317,484,75,35,55
"35",351,575,73,29,51
"36",813,941,125,44,75
"37",814,941,125,44,75
"38",813,941,124,44,75
"39",810,938,125,44,75
"40",814,941,125,44,75
"41",814,941,125,44,75
"42",814,941,125,44,75
"43",813,940,125,44,75
"44",807,940,123,44,75
"45",814,941,125,44,75
"46",327,568,72,27,57
"47",814,941,125,44,75
"48",812,939,125,44,75
"49",814,940,124,44,75
"50",814,941,125,44,75
"51",421,625,80,36,64
"52",814,941,125,44,75
"53",249,477,65,32,50
"54",803,934,124,44,74
"55",814,941,125,44,75
"56",293,507,65,31,52
"57",484,674,91,36,70
"58",814,941,125,44,75
"59",814,941,125,44,74
"60",811,940,124,44,75
"61",814,941,125,44,75
"62",814,941,125,43,75
"63",814,940,125,44,75
"64",787,915,119,43,74
"65",810,936,125,44,75
"66",814,941,125,44,75
"67",321,578,73,32,52
"68",814,940,125,44,75
"69",814,941,125,44,75
"70",297,543,69,26,48
"71",814,941,124,44,75
"72",814,941,125,44,75
"73",417,610,68,34,57
"74",814,941,125,44,75
"75",811,940,125,44,75
"76",403,625,78,33,61
"77",368,573,76,28,57
"78",813,941,125,44,75
"79",246,460,69,29,53
"80",811,938,125,44,75
"81",814,941,125,44,75
"82",814,941,125,44,75
"83",278,462,60,35,48
"84",808,940,125,44,75
"85",807,937,124,43,75
"86",463,648,80,33,60
"87",814,940,125,44,75
"88",814,941,125,44,75
"89",807,939,125,44,75
"90",810,940,125,44,75
"91",813,941,125,44,75
"92",814,941,125,44,75
"93",384,532,70,32,54
"94",814,940,125,44,75
"95",805,937,125,44,74
"96",268,524,70,30,52
"97",810,939,125,44,75
"98",814,940,125,44,75
"99",395,634,83,35,56
"100",814,941,125,44,75
"101",814,941,125,44,75
"102",814,941,125,44,75
"103",814,941,125,44,75
"104",814,941,125,44,75
"105",814,941,125,44,75
"106",334,581,74,30,51
"107",814,941,125,44,75
"108",813,940,125,43,75
"109",349,518,65,36,51
"110",328,514,66,30,53
"111",315,502,77,26,53
"112",814,941,125,44,75
"113",814,941,125,44,75
"114",814,941,125,44,75
"115",354,579,75,35,57
"116",287,493,72,33,49
"117",528,699,91,34,63
"118",344,562,75,26,52
"119",814,941,125,44,75
"120",811,940,125,44,75
"121",814,941,125,44,75
"122",814,941,125,44,75
"123",316,550,68,32,48
"124",383,591,78,35,58
"125",795,930,123,44,75
"126",315,507,74,30,46
"127",811,936,125,43,75
"128",813,941,125,44,75
"129",751,897,120,44,73
"130",814,941,125,44,75
"131",793,935,123,44,74
"132",812,939,125,44,75
"133",520,718,93,30,63
"134",814,941,125,44,75
"135",814,941,125,44,75
"136",263,491,54,31,38
"137",808,936,124,44,75
"138",814,941,125,44,75
"139",795,929,125,44,74
"140",813,940,125,44,75
"141",425,624,83,32,56
"142",813,941,125,44,75
"143",300,541,61,29,51
"144",814,941,125,44,75
"145",416,647,81,33,57
"146",814,941,125,44,75
"147",814,941,125,44,75
"148",383,571,83,29,53
"149",814,941,125,44,75
"150",807,935,124,44,75
"151",811,940,124,44,75
"152",250,506,70,30,46
"153",812,941,125,44,75
"154",814,941,125,44,75
"155",349,567,62,33,55
"156",277,478,68,26,52
"157",810,940,125,44,75
"158",814,941,125,44,75
"159",280,494,74,27,55
