"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"1",96,85,19,4,7
"2",83,89,11,4,10
"3",80,79,15,7,9
"4",1,1,0,0,0
"5",82,89,17,4,8
"6",75,70,10,6,6
"7",79,82,13,7,12
"8",75,77,13,6,8
"9",65,67,13,6,7
"10",79,73,16,5,9
"11",76,69,14,7,8
"12",74,82,13,6,11
"13",0,1,0,0,1
"14",0,1,0,0,0
"15",0,1,0,0,0
"16",0,1,0,0,0
"17",0,1,0,0,0
"18",73,83,14,6,10
"19",75,70,12,4,6
"20",1,1,0,0,0
"21",69,84,17,6,7
"22",0,1,0,0,0
"23",72,71,13,5,6
"24",74,78,17,5,8
"25",0,1,0,0,0
"26",0,1,0,0,0
"27",78,78,13,7,9
"28",0,1,0,0,0
"29",85,80,12,5,6
"30",90,78,11,6,8
"31",66,69,17,7,8
"32",83,89,15,6,6
"33",81,83,12,3,10
"34",0,1,0,0,0
"35",65,77,15,5,9
"36",0,1,0,0,0
"37",1,1,0,0,0
"38",78,70,9,6,6
"39",75,70,11,5,9
"40",1,1,0,0,0
"41",80,74,11,6,10
"42",0,1,0,0,0
"43",79,85,15,3,8
"44",73,77,14,5,8
"45",0,1,0,0,0
"46",84,89,17,5,9
"47",79,92,13,8,7
"48",0,1,0,0,0
"49",76,95,16,7,10
"50",76,83,13,4,8
"51",69,74,12,4,9
"52",0,1,0,0,0
"53",83,87,14,5,10
"54",74,86,19,6,8
"55",0,1,0,0,0
"56",89,84,16,5,8
"57",69,84,14,7,11
"58",92,90,13,6,9
"59",86,79,13,5,9
"60",74,91,14,6,8
"61",0,2,0,0,0
"62",78,72,12,5,6
"63",0,1,0,0,0
"64",77,76,11,6,6
"65",75,76,14,7,10
"66",63,79,13,6,9
"67",77,71,18,5,7
"68",78,73,13,6,8
"69",76,72,12,5,11
"70",84,82,13,6,5
"71",0,1,0,0,0
"72",75,77,17,5,11
"73",76,79,14,5,8
"74",76,66,16,5,7
"75",78,91,15,6,7
"76",0,1,0,0,0
"77",81,76,14,5,9
"78",90,88,12,4,9
"79",73,82,13,6,8
"80",80,73,14,6,8
"81",0,1,0,0,0
"82",73,68,12,4,11
"83",81,91,17,6,5
"84",68,73,14,5,6
"85",0,1,0,0,0
"86",87,68,11,7,6
"87",81,97,15,4,8
"88",70,78,15,4,8
"89",80,72,14,4,13
"90",85,77,10,4,7
"91",0,1,0,0,0
"92",0,1,0,0,0
"93",84,74,14,4,8
"94",0,1,0,0,0
"95",0,1,0,0,0
"96",86,81,16,6,8
"97",77,86,16,8,7
"98",74,88,12,5,9
"99",72,87,14,7,12
"100",80,74,14,4,7
"101",0,1,0,0,0
"102",64,76,14,3,7
"103",74,72,14,5,7
"104",0,1,0,0,0
"105",79,72,15,5,7
"106",80,67,12,8,7
"107",75,76,16,5,8
"108",94,83,13,5,8
"109",81,77,15,6,8
"110",82,68,14,8,10
"111",77,84,13,7,8
"112",72,80,11,7,8
"113",0,1,0,0,0
"114",87,77,15,5,8
"115",75,73,20,5,5
"116",65,73,10,7,9
"117",1,1,0,0,0
"118",93,74,15,6,8
"119",77,76,17,5,7
"120",94,85,11,6,9
"121",0,1,0,0,0
"122",89,74,12,5,8
"123",0,1,0,0,0
"124",72,71,11,6,7
"125",76,72,16,6,9
"126",69,78,13,5,7
"127",85,80,9,5,7
"128",92,94,13,6,10
"129",75,102,12,7,6
"130",79,74,15,5,8
"131",0,1,0,0,0
"132",77,75,11,7,8
"133",71,78,15,4,9
"134",75,78,17,5,6
"135",88,85,15,7,8
"136",0,1,0,0,0
"137",84,83,16,9,8
"138",76,75,14,6,9
"139",0,1,0,0,0
"140",70,69,12,4,8
"141",78,89,13,4,8
"142",0,1,0,0,0
"143",88,72,12,6,11
"144",80,78,13,5,10
"145",76,78,16,5,6
"146",79,96,15,5,9
"147",70,67,11,6,7
"148",79,71,12,7,7
"149",75,66,15,5,9
"150",85,71,16,5,8
"151",70,76,10,3,8
"152",0,1,0,0,0
"153",79,76,13,5,8
"154",63,69,11,5,8
"155",81,68,11,6,8
"156",88,89,16,7,10
"157",80,82,12,5,9
"158",77,76,12,6,9
"159",0,1,0,0,0
"160",0,1,0,0,0
"161",89,69,14,7,7
"162",81,79,14,6,8
"163",1,1,0,0,0
"164",74,71,15,6,7
"165",82,89,16,6,10
"166",81,85,12,5,9
"167",1,1,0,0,0
"168",83,85,13,4,7
"169",77,88,12,6,7
"170",0,1,0,0,0
"171",59,66,10,7,5
"172",79,73,14,6,8
"173",1,2,1,0,0
"174",80,75,17,7,11
"175",79,84,15,3,9
"176",0,1,0,0,0
"177",91,85,15,5,7
"178",69,81,15,6,6
"179",89,74,15,5,8
"180",77,86,12,5,10
"181",92,84,14,6,6
"182",1,1,0,0,0
"183",75,87,15,5,8
"184",77,76,12,7,10
"185",78,71,15,6,7
"186",76,74,20,5,8
"187",85,84,14,5,7
"188",71,75,16,5,6
"189",87,76,15,6,8
"190",69,80,15,5,6
"191",85,71,13,5,8
"192",1,1,0,0,1
"193",69,69,15,6,8
"194",85,75,11,5,8
"195",80,66,15,6,7
"196",0,1,0,0,0
"197",78,71,14,5,9
"198",76,85,11,5,8
"199",72,69,11,5,8
"200",0,1,0,0,0
"201",102,93,13,5,10
"202",87,77,11,6,10
"203",72,72,19,6,8
"204",102,75,19,6,8
"205",0,1,0,0,0
"206",77,77,13,6,7
"207",0,2,0,0,0
"208",78,72,14,5,7
"209",0,1,0,0,0
"210",91,73,15,5,9
"211",83,76,15,5,8
"212",85,84,14,7,11
"213",65,77,14,5,10
"214",74,73,13,5,7
"215",79,72,16,4,8
"216",0,1,0,0,0
"217",83,76,12,6,6
"218",77,85,17,6,10
"219",78,92,16,6,10
"220",83,76,10,6,6
"221",0,1,0,0,0
"222",2,1,0,0,0
"223",72,89,15,5,7
"224",84,95,15,5,8
"225",79,83,12,6,10
"226",1,1,0,0,0
"227",87,80,12,6,7
"228",81,75,16,4,9
"229",66,73,12,6,9
"230",75,64,11,5,6
"231",0,1,0,0,0
"232",84,85,11,4,8
"233",79,76,13,6,9
"234",73,78,13,5,9
"235",87,100,14,7,11
"236",73,79,12,5,7
"237",77,79,15,4,6
