"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"1",1,2,0,1,0
"2",0,2,0,0,0
"3",36,33,6,2,3
"4",2,2,1,0,0
"5",38,30,5,2,3
"6",44,36,5,3,2
"7",31,28,5,2,3
"8",58,46,6,2,3
"9",32,33,5,2,3
"10",0,1,0,0,0
"11",20,21,5,2,2
"12",0,1,0,0,0
"13",0,1,0,0,1
"14",1,1,0,0,0
"15",1,1,0,0,0
"16",1,1,1,0,0
"17",1,2,0,0,0
"18",5,5,1,0,1
"19",0,1,0,0,0
"20",0,1,0,0,0
"21",0,0,0,0,0
"22",0,1,0,0,0
"23",1,2,0,0,1
"24",0,1,0,0,0
"25",3,1,1,0,0
"26",40,39,5,2,2
"27",0,1,0,0,0
"28",0,1,0,0,0
"29",37,26,5,2,2
"30",4,2,1,0,1
"31",0,1,0,0,0
"32",0,1,0,0,0
"33",0,1,0,0,0
"34",32,35,7,3,3
"35",23,17,4,3,3
"36",1,1,0,0,0
"37",0,1,0,0,0
"38",1,0,0,0,0
"39",2,3,0,0,0
"40",0,0,0,0,0
"41",0,1,0,0,0
"42",0,1,0,0,0
"43",1,1,0,0,0
"44",2,1,2,0,0
"45",0,1,0,0,0
"46",33,29,4,2,2
"47",0,1,0,0,0
"48",1,3,0,0,0
"49",0,1,1,0,0
"50",0,1,0,0,0
"51",27,22,5,2,3
"52",0,1,0,0,0
"53",44,41,7,3,3
"54",4,2,1,0,1
"55",0,1,0,0,0
"56",34,37,5,2,3
"57",18,18,4,1,1
"58",0,1,0,0,0
"59",0,1,0,0,1
"60",2,1,1,0,0
"61",0,1,0,0,0
"62",0,1,0,1,0
"63",0,1,0,0,0
"64",5,6,1,0,1
"65",1,3,0,0,0
"66",0,1,0,0,0
"67",35,31,5,4,3
"68",0,1,0,0,0
"69",0,1,0,0,0
"70",34,27,6,2,3
"71",0,1,1,0,0
"72",0,1,0,0,0
"73",33,25,6,3,3
"74",0,1,0,0,0
"75",1,1,0,0,0
"76",29,24,2,1,2
"77",31,32,5,2,2
"78",1,1,0,0,0
"79",64,42,5,3,2
"80",1,1,0,0,0
"81",0,1,0,0,0
"82",0,0,0,0,0
"83",56,47,5,2,5
"84",2,2,0,0,0
"85",2,2,1,1,0
"86",22,20,4,2,2
"87",0,1,0,0,0
"88",0,1,0,0,0
"89",3,1,0,0,0
"90",2,1,0,0,0
"91",1,1,0,0,0
"92",0,1,0,0,0
"93",26,25,6,2,4
"94",0,1,0,0,0
"95",3,2,0,0,1
"96",35,31,6,3,3
"97",3,1,0,0,0
"98",0,1,0,0,0
"99",24,16,4,1,2
"100",0,1,0,0,0
"101",0,1,0,0,0
"102",0,1,0,0,0
"103",0,1,0,0,0
"104",0,0,0,0,0
"105",0,0,0,0,0
"106",23,24,4,2,2
"107",0,1,0,0,0
"108",1,2,0,0,0
"109",30,28,5,1,3
"110",31,33,7,2,3
"111",39,35,5,2,3
"112",0,1,0,0,0
"113",0,0,0,0,0
"114",0,1,0,0,0
"115",41,43,6,1,5
"116",41,36,8,1,2
"117",14,13,6,1,1
"118",41,35,7,3,4
"119",0,1,0,0,0
"120",3,1,0,0,0
"121",0,1,0,0,0
"122",0,1,0,0,0
"123",43,36,6,2,4
"124",25,22,5,2,3
"125",7,4,1,0,0
"126",40,29,5,2,2
"127",3,4,0,0,0
"128",1,1,0,0,0
"129",6,6,1,0,1
"130",0,0,0,0,0
"131",5,1,1,0,1
"132",1,1,0,0,0
"133",17,15,3,2,2
"134",0,1,0,0,0
"135",0,1,0,0,0
"136",39,33,6,2,4
"137",2,3,1,0,0
"138",0,1,0,0,0
"139",5,4,0,0,1
"140",0,1,0,0,0
"141",16,14,3,2,2
"142",1,1,0,0,0
"143",35,30,5,2,3
"144",0,0,0,0,0
"145",28,17,5,1,3
"146",0,1,0,0,0
"147",0,1,0,0,0
"148",25,27,4,2,3
"149",0,1,0,0,0
"150",2,3,0,0,0
"151",1,1,1,0,0
"152",52,39,7,3,2
"153",2,0,0,0,0
"154",0,1,0,0,0
"155",29,22,6,1,2
"156",50,31,5,2,4
"157",1,1,0,0,0
"158",0,1,0,0,0
"159",46,30,4,4,3
"160",1,1,0,0,0
"161",0,1,0,0,0
"162",0,1,0,0,0
"163",36,27,5,2,3
"164",2,2,0,1,0
"165",0,2,0,0,0
"166",2,1,0,0,0
"167",0,1,0,0,0
"168",29,25,3,2,2
"169",2,4,1,0,0
"170",0,1,0,0,0
"171",0,1,0,0,0
"172",38,32,6,3,3
