"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"1",216,207,29,8,18
"2",0,1,0,0,0
"3",0,1,0,0,0
"4",0,1,0,0,0
"5",0,0,0,0,0
"6",0,1,0,0,0
"7",2,1,0,0,0
"8",199,229,36,10,18
"9",203,223,35,13,20
"10",225,245,36,16,17
"11",187,220,30,14,15
"12",214,234,31,13,13
"13",206,218,31,11,16
"14",226,234,39,10,18
"15",221,219,34,12,19
"16",224,215,30,8,19
"17",0,1,0,0,0
"18",0,1,0,0,0
"19",0,1,0,0,0
"20",218,224,28,9,17
"21",206,214,28,10,15
"22",0,1,1,0,0
"23",214,209,29,9,21
"24",257,234,35,15,12
"25",237,231,32,13,21
"26",217,211,35,12,17
"27",222,226,34,17,18
"28",215,238,24,13,14
"29",222,202,37,12,23
"30",216,215,41,13,20
"31",0,1,0,0,0
"32",221,218,33,15,18
"33",0,1,0,0,0
"34",217,216,24,11,17
"35",0,1,0,0,0
"36",1,1,0,0,0
"37",0,1,0,0,0
"38",0,1,0,0,0
"39",227,220,30,12,16
"40",0,0,0,0,0
"41",0,1,0,0,0
"42",224,206,29,11,16
"43",1,1,1,0,0
"44",205,222,32,14,20
"45",0,0,0,0,0
"46",0,1,0,0,0
"47",0,1,0,0,0
"48",222,229,32,14,13
"49",217,214,32,8,15
"50",216,212,34,8,17
"51",1,0,0,0,0
"52",0,1,0,0,0
"53",213,231,32,8,14
"54",208,215,37,11,15
"55",1,3,0,0,0
"56",1,2,0,0,0
"57",212,224,34,15,22
"58",210,216,26,12,17
"59",226,233,26,16,16
"60",210,227,26,10,15
"61",210,210,30,9,16
"62",0,1,0,0,0
"63",201,231,27,8,18
"64",208,219,33,7,19
"65",235,214,26,7,19
"66",0,1,0,0,0
"67",243,260,34,13,16
"68",194,205,31,11,18
"69",206,219,32,10,16
"70",220,234,40,11,12
"71",221,219,31,8,16
"72",0,1,0,0,0
"73",0,1,0,0,0
"74",199,221,27,9,16
"75",195,212,28,11,17
"76",0,1,0,0,0
"77",0,1,0,0,0
"78",215,235,37,11,18
"79",0,1,0,0,0
"80",0,1,0,0,0
"81",1,2,0,0,0
"82",233,223,37,10,15
"83",0,1,0,0,0
"84",227,236,36,11,18
"85",0,1,0,0,0
"86",213,224,31,11,12
"87",196,228,38,7,20
"88",3,1,0,0,0
"89",209,221,28,15,20
"90",210,201,27,16,24
"91",0,1,0,0,0
"92",214,223,27,10,12
"93",3,1,0,0,1
"94",0,1,0,0,0
"95",1,1,0,0,0
"96",0,1,0,0,0
"97",210,214,30,10,20
"98",214,213,35,9,18
"99",228,253,38,12,24
"100",0,0,0,0,0
"101",215,229,30,12,23
"102",206,223,33,10,20
"103",0,1,0,0,0
"104",0,1,0,0,0
"105",201,222,36,10,18
"106",222,199,37,11,16
"107",250,216,36,12,20
"108",213,203,41,12,20
"109",2,1,0,0,0
"110",0,1,0,0,0
"111",195,210,31,11,21
"112",195,202,33,10,13
"113",1,1,0,0,0
"114",0,1,0,0,0
"115",231,228,28,10,21
"116",0,1,0,0,0
"117",0,1,0,0,0
"118",0,0,0,0,0
"119",193,220,33,14,15
"120",198,244,30,13,19
"121",244,229,31,8,20
"122",0,1,0,0,0
"123",5,3,0,0,0
"124",234,211,37,15,15
"125",229,230,35,14,16
"126",230,221,33,9,15
"127",236,195,33,9,19
"128",0,1,1,0,0
"129",0,1,0,0,0
"130",1,1,0,0,0
"131",0,1,0,0,0
"132",0,1,0,0,0
"133",225,234,40,11,17
"134",2,1,0,0,0
"135",245,242,38,9,15
"136",218,215,29,12,17
"137",196,208,26,10,15
"138",0,1,1,1,0
"139",200,220,33,10,20
"140",0,1,0,0,0
"141",0,1,0,0,0
"142",206,200,31,10,21
"143",217,228,28,11,18
"144",220,201,29,11,19
"145",0,1,0,0,0
"146",0,1,0,0,0
"147",211,226,35,10,15
"148",202,209,36,10,16
"149",201,204,34,12,16
"150",208,214,37,10,23
"151",211,220,33,9,17
"152",205,211,30,13,20
"153",0,1,0,0,0
"154",0,1,0,0,0
"155",230,228,35,11,14
"156",195,214,34,12,16
"157",0,1,0,0,0
"158",0,1,0,0,0
"159",231,223,34,10,17
"160",227,207,29,11,18
"161",213,206,28,10,15
"162",0,1,0,0,0
"163",206,214,26,12,20
"164",188,224,33,12,17
"165",226,248,34,12,22
"166",199,225,27,15,19
"167",207,233,33,13,24
"168",213,210,38,7,20
"169",0,1,0,0,0
"170",1,1,0,0,0
"171",236,224,31,12,21
"172",0,1,0,0,0
"173",0,1,0,0,0
"174",210,213,31,12,18
"175",0,1,0,0,0
"176",0,1,0,0,0
"177",0,1,0,0,0
"178",0,1,0,0,0
"179",225,218,33,12,17
"180",214,212,34,11,24
