"","age1.D","age2_no_comorbid.D","age2_comorbid.D","age3_no_comorbid.D","age3_comorbid.D"
"1",25,59,32,7,40
"2",21,41,28,5,36
"3",19,62,30,9,37
"4",33,43,38,11,40
"5",26,56,33,6,41
"6",30,47,27,5,41
"7",27,46,35,5,36
"8",34,52,30,12,28
"9",31,46,32,12,39
"10",21,57,33,6,37
"11",29,36,32,8,40
"12",0,0,0,0,0
"13",32,50,30,13,35
"14",0,0,0,0,0
"15",31,39,31,6,30
"16",0,0,0,0,0
"17",33,48,32,9,37
"18",30,47,26,10,41
"19",34,46,31,4,40
"20",32,46,27,6,35
"21",36,69,31,7,43
"22",26,50,29,5,35
"23",25,48,28,8,41
"24",23,43,30,10,33
"25",34,48,22,7,49
"26",18,46,31,6,33
"27",29,49,16,5,42
"28",26,32,31,6,38
"29",0,0,0,0,0
"30",0,0,0,0,0
"31",0,0,0,0,0
"32",39,47,34,12,37
"33",31,50,31,11,34
"34",27,49,34,8,35
"35",25,49,29,4,34
"36",0,0,0,0,0
"37",34,44,32,4,36
"38",41,49,36,7,37
"39",33,43,26,4,41
"40",0,0,0,0,0
"41",0,0,0,0,0
"42",28,37,28,2,33
"43",43,41,32,7,32
"44",0,0,0,0,0
"45",22,34,34,5,39
"46",0,0,0,0,0
"47",45,49,27,8,35
"48",33,46,22,10,43
"49",24,57,34,7,36
"50",34,50,21,6,34
"51",29,44,30,4,38
"52",27,51,26,10,33
"53",29,56,36,6,36
"54",0,0,0,0,0
"55",0,0,0,0,0
"56",26,48,26,4,40
"57",33,57,32,12,31
"58",32,59,26,7,41
"59",26,48,24,7,40
"60",0,0,0,0,0
"61",28,42,29,11,31
"62",28,47,23,12,40
"63",31,52,42,4,37
"64",34,57,33,4,46
"65",26,46,27,7,42
"66",34,55,27,12,40
"67",31,47,29,6,37
"68",34,53,23,11,35
"69",0,0,0,0,0
"70",0,0,0,0,0
"71",27,47,26,12,35
"72",35,48,35,10,37
"73",0,0,0,0,0
"74",0,0,0,0,0
"75",20,41,32,11,43
"76",0,0,0,0,0
"77",29,50,27,4,31
"78",25,39,30,9,42
"79",28,40,20,6,39
"80",27,50,26,8,39
"81",27,54,27,8,40
"82",23,48,34,4,41
"83",29,52,31,6,38
"84",25,38,35,9,39
"85",32,53,24,9,34
"86",24,42,31,6,44
"87",0,0,0,0,0
"88",29,45,20,9,33
"89",19,57,28,12,35
"90",27,54,27,7,35
"91",33,53,31,9,45
"92",30,43,35,7,43
"93",0,0,0,0,0
"94",26,39,28,15,40
"95",21,31,27,4,26
"96",0,0,0,0,0
"97",29,41,36,9,43
"98",34,45,28,5,28
"99",0,0,0,0,0
"100",28,46,23,7,31
"101",36,45,35,10,36
"102",21,39,29,6,39
"103",26,42,27,9,36
"104",23,49,24,10,38
"105",32,42,28,10,39
"106",34,47,34,9,39
"107",31,39,27,9,32
"108",0,1,0,0,0
"109",31,42,23,8,35
"110",31,47,36,13,31
"111",29,51,33,6,39
"112",33,53,34,5,40
"113",24,49,33,9,34
"114",0,0,0,0,0
"115",36,38,28,6,32
"116",31,46,31,5,34
"117",0,0,0,0,0
"118",0,0,0,0,0
"119",33,43,33,8,36
"120",29,48,24,11,34
"121",32,46,28,11,41
"122",0,0,0,0,0
"123",21,47,29,9,33
"124",0,0,0,0,0
"125",26,58,32,8,35
"126",41,40,32,11,32
"127",30,46,15,1,32
"128",32,44,25,10,36
"129",22,44,35,4,37
"130",0,0,0,0,0
"131",25,53,36,9,29
"132",34,46,32,7,40
"133",34,38,35,4,34
"134",0,0,0,0,0
"135",38,42,25,14,40
"136",30,43,36,7,32
"137",0,0,0,0,0
"138",0,0,0,0,0
"139",27,39,34,9,34
"140",36,41,24,6,34
"141",29,42,31,7,38
"142",0,0,0,0,0
"143",32,42,25,7,34
"144",28,40,34,11,43
"145",41,43,37,6,31
"146",28,44,27,9,36
"147",40,55,34,16,38
"148",28,29,22,7,36
"149",33,36,29,11,41
"150",28,56,28,5,26
"151",34,45,31,6,40
"152",27,43,31,11,40
"153",31,44,26,7,39
"154",36,49,29,14,35
"155",32,49,29,11,41
"156",0,0,0,0,0
"157",0,0,0,0,0
"158",30,39,32,10,35
"159",32,50,27,9,31
"160",0,0,0,0,0
"161",33,56,28,11,36
"162",26,39,25,8,41
"163",25,68,37,7,34
"164",0,0,0,0,0
"165",30,40,34,4,41
"166",26,41,29,7,38
"167",29,49,28,6,39
"168",36,44,29,7,30
"169",40,51,33,6,31
"170",32,43,33,7,31
"171",21,49,28,8,35
"172",27,49,40,8,42
"173",29,55,30,7,40
"174",30,49,31,9,42
"175",31,38,25,7,35
"176",25,43,26,6,36
"177",0,0,0,0,0
"178",23,49,28,7,33
"179",28,36,30,8,34
"180",26,47,27,6,42
"181",34,39,36,5,36
"182",31,52,16,9,33
"183",0,0,0,0,0
"184",21,45,31,4,36
"185",27,54,33,6,33
"186",31,54,20,9,34
"187",0,0,0,0,0
"188",26,54,33,8,30
"189",18,53,43,8,40
"190",36,38,26,7,34
"191",41,52,22,9,36
"192",28,49,32,9,36
"193",0,0,0,0,0
"194",25,40,27,8,42
"195",33,58,33,4,42
"196",33,46,30,10,39
"197",35,43,23,6,25
"198",24,48,24,6,43
"199",34,49,21,5,36
"200",33,45,35,9,32
"201",34,42,34,9,40
"202",25,47,29,5,33
"203",35,49,35,9,41
"204",25,37,31,5,36
"205",32,46,32,11,35
"206",21,45,27,4,43
"207",25,37,23,6,38
"208",0,0,0,0,0
"209",32,46,21,5,36
"210",28,49,33,9,39
"211",0,0,0,0,0
"212",0,0,0,0,1
"213",0,0,0,0,0
"214",31,47,33,5,30
"215",28,45,33,9,40
"216",31,53,26,9,37
"217",32,43,33,3,31
"218",35,44,39,6,35
"219",33,40,24,7,41
"220",35,50,35,11,34
"221",30,45,32,5,37
"222",28,44,19,3,35
"223",0,0,0,0,0
"224",27,46,31,10,35
"225",25,46,23,10,41
"226",0,0,0,0,0
"227",35,42,25,12,38
"228",46,45,22,10,42
"229",36,47,29,3,35
"230",34,53,28,6,37
"231",37,49,34,10,33
"232",23,46,36,7,35
"233",23,50,24,6,38
"234",30,63,31,7,35
"235",22,42,37,4,39
"236",30,47,31,8,39
"237",25,53,31,3,43
"238",0,0,0,0,0
"239",0,0,0,0,0
"240",27,44,26,11,29
"241",0,0,0,0,0
"242",27,38,32,3,38
"243",33,39,25,8,30
"244",33,32,31,6,35
"245",21,40,31,4,40
"246",0,0,0,0,0
"247",27,40,30,4,39
"248",32,40,30,8,34
"249",0,0,0,0,0
"250",26,58,27,5,33
"251",38,45,36,7,39
"252",16,48,33,8,37
"253",39,59,25,7,37
"254",28,41,32,4,44
"255",22,47,29,6,35
"256",32,40,20,6,36
"257",31,50,23,5,35
"258",40,44,26,7,35
"259",27,44,32,6,36
"260",30,54,30,9,31
"261",22,49,37,7,37
"262",0,0,0,0,0
"263",0,0,0,0,0
"264",22,39,33,2,32
"265",31,34,23,8,39
"266",0,0,0,0,0
"267",0,0,0,0,0
"268",0,0,0,0,0
"269",27,52,32,5,37
"270",42,47,27,7,28
"271",25,44,33,12,37
"272",43,65,28,10,36
"273",30,48,33,5,35
"274",31,44,23,10,45
"275",26,46,29,3,42
"276",25,55,26,8,37
"277",37,37,34,4,30
"278",33,46,39,10,30
"279",44,51,24,3,37
"280",34,49,25,3,41
"281",0,0,0,0,0
"282",32,43,27,8,39
"283",25,45,28,13,35
"284",0,0,0,0,0
"285",37,46,27,7,43
"286",24,48,35,13,46
"287",29,43,28,11,41
"288",25,41,28,8,31
"289",32,53,20,13,41
"290",26,50,26,6,37
"291",0,0,0,0,0
"292",34,47,22,8,33
"293",0,0,0,0,0
"294",31,51,38,10,35
"295",1,1,0,0,0
"296",0,0,0,0,0
"297",1,0,0,0,0
"298",0,0,0,0,0
"299",32,40,30,9,42
"300",0,0,0,0,0
"301",27,44,31,5,36
"302",0,0,0,0,0
"303",30,44,36,3,47
"304",36,55,30,11,44
"305",30,48,27,6,43
"306",29,61,35,5,40
"307",26,42,20,8,33
"308",31,47,37,8,36
"309",0,0,0,0,0
"310",29,43,33,6,30
"311",0,0,0,0,0
"312",0,0,0,0,0
"313",30,39,34,10,49
"314",31,51,26,8,37
"315",0,0,0,0,0
"316",0,0,0,0,0
"317",32,44,33,11,41
"318",30,40,29,2,39
"319",27,45,36,8,45
"320",26,51,32,5,35
"321",29,52,31,12,39
"322",24,44,33,7,35
"323",27,43,30,8,45
"324",35,49,23,6,46
"325",34,45,28,6,33
"326",0,0,0,0,0
"327",26,47,29,6,41
"328",36,46,30,6,43
"329",36,43,26,7,40
"330",29,48,30,9,36
"331",33,48,29,8,39
"332",36,47,31,6,31
"333",27,48,39,7,41
"334",0,0,0,0,0
"335",31,41,30,7,37
"336",20,46,31,5,39
"337",28,47,27,7,32
"338",23,48,33,5,36
"339",28,54,31,3,31
