"","age1.A","age2_no_comorbid.A","age2_comorbid.A","age3_no_comorbid.A","age3_comorbid.A"
"1",3.93120393120393,2.9723991507431,6.38977635782748,4.54545454545455,6.70241286863271
"2",0,0,0,0,0
"3",3.93120393120393,3.60934182590234,6.38977635782748,2.27272727272727,2.68096514745308
"4",4.54545454545455,4.24628450106157,5.59105431309904,4.54545454545455,2.68096514745308
"5",0,0,0,0,0
"6",0,0,0,0,0
"7",0,0,0,0,0
"8",0,0,0,0,0
"9",0,0,0,0,0
"10",0,0,0,0,0
"11",0,0.106157112526539,0,0,0
"12",0,0,0,0,0
"13",0,0.106157112526539,0,0,0
"14",0,0,0,0,0
"15",0,0,0,0,0
"16",3.93120393120393,4.14012738853503,4.79233226837061,4.54545454545455,5.36193029490617
"17",0,0,0,0,0
"18",4.05405405405405,3.71549893842887,4.79233226837061,4.54545454545455,6.70241286863271
"19",3.80835380835381,4.03397027600849,5.59105431309904,4.54545454545455,4.02144772117963
"20",3.93120393120393,4.35244161358811,6.38977635782748,4.54545454545455,4.02144772117963
"21",0,0,0,0,0
"22",4.54545454545455,3.5031847133758,2.3961661341853,4.54545454545455,5.36193029490617
"23",3.80835380835381,3.82165605095541,5.59105431309904,4.54545454545455,4.02144772117963
"24",4.05405405405405,2.86624203821656,5.59105431309904,4.54545454545455,1.34048257372654
"25",0,0,0,0,0
"26",3.68550368550369,3.82165605095541,4.79233226837061,6.81818181818182,2.68096514745308
"27",3.31695331695332,3.71549893842887,4.79233226837061,4.54545454545455,5.36193029490617
"28",3.80835380835381,3.92781316348195,6.38977635782748,6.81818181818182,4.02144772117963
"29",3.93120393120393,3.39702760084926,4.79233226837061,4.54545454545455,5.36193029490617
"30",5.65110565110565,3.5031847133758,3.99361022364217,6.81818181818182,8.04289544235925
"31",4.42260442260442,3.5031847133758,7.18849840255591,4.54545454545455,4.02144772117963
"32",4.2997542997543,3.39702760084926,4.79233226837061,4.54545454545455,4.02144772117963
"33",3.68550368550369,3.5031847133758,3.99361022364217,9.09090909090909,1.34048257372654
"34",0,0,0,0,0
"35",4.54545454545455,4.67091295116773,3.19488817891374,9.09090909090909,5.36193029490617
"36",0,0,0,0,0
"37",3.68550368550369,3.5031847133758,3.19488817891374,4.54545454545455,5.36193029490617
"38",0,0,0,0,0
"39",5.28255528255528,3.07855626326964,4.79233226837061,2.27272727272727,5.36193029490617
"40",0.122850122850123,0,0,0,0
"41",0,0,0,0,0
"42",4.66830466830467,3.71549893842887,7.18849840255591,6.81818181818182,4.02144772117963
"43",5.03685503685504,4.03397027600849,3.99361022364217,4.54545454545455,9.38337801608579
"44",0,0,0,0,0
"45",3.43980343980344,4.98938428874735,3.19488817891374,4.54545454545455,2.68096514745308
"46",3.80835380835381,3.60934182590234,3.99361022364217,6.81818181818182,5.36193029490617
"47",4.05405405405405,2.9723991507431,3.19488817891374,4.54545454545455,6.70241286863271
"48",0,0,0,0,0
"49",4.2997542997543,4.14012738853503,6.38977635782748,6.81818181818182,4.02144772117963
"50",0,0,0,0,0
"51",0.122850122850123,0.106157112526539,0,0,0
"52",0,0,0,0,0
"53",0,0,0,0,0
"54",0,0,0,0,0
"55",0,0,0,0,0
"56",0,0,0,0,0
"57",0,0,0,0,0
"58",0,0,0,0,0
"59",4.42260442260442,3.5031847133758,4.79233226837061,2.27272727272727,6.70241286863271
"60",0,0.106157112526539,0,0,0
"61",4.54545454545455,4.24628450106157,7.98722044728434,4.54545454545455,2.68096514745308
"62",3.56265356265356,3.82165605095541,7.18849840255591,4.54545454545455,5.36193029490617
"63",4.42260442260442,3.39702760084926,3.99361022364217,4.54545454545455,4.02144772117963
"64",4.42260442260442,4.24628450106157,4.79233226837061,6.81818181818182,6.70241286863271
"65",0,0,0,0,0
"66",0,0.106157112526539,0,0,0
"67",3.07125307125307,3.5031847133758,6.38977635782748,4.54545454545455,5.36193029490617
"68",0,0,0,0,0
"69",3.80835380835381,3.92781316348195,7.98722044728434,4.54545454545455,5.36193029490617
"70",5.40540540540541,3.60934182590234,6.38977635782748,6.81818181818182,4.02144772117963
"71",0,0.106157112526539,0,0,0
"72",0,0,0,0,0
"73",0,0,0,0,0
"74",0,0.106157112526539,0,0,0
"75",3.07125307125307,3.07855626326964,5.59105431309904,4.54545454545455,5.36193029490617
"76",0,0,0,0,0
"77",3.56265356265356,3.5031847133758,3.99361022364217,4.54545454545455,5.36193029490617
"78",0,0,0,0,0
"79",0,0,0,0,0
"80",5.03685503685504,3.71549893842887,5.59105431309904,4.54545454545455,5.36193029490617
"81",0,0,0,0,0
"82",4.42260442260442,3.92781316348195,5.59105431309904,6.81818181818182,2.68096514745308
"83",0,0,0,0,0
"84",4.2997542997543,3.29087048832272,4.79233226837061,4.54545454545455,5.36193029490617
"85",0,0,0,0,0
"86",0,0.106157112526539,0,0,0
"87",4.17690417690418,2.65392781316348,2.3961661341853,6.81818181818182,5.36193029490617
"88",0,0,0,0,0
"89",4.05405405405405,4.67091295116773,4.79233226837061,6.81818181818182,4.02144772117963
"90",4.79115479115479,3.39702760084926,4.79233226837061,2.27272727272727,5.36193029490617
"91",4.17690417690418,4.45859872611465,3.19488817891374,13.6363636363636,5.36193029490617
"92",4.66830466830467,3.18471337579618,2.3961661341853,6.81818181818182,2.68096514745308
"93",0,0,0,0,0
"94",0,0,0,0,0
"95",4.2997542997543,4.14012738853503,7.98722044728434,2.27272727272727,5.36193029490617
"96",3.68550368550369,2.65392781316348,3.19488817891374,6.81818181818182,6.70241286863271
"97",4.91400491400491,3.5031847133758,4.79233226837061,4.54545454545455,4.02144772117963
"98",4.91400491400491,4.67091295116773,4.79233226837061,6.81818181818182,6.70241286863271
"99",4.2997542997543,3.92781316348195,4.79233226837061,6.81818181818182,2.68096514745308
"100",3.43980343980344,3.39702760084926,4.79233226837061,4.54545454545455,4.02144772117963
"101",0,0,0,0,0
"102",0,0,0,0,0
"103",4.42260442260442,2.9723991507431,3.99361022364217,9.09090909090909,5.36193029490617
"104",4.54545454545455,4.24628450106157,5.59105431309904,9.09090909090909,5.36193029490617
"105",5.8968058968059,4.77707006369427,3.99361022364217,4.54545454545455,5.36193029490617
"106",4.05405405405405,2.76008492569002,5.59105431309904,6.81818181818182,4.02144772117963
"107",4.79115479115479,3.71549893842887,3.99361022364217,11.3636363636364,2.68096514745308
"108",0,0,0,0,0
"109",0,0.106157112526539,0,0,0
"110",0,0,0,0,0
"111",0,0,0,0,0
"112",0,0,0,0,0
"113",5.65110565110565,4.03397027600849,6.38977635782748,0,8.04289544235925
"114",0,0,0,0,0
"115",0,0,0,0,0
"116",0,0,0,0,0
"117",0,0,0,0,0
"118",4.05405405405405,3.5031847133758,7.98722044728434,6.81818181818182,8.04289544235925
"119",0.122850122850123,0,0,0,0
"120",0,0,0,0,0
"121",0,0.106157112526539,0,0,0
"122",0.122850122850123,0,0,0,0
"123",4.79115479115479,2.86624203821656,4.79233226837061,6.81818181818182,5.36193029490617
"124",0,0,0,0,0
"125",0.122850122850123,0,0,0,1.34048257372654
"126",4.2997542997543,3.29087048832272,7.18849840255591,9.09090909090909,5.36193029490617
"127",0,0,0,0,0
"128",4.91400491400491,3.71549893842887,3.99361022364217,2.27272727272727,4.02144772117963
"129",3.43980343980344,2.86624203821656,3.19488817891374,2.27272727272727,5.36193029490617
"130",3.80835380835381,2.76008492569002,2.3961661341853,4.54545454545455,9.38337801608579
"131",3.93120393120393,2.76008492569002,3.19488817891374,2.27272727272727,5.36193029490617
"132",0,0.106157112526539,0,0,0
"133",4.66830466830467,4.14012738853503,4.79233226837061,6.81818181818182,5.36193029490617
"134",4.42260442260442,3.92781316348195,3.99361022364217,4.54545454545455,6.70241286863271
"135",0,0,0,0,0
"136",4.05405405405405,3.07855626326964,5.59105431309904,6.81818181818182,4.02144772117963
"137",3.56265356265356,4.03397027600849,3.19488817891374,6.81818181818182,8.04289544235925
"138",4.66830466830467,4.14012738853503,4.79233226837061,6.81818181818182,4.02144772117963
"139",3.93120393120393,3.82165605095541,6.38977635782748,9.09090909090909,2.68096514745308
"140",0,0,0,0,0
"141",0,0,0,0,0
"142",4.17690417690418,3.5031847133758,4.79233226837061,6.81818181818182,2.68096514745308
"143",0,0,0,0,0
"144",2.94840294840295,2.76008492569002,2.3961661341853,4.54545454545455,4.02144772117963
"145",4.42260442260442,3.29087048832272,4.79233226837061,4.54545454545455,5.36193029490617
"146",4.17690417690418,2.76008492569002,4.79233226837061,4.54545454545455,6.70241286863271
"147",0,0,0,0,0
"148",0,0,0,0,0
"149",3.68550368550369,3.71549893842887,3.99361022364217,2.27272727272727,5.36193029490617
"150",4.54545454545455,3.39702760084926,2.3961661341853,11.3636363636364,2.68096514745308
"151",0,0,0,0,0
"152",0,0,0,0,0
"153",0,0,0,0,0
"154",3.80835380835381,3.18471337579618,3.99361022364217,2.27272727272727,4.02144772117963
"155",4.91400491400491,3.07855626326964,5.59105431309904,2.27272727272727,5.36193029490617
"156",0,0,0,0,0
"157",0,0,0,0,0
"158",3.68550368550369,4.77707006369427,3.99361022364217,4.54545454545455,2.68096514745308
"159",0,0.106157112526539,0,0,0
"160",3.56265356265356,3.71549893842887,4.79233226837061,6.81818181818182,5.36193029490617
"161",4.42260442260442,3.60934182590234,6.38977635782748,0,6.70241286863271
"162",0,0,0,0,0
"163",0,0,0,0,0
"164",3.93120393120393,3.82165605095541,5.59105431309904,9.09090909090909,6.70241286863271
"165",0,0,0,0,0
"166",0,0.106157112526539,0,0,0
"167",4.54545454545455,3.71549893842887,5.59105431309904,6.81818181818182,6.70241286863271
"168",4.2997542997543,3.82165605095541,4.79233226837061,6.81818181818182,1.34048257372654
"169",0,0,0,0,0
