"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"1",0,9.76242193412634,0,0,0
"2",0,0,0,0,0
"3",0,0,0,0,0
"4",0,0,0,0,0
"5",0,0,0,0,0
"6",72.7698170521052,64.1152182129572,71.6938165331782,0,43.5067541007659
"7",0,0,0,0,0
"8",0,0,0,0,0
"9",98.2383552993079,60.6589042573132,82.4437059648247,87.8247130273499,111.325658746995
"10",0,0,0,0,0
"11",0,0,0,0,0
"12",0,0,0,0,0
"13",0,0,0,0,0
"14",0,0,0,0,0
"15",0,0,0,0,0
"16",0,0,0,0,0
"17",0,0,0,0,0
"18",0,0,0,0,0
"19",0,10.7639416260442,0,0,0
"20",37.7751770605724,26.1224143309108,65.6150589942796,0,93.3106142184623
"21",0,0,0,0,0
"22",89.5008076031973,100.855965103263,58.3486780270016,0,55.2462438025254
"23",32.9076679787602,8.19616116662363,0,0,0
"24",0,0,0,0,0
"25",60.0200896783307,36.7266350528295,0,0,61.6994759197866
"26",0,0,0,0,0
"27",0,0,0,0,0
"28",73.0313494347964,76.2574816027087,117.126078050777,85.1865803246803,88.9929971378035
"29",0,0,0,0,0
"30",0,0,0,0,0
"31",0,11.519097449612,0,0,0
"32",0,0,0,0,0
"33",132.408883041204,139.823527451273,124.107242635809,203.278902198354,141.221367208389
"34",0,0,0,0,0
"35",0,0,0,0,0
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",0,34.9872083554563,0,0,0
"39",61.7287625269298,77.464551676315,0,57.5774174426374,90.2479647787568
"40",0,0,0,0,0
"41",0,0,0,0,0
"42",0,0,0,0,0
"43",0,8.11681233206083,0,0,0
"44",0,0,0,0,0
"45",0,0,0,0,0
"46",55.1435167916084,72.4369277541694,45.111640591563,90.4114078431165,63.4802949395815
"47",0,0,0,0,0
"48",0,0,0,0,0
"49",0,0,0,0,0
"50",0,0,0,0,0
"51",82.460180687133,21.8313722116444,55.6487992511557,72.5330833617837,92.5092967081312
"52",0,0,0,0,0
"53",0,0,0,0,0
"54",0,0,0,0,0
"55",0,0,0,0,19.8784453519493
"56",0,0,0,0,0
"57",0,0,0,0,0
"58",80.3426342739053,89.7191460384722,85.6192139565714,49.0879789124533,72.5370199672808
"59",0,0,0,0,0
"60",79.8608290530481,72.2309777143809,40.6837560582827,0,43.2343598358583
"61",0,0,0,0,0
"62",0,0,0,0,0
"63",33.0667882947345,71.0267918792756,175.409478199744,0,136.729971995744
"64",0,0,0,0,0
"65",0,10.0416108074476,0,0,0
"66",71.011962690956,45.139631687738,38.2002971517282,0,81.8623912424089
"67",27.3070983329462,65.1757920927948,0,0,0
"68",12.3614676053114,0,0,0,0
"69",46.5512634067404,89.3430505666613,75.298523989545,0,32.7733679027231
"70",0,0,0,0,0
"71",0,0,0,0,0
"72",0,0,0,0,0
"73",40.9938727745859,25.9837251015782,28.7352404495063,0,0
"74",0,0,0,0,0
"75",0,0,0,0,0
"76",0,0,0,0,0
"77",0,0,0,0,0
"78",0,10.8966384482762,0,0,0
"79",0,0,0,0,0
"80",0,11.5602659016247,0,0,0
"81",0,0,0,0,0
"82",0,0,0,0,0
"83",96.4347834425958,34.195429272275,79.2166149957753,0,0
"84",0,0,0,0,0
"85",0,0,0,0,0
"86",0,0,0,0,0
"87",0,0,0,0,0
"88",0,0,0,0,0
"89",0,0,0,0,0
"90",20.0862810837647,14.3970480923396,0,0,0
"91",0,0,0,0,0
"92",84.4935285392394,51.3121068448167,151.749216370234,103.846479022619,59.9847479333309
"93",0,0,0,0,0
"94",0,0,0,0,0
"95",0,0,0,0,0
"96",0,0,0,0,0
"97",0,0,0,0,0
"98",135.663450377154,111.807510991275,162.576729171489,0,81.8676688401941
"99",0,0,0,0,0
"100",0,0,0,0,0
"101",100.2497218144,95.1722195781902,84.8246277238935,137.565006297086,102.714589904781
"102",46.4490754721409,14.0442951858362,0,0,0
"103",0,0,0,0,0
"104",0,0,0,0,0
"105",0,0,0,0,0
"106",0,0,0,0,0
"107",0,34.887664649564,0,0,20.407093727266
"108",49.5279673410318,68.853749560967,65.9486815465035,52.1808177177633,70.6367173668621
"109",0,0,0,0,0
"110",14.7016182240694,29.0870007060286,0,0,31.7587400919264
"111",0,0,0,0,0
"112",0,0,0,0,0
"113",0,0,0,0,0
"114",0,0,0,0,0
"115",0,0,0,0,0
"116",0,0,0,0,0
"117",0,38.5635349627972,0,0,0
"118",0,0,0,0,0
"119",124.35554677036,104.487554900403,51.6964939270954,179.226667904564,153.275814133574
"120",0,0,26.9112459176603,0,0
"121",0,0,0,0,0
"122",0,7.66273233584609,0,0,0
"123",0,0,0,0,0
"124",21.0132659824284,0,0,0,0
"125",0,0,0,0,0
"126",0,0,0,0,0
"127",0,0,0,0,20.7181664034085
"128",0,0,0,0,0
"129",0,0,0,0,0
"130",0,0,0,0,0
"131",18.6357235678081,0,0,0,0
"132",85.267323381264,97.3289272306646,44.6234665956875,62.7379449106935,49.1965586740001
"133",54.9678502610492,94.5458184591046,88.7653306622287,114.084701385098,151.017961417961
"134",106.711481345309,106.932489400729,0,107.474526939598,131.719059184281
"135",0,0,0,0,0
"136",0,0,0,0,0
"137",0,0,0,0,0
"138",50.4146804977205,8.45648842635222,65.9354327091872,0,0
"139",0,0,0,0,0
"140",0,0,0,0,0
"141",0,0,0,0,0
"142",0,0,0,0,0
"143",0,0,0,0,0
"144",13.7045635231162,0,0,0,0
"145",0,0,0,0,0
"146",0,0,0,0,0
"147",0,0,0,0,0
"148",0,0,0,0,0
"149",0,0,0,0,0
"150",0,0,0,0,0
"151",0,0,0,0,0
"152",0,0,0,0,0
"153",0,0,0,0,0
"154",0,0,0,0,0
"155",0,0,0,0,0
"156",0,0,0,0,0
"157",0,0,0,0,0
"158",97.4016517438777,84.5415358496926,49.0543096826993,116.601117326042,46.5385111621686
"159",0,0,0,0,0
"160",0,0,0,0,0
"161",0,0,0,0,0
"162",0,0,0,0,0
"163",0,0,0,0,0
"164",0,0,0,0,0
"165",0,0,0,0,0
"166",0,0,0,0,0
"167",105.607232491248,77.7826912105969,28.1633959107947,106.802240565326,72.1074651536458
"168",102.528939312131,82.17971538869,31.3623815703845,42.2712061756592,59.1344354035031
"169",0,1.94513330192515,0,0,0
"170",0,0,0,0,0
"171",0,0,0,0,0
"172",39.8651962548795,24.6506310635396,0,0,0
"173",0,0,0,0,0
"174",0,0,0,0,0
"175",68.8983777996313,124.385130272274,127.830091450866,125.511058186412,107.85595546876
"176",9.53225158413143,0,0,0,0
"177",0,0,0,0,0
"178",0,0,0,0,0
"179",34.830505265938,25.9238690055208,0,0,0
"180",0,0,0,0,0
"181",0,0,0,0,0
"182",0,0,0,0,0
"183",0,0,0,0,0
"184",0,0,0,0,0
"185",0,0,0,0,0
"186",0,0,0,0,0
"187",75.2036270457003,53.6183192485611,103.767302921718,99.8894782899247,73.5110166224094
"188",8.61612772791446,14.6166301985169,0,0,0
"189",0,0,0,0,0
"190",138.456765681159,137.281744801502,104.57391373989,117.89458063718,147.972822939367
"191",0,0,0,0,0
"192",0,0,0,0,0
"193",16.3189141118184,12.4372251518766,0,0,0
"194",31.3948218281912,29.7498809750356,79.2820662920738,0,25.3873956287765
"195",0,23.6910693233185,41.327587377425,0,0
"196",0,0,0,0,0
"197",274.94485659603,90.4229104292296,239.978392850467,0,244.246159448596
"198",0,0,0,0,0
"199",60.9948101178038,119.306619068705,81.8707173397961,0,96.7625929443001
"200",83.1605845726368,40.4076595544754,71.2195934159094,113.568062957426,30.807548360217
"201",0,0,0,0,0
"202",0,15.1475098826435,0,0,0
"203",0,0,0,0,0
"204",0,7.6275492901577,0,0,0
"205",0,0,0,0,0
"206",0,0,0,0,0
"207",82.2475515376963,45.4770160387465,101.463016790247,95.2537409617585,74.3020924419885
"208",0,0,0,0,0
"209",127.323746290502,60.4825593421117,62.9959089422445,0,64.9065123382749
"210",0,0,0,0,0
"211",0,0,0,0,0
"212",0,0,0,0,0
"213",0,0,0,0,0
"214",0,0,0,0,0
"215",0,0,0,0,0
"216",0,0,0,0,0
"217",0,0,0,0,0
"218",0,0,0,0,0
"219",0,0,0,0,0
"220",0,4.94384862092699,0,0,0
"221",0,0,0,0,0
"222",87.4220046006847,65.1719549215515,49.140336502516,66.9309354312459,40.5176375284605
"223",0,19.5337861194833,23.7710371404542,0,0
"224",23.0255410728073,20.345637019096,0,0,0
"225",83.6007211655876,75.0961682727299,55.0601504620232,31.4962682730449,36.643774749391
"226",0,0,0,0,0
"227",79.5389870434701,143.583416437698,0,0,0
"228",127.457890366178,70.0218812007595,117.439043837137,0,48.4900586758372
"229",0,31.0918805889759,0,0,0
"230",0,0,0,0,0
"231",0,0,0,0,0
"232",0,0,0,0,0
"233",0,0,0,0,0
"234",0,0,0,0,0
"235",0,0,0,0,0
"236",108.260450874136,69.0107374410878,55.5997429159142,69.0034645562787,75.9732101068217
"237",0,0,0,0,0
"238",0,0,0,0,0
"239",0,33.4964877440839,0,0,0
"240",0,0,0,0,0
"241",0,0,0,0,0
"242",0,0,0,0,0
"243",0,0,0,0,0
"244",0,0,0,0,0
"245",0,0,0,0,0
"246",0,0,0,0,0
"247",90.5524744189665,71.0374008910856,58.4935052958175,144.441674810213,159.011578140134
"248",0,0,0,0,0
"249",0,0,0,0,0
"250",61.5619249741193,46.6609973050537,32.5672651322677,97.1841003562903,83.8495315459997
"251",0,0,0,0,0
"252",0,26.5329010628163,0,0,0
"253",0,0,0,0,0
"254",0,0,0,29.3689311087096,0
"255",0,0,0,0,0
"256",0,0,0,0,0
"257",56.0647717484541,25.7621620817524,0,0,0
"258",0,0,0,0,0
"259",0,0,0,0,0
"260",0,0,0,0,0
"261",34.0493112764762,62.9144349981949,0,0,0
"262",144.276085669041,126.611999959945,90.1774199226053,78.8281973329386,99.3822686041597
"263",0,0,0,0,0
"264",0,0,0,0,0
"265",0,0,0,0,0
"266",0,0,0,0,0
"267",0,0,0,0,0
"268",0,4.28089707102814,0,0,0
"269",0,0,17.5147404618326,0,0
"270",0,0,0,0,0
"271",0,0,0,0,0
"272",0,0,0,0,0
"273",0,0,0,0,0
"274",0,0,0,0,0
"275",0,0,0,0,0
"276",0,0,0,0,0
"277",0,0,0,0,0
"278",0,0,0,0,0
"279",0,0,0,0,0
"280",0,0,0,0,0
"281",0,0,0,0,0
"282",0,0,0,0,11.1730363456745
"283",51.0636903257363,23.0209380859177,18.2469135564106,0,20.879516385786
"284",0,0,0,0,0
"285",35.7452193770572,0,0,0,0
"286",0,0,0,0,0
"287",74.8110401238202,64.6500821979442,62.9227027125223,27.2727799415024,77.9631621802942
"288",0,0,0,0,0
"289",101.377629898016,86.3099742261684,94.6560792545519,0,77.1824716174531
"290",11.8193422286996,0,0,0,0
"291",0,0,0,0,0
"292",67.7142819462833,43.8970495203145,35.7203967586548,0,61.2112037553916
"293",0,0,0,0,0
"294",133.509002723968,128.524230431921,121.355096187764,0,112.252760391663
"295",0,0,0,0,0
"296",0,0,0,0,0
"297",0,0,0,0,0
"298",0,0,0,0,0
"299",0,0,0,0,0
"300",0,0,0,0,0
"301",0,0,0,0,0
"302",0,0,0,0,0
"303",60.0322494530711,85.2340516624911,76.4789114294497,109.336908613047,70.7921616894292
"304",95.6919205115864,81.5030230426637,56.4105015363263,59.8441161550205,264.99612401634
"305",72.6555793102272,69.0557323126696,59.0220588451611,0,62.8521766542455
"306",0,0,0,0,0
"307",0,0,0,0,0
"308",0,0,0,0,0
"309",134.310803428846,79.8455347901203,98.8223192609499,88.6218897294046,126.580700615606
"310",0,0,0,0,0
"311",0,0,0,0,0
"312",0,0,0,0,0
"313",0,0,0,0,0
"314",33.2310061246894,0,56.0391637711402,0,80.1657240225399
"315",11.6211368619723,0,0,0,0
"316",0,0,0,0,0
"317",0,0,0,0,0
"318",0,28.4964249771381,0,0,0
"319",0,0,0,0,0
"320",0,0,0,0,0
"321",0,0,0,0,0
"322",0,0,0,0,0
"323",0,0,0,0,0
"324",0,0,0,0,0
"325",0,0,0,0,0
"326",0,0,0,0,0
"327",0,0,0,0,0
"328",0,0,0,0,0
"329",0,8.75923177680105,0,0,0
"330",31.1489195117457,48.1983750978825,85.0304949406667,0,10.7485229799258
"331",0,0,0,0,0
