"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"1",192,199,33,16,18
"2",201,212,27,10,15
"3",0,1,0,0,0
"4",2,2,0,0,0
"5",0,1,0,0,0
"6",211,200,33,9,18
"7",0,1,0,0,0
"8",216,195,26,10,16
"9",219,228,33,11,18
"10",0,0,0,0,0
"11",0,1,0,0,0
"12",0,1,0,0,0
"13",230,214,25,13,20
"14",1,2,0,0,0
"15",0,1,0,0,0
"16",197,223,35,16,19
"17",0,1,0,0,0
"18",194,210,28,12,11
"19",0,1,0,0,0
"20",211,227,25,7,15
"21",213,222,25,9,16
"22",217,216,31,10,17
"23",228,217,37,8,17
"24",0,1,0,0,0
"25",0,1,0,0,0
"26",184,218,28,15,17
"27",0,1,0,0,0
"28",202,214,35,10,16
"29",222,224,33,9,14
"30",196,212,27,14,21
"31",248,213,32,14,16
"32",205,225,32,10,18
"33",217,206,26,14,21
"34",0,1,0,0,0
"35",0,1,1,0,0
"36",0,1,0,0,0
"37",0,1,0,0,0
"38",236,247,32,12,22
"39",0,1,0,0,0
"40",0,1,0,0,0
"41",216,210,42,11,17
"42",0,1,0,0,0
"43",223,207,28,14,19
"44",193,190,30,10,12
"45",0,1,0,0,0
"46",0,1,0,0,0
"47",0,1,0,0,0
"48",190,200,26,12,15
"49",0,1,0,0,0
"50",207,216,31,9,24
