"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"1",73.722698217359,74.4536724690793,72.5090271371183,80.6564177724809,78.7929411669433
"2",41.1127810011734,38.98188495502,46.8121727206835,39.2670292648321,42.1818726489581
"3",50.3458169074565,59.7291145304753,53.6874850390756,55.7818495055209,58.6205151364026
"4",0,0,0,0,0
"5",41.2386738947165,46.7705199245292,48.774034653319,52.9503935694092,50.2416740639644
"6",40.1866063698187,42.0711797815915,50.264972527868,55.7409354262234,48.4541301900276
"7",62.2172270004199,63.9221071919147,73.4587413147308,64.8955736715489,65.1422954030363
"8",0,0,0,0,0
"9",41.4436189635232,40.7151147765742,48.2825666899283,56.4660792789537,46.3335641066042
"10",46.4679666833208,44.0779381317968,49.4739834267315,40.551897740741,46.8917622709816
"11",0,0,0,0,0
"12",57.7402971491654,49.9677577323835,56.5821501697977,65.0629373582749,42.3519960597019
"13",77.1692399502594,69.6835479240135,75.9186612338449,72.2999246508224,85.1841558463944
"14",52.0717671277107,50.6617425270449,52.0754727765881,49.4036186965338,47.7881471422938
"15",56.2151202316447,52.8690859377746,53.9756299832163,64.1904094024689,60.2928904060183
"16",0,0,0,0,0
"17",43.3852648423365,49.9366592518599,52.5986301017842,49.7190160293087,43.2153309927374
"18",42.4341230124676,42.6090040923999,51.6718545072779,46.3265810343787,47.1212320303451
"19",50.0152879485304,51.3128360853059,56.9142618000723,59.3581020356924,41.0049448392307
"20",47.6309462489216,44.0220226839281,44.3211955192082,48.7574484271932,49.9285633619798
"21",58.0098400377942,57.4027279256312,57.9974434536537,51.7445143185321,58.6556941398604
"22",0,0,0,0,0
"23",0,0,0,0,0
"24",0,3.22411546808312,0,0,0
"25",0,0,0,0,0
"26",53.8070577737705,54.7133717005326,58.6918362028947,53.5723381701511,49.4849796438042
"27",0,7.43969947965663,0,0,0
"28",0,0,0,0,0
"29",0,0,0,0,0
"30",0,0,0,0,0
"31",41.1203329270651,47.0666506927816,39.9409346902012,47.1021952459488,53.6322891736377
"32",54.8479626994354,49.7232857135743,57.4141952165955,59.6502409071809,62.0526500317862
"33",0,0,0,0,0
"34",38.5977630427022,43.5120525969453,41.0160780311825,29.2826504954546,45.3213681146793
"35",47.2037462429159,40.4675691520869,39.8703001192753,46.0307574419526,48.6780695283824
"36",42.2806574965437,51.261184408721,45.0824637699985,50.7738192287104,36.6411904915845
"37",48.5951083790972,43.3292116396943,54.8022480032781,37.6236252856774,44.3642588393995
"38",41.3442041898147,43.5506360095479,49.7320147177468,48.3859102575982,50.6868261863512
"39",62.4511603911291,75.6012850979381,70.5710425695107,67.7188029863309,77.8178288865255
"40",44.4988379195089,44.6435268325846,52.5234460524931,32.7184513299127,42.7601683227733
"41",32.2700046200233,41.7561098338006,38.1867455626525,38.2081905007994,39.275354310452
"42",0,0,0,0,0
"43",54.6179161703284,51.6230413017523,48.1846158365024,55.3974566820211,60.3512090852537
"44",55.7040025125653,56.7973602389502,52.4085748487508,64.9712362290713,48.3825503425187
"45",53.3221954024498,54.2030646757157,49.2045034264191,73.0350806302235,56.2355062631054
"46",62.3174283099648,66.7588302118572,58.3050845565799,55.9033353492814,58.7670872183648
"47",0,0,0,0,0
"48",0,22.5373393498416,0,0,0
"49",0,0,15.6339017412736,0,0
"50",54.5332873179239,54.1777558849911,48.2720963850018,52.5048950445241,68.1737897471378
"51",43.9030288438238,49.2057377321958,49.4409827999344,43.0236603002345,50.1696380415341
"52",42.2744333124433,41.8882924618251,52.9924406386978,43.330579073609,48.5787864628442
"53",44.2349042945887,44.8497435236624,44.1835702336115,56.077000705085,41.5415558559869
"54",55.3900161493105,55.0507776168064,50.6818856164938,64.5363082771827,58.2617672021371
"55",65.8665964049264,61.0141145413471,64.4431757281712,56.9231287425834,76.2446781971761
"56",0,0,0,0,0
"57",0,0,0,0,0
"58",0,0,0,0,0
"59",47.6726065871022,50.1487680063544,57.5442249640034,40.5861261039518,47.414687528558
"60",40.4586427720149,40.4843955624995,47.775391657701,25.3881568108155,47.4876001021474
"61",39.1533308781402,45.0243753099236,39.2308597115011,35.7995668054718,42.3490149354028
"62",70.1821449503848,69.1446449141126,65.4882001709436,61.9858342531293,57.5822899480013
"63",0,0,0,0,0
"64",46.2142805093545,54.4424682157442,58.8159570725683,35.3143883321505,49.8131065571294
"65",48.0408289602016,57.1587285191855,43.42536810827,54.7223548865699,50.8157464319093
"66",40.9478749748667,39.8664922936158,44.1579013322962,44.1860320413325,43.3178156759287
"67",34.4884353087364,44.8733757087056,38.5097630563255,35.3485093232377,26.493560763496
"68",0,0,0,0,0
"69",82.9445989508343,93.1330398160091,90.9844722205304,72.6095225673888,86.1493569701803
"70",52.7078294545444,57.7051949486451,54.8561837396385,63.2686371716852,60.172289271385
"71",40.7828309257995,49.2521436303114,45.439176134842,46.4490475340061,59.1547908101101
"72",0,7.38704263505656,0,0,0
"73",0,0,0,0,0
"74",41.8695954141706,48.8774408591586,42.400852287117,46.1545316734464,44.0650677846812
"75",0,0,0,0,0
"76",45.1606367961024,46.2344154863242,52.2975997539382,50.254108155109,44.6168053672458
"77",0,0,0,0,0
"78",0,0,0,0,0
"79",0,0,0,0,0
"80",54.2765657485857,47.4947301428943,51.3810794368569,62.1269405035481,59.4462165089942
"81",0,0,0,0,0
"82",42.0249745332503,46.5725833506046,51.2247736100201,51.2283125672854,53.855546965504
"83",0,0,0,0,0
"84",51.8467989862726,50.2661548364236,53.2440041942861,55.5672170577025,53.562344097949
"85",97.6688546682095,98.5733098631699,97.532775245607,108.9790929913,90.7899013401893
"86",45.0365269576489,44.7494413032025,33.892086870838,48.7330655962015,40.4780229398655
"87",49.1656521886151,48.208946474081,54.3081012121606,57.5364913863229,59.8713576194105
"88",0,0,0,0,0
"89",41.8724282183371,45.2210211211035,50.5162553879384,60.9005987703903,35.2785175448871
"90",39.9832222215362,35.7902892965154,28.5859187718652,40.4379812069374,42.1225789913892
"91",66.6109726892648,74.0802166248835,67.9375253348502,54.3735949540282,61.4100306732597
"92",0,0,0,0,0
"93",0,0,0,0,0
"94",46.3564936910332,43.5046776645583,43.0980050856815,46.2219463276571,43.140748621063
"95",41.6678248990827,42.1687696414136,32.003959375712,48.6907158344645,54.9733913441846
"96",0,0,0,0,0
"97",0,0,0,0,0
"98",0,0,0,0,0
"99",50.0685267006951,49.4847981998421,49.3127158340656,36.4606785035996,39.1566566126456
"100",0,0,0,0,0
"101",0,0,0,0,0
"102",42.5933447587157,43.9497485892945,43.6301246263555,32.1808533630435,41.2663183232638
