"","age1.A","age2_no_comorbid.A","age2_comorbid.A","age3_no_comorbid.A","age3_comorbid.A"
"1",41,38,4,1,3
"2",35,36,9,3,3
"3",0,0,0,0,0
"4",31,25,6,2,3
"5",32,33,7,2,3
"6",30,36,8,3,2
"7",36,41,6,1,3
"8",34,39,9,3,4
"9",32,34,6,3,4
"10",31,37,9,3,4
"11",34,36,5,3,3
"12",32,33,6,3,3
"13",34,31,5,2,5
"14",0,0,0,0,0
"15",37,32,4,3,4
"16",34,29,3,2,3
"17",31,32,4,1,7
"18",0,0,0,0,0
"19",37,32,7,1,3
"20",0,1,0,0,0
"21",29,34,4,3,2
"22",0,0,0,0,0
"23",36,30,4,2,5
"24",25,29,5,2,4
"25",30,33,7,1,3
"26",29,33,5,2,4
"27",34,29,6,3,3
"28",0,0,0,0,0
"29",32,28,7,1,3
"30",35,42,5,3,4
"31",0,1,0,0,0
"32",38,37,6,2,3
"33",34,26,5,2,4
"34",31,37,4,4,4
"35",0,0,0,0,0
"36",35,30,5,3,2
"37",42,44,7,2,4
"38",42,33,5,2,3
"39",28,33,7,2,3
"40",33,32,8,1,4
"41",0,1,0,0,0
"42",41,30,5,1,2
"43",31,30,4,3,4
"44",31,33,9,1,4
"45",0,0,0,0,0
"46",26,30,6,3,3
"47",36,35,7,2,3
"48",23,30,4,3,3
"49",32,31,5,2,3
"50",0,0,0,0,0
"51",39,36,10,2,5
"52",42,33,5,4,3
"53",37,29,4,0,5
"54",35,26,9,2,2
"55",33,41,9,2,5
"56",37,35,4,3,5
"57",36,45,7,1,3
"58",26,30,6,4,3
"59",34,29,7,2,3
"60",36,24,9,3,2
"61",31,30,8,2,2
"62",32,30,3,4,4
"63",29,47,4,3,5
"64",30,40,4,1,5
"65",29,31,5,3,4
"66",29,37,5,2,2
"67",44,37,13,1,3
"68",36,39,8,2,4
"69",31,38,6,2,3
"70",30,30,7,1,3
"71",0,0,0,0,0
"72",35,40,8,2,4
"73",37,32,7,2,4
"74",36,19,3,1,4
"75",43,36,7,2,3
"76",37,35,8,4,5
"77",29,37,6,5,4
"78",28,38,7,1,6
"79",40,36,7,1,5
"80",0,0,0,0,0
"81",30,33,6,2,3
"82",42,46,10,3,2
"83",0,0,0,0,0
"84",0,0,0,0,0
"85",34,32,6,1,5
"86",36,34,7,4,3
"87",41,32,8,1,4
"88",36,40,5,3,2
"89",0,0,0,0,0
"90",0,1,0,0,0
"91",44,34,7,1,1
"92",38,28,5,2,5
"93",32,43,4,3,3
"94",37,31,6,5,4
"95",39,38,10,2,4
"96",37,35,5,2,2
"97",33,41,5,1,5
"98",24,30,9,2,4
"99",35,34,7,3,3
"100",35,36,4,6,6
"101",0,0,0,0,0
"102",31,35,4,3,3
"103",0,0,0,0,0
"104",34,30,4,1,4
"105",29,34,5,2,3
"106",29,35,7,2,5
"107",29,29,8,2,5
"108",29,37,5,2,4
"109",29,32,4,2,2
"110",30,33,5,5,2
"111",37,37,6,1,2
"112",33,35,6,2,4
"113",33,30,3,2,2
"114",33,28,7,4,4
"115",38,30,4,2,4
"116",35,28,5,2,6
"117",30,30,6,2,6
"118",47,26,4,1,4
"119",39,40,3,1,6
"120",37,33,7,6,3
"121",33,32,8,4,3
"122",34,36,6,3,2
"123",36,31,5,1,5
"124",38,37,9,2,4
"125",30,38,9,1,3
"126",0,0,0,0,0
"127",37,29,11,2,3
"128",0,0,0,0,0
"129",35,32,5,3,2
"130",32,34,7,1,6
"131",30,29,7,3,5
"132",38,34,5,1,6
"133",41,34,10,1,3
"134",30,34,9,1,7
"135",31,36,6,2,3
"136",34,28,5,2,4
"137",34,37,6,1,4
"138",34,34,6,4,4
"139",31,30,5,3,6
"140",32,27,8,3,4
"141",32,33,6,4,3
"142",32,40,5,3,2
"143",33,34,5,1,3
"144",37,33,5,3,4
"145",28,29,8,3,4
"146",0,0,0,0,0
"147",37,34,5,3,6
"148",36,28,7,2,4
"149",0,0,0,0,0
"150",42,27,4,4,2
"151",38,35,5,5,3
"152",34,34,7,4,2
"153",41,50,7,3,5
"154",38,40,5,1,4
"155",32,27,4,3,1
"156",39,30,5,2,3
"157",29,34,7,1,3
"158",30,31,6,3,4
"159",31,41,7,2,4
"160",43,32,5,1,4
"161",49,32,7,2,5
"162",0,0,0,0,0
"163",38,36,13,3,4
"164",0,0,0,0,0
"165",30,27,5,2,3
"166",34,33,8,2,1
"167",35,31,5,2,1
"168",0,1,0,0,0
"169",0,1,0,0,0
"170",31,32,8,2,6
"171",31,31,4,2,5
"172",34,27,8,1,4
"173",31,34,7,2,4
"174",26,37,7,3,2
"175",30,39,7,3,2
"176",0,1,0,0,0
"177",37,42,10,2,4
"178",31,32,5,3,2
"179",34,36,6,2,4
"180",29,27,3,1,3
"181",40,27,4,3,5
"182",32,25,6,2,4
"183",0,0,0,0,0
