"","age1.R","age2_no_comorbid.R","age2_comorbid.R","age3_no_comorbid.R","age3_comorbid.R"
"1",1,3,0,1,0
"2",758,807,81,27,31
"3",732,804,87,29,22
"4",744,808,86,29,27
"5",1,2,0,0,0
"6",750,805,72,22,22
"7",748,803,89,29,21
"8",0,1,0,0,0
"9",746,832,90,26,33
"10",0,1,0,0,0
"11",750,829,91,33,28
"12",745,804,80,27,23
"13",756,824,87,24,25
"14",747,798,85,30,29
"15",744,819,86,27,27
"16",749,827,97,28,25
"17",753,831,90,29,34
"18",0,1,0,0,0
"19",750,806,85,31,25
"20",750,837,84,30,30
"21",759,802,81,22,24
"22",749,817,92,31,35
"23",741,798,80,32,28
"24",748,823,79,25,25
"25",748,826,84,28,23
"26",736,820,90,34,21
"27",747,803,77,24,25
"28",748,801,89,29,25
"29",754,826,88,30,22
"30",755,799,82,31,29
"31",752,807,89,23,25
"32",0,1,0,0,0
"33",740,825,92,25,31
"34",742,823,89,24,20
"35",738,819,87,33,28
"36",755,819,87,32,33
"37",726,802,94,22,23
"38",746,829,79,24,33
"39",738,811,83,28,31
"40",743,805,93,25,27
"41",755,815,77,33,23
"42",766,813,86,34,29
"43",743,800,83,27,28
"44",755,808,80,29,22
"45",753,808,90,31,21
"46",0,1,0,0,0
"47",742,795,90,28,24
"48",749,807,83,30,26
"49",0,1,0,0,0
"50",747,822,88,26,22
"51",0,1,0,0,0
"52",761,809,75,29,25
"53",751,815,87,24,28
"54",730,817,93,29,28
"55",742,799,84,34,19
"56",746,830,90,32,25
"57",748,818,90,25,24
"58",0,1,0,0,0
"59",0,1,0,0,0
"60",749,815,85,26,30
"61",0,1,0,0,0
"62",740,836,74,24,29
"63",757,824,79,29,29
"64",758,808,83,27,26
"65",753,819,85,33,26
"66",758,818,76,34,33
"67",758,803,87,26,27
"68",757,836,93,30,27
"69",748,827,80,32,27
"70",749,789,88,22,30
"71",756,816,90,35,32
"72",755,787,89,30,20
"73",742,818,82,29,29
"74",0,1,0,0,0
"75",734,818,86,31,20
"76",743,813,88,21,31
"77",749,816,90,32,20
"78",744,823,90,30,25
"79",752,814,76,29,21
"80",745,821,71,24,19
"81",0,1,0,0,0
"82",750,822,70,28,23
"83",766,823,86,34,21
"84",754,814,82,26,25
"85",0,1,0,0,0
"86",0,1,0,0,0
"87",749,808,73,29,24
"88",759,811,74,32,32
"89",760,818,79,32,14
"90",1,2,0,0,0
"91",754,814,93,32,32
"92",755,818,98,29,28
"93",761,845,81,27,25
"94",765,801,87,30,17
"95",751,814,78,31,31
"96",735,812,90,29,21
"97",754,813,90,30,32
"98",732,815,85,29,22
"99",756,795,88,26,27
"100",731,803,95,29,26
"101",0,1,0,0,0
"102",746,837,94,27,32
"103",743,828,76,35,27
"104",0,2,0,0,0
"105",735,812,79,31,22
"106",763,833,88,27,25
"107",0,1,0,0,0
"108",747,806,84,30,25
"109",0,2,0,0,0
"110",0,1,0,0,0
"111",744,810,78,29,23
"112",746,806,81,26,28
"113",760,825,79,25,25
"114",0,1,0,0,0
"115",740,826,83,29,26
"116",739,812,88,33,26
"117",0,1,0,0,0
"118",758,812,86,31,26
"119",738,824,79,31,27
"120",0,1,0,0,0
"121",0,3,0,0,0
"122",741,791,84,31,33
"123",748,805,71,32,29
"124",0,1,0,0,0
"125",743,790,87,29,24
"126",746,809,91,28,22
"127",741,817,85,25,29
"128",0,1,0,0,0
"129",750,814,87,26,25
"130",753,817,82,28,28
"131",753,820,82,27,24
"132",744,817,89,27,32
"133",761,831,89,27,31
"134",746,814,80,28,29
"135",0,2,0,0,0
"136",754,803,91,28,25
"137",753,809,83,30,19
"138",756,814,81,20,32
"139",751,805,85,33,21
"140",750,820,88,32,21
"141",752,820,80,24,25
"142",738,811,85,24,29
"143",736,802,86,31,25
"144",0,1,0,0,0
"145",739,819,86,29,27
"146",1,2,0,0,0
"147",752,829,86,25,25
"148",748,815,85,25,31
"149",747,803,88,33,20
"150",739,807,75,27,14
"151",749,814,81,27,21
"152",752,834,80,27,23
"153",752,819,89,30,25
"154",0,1,0,0,0
"155",761,808,85,30,28
"156",749,786,84,29,27
"157",751,800,85,31,30
"158",753,811,77,26,20
"159",0,1,0,0,0
"160",768,804,82,33,31
"161",0,1,0,0,0
"162",0,0,0,0,0
"163",754,832,78,26,31
"164",753,812,77,32,25
"165",0,1,0,0,0
"166",745,809,85,30,30
"167",747,806,82,30,26
"168",750,816,77,29,30
"169",741,822,84,29,34
"170",770,826,91,30,25
"171",0,2,0,0,0
"172",745,820,79,26,27
"173",750,799,76,30,27
"174",746,819,88,29,30
"175",748,811,86,26,23
"176",751,814,88,35,21
"177",748,806,87,30,25
"178",756,820,82,31,39
"179",748,826,85,33,25
"180",745,802,85,22,36
"181",738,795,87,31,24
"182",758,804,85,31,24
"183",749,808,78,27,24
"184",0,1,0,0,0
"185",0,1,0,0,0
"186",753,808,91,22,20
"187",0,1,0,0,0
"188",741,811,89,26,24
"189",745,801,82,32,28
"190",0,1,0,0,0
"191",751,807,86,31,25
"192",762,812,90,27,29
"193",755,811,87,37,31
"194",739,820,82,31,21
"195",746,817,75,29,28
"196",751,822,91,23,20
"197",0,1,0,0,0
"198",745,821,82,28,24
"199",0,1,0,0,0
"200",753,824,86,29,24
"201",757,834,90,33,28
"202",752,824,84,29,28
"203",744,807,84,33,25
"204",753,826,81,28,24
"205",744,817,83,30,28
"206",734,814,76,28,27
"207",758,807,87,31,30
"208",749,822,73,24,24
"209",0,1,0,0,0
"210",753,813,83,29,24
"211",750,841,101,33,26
"212",740,827,89,31,20
"213",748,787,86,31,27
"214",741,818,85,30,24
"215",751,795,87,32,27
"216",748,824,74,31,25
"217",755,822,82,28,26
"218",747,808,78,29,29
"219",0,1,0,0,0
"220",743,825,89,24,30
"221",742,834,79,35,27
"222",751,830,81,27,21
"223",0,1,0,0,0
"224",757,806,83,25,27
"225",754,796,75,24,28
"226",749,817,82,24,26
"227",752,807,89,28,20
"228",734,833,78,25,29
"229",748,826,85,23,29
"230",0,1,0,0,0
"231",1,1,0,0,0
"232",743,840,85,24,32
"233",741,820,88,29,28
"234",747,811,75,28,27
"235",732,815,80,28,29
"236",0,1,0,0,0
"237",756,808,85,28,23
"238",0,1,1,0,0
"239",745,835,93,24,21
"240",756,824,81,29,24
"241",736,789,82,27,27
"242",0,1,0,0,0
"243",749,814,85,31,22
"244",745,822,87,30,16
"245",749,818,80,30,25
"246",758,810,75,22,25
"247",734,807,78,32,25
"248",758,811,86,26,20
"249",744,804,85,27,27
"250",737,806,78,31,18
"251",0,1,0,0,0
"252",747,799,79,30,22
"253",0,1,0,0,0
"254",753,817,88,30,31
"255",758,813,86,24,23
"256",745,832,95,29,24
"257",0,1,0,0,0
"258",747,837,82,23,28
"259",745,826,83,29,17
"260",752,819,89,29,32
"261",748,817,90,27,23
"262",737,809,91,34,31
"263",754,815,83,29,31
"264",752,809,92,28,27
"265",752,813,72,34,36
"266",739,804,77,28,24
"267",0,1,0,0,0
"268",745,784,80,33,23
"269",740,835,86,32,27
"270",752,810,96,31,24
"271",741,824,84,28,27
"272",753,809,82,28,30
"273",750,804,80,28,26
"274",742,802,92,35,24
"275",754,830,88,27,23
"276",1,2,0,0,0
"277",741,824,81,30,26
"278",0,1,0,0,0
"279",0,1,0,0,0
"280",761,813,79,35,26
"281",743,810,81,28,25
"282",751,799,82,28,21
"283",752,797,77,26,30
"284",0,1,0,0,0
"285",742,825,81,31,32
"286",0,1,0,0,0
"287",740,821,78,27,22
"288",730,806,81,26,28
"289",0,1,0,0,0
"290",756,822,90,31,24
"291",747,812,85,29,30
"292",0,1,0,0,0
"293",749,828,88,28,26
"294",758,835,84,25,24
"295",746,818,85,18,30
"296",736,806,74,27,25
"297",755,822,89,28,25
"298",0,1,0,0,0
"299",0,1,0,0,0
"300",746,826,87,29,29
"301",758,807,89,30,35
"302",749,810,82,27,20
"303",0,1,0,0,0
"304",756,835,86,25,28
"305",0,1,0,0,0
"306",749,812,86,27,21
"307",746,814,90,27,19
"308",752,795,86,28,30
"309",0,1,0,0,0
"310",761,810,89,31,26
"311",756,811,82,27,20
"312",768,816,89,33,31
"313",743,852,78,26,25
"314",749,789,83,29,31
"315",750,826,81,28,29
"316",754,819,92,30,25
"317",0,1,0,0,0
"318",736,799,84,35,27
"319",745,788,83,29,30
"320",753,838,80,35,28
"321",752,809,91,26,27
"322",752,809,91,31,28
"323",757,798,88,29,27
"324",755,807,86,29,34
"325",755,842,80,32,26
"326",735,805,85,25,27
"327",743,785,90,27,31
"328",756,820,85,28,25
"329",757,818,84,32,27
"330",0,2,0,0,0
"331",752,826,83,29,28
"332",742,796,78,30,32
"333",0,1,0,0,0
"334",760,830,89,25,26
"335",736,816,84,33,21
"336",750,818,77,28,25
"337",751,816,90,25,19
"338",748,796,81,22,22
"339",733,826,89,29,25
"340",760,816,86,33,27
"341",750,815,79,32,25
"342",756,819,82,26,25
"343",0,1,0,0,0
"344",754,826,85,29,26
"345",741,813,88,30,25
"346",1,1,0,0,0
"347",749,802,95,31,23
"348",0,1,0,0,0
"349",758,791,92,35,29
"350",0,1,0,0,0
"351",756,817,91,31,25
"352",760,811,89,32,30
"353",0,1,0,0,0
"354",747,820,84,30,20
"355",761,813,97,33,33
"356",744,843,85,33,31
"357",749,824,86,30,26
"358",738,818,87,33,25
"359",755,809,80,29,26
"360",754,820,84,27,22
"361",0,1,0,0,0
"362",735,802,94,21,27
"363",757,802,86,25,22
"364",0,1,0,0,0
"365",744,812,88,28,29
"366",750,817,84,26,29
"367",757,815,82,32,28
"368",749,806,88,34,24
"369",747,822,91,25,26
"370",743,825,81,29,33
"371",754,823,80,26,29
"372",755,828,85,28,26
"373",745,808,91,34,29
"374",0,1,0,0,0
"375",749,816,81,27,24
"376",750,805,90,27,22
"377",0,1,0,0,0
"378",740,829,84,30,27
"379",762,835,85,32,33
"380",742,782,84,26,23
"381",749,811,88,25,24
"382",757,819,93,29,28
"383",0,1,0,0,0
"384",765,823,84,25,31
"385",734,808,86,28,28
"386",0,1,0,0,1
"387",743,818,85,27,30
"388",0,1,0,0,0
"389",742,824,94,30,27
"390",740,816,74,26,15
"391",755,813,94,27,23
"392",735,828,93,29,26
"393",750,823,85,34,21
"394",746,830,87,27,25
"395",752,820,88,26,29
"396",751,814,81,30,24
"397",0,1,0,0,0
"398",0,1,0,0,0
"399",0,1,0,0,0
"400",755,800,73,29,31
"401",749,805,76,32,18
"402",0,1,0,0,0
"403",770,807,90,29,21
"404",753,803,79,27,23
"405",753,813,86,27,27
"406",759,825,84,27,29
"407",747,812,85,24,32
"408",750,816,91,23,24
"409",762,838,92,30,26
"410",758,831,85,28,23
"411",753,816,83,27,24
"412",754,801,84,31,24
"413",752,824,79,31,31
"414",751,797,78,26,30
"415",0,1,0,0,0
"416",746,819,85,25,20
"417",743,799,85,28,19
"418",0,1,0,0,0
"419",750,814,91,23,18
"420",744,807,90,33,18
"421",0,1,0,0,0
"422",0,1,0,0,0
"423",0,1,0,0,0
"424",760,831,88,28,27
"425",743,807,81,30,27
"426",752,824,94,33,27
"427",747,802,81,27,28
"428",751,788,85,30,19
"429",757,805,82,31,28
"430",0,1,0,0,0
"431",763,823,77,32,32
"432",764,812,72,28,32
"433",739,813,86,29,27
"434",2,0,1,0,0
"435",757,812,88,26,28
"436",749,806,81,38,19
"437",756,801,76,21,30
"438",749,817,86,25,22
"439",766,836,92,30,26
"440",0,1,0,0,0
"441",759,832,74,29,33
"442",0,1,0,0,0
"443",740,833,93,31,27
"444",740,824,78,25,24
"445",746,786,76,27,30
"446",756,813,89,23,33
"447",730,815,84,31,26
"448",749,822,81,25,35
"449",760,809,79,32,25
"450",748,817,73,31,22
"451",736,795,97,33,26
"452",754,797,88,31,20
"453",1,1,0,0,0
"454",748,811,89,28,28
"455",751,831,85,28,23
"456",751,825,83,33,29
"457",737,809,81,27,28
"458",746,820,80,31,25
"459",746,803,89,30,14
"460",752,808,75,24,25
"461",761,800,84,29,30
"462",0,1,0,0,0
"463",744,806,77,26,22
"464",1,1,0,0,0
"465",0,1,0,0,0
"466",758,813,78,24,19
"467",756,804,92,28,33
"468",745,812,93,23,25
"469",734,798,88,25,27
"470",0,1,0,0,0
"471",755,825,79,26,31
"472",754,826,81,27,31
"473",737,806,75,27,26
"474",757,792,88,30,34
"475",0,2,0,0,0
"476",745,827,86,27,26
"477",746,827,78,24,26
"478",769,792,85,23,25
"479",736,828,84,33,20
"480",1,1,0,0,0
"481",751,822,73,28,25
"482",741,810,83,32,24
"483",746,814,80,30,29
"484",751,813,89,25,24
"485",744,818,87,24,19
"486",746,798,85,29,25
"487",751,837,85,24,31
"488",750,822,90,24,27
"489",0,1,0,0,0
"490",752,809,84,23,20
"491",749,818,87,28,20
"492",0,1,0,0,0
"493",753,815,75,27,22
"494",751,819,82,30,23
"495",745,817,85,31,28
"496",0,1,0,0,0
"497",757,824,83,28,26
"498",0,1,0,0,0
"499",751,814,87,25,30
"500",763,805,84,27,22
