"","age1.E","age2_no_comorbid.E","age2_comorbid.E","age3_no_comorbid.E","age3_comorbid.E"
"1",1,1,0,0,0
"2",2,1,0,0,0
"3",0,2,0,0,0
"4",2,3,0,0,1
"5",1,1,1,0,0
"6",0,1,0,0,0
"7",0,2,0,0,0
"8",0,1,0,0,0
"9",0,1,0,0,0
"10",0,1,0,0,0
"11",0,1,0,0,0
"12",1,2,1,0,2
"13",1,1,0,0,0
"14",0,1,0,0,0
"15",1,1,1,0,0
"16",4,1,0,1,0
"17",2,4,0,0,0
"18",0,1,0,0,0
"19",0,1,0,0,0
"20",101,97,13,8,5
"21",2,1,0,0,0
"22",0,1,0,0,0
"23",0,1,0,0,0
"24",0,1,0,0,0
"25",0,1,0,0,0
"26",1,1,0,0,0
"27",0,1,0,0,0
"28",0,1,0,0,0
"29",1,1,1,0,1
"30",3,2,2,0,1
"31",0,1,0,0,0
"32",2,1,0,0,0
"33",2,1,1,0,0
"34",0,1,0,0,0
"35",119,114,14,6,12
"36",0,1,0,0,0
"37",0,1,0,0,0
"38",0,1,0,0,0
"39",0,1,0,0,0
"40",3,1,0,0,0
"41",0,1,0,0,0
"42",0,1,0,0,0
"43",1,1,0,0,0
"44",101,111,19,8,10
"45",2,2,1,1,0
"46",2,3,1,0,0
"47",0,1,0,0,0
"48",1,1,1,0,0
"49",0,1,0,0,1
"50",0,1,0,0,0
"51",4,3,1,0,0
"52",3,2,2,0,0
"53",0,1,0,0,0
"54",0,1,0,0,0
"55",0,1,0,0,0
"56",105,90,17,6,10
"57",5,1,1,0,1
"58",0,1,0,0,0
"59",0,1,1,0,0
"60",0,1,0,0,0
"61",1,1,0,0,0
"62",0,1,0,0,0
"63",3,1,0,0,0
"64",91,88,13,7,6
"65",0,1,0,0,0
"66",0,1,0,0,0
"67",0,1,0,0,0
"68",0,1,0,0,0
"69",0,1,0,0,0
"70",3,1,0,0,1
"71",0,1,0,0,0
"72",1,2,0,0,0
"73",3,3,0,0,0
"74",2,2,0,0,0
"75",0,1,0,0,0
"76",0,1,0,0,0
"77",96,96,15,5,12
"78",3,3,1,0,0
"79",0,1,1,0,0
"80",0,1,0,0,0
"81",0,1,0,0,0
"82",1,1,0,0,0
"83",0,1,0,0,0
"84",1,1,0,0,0
"85",0,1,0,0,0
"86",0,1,0,0,0
"87",0,1,0,0,0
"88",1,1,0,0,0
"89",1,2,0,1,0
"90",89,96,15,8,10
"91",1,1,1,1,0
"92",1,1,0,0,0
"93",0,1,0,0,1
"94",3,2,1,0,0
"95",96,84,16,5,8
"96",2,1,0,0,0
"97",0,1,0,0,0
"98",0,1,0,0,0
"99",0,1,0,0,0
"100",0,1,0,0,0
"101",2,2,2,0,0
"102",3,2,0,0,0
"103",1,1,0,0,0
"104",2,2,1,1,0
"105",4,2,1,1,0
"106",0,1,0,0,0
"107",0,1,0,0,0
"108",0,1,0,0,0
"109",0,1,0,0,0
"110",1,1,0,0,0
"111",6,3,1,0,1
"112",0,1,0,0,0
"113",94,101,14,8,10
"114",1,1,0,1,0
"115",2,1,0,0,0
"116",0,1,0,0,0
"117",0,1,0,0,0
"118",0,1,0,0,0
"119",1,1,0,0,0
"120",0,1,0,0,0
"121",0,1,0,0,1
"122",3,1,0,0,0
"123",0,1,0,0,0
"124",0,1,0,0,0
"125",0,1,0,0,0
"126",1,1,0,0,0
"127",0,1,0,0,0
"128",0,1,0,0,0
"129",0,1,0,0,0
"130",0,1,0,0,0
"131",0,1,0,0,0
"132",0,1,0,0,0
"133",0,1,0,0,0
"134",0,1,0,0,0
"135",0,1,0,0,0
"136",0,1,0,0,0
"137",2,2,0,0,0
"138",2,1,0,0,0
"139",0,1,0,0,0
"140",0,1,0,0,0
"141",0,1,0,0,0
"142",0,1,0,0,0
"143",1,1,0,0,0
"144",97,98,15,5,10
"145",4,4,2,1,0
"146",0,1,0,0,0
"147",0,1,0,0,0
"148",6,3,2,1,1
"149",0,1,0,0,0
"150",0,1,0,0,0
"151",0,1,0,0,0
"152",118,99,14,9,11
"153",0,1,0,0,0
"154",0,1,0,0,0
"155",92,88,13,8,9
"156",0,1,0,0,0
"157",0,1,0,0,0
"158",0,1,0,0,0
"159",1,2,0,0,0
"160",0,1,0,0,0
"161",0,1,0,0,0
"162",0,1,0,0,0
