"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"1",1,2,0,0,0
"2",3,1,0,0,0
"3",0,2,0,0,0
"4",3,3,0,0,1
"5",2,2,1,0,0
"6",0,1,0,0,0
"7",0,3,0,0,0
"8",0,1,0,0,0
"9",0,1,0,0,0
"10",0,1,0,0,0
"11",0,1,0,0,0
"12",3,2,1,0,2
"13",1,1,0,0,0
"14",0,1,0,0,0
"15",2,2,1,0,0
"16",5,3,0,1,0
"17",1,5,0,0,0
"18",0,1,0,0,0
"19",0,1,0,0,0
"20",23,17,3,2,2
"21",1,0,0,0,0
"22",4,3,3,0,0
"23",1,1,0,0,0
"24",0,1,0,0,0
"25",11,7,3,1,1
"26",2,2,0,1,1
"27",0,1,0,0,0
"28",0,1,0,0,0
"29",0,1,0,0,0
"30",4,3,0,0,0
"31",0,1,0,0,0
"32",1,0,1,0,1
"33",0,1,0,0,0
"34",0,1,0,0,0
"35",0,1,0,0,0
"36",0,1,0,0,0
"37",0,1,0,0,0
"38",0,1,0,0,0
"39",0,1,0,0,0
"40",1,2,0,0,0
"41",0,1,0,0,0
"42",4,2,1,0,0
"43",23,11,3,1,2
"44",0,1,0,0,0
"45",6,6,1,1,1
"46",0,1,0,0,0
"47",0,1,0,0,0
"48",1,2,0,0,0
"49",2,1,0,0,0
"50",0,1,0,0,0
"51",2,1,0,0,0
"52",1,1,0,0,0
"53",0,1,0,0,0
"54",0,1,0,0,0
"55",3,3,1,0,0
"56",0,1,0,0,0
"57",1,1,0,0,0
"58",0,0,0,0,0
"59",0,1,0,0,0
"60",0,1,0,0,0
"61",3,6,0,0,1
"62",0,1,0,0,0
"63",0,1,0,0,0
"64",1,1,0,0,0
"65",0,1,0,0,0
"66",3,1,0,0,0
"67",3,3,0,0,0
"68",0,1,0,0,0
"69",0,1,0,0,0
"70",0,1,0,0,0
"71",0,1,0,0,0
"72",0,1,0,0,0
"73",0,1,0,0,0
"74",5,1,1,1,0
"75",0,1,0,0,0
"76",0,1,0,0,0
"77",2,2,0,0,0
"78",0,1,0,0,0
"79",1,1,0,0,0
"80",0,1,0,0,0
"81",1,1,0,0,0
"82",0,1,0,0,0
"83",2,1,0,0,0
"84",0,2,0,0,0
"85",0,1,0,0,0
"86",0,1,0,0,0
"87",0,1,0,0,0
"88",0,1,0,0,0
"89",1,1,0,0,0
"90",1,2,0,0,0
"91",13,3,2,1,0
"92",0,1,0,0,0
"93",0,1,0,0,0
"94",0,1,0,0,0
"95",5,8,1,1,1
"96",0,1,0,0,0
"97",1,0,0,0,0
"98",0,1,0,0,0
"99",0,1,0,0,0
"100",0,2,0,0,0
"101",0,1,0,0,0
"102",0,1,0,0,0
"103",0,1,0,0,0
"104",1,2,0,0,0
"105",1,0,0,0,0
"106",0,0,0,0,0
"107",1,1,0,0,0
"108",0,1,0,0,0
"109",0,1,0,0,0
"110",2,1,0,0,0
"111",0,1,0,0,0
"112",0,1,0,0,0
"113",1,1,0,0,0
"114",0,1,0,0,0
"115",25,20,5,2,1
"116",0,2,0,0,0
"117",0,1,0,0,0
"118",1,1,0,0,0
"119",2,1,0,0,0
"120",0,1,0,0,0
"121",1,0,0,0,0
"122",1,1,0,0,0
"123",0,1,0,0,0
"124",0,1,0,0,0
"125",0,1,0,0,0
"126",1,1,0,0,0
"127",0,1,0,0,0
"128",1,2,0,0,0
"129",0,1,0,0,0
"130",3,1,0,0,0
"131",0,1,0,0,0
"132",0,1,0,0,0
"133",2,3,1,0,0
"134",1,1,0,0,0
"135",5,4,0,0,0
"136",2,3,1,0,0
"137",1,1,0,0,0
"138",1,0,1,0,0
"139",1,2,0,0,0
"140",0,1,0,0,0
"141",0,1,0,0,0
"142",1,1,0,0,1
"143",0,1,0,0,0
"144",0,1,0,0,0
"145",0,1,0,0,0
"146",3,1,0,0,0
"147",0,1,0,0,0
"148",0,1,0,0,0
"149",0,1,0,0,0
"150",0,1,0,0,0
"151",2,3,0,0,0
"152",1,1,0,0,0
"153",0,1,0,0,0
"154",0,1,0,0,0
"155",0,1,0,0,0
"156",2,1,0,0,1
"157",0,1,0,0,0
"158",0,1,0,0,0
"159",0,0,0,0,0
"160",0,0,0,0,0
"161",0,1,0,0,0
"162",4,1,0,0,1
"163",0,1,0,0,0
"164",0,2,0,0,0
"165",0,1,0,0,0
"166",18,15,3,1,1
"167",0,1,0,0,0
"168",0,1,0,0,0
"169",3,1,0,0,0
"170",4,3,1,0,1
"171",0,1,0,0,0
"172",1,1,0,0,0
"173",0,0,0,0,0
"174",1,1,0,0,0
"175",1,0,1,0,0
"176",0,1,0,0,0
"177",0,2,0,0,0
"178",0,1,0,0,0
"179",1,4,0,0,0
"180",0,1,0,0,0
"181",0,1,0,0,0
"182",0,2,0,0,0
"183",4,5,1,0,0
"184",1,1,0,0,0
"185",0,1,0,0,0
"186",0,1,0,0,0
"187",0,1,0,0,0
"188",19,18,5,3,2
"189",4,3,0,0,1
"190",21,20,4,1,2
"191",0,0,0,0,0
"192",3,3,1,0,1
"193",0,0,0,0,0
"194",1,0,0,0,0
"195",2,2,1,0,0
"196",0,1,0,0,0
"197",0,3,0,0,0
"198",0,1,0,0,0
"199",1,1,0,1,0
"200",1,2,0,0,0
"201",0,1,0,0,0
"202",0,1,0,0,0
"203",0,1,0,0,0
"204",0,1,0,0,0
"205",0,1,0,0,0
"206",22,13,3,1,1
"207",0,1,0,0,0
"208",2,1,0,0,0
"209",0,1,0,0,0
"210",1,1,0,0,0
"211",1,1,0,0,0
"212",0,1,0,0,0
"213",0,1,0,0,0
"214",0,1,0,0,0
"215",3,2,1,1,0
"216",0,0,0,0,0
"217",0,1,0,0,0
"218",0,1,0,0,0
"219",0,1,0,0,0
"220",1,1,0,0,0
"221",0,1,0,0,0
"222",29,28,4,1,3
"223",4,1,1,0,0
"224",0,1,0,0,0
"225",0,1,0,0,0
"226",2,1,0,0,0
"227",0,1,0,0,0
"228",1,2,0,0,0
"229",4,3,2,0,0
"230",6,4,0,0,0
"231",0,1,0,0,0
"232",0,1,0,0,0
"233",0,1,0,0,0
"234",2,1,0,0,0
"235",0,1,0,0,0
"236",30,24,4,1,3
"237",0,1,0,0,0
"238",2,0,0,1,0
"239",0,1,0,0,0
"240",1,1,1,0,0
"241",0,1,0,0,0
"242",0,1,0,0,0
"243",0,1,0,0,0
"244",0,1,0,0,0
"245",6,3,1,0,0
"246",0,1,0,0,0
"247",0,1,0,0,0
"248",0,1,0,0,0
"249",1,1,0,0,0
"250",0,1,0,0,0
"251",1,1,0,0,0
"252",0,1,0,0,0
"253",1,1,0,0,0
"254",0,1,0,0,0
"255",0,1,0,0,0
"256",0,1,0,0,0
"257",1,2,1,0,0
"258",0,1,0,0,0
"259",1,1,0,0,0
"260",7,5,1,1,1
"261",10,7,1,1,0
"262",0,1,0,0,0
"263",0,1,0,0,0
"264",0,1,0,0,0
"265",4,5,1,1,1
"266",0,1,0,0,0
"267",1,1,0,0,0
"268",0,1,0,0,0
"269",0,1,0,0,0
"270",0,1,0,0,0
"271",0,1,0,0,0
"272",0,1,0,0,0
"273",0,1,0,0,0
"274",10,10,4,2,1
"275",0,1,0,0,0
"276",0,1,0,0,0
"277",0,0,0,0,0
"278",0,1,0,0,0
"279",1,1,1,0,0
"280",2,2,0,0,0
"281",0,1,0,0,0
"282",0,1,0,0,0
"283",1,1,0,0,0
"284",0,2,0,0,0
"285",0,0,0,0,0
"286",0,1,0,0,0
"287",0,1,0,0,0
"288",27,19,4,2,3
"289",0,1,0,0,0
"290",1,1,0,0,0
"291",0,1,0,0,0
"292",0,1,0,0,0
"293",19,12,3,1,1
"294",2,2,0,0,0
"295",0,1,0,0,0
"296",3,1,0,0,0
"297",1,1,0,0,0
"298",1,1,0,0,0
"299",2,1,0,0,1
"300",30,20,4,1,3
"301",1,2,0,0,0
"302",0,1,0,0,0
"303",0,1,0,0,0
"304",4,4,2,0,0
"305",4,2,1,0,0
"306",0,1,0,0,0
"307",5,7,2,0,0
"308",0,1,0,0,0
"309",0,1,0,0,0
"310",2,2,0,0,0
"311",0,1,0,0,0
"312",0,1,0,0,0
"313",1,1,0,0,0
"314",0,1,0,0,0
"315",0,1,0,0,0
"316",2,2,0,0,0
"317",1,0,0,0,0
"318",29,24,5,1,2
"319",0,1,0,0,0
"320",1,2,0,0,0
"321",0,2,0,0,0
"322",0,1,0,0,0
"323",0,1,0,0,0
"324",2,3,1,0,1
"325",1,1,0,0,0
"326",5,3,0,0,0
"327",0,1,0,0,0
"328",1,1,0,0,0
"329",6,4,1,0,1
"330",0,1,0,0,0
"331",0,1,0,0,0
"332",3,2,1,0,0
"333",0,1,0,0,0
"334",7,3,1,0,0
"335",0,1,0,0,0
"336",0,1,0,0,0
"337",1,1,0,0,0
"338",0,1,0,0,0
"339",28,18,5,3,1
"340",0,1,0,0,0
"341",6,4,0,0,0
"342",0,1,0,0,0
"343",0,1,0,0,0
"344",1,3,0,0,0
"345",0,0,0,0,0
"346",1,1,0,0,0
"347",0,1,0,0,0
"348",14,12,2,2,1
"349",0,1,0,0,0
"350",0,0,0,0,0
"351",0,1,0,0,0
"352",0,2,0,0,0
"353",2,1,0,0,0
"354",26,15,3,1,2
"355",0,1,0,0,0
"356",1,0,0,0,0
"357",11,7,2,1,1
"358",0,1,0,0,0
"359",0,1,0,0,0
"360",0,1,0,0,0
"361",1,1,0,0,0
"362",12,5,3,1,1
"363",1,1,0,0,0
"364",0,1,0,0,0
"365",0,1,0,0,0
"366",5,1,0,0,0
"367",0,1,0,0,0
"368",2,2,1,0,0
"369",0,1,0,0,0
"370",4,2,0,0,0
"371",0,1,0,0,0
"372",0,1,0,0,0
"373",1,1,0,0,0
"374",0,1,0,0,0
"375",0,1,0,0,0
"376",17,13,5,1,3
"377",1,2,0,0,0
"378",0,1,0,0,0
"379",0,1,0,0,0
"380",6,5,1,0,0
"381",1,0,0,0,0
"382",0,1,0,0,0
"383",0,2,0,0,0
"384",1,1,1,0,0
"385",2,4,1,0,0
"386",0,1,0,0,0
"387",0,1,0,0,0
"388",0,1,0,0,0
"389",0,1,0,0,0
"390",4,2,0,0,1
"391",0,1,0,0,0
"392",0,1,0,0,0
"393",0,1,0,0,0
"394",0,1,0,0,0
"395",1,1,0,0,0
"396",3,2,1,0,0
"397",0,1,0,0,0
"398",0,1,0,0,0
"399",0,1,0,0,0
"400",1,1,0,0,0
"401",0,1,0,0,0
"402",0,1,1,0,0
"403",23,15,3,2,2
"404",0,0,0,0,0
"405",0,1,0,0,0
"406",0,1,0,0,0
"407",7,9,2,1,0
"408",0,1,0,0,0
"409",3,4,0,0,0
"410",1,1,0,0,0
"411",0,1,0,0,0
"412",3,1,0,0,0
"413",4,1,1,0,0
"414",1,2,1,0,0
"415",0,1,0,0,0
"416",0,1,0,0,0
"417",0,1,0,0,0
"418",2,4,1,0,0
"419",0,1,0,0,0
"420",13,9,3,0,2
"421",0,1,1,1,0
"422",0,1,0,0,0
"423",0,1,0,0,0
"424",0,2,0,0,0
"425",0,1,0,0,0
"426",0,2,0,0,0
"427",0,1,0,0,0
"428",0,1,0,0,0
"429",0,1,0,0,0
