"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"1",113,86,17,7,8
"2",74,81,11,5,9
"3",75,83,11,6,7
"4",85,103,15,4,8
"5",0,1,0,0,0
"6",79,92,15,8,9
"7",0,1,0,0,0
"8",0,1,0,0,0
"9",106,112,12,6,9
"10",77,80,12,4,11
"11",0,1,0,0,0
"12",88,95,12,6,9
"13",83,82,15,4,8
"14",0,1,0,0,0
"15",72,80,12,5,6
"16",0,1,0,0,0
"17",100,83,10,6,8
"18",76,80,15,4,7
"19",82,70,14,5,10
"20",94,87,15,7,11
"21",92,87,14,7,7
"22",81,96,11,6,9
"23",71,90,13,7,8
"24",103,102,15,9,8
"25",103,105,17,7,10
"26",0,1,0,0,0
"27",83,91,13,6,12
"28",104,86,15,5,7
"29",0,1,0,0,0
"30",84,91,18,4,9
"31",90,87,13,6,9
"32",87,84,13,4,10
"33",93,85,13,9,8
"34",99,92,12,8,10
"35",0,1,0,0,0
"36",71,77,15,5,8
"37",0,1,0,0,0
"38",111,86,13,6,8
"39",0,1,0,0,0
"40",94,90,15,8,7
"41",96,80,16,5,7
"42",0,1,0,0,0
"43",0,1,0,0,0
"44",1,2,0,0,0
"45",90,85,13,6,8
"46",0,1,0,0,0
"47",0,1,0,0,0
"48",71,82,14,7,10
"49",66,65,14,4,8
"50",0,1,0,0,0
"51",75,95,16,5,6
"52",0,1,0,0,0
"53",80,82,11,8,9
"54",99,104,18,5,9
"55",79,90,15,3,8
"56",84,81,17,7,11
"57",94,89,16,5,13
"58",82,83,19,4,6
"59",94,81,13,4,10
"60",74,79,12,5,9
"61",75,74,15,5,10
"62",115,96,13,6,11
"63",0,1,0,0,0
"64",0,1,0,0,0
"65",83,72,15,6,7
"66",75,80,12,4,7
"67",1,1,0,0,1
"68",89,75,11,5,7
"69",83,72,11,5,7
"70",0,1,0,0,0
"71",80,66,12,5,7
"72",0,1,0,0,0
"73",83,76,14,4,7
"74",0,1,0,0,0
"75",90,84,18,6,6
"76",83,88,14,7,6
"77",89,90,13,5,8
"78",1,1,0,0,0
"79",0,1,0,0,0
"80",1,1,0,0,0
"81",80,82,16,5,9
"82",85,78,20,7,7
"83",84,93,16,5,8
"84",85,81,16,7,7
"85",84,78,13,5,7
"86",83,77,15,5,10
"87",0,1,0,0,0
"88",0,1,0,0,0
"89",89,89,12,7,10
"90",89,80,13,4,9
"91",2,1,0,0,0
"92",81,85,16,6,8
"93",80,78,16,5,8
"94",97,94,16,4,10
"95",100,85,15,5,8
"96",88,91,16,4,11
"97",81,103,15,7,7
"98",96,83,12,6,7
"99",90,95,16,4,6
"100",106,95,14,6,9
"101",0,1,0,0,0
"102",90,95,17,5,9
"103",0,1,0,0,0
"104",97,92,16,4,10
"105",90,83,15,4,6
"106",88,84,13,4,11
"107",71,69,14,6,8
"108",80,81,12,6,7
"109",0,1,0,0,0
"110",0,1,0,0,0
"111",83,88,14,4,6
"112",101,89,16,7,11
"113",79,95,15,6,8
"114",93,91,15,6,8
"115",95,88,14,6,8
"116",71,73,11,6,9
"117",0,1,0,0,0
"118",0,1,0,0,0
"119",96,96,11,6,9
"120",90,97,10,5,12
"121",1,1,0,0,0
"122",81,92,9,5,8
"123",91,92,14,5,7
"124",0,1,0,0,0
"125",0,1,0,0,0
"126",87,88,17,5,12
"127",0,1,0,0,0
"128",92,78,16,8,9
"129",83,91,16,7,9
"130",79,75,17,5,12
"131",110,98,13,7,12
"132",90,104,13,8,9
"133",0,1,0,0,0
"134",73,84,17,5,10
"135",82,80,18,4,6
"136",102,90,14,7,8
"137",88,85,18,7,7
"138",0,1,0,0,0
"139",72,66,12,5,5
"140",91,78,10,4,8
"141",92,81,13,5,10
"142",0,1,0,0,0
"143",75,71,12,5,8
"144",83,64,11,6,10
"145",0,1,1,0,0
"146",0,1,0,0,0
"147",89,85,13,5,9
"148",84,78,13,7,8
"149",0,1,0,0,0
"150",81,82,16,6,8
"151",84,94,14,5,7
"152",85,81,14,6,7
"153",88,84,14,5,7
"154",0,1,0,0,0
"155",0,1,0,0,0
"156",82,88,13,6,9
"157",1,1,0,0,0
"158",89,84,14,9,7
"159",109,95,15,6,7
"160",92,88,17,5,11
"161",88,88,17,7,12
"162",100,98,17,7,10
"163",89,88,17,7,6
"164",0,1,0,0,0
"165",84,87,15,7,8
"166",77,73,13,8,8
"167",0,1,0,0,0
"168",75,78,12,6,8
"169",108,119,15,5,10
"170",92,75,13,7,13
"171",0,1,0,0,0
"172",0,1,0,0,0
"173",86,86,16,5,6
"174",1,1,0,0,0
"175",80,82,16,5,10
"176",89,89,14,6,8
"177",0,1,0,0,0
"178",79,79,15,5,9
"179",0,1,0,0,0
"180",98,88,13,6,10
"181",85,78,12,7,10
"182",85,86,15,6,9
"183",68,76,14,8,7
"184",0,1,0,0,0
"185",0,1,0,0,0
"186",0,1,0,0,0
"187",0,1,0,0,0
"188",100,101,21,5,12
"189",93,105,18,5,8
"190",0,1,0,0,0
"191",91,101,13,6,13
"192",90,88,19,5,10
"193",95,98,16,5,9
"194",76,69,12,8,9
"195",79,82,14,7,10
"196",82,70,12,4,6
"197",88,92,16,6,7
"198",99,107,12,7,13
"199",93,92,20,6,5
"200",79,72,14,5,9
"201",74,69,14,4,7
"202",75,84,14,4,7
"203",98,122,13,5,11
"204",80,102,13,7,8
"205",94,97,17,8,9
"206",77,75,18,7,9
"207",78,75,15,5,9
"208",88,95,16,4,11
"209",95,94,10,4,6
"210",1,1,0,0,0
"211",76,80,16,5,6
"212",82,81,15,6,9
"213",88,86,18,5,10
"214",88,92,12,7,7
"215",0,1,0,0,0
"216",79,78,14,6,8
"217",91,86,16,5,8
"218",94,82,12,7,7
"219",87,79,15,6,10
"220",83,92,14,5,9
"221",1,1,0,0,0
"222",86,86,16,7,9
"223",75,91,15,4,8
"224",77,81,14,4,8
"225",0,1,1,0,0
"226",0,1,0,0,0
"227",87,96,16,6,12
"228",89,90,16,5,8
"229",88,81,12,5,6
"230",86,72,12,8,7
"231",80,76,13,6,11
"232",79,86,15,6,8
"233",72,84,14,9,7
"234",83,82,14,4,7
"235",85,78,15,7,11
"236",96,87,17,7,10
"237",70,78,12,5,7
"238",0,1,0,0,0
"239",72,74,12,6,7
"240",0,1,0,0,0
"241",90,87,11,8,10
"242",85,83,19,6,8
"243",0,1,0,0,0
"244",79,70,12,5,7
"245",86,92,18,6,10
"246",68,91,19,6,9
"247",0,1,0,0,0
"248",88,78,12,5,7
"249",72,80,14,6,9
"250",0,1,0,0,0
"251",82,86,16,6,9
"252",84,78,15,5,8
"253",94,82,12,4,9
"254",79,84,9,4,9
"255",0,1,0,0,0
"256",1,1,0,0,0
"257",75,72,10,5,6
"258",85,79,15,8,10
"259",0,1,0,0,0
"260",0,1,0,0,0
"261",86,83,18,6,8
"262",0,1,0,0,0
"263",89,95,17,4,11
"264",81,81,13,7,9
"265",0,1,0,0,0
"266",85,85,15,5,7
"267",1,1,0,0,0
"268",0,1,0,0,0
"269",82,84,12,7,8
"270",92,84,17,4,10
"271",1,1,1,0,0
"272",93,69,12,5,6
"273",73,77,12,4,6
"274",87,91,15,8,8
"275",93,96,12,4,9
"276",84,88,12,5,6
"277",82,87,15,4,9
"278",108,87,14,6,7
"279",83,83,16,6,11
"280",79,78,13,4,8
"281",0,1,0,0,0
"282",74,85,14,8,9
"283",0,1,0,0,0
"284",0,1,0,0,0
"285",0,1,0,0,0
"286",106,82,23,8,10
"287",110,103,16,4,8
"288",92,81,12,7,11
"289",0,1,0,0,0
"290",77,80,16,7,10
"291",83,72,14,4,10
"292",0,1,0,0,0
"293",87,77,17,4,9
"294",93,107,16,6,10
"295",88,92,19,8,9
"296",91,66,11,6,8
"297",87,91,17,6,6
"298",80,75,14,5,7
"299",98,98,16,6,6
"300",80,79,16,5,11
"301",76,77,17,5,14
"302",83,82,14,7,8
"303",82,86,17,6,9
"304",0,1,0,0,0
"305",89,80,12,4,8
"306",0,1,0,0,0
"307",89,86,18,5,8
"308",77,76,15,5,9
"309",102,87,16,6,8
"310",99,86,17,6,8
"311",87,90,13,8,8
"312",83,80,12,8,11
"313",84,96,21,8,10
"314",100,99,16,8,7
"315",88,70,16,4,7
"316",92,83,18,5,9
"317",83,102,11,6,7
"318",100,95,16,9,8
"319",100,100,15,6,11
"320",67,71,17,5,8
"321",86,84,14,6,9
"322",93,81,15,6,8
"323",0,1,0,0,0
"324",77,78,12,5,11
"325",90,94,15,9,10
"326",80,97,15,7,10
"327",97,87,13,9,10
"328",92,104,13,5,9
"329",86,98,13,7,8
"330",0,1,0,0,0
"331",77,92,16,5,11
"332",72,77,11,6,9
"333",0,1,0,0,0
"334",87,85,14,6,7
"335",76,93,19,6,7
"336",81,77,15,5,9
"337",91,89,16,7,12
"338",76,62,14,4,8
"339",81,95,14,8,12
"340",98,104,14,6,10
"341",80,78,16,5,10
"342",84,91,15,5,7
"343",0,1,0,0,0
"344",83,78,15,5,8
"345",76,83,12,4,8
"346",88,82,14,8,7
"347",84,71,15,7,7
"348",114,96,15,7,8
"349",68,77,19,5,6
"350",88,90,18,6,9
"351",70,63,19,7,5
"352",105,88,11,4,8
"353",104,94,16,8,8
"354",80,87,13,6,7
"355",91,84,15,6,9
"356",86,74,11,4,10
"357",78,83,15,5,12
"358",0,1,0,0,0
"359",87,78,17,7,10
"360",80,75,15,6,8
"361",0,1,0,0,0
"362",75,86,10,6,8
"363",98,73,13,7,6
"364",81,71,14,4,8
"365",106,79,22,6,10
"366",0,1,0,0,0
"367",117,102,13,7,9
"368",83,88,13,5,8
"369",82,92,15,7,11
"370",99,87,14,8,10
"371",96,90,12,4,11
"372",84,82,15,5,8
"373",87,79,13,5,9
"374",86,99,17,7,9
"375",69,72,12,6,5
"376",91,89,12,6,11
"377",0,1,0,0,0
"378",78,81,16,7,7
"379",101,93,13,5,11
"380",98,97,15,9,6
"381",0,1,0,0,0
"382",105,107,18,6,10
"383",84,84,16,6,8
"384",2,1,0,0,0
"385",0,1,0,0,0
"386",90,92,15,4,10
"387",0,1,0,0,0
"388",79,102,13,3,10
"389",81,79,15,5,13
"390",0,1,0,0,0
"391",85,79,14,7,6
"392",103,103,13,6,9
"393",88,75,12,5,9
"394",85,94,18,5,8
"395",78,78,11,7,10
"396",98,79,15,4,8
"397",83,79,13,6,7
"398",0,1,0,0,0
"399",0,1,0,0,0
"400",92,78,14,9,7
"401",83,86,12,7,9
"402",90,107,15,7,9
"403",83,91,16,7,7
"404",86,93,15,5,8
"405",91,88,15,8,9
"406",70,83,16,5,10
"407",95,82,18,8,9
"408",72,67,12,3,8
"409",93,105,13,7,7
"410",0,1,0,0,0
"411",82,89,12,7,11
"412",104,91,21,6,7
"413",80,86,12,8,9
"414",0,1,0,0,1
"415",83,87,12,5,8
"416",0,1,0,0,0
"417",83,84,17,6,10
"418",112,88,18,6,6
"419",79,83,13,6,7
"420",82,80,16,5,8
"421",0,1,0,0,0
"422",108,88,13,6,8
"423",94,91,15,4,8
"424",94,92,12,7,7
"425",93,80,13,7,8
"426",1,1,0,0,0
"427",1,1,0,0,0
"428",89,74,12,7,8
"429",80,86,12,6,9
"430",94,90,14,7,8
"431",99,93,10,8,6
"432",91,72,18,6,9
"433",93,85,19,5,9
"434",103,93,15,9,10
"435",78,75,14,6,8
"436",80,79,15,5,6
"437",67,77,13,6,6
"438",72,76,17,4,6
"439",0,1,1,0,0
"440",0,1,0,0,0
"441",85,80,17,8,9
"442",87,68,15,5,7
"443",87,91,12,5,8
"444",95,95,17,6,7
"445",92,81,15,7,9
"446",82,70,16,7,8
"447",96,87,13,6,12
"448",89,100,17,5,9
"449",80,90,10,6,11
"450",82,77,12,7,9
"451",83,88,11,6,9
"452",86,68,12,6,8
"453",86,83,16,7,7
"454",102,102,14,5,8
"455",80,69,16,5,5
"456",101,91,14,5,9
"457",88,86,14,4,8
"458",78,82,13,4,6
"459",83,82,13,6,12
"460",81,76,12,4,9
"461",82,76,15,7,6
"462",82,78,12,4,7
"463",78,87,16,5,8
"464",100,90,16,7,12
"465",0,1,0,0,0
"466",72,72,13,6,7
"467",72,68,11,5,6
"468",81,95,11,6,10
"469",91,81,19,6,7
"470",0,1,0,0,0
"471",78,85,13,7,9
"472",2,1,0,0,0
"473",82,73,12,8,6
"474",81,96,12,6,8
"475",94,80,19,4,8
"476",100,76,18,6,8
"477",0,1,0,0,0
"478",93,77,13,6,9
"479",0,1,0,0,0
"480",94,84,12,7,14
"481",82,92,15,6,8
"482",77,75,12,4,10
"483",0,1,0,0,0
"484",87,93,15,9,8
"485",0,1,0,0,0
"486",94,97,16,6,12
"487",81,83,11,5,9
"488",89,103,18,5,12
"489",84,68,12,6,9
"490",98,99,16,5,8
"491",90,82,12,5,7
"492",70,77,11,5,6
"493",86,92,19,5,10
"494",0,1,0,0,0
"495",91,82,14,6,7
"496",1,1,0,0,0
"497",0,1,0,0,0
"498",81,87,12,4,10
"499",111,92,18,4,10
"500",0,1,0,0,0
"501",0,1,0,0,0
"502",0,1,0,0,0
"503",78,67,15,5,6
"504",0,1,0,0,0
"505",0,1,0,0,0
"506",94,87,13,5,10
"507",87,95,16,6,5
"508",87,75,11,7,9
"509",92,84,15,5,12
"510",0,1,0,0,0
"511",82,78,14,6,8
"512",96,87,16,7,9
"513",0,1,0,0,0
"514",98,87,16,4,8
"515",88,85,13,5,8
"516",95,86,14,6,10
"517",72,72,14,5,9
"518",81,93,13,7,8
"519",84,70,9,5,10
"520",84,83,17,5,8
"521",72,69,13,8,8
"522",82,81,17,5,7
"523",75,78,13,4,11
"524",0,1,0,0,0
"525",86,86,14,7,8
"526",92,103,11,5,8
"527",0,1,0,0,0
"528",70,71,19,6,10
"529",79,87,15,5,10
"530",87,72,14,9,7
"531",84,72,13,7,9
"532",78,82,16,6,11
"533",60,60,10,5,10
"534",0,1,0,0,0
"535",98,82,22,6,10
"536",96,88,16,7,9
"537",93,114,15,4,10
"538",0,1,0,0,0
"539",90,88,12,6,7
"540",93,87,12,6,9
"541",61,69,16,6,9
"542",81,96,21,6,6
"543",68,71,17,5,6
"544",80,66,14,5,8
"545",90,87,14,9,9
"546",0,1,0,0,0
"547",92,89,16,5,10
"548",98,98,17,7,11
"549",82,80,19,5,9
"550",91,92,17,5,7
"551",0,1,0,0,0
"552",74,75,18,8,9
"553",92,98,17,4,8
"554",80,95,14,4,8
"555",0,1,0,0,0
"556",0,1,0,0,0
"557",0,1,0,0,0
"558",86,89,14,7,8
"559",1,1,0,0,0
"560",0,1,0,0,0
"561",1,1,0,0,0
"562",85,111,14,6,9
"563",76,87,13,5,8
"564",75,75,16,5,8
"565",92,86,15,6,11
"566",77,88,17,7,8
"567",0,1,0,0,0
"568",99,91,15,7,10
"569",94,82,13,8,9
"570",1,1,0,0,0
"571",78,98,13,5,9
"572",69,69,12,6,7
"573",0,1,0,0,0
"574",78,84,13,5,10
"575",91,90,14,6,11
"576",106,80,17,6,9
"577",81,81,16,6,11
"578",79,79,19,6,7
"579",88,86,16,5,11
"580",79,76,13,5,7
"581",114,101,21,5,10
"582",103,82,14,6,12
"583",93,83,13,6,7
"584",100,98,12,6,8
"585",85,83,14,6,7
"586",99,103,16,5,11
"587",96,67,15,5,8
"588",96,88,19,5,12
"589",78,79,16,5,8
"590",87,83,12,5,7
"591",0,1,0,0,0
"592",71,73,13,6,11
"593",91,106,15,9,9
"594",0,1,0,0,0
"595",84,84,13,7,7
"596",92,80,18,5,9
"597",99,93,20,6,7
"598",79,87,14,4,8
"599",71,88,11,5,10
"600",85,94,16,7,8
"601",85,81,18,6,9
