"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"1",171,152,16,6,7
"2",137,148,17,7,8
"3",139,149,18,7,8
"4",140,159,16,6,9
"5",0,1,0,0,0
"6",147,144,13,9,7
"7",0,1,0,0,0
"8",162,141,15,6,8
"9",132,136,14,5,7
"10",1,1,0,0,0
"11",150,156,14,6,7
"12",0,1,0,0,0
"13",144,136,13,5,7
"14",171,159,22,5,8
"15",159,144,20,6,6
"16",133,133,16,6,11
"17",127,122,13,8,8
"18",145,125,18,6,7
"19",136,134,16,5,5
"20",158,152,17,10,6
"21",150,155,15,6,6
"22",153,143,16,8,8
"23",156,137,19,7,7
"24",154,150,17,6,5
"25",136,127,16,8,8
"26",0,0,0,0,0
"27",126,125,16,4,7
"28",131,118,16,4,6
"29",153,148,17,5,7
"30",0,1,0,0,0
"31",147,142,13,6,7
"32",144,122,15,5,7
"33",150,139,13,8,10
"34",132,133,17,8,7
"35",138,144,19,5,6
"36",141,139,16,5,5
"37",0,1,0,0,0
"38",142,144,20,5,10
"39",148,158,16,7,9
"40",134,141,17,5,9
"41",141,140,12,5,6
"42",151,149,15,5,6
"43",137,117,15,8,8
"44",141,133,14,4,8
"45",152,162,19,9,7
"46",0,1,0,1,0
"47",143,146,23,5,7
"48",141,160,16,7,7
"49",151,132,18,5,7
"50",139,151,15,7,7
"51",160,147,14,5,6
"52",151,148,18,6,9
"53",0,1,0,0,0
"54",144,122,13,6,8
"55",134,128,18,4,10
"56",118,125,17,9,7
"57",0,0,0,0,0
"58",146,141,21,6,6
"59",141,123,17,6,7
"60",141,132,16,4,7
"61",163,178,20,6,9
"62",142,143,19,6,8
"63",0,1,0,0,0
"64",140,147,17,9,6
"65",142,168,16,5,8
"66",154,150,13,6,9
"67",157,153,15,8,6
"68",182,148,18,8,7
"69",140,143,19,4,5
"70",147,139,18,6,11
"71",0,1,0,0,0
"72",155,152,15,6,5
"73",134,119,19,8,6
"74",1,2,0,0,0
"75",0,0,0,0,0
"76",0,1,0,0,0
"77",158,128,16,7,7
"78",0,1,0,0,0
"79",134,124,16,6,7
"80",140,135,15,5,7
"81",129,128,20,4,6
"82",144,125,15,8,9
"83",122,145,19,8,6
