"","age1.E","age2_no_comorbid.E","age2_comorbid.E","age3_no_comorbid.E","age3_comorbid.E"
"1",32,31,7,2,3
"2",42,35,8,3,4
"3",34,33,6,2,4
"4",43,33,8,2,6
"5",0,1,0,0,0
"6",47,37,6,4,4
"7",35,30,6,2,2
"8",44,42,11,2,5
"9",44,36,7,3,4
"10",3,2,1,0,0
"11",34,28,7,2,3
"12",0,1,0,0,0
"13",0,1,0,0,0
"14",39,27,8,3,4
"15",37,32,6,4,5
"16",40,33,8,3,5
"17",48,38,8,2,4
"18",48,42,9,4,6
"19",43,35,7,2,3
"20",45,36,6,2,5
"21",0,1,0,0,0
"22",57,44,8,3,3
"23",0,1,0,0,0
"24",40,32,7,3,6
"25",0,1,0,0,0
"26",0,1,0,0,0
"27",1,1,0,0,0
"28",0,1,0,0,0
"29",1,1,0,0,0
"30",51,42,18,4,5
"31",41,35,10,3,4
"32",28,25,5,2,4
"33",31,31,4,4,4
"34",0,1,0,0,0
"35",0,1,0,0,0
"36",1,1,0,0,0
"37",0,1,0,0,0
"38",40,30,9,2,5
"39",43,36,8,5,5
"40",46,41,6,3,4
"41",1,1,0,0,0
"42",0,1,0,0,0
"43",0,1,0,0,0
"44",1,1,0,0,0
"45",37,25,5,3,5
"46",36,30,6,3,5
"47",0,1,0,0,0
"48",0,1,0,0,0
"49",3,1,0,0,0
"50",36,29,10,3,3
"51",0,1,0,0,0
"52",1,1,0,0,0
"53",0,1,0,0,0
"54",0,1,0,0,0
"55",0,1,0,0,0
"56",33,27,6,2,3
"57",0,1,0,0,0
"58",39,35,9,3,4
"59",1,1,0,0,0
"60",41,42,9,3,4
"61",36,33,7,3,5
"62",39,29,8,4,5
"63",0,1,0,0,0
"64",50,35,9,3,5
"65",52,35,7,3,4
"66",44,37,11,3,5
"67",0,1,0,0,0
"68",0,1,0,0,0
"69",31,26,5,2,4
"70",0,1,0,0,0
"71",1,1,0,0,0
"72",0,1,0,0,0
"73",44,39,12,3,4
"74",34,37,6,3,4
"75",39,33,8,4,3
"76",1,1,0,0,0
"77",35,37,8,3,4
"78",0,1,0,0,0
"79",56,49,10,4,6
"80",36,32,6,3,4
"81",0,1,0,0,0
"82",0,1,0,0,0
"83",35,29,4,3,4
"84",44,42,7,3,4
"85",39,27,6,3,5
"86",34,39,7,3,6
"87",1,1,1,0,0
"88",1,1,0,0,0
"89",37,33,7,3,4
"90",44,36,9,3,7
"91",0,1,0,0,0
"92",2,1,0,0,0
"93",0,1,0,0,0
"94",40,38,7,5,4
"95",1,1,0,0,0
"96",0,1,0,0,0
"97",36,30,6,3,4
"98",0,1,0,0,0
"99",0,1,1,0,0
"100",45,30,9,4,4
"101",33,34,7,4,3
"102",39,31,11,3,3
"103",42,42,6,3,5
"104",0,1,0,0,0
"105",38,36,8,2,3
"106",43,51,8,3,4
"107",41,33,6,2,6
"108",0,1,0,0,0
"109",1,1,0,0,0
"110",0,1,0,0,0
"111",0,1,0,0,0
"112",0,1,0,0,0
"113",1,1,0,0,0
"114",0,1,0,0,0
"115",37,45,8,3,5
"116",38,33,8,4,4
"117",34,33,9,2,4
"118",44,39,12,4,5
"119",0,1,0,0,0
"120",0,1,0,0,0
"121",0,1,0,0,0
"122",0,1,0,0,0
"123",36,32,6,3,4
"124",38,35,7,2,4
"125",1,1,0,0,0
"126",40,37,7,5,5
"127",1,1,0,0,0
"128",1,1,0,0,0
"129",1,1,0,1,0
"130",40,36,8,3,5
"131",32,31,8,2,8
"132",0,1,0,0,0
"133",38,42,9,2,5
"134",54,46,9,4,5
"135",28,24,5,3,4
"136",44,24,7,2,3
"137",0,1,0,0,0
"138",1,1,0,0,0
"139",0,1,0,0,0
"140",1,1,0,0,0
"141",46,44,9,3,4
"142",0,1,0,0,0
"143",0,1,0,0,0
"144",1,1,0,0,0
"145",41,40,6,3,4
"146",1,1,1,0,0
"147",1,1,0,0,0
"148",39,30,8,2,7
"149",35,36,6,2,6
"150",0,1,0,0,0
"151",0,1,0,0,0
"152",0,1,0,0,0
"153",42,42,8,3,6
"154",47,39,8,3,8
"155",0,1,0,0,0
"156",0,1,0,0,0
"157",1,1,0,0,0
"158",0,1,1,0,0
"159",46,36,7,3,5
"160",0,1,0,0,0
"161",0,1,0,0,0
"162",27,27,6,1,4
"163",2,2,0,0,0
"164",47,40,8,3,5
"165",34,27,7,3,4
"166",40,41,7,4,3
"167",39,29,6,3,4
"168",2,1,1,0,0
"169",0,1,0,0,0
"170",1,2,0,0,0
"171",52,44,8,3,5
"172",36,35,7,2,4
"173",48,36,10,3,7
"174",29,28,8,3,3
"175",3,2,1,0,0
"176",0,1,0,0,0
"177",41,35,8,3,5
"178",38,46,7,3,5
"179",1,1,0,0,0
"180",0,1,0,0,0
"181",0,1,0,0,0
"182",1,1,0,0,1
"183",2,1,1,0,0
"184",56,46,8,4,4
"185",35,31,6,3,3
"186",0,1,0,0,0
"187",46,41,9,3,4
"188",35,33,8,2,5
"189",0,1,0,0,0
"190",40,37,7,3,4
"191",0,1,0,0,0
"192",45,34,7,3,3
"193",1,1,0,0,0
"194",49,39,6,3,4
"195",0,1,0,0,0
"196",39,47,10,4,4
"197",40,45,7,3,6
"198",0,1,0,0,0
"199",1,1,0,0,0
"200",37,34,6,4,3
"201",35,34,6,2,5
"202",39,36,8,4,5
"203",1,1,0,1,0
"204",0,1,0,0,0
"205",2,2,0,0,0
"206",37,36,8,3,5
"207",0,1,0,0,0
"208",2,3,1,0,0
"209",0,1,0,0,0
"210",0,1,0,0,0
"211",0,1,0,0,0
"212",45,49,8,6,4
"213",0,1,0,0,0
"214",0,1,0,0,0
"215",48,35,9,3,4
"216",35,34,6,3,3
"217",56,46,11,4,4
"218",31,25,6,2,3
"219",0,1,0,0,0
"220",35,28,4,3,4
"221",33,31,6,3,3
"222",1,1,0,0,0
"223",32,30,6,3,4
"224",49,40,12,3,3
"225",44,39,8,4,4
"226",1,1,0,1,0
"227",43,46,7,4,5
"228",45,42,8,2,5
"229",0,1,0,0,0
"230",47,34,6,5,4
"231",0,1,0,0,0
"232",31,28,7,2,4
"233",31,31,6,3,4
"234",0,1,0,0,0
"235",52,50,10,2,6
"236",39,38,9,3,4
"237",0,1,0,0,0
"238",0,1,0,0,0
"239",30,29,7,2,3
"240",1,1,0,0,0
"241",0,1,0,0,0
"242",0,1,0,0,0
"243",0,1,0,0,0
"244",42,35,7,2,4
"245",47,37,7,3,4
"246",44,41,8,3,3
"247",1,1,0,0,0
"248",0,1,0,0,0
"249",1,1,0,0,0
"250",1,1,0,0,0
"251",0,1,0,0,0
"252",40,32,7,2,6
"253",1,1,0,0,0
"254",0,1,0,0,0
"255",41,34,7,3,4
"256",0,1,0,0,0
"257",43,43,7,3,4
"258",0,1,0,0,0
"259",42,31,6,3,4
"260",48,34,8,3,4
"261",41,38,8,4,4
"262",0,1,0,0,0
"263",0,1,0,0,0
"264",42,28,7,2,3
"265",57,52,8,4,4
"266",39,37,8,3,4
"267",32,26,6,2,4
"268",0,1,0,0,0
"269",0,1,0,0,0
"270",42,35,8,3,5
"271",36,36,6,3,3
"272",41,41,5,3,5
"273",0,1,0,0,0
"274",1,1,0,0,0
"275",35,32,6,2,3
"276",34,32,6,2,3
"277",0,1,0,0,0
"278",0,1,0,0,0
"279",0,1,0,0,0
"280",0,1,0,0,0
"281",1,2,0,0,0
"282",0,1,0,0,0
"283",30,30,7,3,3
"284",0,1,0,0,0
"285",33,27,4,2,3
"286",34,27,6,2,4
"287",41,45,9,4,4
"288",1,1,0,0,0
"289",0,1,0,0,0
"290",0,1,0,0,0
"291",0,1,0,0,0
"292",0,1,0,0,0
"293",35,36,7,2,4
"294",1,1,0,0,0
"295",49,47,9,4,6
"296",49,39,9,3,4
"297",0,1,0,0,0
"298",0,1,0,0,0
"299",44,43,6,3,4
"300",37,32,7,4,4
"301",43,40,8,2,4
"302",0,1,0,0,0
"303",38,36,7,2,4
"304",39,32,10,3,3
"305",2,1,0,0,0
"306",0,1,0,0,0
"307",0,1,0,0,0
"308",42,43,6,3,4
"309",2,2,1,0,0
"310",39,35,6,4,3
"311",40,33,7,2,3
"312",0,1,0,0,0
"313",37,36,8,4,4
"314",33,30,6,3,3
"315",0,1,0,1,0
"316",0,1,0,0,0
"317",42,42,9,4,5
"318",31,31,5,3,4
"319",1,2,0,0,0
"320",1,1,0,0,0
"321",0,1,0,0,0
"322",48,46,7,3,3
"323",0,1,0,0,0
"324",0,1,0,0,0
"325",35,34,11,2,5
"326",0,1,0,0,0
"327",38,30,8,2,4
"328",43,32,6,3,6
"329",37,33,8,3,4
"330",47,35,7,2,3
"331",0,1,0,0,0
"332",0,1,0,0,0
"333",2,1,1,0,0
"334",50,41,9,2,6
"335",39,33,6,3,4
"336",1,1,0,0,0
"337",38,36,10,3,5
"338",34,24,6,4,4
"339",0,1,0,0,0
"340",42,28,6,3,4
"341",39,33,5,2,4
"342",29,29,7,4,4
"343",1,1,0,0,0
"344",43,35,8,7,6
"345",0,1,0,0,0
"346",1,1,0,0,0
"347",0,1,0,0,0
"348",0,1,0,0,0
"349",48,32,6,3,4
"350",0,1,1,0,0
"351",38,29,7,3,3
"352",45,39,9,3,6
"353",42,42,7,2,5
"354",40,34,7,5,4
"355",1,1,0,0,0
"356",0,1,0,0,0
"357",44,34,11,3,2
"358",54,45,11,5,5
"359",1,1,0,0,0
"360",37,42,7,3,3
"361",1,1,0,0,0
"362",47,45,7,3,3
"363",1,1,0,0,0
"364",0,1,0,0,0
"365",0,1,0,0,0
"366",53,35,8,5,4
"367",45,45,6,2,6
"368",37,34,5,3,5
"369",28,26,5,3,3
"370",0,1,0,0,0
"371",0,1,1,1,0
"372",35,29,7,3,4
"373",36,36,7,3,4
"374",0,1,0,0,0
"375",0,1,0,0,0
"376",0,1,0,0,0
"377",36,29,6,3,4
"378",0,1,0,0,0
"379",1,1,0,0,0
"380",38,40,7,4,5
"381",3,2,1,1,0
"382",2,1,0,0,0
"383",42,48,9,3,5
"384",31,28,4,4,3
"385",42,29,7,3,6
"386",0,1,0,0,0
"387",39,34,6,4,4
"388",38,30,5,3,3
"389",0,1,0,0,0
"390",0,1,0,0,0
"391",31,32,6,3,4
"392",38,34,8,2,5
"393",0,1,0,0,0
"394",1,1,0,0,0
"395",0,1,0,0,0
