"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"1",5,5,5,1,4
"2",6,5,3,2,3
"3",4,5,4,2,4
"4",6,5,5,1,8
"5",0,0,0,0,0
"6",6,5,3,1,3
"7",3,4,3,1,2
"8",5,6,4,1,4
"9",4,6,3,0,5
"10",0,1,0,0,0
"11",6,5,3,2,3
"12",0,0,0,0,0
"13",0,0,0,0,0
"14",4,4,4,1,3
"15",7,3,4,2,4
"16",7,5,5,2,4
"17",7,4,4,2,3
"18",4,6,3,1,7
"19",6,5,2,0,4
"20",5,4,4,1,3
"21",0,0,0,0,0
"22",6,4,4,1,4
"23",0,0,0,0,0
"24",5,6,3,1,4
"25",0,0,0,0,0
"26",0,0,0,0,0
"27",0,0,0,0,0
"28",0,1,0,0,0
"29",0,0,0,0,0
"30",6,7,6,1,2
"31",5,7,2,1,5
"32",6,4,3,1,4
"33",5,4,3,1,3
"34",0,0,0,0,0
"35",0,0,0,0,0
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",5,6,3,1,4
"39",8,6,3,1,5
"40",8,6,5,2,5
"41",0,0,0,0,0
"42",0,0,0,0,0
"43",0,0,0,0,0
"44",0,0,0,0,0
"45",4,3,4,2,3
"46",6,5,3,1,6
"47",0,0,0,0,0
"48",0,0,0,0,0
"49",0,0,0,0,0
"50",3,4,4,1,5
"51",0,0,0,0,0
"52",0,1,0,0,0
"53",0,0,0,0,0
"54",0,0,0,0,0
"55",0,0,0,0,0
"56",4,6,2,1,3
"57",0,0,0,0,0
"58",5,4,5,1,5
"59",0,0,0,0,0
"60",5,5,5,1,5
"61",6,6,4,2,4
"62",2,5,5,1,2
"63",0,0,0,0,0
"64",4,7,3,1,5
"65",4,4,5,1,3
"66",7,4,4,3,4
"67",0,0,0,0,0
"68",0,0,0,0,0
"69",5,4,3,1,2
"70",0,0,0,0,0
"71",0,0,0,0,0
"72",0,0,0,0,0
"73",3,7,3,2,4
"74",4,6,3,1,6
"75",5,4,1,1,4
"76",0,0,0,0,0
"77",5,4,4,1,3
"78",0,0,0,0,0
"79",5,4,7,2,3
"80",4,4,4,1,5
"81",0,0,0,0,0
"82",0,0,0,0,0
"83",5,6,3,2,4
"84",8,6,3,2,4
"85",5,8,5,1,3
"86",4,6,1,1,4
"87",0,0,0,0,0
"88",0,0,0,0,0
"89",7,5,3,2,4
"90",7,7,5,1,5
"91",0,0,0,0,0
"92",0,0,0,0,0
"93",0,0,0,0,0
"94",8,3,4,3,5
"95",0,0,0,0,0
"96",0,0,0,0,0
"97",5,6,3,1,2
"98",0,0,0,0,0
"99",0,0,0,0,0
"100",7,3,4,1,4
"101",5,3,3,3,3
"102",3,5,3,1,2
"103",5,6,3,1,5
"104",0,0,0,0,0
"105",4,2,5,1,4
"106",4,5,5,2,4
"107",4,3,4,0,2
"108",0,0,0,0,0
"109",0,0,0,0,0
"110",0,0,0,0,0
"111",0,0,0,0,0
"112",0,0,0,0,0
"113",0,1,0,0,0
"114",0,0,0,0,0
"115",4,7,6,2,5
"116",4,3,4,2,2
"117",4,6,5,2,4
"118",8,3,3,0,4
"119",0,0,0,0,0
"120",0,0,0,0,0
"121",0,0,0,0,0
"122",0,0,0,0,0
"123",6,6,4,1,4
"124",4,5,5,2,3
"125",0,0,0,0,0
"126",6,5,4,2,6
"127",0,0,0,0,0
"128",0,0,0,0,0
"129",0,0,0,0,0
"130",4,6,4,1,5
"131",3,4,2,0,5
"132",0,0,0,0,0
"133",6,3,3,2,3
"134",6,7,5,2,7
"135",4,5,4,2,2
"136",4,4,4,0,3
"137",0,0,0,0,0
"138",0,0,0,0,0
"139",0,0,0,0,0
"140",0,0,0,0,0
"141",3,6,5,2,4
"142",0,0,0,0,0
"143",0,0,0,0,0
"144",0,0,0,0,0
"145",5,6,3,1,5
"146",0,0,0,0,0
"147",0,0,0,0,0
"148",4,5,6,2,3
"149",5,5,4,1,6
"150",0,1,0,0,0
"151",0,0,0,0,0
"152",0,0,0,0,0
"153",9,3,6,1,4
"154",10,6,7,1,6
"155",0,0,0,0,0
"156",0,0,0,0,0
"157",1,0,0,0,0
"158",0,0,0,0,0
"159",5,6,4,2,5
"160",0,0,0,0,0
"161",0,0,0,0,0
"162",2,4,2,0,4
"163",0,0,0,0,0
"164",6,5,5,2,4
"165",3,6,3,2,5
"166",5,3,6,1,4
"167",3,4,5,3,3
"168",0,0,0,0,0
"169",0,0,0,0,0
"170",0,0,0,0,0
"171",4,5,3,1,5
"172",5,6,1,1,2
"173",5,5,3,1,5
"174",6,5,5,1,3
"175",1,0,1,0,0
"176",0,0,0,0,0
"177",6,5,4,2,3
"178",7,8,3,1,5
"179",0,0,0,0,0
"180",0,0,0,0,0
"181",0,0,0,0,0
"182",0,0,0,0,1
"183",0,1,0,0,0
"184",8,3,2,1,4
"185",4,4,3,3,3
"186",0,0,0,0,0
"187",4,3,4,1,5
"188",5,6,5,0,6
"189",0,0,0,0,0
"190",4,4,3,1,4
"191",0,0,0,0,0
"192",5,4,4,1,3
"193",0,0,0,0,0
"194",3,9,3,3,4
"195",0,0,0,0,0
"196",8,7,7,2,7
"197",6,5,2,3,7
"198",0,0,0,0,0
"199",0,0,0,0,0
"200",6,5,3,3,3
"201",4,5,2,1,4
"202",4,6,3,1,5
"203",0,0,0,0,0
"204",0,0,0,0,0
"205",0,0,0,0,0
"206",4,6,3,1,4
"207",0,0,0,0,0
"208",0,1,0,0,0
"209",0,0,0,0,0
"210",0,0,0,0,0
"211",0,0,0,0,0
"212",3,7,4,1,3
"213",0,0,0,0,0
"214",0,0,0,0,0
"215",7,5,4,1,4
"216",4,5,5,1,5
"217",7,7,4,2,5
"218",7,5,4,1,2
"219",0,0,0,0,0
"220",2,4,5,1,4
"221",10,4,5,1,2
"222",0,0,0,0,0
"223",3,4,4,1,5
"224",3,5,4,2,2
"225",5,7,3,2,3
"226",0,0,0,0,0
"227",4,3,2,1,2
"228",3,5,3,2,4
"229",0,0,0,0,0
"230",4,6,5,1,4
"231",0,0,0,0,0
"232",4,6,4,1,5
"233",5,5,2,1,2
"234",0,0,0,0,0
"235",3,7,3,1,5
"236",4,8,3,2,3
"237",0,0,0,0,0
"238",0,0,0,0,0
"239",5,5,2,1,5
"240",0,0,0,0,0
"241",0,0,0,0,0
"242",0,0,0,0,0
"243",0,0,0,0,0
"244",4,3,4,2,3
"245",6,7,4,1,3
"246",4,8,9,1,2
"247",0,0,0,0,0
"248",0,0,0,0,0
"249",0,0,0,0,0
"250",0,0,0,0,0
"251",0,0,0,0,0
"252",6,5,3,1,4
"253",0,0,0,0,0
"254",0,0,0,0,0
"255",5,4,5,1,4
"256",0,0,0,0,0
"257",5,8,3,1,3
"258",0,0,0,0,0
"259",5,8,5,0,2
"260",6,9,3,3,7
"261",6,6,5,2,3
"262",0,0,0,0,0
"263",0,0,0,0,0
"264",5,3,2,1,3
"265",8,11,3,3,3
"266",4,4,5,1,3
"267",4,2,2,1,5
"268",0,0,0,0,0
"269",0,0,0,0,0
"270",7,6,3,2,4
"271",5,5,5,1,5
"272",5,4,2,1,5
"273",0,0,0,0,0
"274",0,0,0,0,0
"275",5,4,2,1,4
"276",3,3,4,1,3
"277",0,0,0,0,0
"278",0,0,0,0,0
"279",0,0,0,0,0
"280",0,0,0,0,0
"281",0,0,0,0,0
"282",0,0,0,0,0
"283",5,4,3,1,4
"284",0,0,0,0,0
"285",5,4,3,1,3
"286",7,3,5,0,3
"287",5,5,5,1,6
"288",0,0,0,0,0
"289",0,0,0,0,0
"290",0,0,0,0,0
"291",0,0,0,0,0
"292",0,0,0,0,0
"293",3,6,3,1,3
"294",0,0,0,0,0
"295",10,4,3,2,3
"296",5,6,5,2,4
"297",0,0,0,0,0
"298",0,0,0,0,0
"299",6,3,3,2,4
"300",5,4,5,2,3
"301",6,5,3,1,3
"302",0,0,0,0,0
"303",6,6,3,2,3
"304",3,7,7,3,3
"305",0,0,0,0,0
"306",0,0,0,0,0
"307",0,0,0,0,0
"308",7,4,4,1,3
"309",0,0,0,0,0
"310",7,5,4,2,2
"311",4,7,3,1,4
"312",0,0,0,0,0
"313",4,5,4,1,5
"314",5,4,2,1,4
"315",0,0,0,0,0
"316",0,0,0,0,0
"317",6,4,5,2,4
"318",4,3,3,1,2
"319",0,0,0,0,0
"320",0,0,0,0,0
"321",0,0,0,0,0
"322",4,5,3,0,7
"323",0,0,0,0,0
"324",0,0,0,0,0
"325",6,3,4,1,4
"326",0,0,0,0,0
"327",5,6,2,1,4
"328",4,4,3,2,5
"329",4,3,4,2,3
"330",4,4,2,2,4
"331",0,1,0,0,0
"332",0,0,0,0,0
"333",0,0,0,0,0
"334",5,6,5,1,3
"335",4,3,4,1,4
"336",0,0,0,0,0
"337",5,7,4,3,3
"338",4,4,3,1,5
"339",0,0,0,0,0
"340",3,5,5,2,4
"341",6,4,2,1,2
"342",6,6,3,2,4
"343",0,0,0,0,0
"344",2,5,3,2,4
"345",0,0,0,0,0
"346",0,0,0,0,0
"347",0,0,0,0,0
"348",0,0,0,0,0
"349",8,7,6,1,3
"350",0,0,0,0,0
"351",7,4,2,3,5
"352",6,6,3,1,3
"353",5,3,2,2,6
"354",8,3,6,1,4
"355",0,1,0,0,0
"356",0,0,0,0,0
"357",4,5,3,1,4
"358",5,6,5,2,5
"359",0,1,0,0,0
"360",5,5,3,1,4
"361",0,0,0,0,0
"362",4,6,3,2,6
"363",0,0,0,0,0
"364",0,0,0,0,0
"365",0,0,0,0,0
"366",4,4,5,2,5
"367",9,5,3,1,5
"368",4,3,2,1,4
"369",5,3,3,1,3
"370",0,0,0,0,0
"371",0,0,0,0,0
"372",2,5,4,2,4
"373",5,5,3,2,4
"374",0,1,0,0,0
"375",0,0,0,0,0
"376",0,0,0,0,0
"377",5,4,2,1,2
"378",0,0,0,0,0
"379",0,0,0,0,0
"380",5,5,4,1,3
"381",0,1,0,0,0
"382",0,0,0,0,0
