contacts,Isolate,Limit,Onset,Fate,Tcheck,PopSize,lock,self,mod,NumFinalDeaths.mean,NumFinalDeaths.stderr,NumFinalDeaths.mean.E,NumFinalDeaths.stderr.E,NumFinalDeaths.mean.S,NumFinalDeaths.stderr.S,P.outbrk,P.outbrk.E,P.outbrk.S,P.cases.lt.thr,P.cases.lt.thr.E,P.cases.lt.thr.S,N.nodeath,N.nodeath.E,N.nodeath.S,N.death,N.death.E,N.death.S,NumFinalRecovered.mean,NumFinalRecovered.stderr,NumFinalRecovered.mean.E,NumFinalRecovered.stderr.E,NumFinalRecovered.mean.S,NumFinalRecovered.stderr.S,CFR,CFR.E,CFR.S,TimePeakSymptomatic.mean,TimePeakSymptomatic.stderr,TimePeakSymptomatic.mean.E,TimePeakSymptomatic.stderr.E,TimePeakSymptomatic.mean.S,TimePeakSymptomatic.stderr.S
null_model_mixed,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize1000,lockNO,selfNO,modSV,0.1089,0.0003456,NA,NA,NA,NA,0.8416,NA,NA,0.158,NA,NA,395,2500,2500,2105,0,0,0.8422,0.002145,NA,NA,NA,NA,0.1145,NA,NA,37.39,0.174,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,self0.1,modSV,0.1068,0.0003572,NA,NA,NA,NA,0.8248,NA,NA,0.1716,NA,NA,429,2500,2500,2071,0,0,0.8267,0.002523,NA,NA,NA,NA,0.1144,NA,NA,43.79,0.2046,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,self0.2,modSV,0.1029,0.0004059,NA,NA,NA,NA,0.7992,NA,NA,0.198,NA,NA,495,2500,2500,2005,0,0,0.8026,0.00296,NA,NA,NA,NA,0.1136,NA,NA,47.55,0.2343,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,self0.3,modSV,0.09737,0.0004477,NA,NA,NA,NA,0.7432,NA,NA,0.252,NA,NA,630,2500,2500,1870,0,0,0.7681,0.003352,NA,NA,NA,NA,0.1125,NA,NA,54.2,0.3052,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,self0.4,modSV,0.08787,0.0005308,NA,NA,NA,NA,0.7052,NA,NA,0.2856,NA,NA,714,2500,2500,1786,0,0,0.7029,0.004104,NA,NA,NA,NA,0.1111,NA,NA,61.07,0.4095,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,self0.5,modSV,0.07332,0.0005847,NA,NA,NA,NA,0.6292,NA,NA,0.3552,NA,NA,888,2500,2500,1612,0,0,0.5989,0.004651,NA,NA,NA,NA,0.1091,NA,NA,72.17,0.6187,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.1093,0.0003307,NA,NA,NA,NA,0.8396,NA,NA,0.1588,NA,NA,397,2500,2500,2103,0,0,0.8417,0.002287,NA,NA,NA,NA,0.1149,NA,NA,40.32,0.1763,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize500,lockNO,selfNO,modSV,0.1097,0.000378,NA,NA,NA,NA,0.8364,NA,NA,0.1624,NA,NA,406,2500,2500,2094,0,0,0.8426,0.001879,NA,NA,NA,NA,0.1152,NA,NA,34.18,0.1615,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit0,Onset0,FateR,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.02509,8.617e-05,NA,NA,NA,NA,0.8408,NA,NA,0.1576,NA,NA,394,2500,2500,2106,0,0,0.9333,0.001784,NA,NA,NA,NA,0.02618,NA,NA,40.53,0.169,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit10,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07684,0.000218,NA,NA,NA,NA,0.8176,NA,NA,0.1808,NA,NA,452,2500,2500,2048,0,0,0.8764,0.00207,NA,NA,NA,NA,0.08061,NA,NA,44.1,0.1711,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit100,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07508,0.0002151,NA,NA,NA,NA,0.802,NA,NA,0.1968,NA,NA,492,2500,2500,2008,0,0,0.8629,0.002035,NA,NA,NA,NA,0.08005,NA,NA,43.93,0.1775,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit2000,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07408,0.00024,NA,NA,NA,NA,0.8036,NA,NA,0.194,NA,NA,485,2500,2500,2015,0,0,0.8555,0.002389,NA,NA,NA,NA,0.07969,NA,NA,44.11,0.1878,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit25,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07642,0.0002143,NA,NA,NA,NA,0.8076,NA,NA,0.1896,NA,NA,474,2500,2500,2026,0,0,0.8745,0.001995,NA,NA,NA,NA,0.08036,NA,NA,44.33,0.1794,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit250,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07408,0.00024,NA,NA,NA,NA,0.8036,NA,NA,0.194,NA,NA,485,2500,2500,2015,0,0,0.8555,0.002389,NA,NA,NA,NA,0.07969,NA,NA,44.11,0.1878,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset12,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.08168,0.0003001,NA,NA,NA,NA,0.7852,NA,NA,0.2112,NA,NA,528,2500,2500,1972,0,0,0.8525,0.002837,NA,NA,NA,NA,0.08744,NA,NA,44.12,0.2034,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,self0.2,modSV,0.07035,0.0002586,NA,NA,NA,NA,0.7456,NA,NA,0.2508,NA,NA,627,2500,2500,1873,0,0,0.8222,0.002633,NA,NA,NA,NA,0.07881,NA,NA,52.55,0.2409,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,self0.5,modSV,0.04325,0.0004009,NA,NA,NA,NA,0.5424,NA,NA,0.434,NA,NA,1085,2500,2500,1415,0,0,0.531,0.004707,NA,NA,NA,NA,0.07531,NA,NA,78.55,0.6992,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07585,0.0002095,NA,NA,NA,NA,0.8072,NA,NA,0.1908,NA,NA,477,2500,2500,2023,0,0,0.8707,0.001941,NA,NA,NA,NA,0.08013,NA,NA,44.42,0.1759,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset48,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.08196,0.0002172,NA,NA,NA,NA,0.8432,NA,NA,0.1552,NA,NA,388,2500,2500,2112,0,0,0.8666,0.001897,NA,NA,NA,NA,0.0864,NA,NA,43.76,0.1665,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit500,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07408,0.00024,NA,NA,NA,NA,0.8036,NA,NA,0.194,NA,NA,485,2500,2500,2015,0,0,0.8555,0.002389,NA,NA,NA,NA,0.07969,NA,NA,44.11,0.1878,NA,NA,NA,NA
