"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",78,8,74,10,11,5,8
"2",67,9,61,13,8,3,8
"3",78,9,69,7,12,7,7
"4",67,7,81,6,7,5,6
"5",69,11,70,10,12,5,8
"6",73,10,81,7,10,5,7
"7",72,8,75,8,13,5,6
"8",79,6,66,7,14,5,6
"9",81,10,73,9,14,5,7
"10",65,6,64,12,13,6,6
"11",75,7,67,11,9,5,7
"12",87,8,76,8,13,4,7
"13",0,0,1,0,0,0,0
"14",67,7,74,9,11,5,6
"15",61,10,65,11,11,4,7
"16",77,7,73,8,15,6,7
"17",0,0,1,0,0,0,0
"18",64,6,60,6,11,7,6
"19",0,0,1,0,0,0,0
"20",69,8,68,10,11,4,6
"21",74,9,81,13,10,4,6
"22",67,7,75,9,10,6,6
"23",79,6,72,8,13,5,6
"24",0,0,1,0,0,0,0
"25",1,0,1,0,0,0,0
"26",73,9,59,8,13,7,8
"27",65,8,63,6,9,4,7
"28",65,8,64,8,10,6,5
"29",78,7,80,9,9,5,7
"30",79,7,78,10,9,4,6
"31",73,7,69,10,10,6,5
"32",74,7,71,8,7,4,5
"33",61,6,65,8,9,5,6
"34",70,10,73,8,10,4,8
"35",72,8,68,8,9,3,6
"36",72,8,61,9,12,3,5
"37",0,0,1,0,0,0,0
"38",71,10,68,9,14,4,6
"39",66,8,67,10,13,6,9
"40",0,0,1,0,0,0,0
"41",69,9,70,9,13,6,6
"42",0,0,1,0,0,0,0
"43",73,6,71,15,9,5,9
"44",67,7,66,10,12,4,6
"45",0,0,1,0,0,0,0
"46",80,7,73,8,8,5,7
"47",74,8,69,9,9,4,6
"48",0,0,1,0,0,0,0
"49",74,7,70,14,13,4,6
"50",0,0,1,0,0,0,0
"51",0,0,1,0,0,0,0
"52",81,8,86,7,15,5,7
"53",0,0,1,0,0,0,0
"54",63,10,66,9,9,5,5
"55",69,8,69,7,14,5,6
"56",72,7,59,10,11,6,9
"57",76,8,84,9,12,6,5
"58",81,9,71,11,12,4,7
"59",80,8,65,10,10,4,7
"60",73,8,70,9,10,5,7
"61",72,6,69,9,13,5,6
"62",0,0,1,0,0,0,0
"63",0,0,1,0,0,0,0
"64",66,8,85,9,10,4,5
"65",0,0,1,0,0,0,0
"66",75,9,69,14,12,6,8
"67",91,9,73,11,11,6,6
"68",67,6,75,11,14,5,11
"69",0,0,1,0,0,0,0
"70",59,6,71,11,15,7,6
"71",0,0,1,0,0,0,0
"72",69,8,66,9,13,4,7
"73",78,10,83,11,11,3,6
"74",62,8,74,14,11,4,7
"75",82,9,70,11,11,4,7
"76",64,11,69,9,11,4,5
"77",0,0,1,0,0,0,0
"78",76,7,82,16,10,6,5
"79",67,8,78,7,10,5,6
"80",65,11,64,9,12,9,12
"81",0,0,1,0,0,0,0
"82",70,9,71,9,10,4,8
"83",79,7,87,10,10,6,7
"84",67,7,63,10,13,4,8
"85",71,6,66,13,9,4,7
"86",58,10,84,10,10,4,6
"87",0,0,1,0,0,0,0
"88",0,0,1,0,0,0,0
"89",69,11,63,11,11,7,8
"90",67,9,65,8,10,4,9
"91",83,9,71,11,12,6,7
"92",83,6,59,7,8,4,6
"93",1,0,1,0,0,0,0
"94",67,8,88,9,10,5,6
"95",83,12,83,7,9,5,5
"96",0,0,1,0,0,0,0
"97",81,6,73,11,11,5,7
"98",86,6,79,8,10,4,6
"99",76,9,70,8,10,6,9
"100",78,8,73,10,8,3,7
"101",65,7,62,10,11,4,5
"102",1,0,1,0,0,0,0
"103",89,6,75,7,12,5,5
"104",72,8,57,9,11,6,9
"105",82,7,66,11,11,6,6
"106",62,8,74,7,10,6,5
"107",75,6,82,8,12,5,5
"108",82,7,75,9,12,6,7
"109",1,0,1,0,0,0,0
"110",60,7,71,8,9,5,7
"111",80,7,60,9,14,4,6
"112",64,8,60,8,10,4,7
"113",0,0,1,0,0,0,0
"114",68,5,70,7,8,3,6
"115",80,8,78,7,11,3,5
"116",68,7,61,10,10,3,8
"117",62,10,65,9,9,4,7
"118",77,7,63,8,11,5,6
"119",61,5,64,8,11,8,7
"120",1,0,1,0,0,0,0
"121",0,0,1,0,0,0,0
"122",74,7,69,10,11,4,5
"123",63,7,71,8,13,5,8
"124",0,0,1,0,0,0,0
"125",73,7,70,8,11,5,8
"126",65,7,72,8,12,6,6
"127",86,7,73,7,11,6,6
"128",68,6,76,9,10,4,6
"129",0,0,1,0,0,0,0
"130",75,7,67,8,11,3,8
"131",84,5,68,9,10,5,7
"132",65,8,75,9,13,6,7
"133",74,9,77,10,10,5,8
"134",0,0,1,0,0,0,0
"135",66,9,69,6,11,5,6
"136",65,6,68,8,10,4,7
"137",75,7,71,11,10,3,9
"138",82,8,70,8,11,5,6
"139",64,6,68,8,10,4,5
"140",76,10,78,11,10,5,8
"141",0,0,1,0,0,0,0
"142",91,9,81,8,10,6,6
"143",0,0,1,0,0,0,0
"144",72,6,61,8,13,4,8
"145",75,8,63,12,12,5,6
"146",65,7,63,13,16,6,9
"147",85,10,72,12,11,5,8
"148",74,7,82,9,13,5,7
"149",66,9,59,12,12,6,6
"150",59,7,66,9,9,5,6
"151",79,7,84,7,12,4,7
"152",73,8,72,8,10,4,6
"153",72,10,72,7,12,6,5
"154",61,8,76,7,10,4,7
"155",72,9,64,11,12,4,7
"156",68,8,70,10,13,6,5
"157",72,5,60,7,11,4,7
"158",74,7,61,9,11,4,7
"159",82,6,77,7,15,7,6
"160",70,9,61,11,13,4,7
"161",75,8,75,9,12,3,6
"162",71,10,77,7,11,6,6
"163",73,7,69,6,12,5,6
"164",76,10,59,8,12,5,6
"165",75,7,73,9,10,5,7
"166",0,0,1,0,0,0,0
"167",76,11,69,7,10,4,5
"168",68,9,66,11,13,7,6
"169",82,7,62,9,10,4,7
"170",71,8,66,7,9,4,7
"171",69,9,67,10,9,3,6
"172",0,0,1,0,0,0,0
"173",73,9,72,10,10,6,8
"174",75,8,66,12,10,5,7
"175",73,6,64,10,10,3,7
"176",77,6,75,9,11,5,6
"177",0,0,1,0,0,0,0
"178",0,0,1,0,0,0,0
"179",74,11,70,9,14,6,8
"180",70,10,73,8,12,4,7
"181",85,8,65,7,9,5,6
"182",66,9,70,10,11,3,6
"183",65,7,68,10,10,7,10
"184",82,9,69,13,10,4,7
"185",67,7,73,8,10,4,5
"186",63,7,79,11,8,4,5
"187",71,6,80,10,10,5,6
"188",0,0,1,0,0,0,0
"189",1,0,1,0,0,0,0
"190",0,0,1,0,0,0,0
"191",85,9,80,10,13,4,5
"192",78,7,64,10,9,4,7
"193",77,7,71,7,11,4,5
"194",72,7,79,11,12,4,7
"195",0,0,1,0,0,0,0
"196",83,7,67,9,13,5,7
"197",80,6,73,8,13,4,6
"198",79,7,72,7,10,3,6
"199",77,10,83,10,9,6,6
"200",62,8,65,9,10,5,8
"201",68,10,60,9,12,4,5
"202",66,9,77,9,16,3,7
"203",70,6,78,9,10,3,6
"204",80,7,82,7,9,5,6
"205",83,8,76,9,12,5,6
"206",60,8,74,8,13,4,8
"207",73,8,62,8,11,3,7
"208",76,10,73,9,12,4,8
"209",66,7,72,10,7,5,5
"210",66,5,69,8,12,4,6
"211",0,0,1,0,0,0,0
"212",59,6,73,11,11,4,6
"213",60,6,58,13,11,5,5
"214",0,0,1,0,0,0,0
"215",68,5,76,10,12,6,6
"216",1,0,1,0,0,0,0
"217",68,10,73,8,11,4,7
"218",0,0,1,0,0,0,0
"219",80,6,76,9,11,5,5
"220",77,6,80,8,11,4,7
"221",76,8,66,8,11,4,8
"222",89,7,77,9,10,4,5
"223",86,9,91,8,10,4,6
"224",56,10,65,11,15,5,4
"225",68,8,67,8,12,5,5
"226",73,7,75,8,9,4,7
"227",86,8,84,9,7,4,7
"228",75,9,64,11,10,5,8
"229",72,7,66,6,10,5,6
"230",61,8,74,10,14,5,7
"231",0,0,1,0,0,0,0
"232",79,7,78,8,12,5,6
"233",71,7,66,11,11,4,8
"234",0,0,1,0,0,0,0
"235",64,7,69,9,9,4,6
"236",1,0,1,0,0,0,0
"237",77,7,79,7,11,9,5
"238",55,6,63,7,13,3,6
"239",67,7,78,10,12,4,9
"240",77,8,74,9,11,5,6
"241",93,7,77,8,13,5,7
"242",0,0,1,0,0,0,0
"243",69,7,80,9,12,3,6
"244",0,0,1,0,0,0,0
"245",78,4,78,8,11,6,7
"246",90,5,89,9,8,7,6
"247",72,8,74,10,10,4,8
"248",66,14,69,9,12,4,9
"249",0,0,1,0,0,0,0
"250",64,7,73,9,13,5,5
"251",0,0,1,0,0,0,0
"252",2,0,1,0,0,0,0
"253",75,6,77,11,12,4,7
"254",69,6,57,8,9,4,5
"255",0,0,1,0,0,0,0
"256",0,0,1,0,0,0,0
"257",66,8,74,11,11,3,6
"258",67,8,75,9,10,5,7
"259",84,9,84,10,11,5,6
"260",0,0,1,0,0,0,0
"261",0,0,1,0,0,0,0
"262",69,6,70,7,9,5,6
"263",81,7,68,10,12,8,6
"264",70,6,72,7,8,4,5
"265",1,0,1,0,0,0,0
"266",70,8,67,7,9,4,4
"267",0,0,1,0,0,0,0
"268",74,11,80,11,11,6,8
"269",0,0,1,0,0,0,0
"270",77,10,81,7,10,3,9
"271",64,9,74,9,10,5,5
"272",0,0,1,0,0,0,0
"273",80,6,67,7,10,6,6
"274",85,9,76,9,12,5,10
"275",75,7,70,12,16,6,7
"276",72,8,76,7,9,4,6
"277",63,6,69,7,11,5,6
"278",62,5,69,9,9,3,7
"279",1,0,1,0,0,0,0
"280",73,7,70,11,15,5,9
"281",84,9,86,9,12,3,5
"282",72,7,58,10,12,4,5
"283",71,10,65,9,11,3,9
"284",76,8,71,12,11,5,6
"285",85,11,71,12,9,4,7
"286",0,0,1,0,0,0,0
"287",0,0,1,0,0,0,0
"288",66,7,63,10,11,4,5
"289",1,0,1,0,0,0,0
"290",74,6,72,9,9,7,6
"291",0,0,1,0,0,0,0
"292",79,10,70,10,13,4,10
"293",74,10,64,12,12,5,7
"294",64,6,60,10,9,6,7
"295",62,8,60,8,13,5,5
"296",66,10,69,9,11,4,6
"297",77,10,64,10,13,4,10
"298",91,8,79,9,14,5,7
"299",66,7,65,10,14,6,5
"300",0,0,1,0,0,0,0
"301",59,6,70,9,9,5,5
"302",0,0,1,0,0,0,0
"303",0,0,1,0,0,0,0
"304",66,7,66,8,10,6,5
"305",1,0,1,0,0,0,0
"306",70,6,66,10,14,5,10
"307",67,6,56,11,13,4,7
"308",1,0,1,0,0,0,0
"309",68,11,66,12,13,5,9
"310",64,10,73,9,11,3,5
"311",0,0,1,0,0,0,0
"312",0,0,1,0,0,0,0
"313",70,7,62,7,11,5,5
"314",81,8,78,12,10,5,6
"315",68,8,78,8,12,4,7
"316",0,0,1,0,0,0,0
"317",0,0,1,0,0,0,0
"318",65,8,74,10,9,4,6
"319",74,9,77,9,16,5,5
"320",84,8,75,13,12,5,10
"321",80,6,63,8,13,3,6
"322",62,10,64,8,9,4,6
"323",0,0,1,0,0,0,0
"324",72,6,65,9,9,6,6
"325",68,5,79,11,9,5,8
"326",72,10,84,12,13,6,7
"327",66,11,75,9,10,4,8
"328",0,0,1,0,0,0,0
"329",0,0,1,0,0,0,0
"330",63,7,64,8,14,4,8
"331",63,8,69,10,10,5,5
"332",71,8,65,10,11,4,6
"333",1,0,2,0,0,0,0
"334",70,7,74,9,13,4,6
"335",64,7,71,10,11,3,6
"336",66,7,56,15,10,4,9
"337",67,7,70,9,12,7,9
"338",77,9,62,11,11,5,10
"339",60,7,65,11,10,6,5
"340",69,8,67,13,10,5,6
"341",82,8,66,8,10,4,6
"342",77,7,70,8,10,5,6
"343",74,9,77,9,10,6,6
"344",64,7,69,8,9,5,8
"345",76,7,73,7,9,5,7
"346",78,6,69,8,13,5,5
"347",75,8,65,8,12,4,6
"348",73,7,67,10,8,4,6
"349",0,0,1,0,0,0,0
"350",64,7,59,12,10,3,6
"351",97,6,80,13,12,3,6
"352",72,8,65,12,11,4,8
"353",72,9,61,10,10,4,8
"354",78,6,74,7,13,4,9
"355",74,10,66,9,13,5,6
"356",65,7,71,10,12,4,6
"357",63,9,64,9,12,5,7
"358",78,7,68,8,10,6,8
"359",60,7,67,6,11,4,7
"360",69,6,75,9,11,4,6
"361",77,10,67,11,11,4,5
"362",74,7,85,9,9,4,7
"363",63,9,64,10,12,5,7
"364",72,9,84,9,9,6,8
"365",73,6,68,10,14,5,6
"366",0,0,1,0,0,0,0
"367",67,10,66,9,13,5,7
"368",76,6,75,9,11,4,5
"369",0,0,1,0,0,0,0
"370",89,8,71,9,10,3,8
"371",0,0,1,0,0,0,0
"372",77,6,67,9,9,4,6
"373",71,8,72,9,11,4,9
"374",0,0,1,0,0,0,0
"375",62,7,78,10,16,5,7
"376",68,8,66,13,9,6,6
"377",73,6,73,9,10,6,10
"378",0,0,1,0,0,0,0
"379",0,0,1,0,0,0,0
"380",66,6,70,11,13,5,6
"381",0,0,1,0,0,0,0
"382",72,7,64,9,12,6,6
"383",87,6,79,9,13,3,5
"384",76,9,70,9,11,4,5
"385",0,0,1,0,0,0,0
"386",59,7,62,11,13,6,8
"387",79,7,70,8,13,3,10
"388",69,7,62,7,16,6,6
"389",72,7,65,7,14,4,7
"390",0,0,1,0,0,0,0
"391",79,11,78,9,10,5,7
"392",0,0,1,0,0,0,0
"393",68,10,74,9,12,4,8
"394",0,0,1,0,0,0,0
"395",67,8,59,8,10,4,8
"396",69,8,82,9,12,4,6
"397",79,8,80,9,11,7,6
"398",77,8,68,10,11,4,7
"399",64,6,60,10,10,5,7
"400",0,0,1,0,0,0,0
"401",0,0,1,0,0,0,0
"402",88,9,69,6,10,3,6
"403",60,8,60,8,10,4,5
"404",81,9,72,9,11,5,10
"405",69,7,68,11,11,5,6
"406",68,6,64,7,12,6,5
"407",68,7,77,8,12,5,7
"408",65,6,80,12,11,5,9
"409",75,7,73,8,13,5,7
"410",69,7,60,13,10,5,8
"411",0,0,1,0,0,0,0
"412",1,0,1,0,0,0,0
"413",79,8,82,10,11,5,6
"414",60,14,71,9,11,4,7
"415",75,6,63,10,12,7,6
"416",82,7,71,9,12,4,6
"417",79,10,70,10,14,5,6
"418",0,0,1,0,0,0,0
"419",82,6,77,6,11,3,10
"420",76,9,73,8,10,5,6
"421",0,0,1,0,0,0,0
"422",70,6,59,8,8,4,7
