"time" "age1_orange.S" "age1_green.S" "age2_no_comorbid_orange.S" "age2_no_comorbid_green.S" "age2_comorbid_green.S" "age3_no_comorbid_green.S" "age3_comorbid_green.S" "age1_orange.E" "age1_green.E" "age2_no_comorbid_orange.E" "age2_no_comorbid_green.E" "age2_comorbid_green.E" "age3_no_comorbid_green.E" "age3_comorbid_green.E" "age1_orange.P" "age1_green.P" "age2_no_comorbid_orange.P" "age2_no_comorbid_green.P" "age2_comorbid_green.P" "age3_no_comorbid_green.P" "age3_comorbid_green.P" "age1_orange.A" "age1_green.A" "age2_no_comorbid_orange.A" "age2_no_comorbid_green.A" "age2_comorbid_green.A" "age3_no_comorbid_green.A" "age3_comorbid_green.A" "age1_orange.I" "age1_green.I" "age2_no_comorbid_orange.I" "age2_no_comorbid_green.I" "age2_comorbid_green.I" "age3_no_comorbid_green.I" "age3_comorbid_green.I" "age1_orange.H" "age1_green.H" "age2_no_comorbid_orange.H" "age2_no_comorbid_green.H" "age2_comorbid_green.H" "age3_no_comorbid_green.H" "age3_comorbid_green.H" "age1_orange.R" "age1_green.R" "age2_no_comorbid_orange.R" "age2_no_comorbid_green.R" "age2_comorbid_green.R" "age3_no_comorbid_green.R" "age3_comorbid_green.R" "age1_orange.D" "age1_green.D" "age2_no_comorbid_orange.D" "age2_no_comorbid_green.D" "age2_comorbid_green.D" "age3_no_comorbid_green.D" "age3_comorbid_green.D"
0 752 62.4 847 93.8 125.2 44 74.6 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 751.985738001791 62.3999953957671 846.990495599101 93.7999930994283 125.199990789429 43.9999967678744 74.5999945200779 0.0136299021979896 4.36059476136736e-06 0.882903723740068 6.53493747974456e-06 8.72253915206844e-06 3.0607544637762e-06 5.18937006812965e-06 0.00019094086158182 6.48700255558904e-08 0.0161353062679626 9.72745006391703e-08 1.29837606396846e-07 4.55739022427666e-08 7.72684797115998e-08 5.33689066192629e-05 2.15373499878978e-08 0.0129549119912915 3.23304361015497e-08 4.31532046899149e-08 1.5155198015006e-08 2.56949493618056e-08 0.000373194297472427 1.50585151104609e-07 0.0904256362492718 2.2593917515558e-07 3.00257713544588e-07 1.05580022151176e-07 1.77394336324221e-07 1.11022880666888e-06 5.05161160942861e-10 0.000554390724110373 7.93953706640562e-10 3.13683577284893e-09 1.01430192482934e-09 4.15234518265393e-09 1.33180364798245e-05 6.06546148636094e-09 0.00629599397378 8.96653227115638e-09 9.60625924259025e-09 3.56388525073723e-09 3.19192681303065e-09 1.63680394568545e-07 7.50121310504932e-11 0.000234437952707494 3.29563938255082e-10 2.04033194070129e-09 4.83860336427678e-10 2.84999160901413e-09
2 751.947046091398 62.3999874016225 846.964710381078 93.7999812754027 125.199975007254 43.999991266646 74.5999851929951 0.0483346324519978 1.13188016443668e-05 0.795773562335054 1.68136996659833e-05 2.24421662919096e-05 7.83993180228424e-06 1.32922480102365e-05 0.000772254824249476 1.85375413299844e-07 0.0145126483775669 2.75723973696127e-07 3.68023896660502e-07 1.28649491276207e-07 2.1811936475466e-07 0.00044904598141495 1.2655421806107e-07 0.0245550440035486 1.89091280982609e-07 2.52390494445871e-07 8.84308278672909e-08 1.49930449065907e-07 0.00313656692061762 8.83723524391116e-07 0.17085562189981 1.31908232132769e-06 1.74469852630735e-06 6.12870164219755e-07 1.01976001337457e-06 1.96700364608841e-05 6.30066577275575e-09 0.0022725265720393 9.86930688554279e-09 3.88495309099913e-08 1.25564456632615e-08 5.10156845999937e-08 0.000238589333664297 7.6596981054412e-08 0.0262986757764088 1.12860986874491e-07 1.20552111653859e-07 4.46951702341949e-08 3.98440954529999e-08 3.14905344345137e-06 1.02502819253041e-09 0.00102153995768 4.26965810738431e-09 2.60650827708817e-08 6.22016004679233e-09 3.60872233050385e-08
3 751.888559465554 62.3999765309769 846.925732458922 93.7999655394205 125.199954003576 43.9999840270191 74.5999729185368 0.0971395899441709 2.00908234941462e-05 0.731953539020199 2.94536561630345e-05 3.93134088657987e-05 1.36410178114126e-05 2.31277256529859e-05 0.00162165317681021 3.39053358034407e-07 0.0133117847422388 4.97964205867724e-07 6.64660112736026e-07 2.30841888720718e-07 3.91381929512851e-07 0.00142690436218885 3.37854524363797e-07 0.0333877230684094 5.00972526319922e-07 6.68675482891837e-07 2.33381283125194e-07 3.95687357298625e-07 0.00995579545573717 2.35639950188293e-06 0.231594476677829 3.48876775838898e-06 4.59380584035797e-06 1.60946287206186e-06 2.65348600430657e-06 9.64518780993916e-05 2.55724133736946e-08 0.00482111422798408 3.98440349046386e-08 1.56285828193141e-07 5.04376734318881e-08 2.03436742855988e-07 0.00118342036843097 3.14789687192596e-07 0.0568954455818683 4.61423220941803e-07 4.9145424301356e-07 1.81905404316996e-07 1.61444179699655e-07 1.67192606418252e-05 4.53011507915908e-09 0.00230345776008825 1.79515147799575e-08 1.08133336118979e-07 2.59340132449987e-08 1.48301283227744e-07
4 751.813216729896 62.3999626085087 846.87551909557 93.7999459006331 125.199927790611 43.9999751172451 74.59995781242 0.155531223355148 3.0613699334229e-05 0.686681000465776 4.41508859028404e-05 5.89306067701026e-05 2.02723638863743e-05 3.43708714982619e-05 0.00265273673270175 5.24230034817591e-07 0.012455173104894 7.57708800483284e-07 1.01135545650858e-06 3.48317960914822e-07 5.90557270096511e-07 0.00310207110116343 6.6922362314918e-07 0.0401563601910808 9.82327633117621e-07 1.31116652096297e-06 4.55245792875519e-07 7.71848548829855e-07 0.0216200631308025 4.66233009419419e-06 0.277711064498954 6.82989175105829e-06 8.95536171048767e-06 3.1248309281893e-06 5.10762414662295e-06 0.000285047948441388 6.75205021424487e-08 0.00793267592307365 1.04465194159708e-07 4.08369610474177e-07 1.31470061825398e-07 5.26611249583839e-07 0.00353879749740012 8.41543290935357e-07 0.0955192867797082 1.22512621873063e-06 1.30130423688393e-06 4.80416839002958e-07 4.24600326368711e-07 5.33303388652653e-05 1.29444862576556e-08 0.00402534346630315 4.89613249349967e-08 2.91225103222789e-07 7.01094892509181e-08 3.95466957943468e-07
5 751.722741919778 62.3999453043869 846.815218001156 93.79992215716 125.199896098896 43.9999645115623 74.5999398309669 0.220697936474453 4.29764565884458e-05 0.656549186105313 6.08365620777224e-05 8.12018930930794e-05 2.76541538960659e-05 4.68863609237845e-05 0.00381134906235134 7.42215897120609e-07 0.0118792011577496 1.05325894678588e-06 1.40584243217044e-06 4.79420363531302e-07 8.12835434532634e-07 0.00551413663624255 1.13258771965807e-06 0.0454055905243194 1.64230785125924e-06 2.1920782833439e-06 7.56258650885445e-07 1.28220216718305e-06 0.0383899045053874 7.88222398383061e-06 0.313116621610973 1.14012339055689e-05 1.48902876291909e-05 5.16806344824184e-06 8.37945082425008e-06 0.000642509954803646 1.41935056128485e-07 0.0114124719925796 2.17729039668307e-07 8.48382467345724e-07 2.72221840542999e-07 1.08323629364153e-06 0.00807291197759295 1.79090892097441e-06 0.140274833953849 2.58571354525956e-06 2.73938678945046e-06 1.00788202573891e-06 8.87287282855553e-07 0.000129331610914971 2.92850086484923e-08 0.00614409349993738 1.06034619102638e-07 6.23233422348247e-07 1.50437503582334e-07 8.37660131769044e-07
6 751.617985669228 62.3999241734851 846.745394677258 93.7998939509925 125.199858450579 43.9999521150028 74.5999188131637 0.290997213877811 5.73644621580686e-05 0.639124482757461 7.95961832433579e-05 0.000106241387442094 3.57811929939641e-05 6.06653863034027e-05 0.00506548675242146 9.96167796181825e-07 0.0115368040521595 1.3858608096895e-06 1.84978436431903e-06 6.23912936114663e-07 1.0578160235035e-06 0.00866066621777857 1.74030102797096e-06 0.0495601975139762 2.48874969542645e-06 3.3218705956012e-06 1.13757816988795e-06 1.92871207894639e-06 0.0602334899981024 1.2099808902362e-05 0.340849465160448 1.72527582553525e-05 2.2449326212621e-05 7.74150901239568e-06 1.2457807618955e-05 0.00122409269398096 2.59110634395302e-07 0.015121403027139 3.93584921152408e-07 1.52888262840543e-06 4.88559314095352e-07 1.9319596899656e-06 0.0155690944572802 3.30941231264259e-06 0.189786641166439 4.73292728563382e-06 5.00191661802621e-06 1.83268086845389e-06 1.60744356529433e-06 0.000264286774329093 5.72520878402336e-08 0.00862632906463113 1.98943226452004e-07 1.15625357945017e-06 2.79563997128581e-07 1.53771103780059e-06
7 751.499159932069 62.3998986764506 846.66618878223 93.7998608004654 125.199814202753 43.9999377788113 74.5998945068027 0.36558847739392 7.40274995669077e-05 0.632675903163229 0.000100619676849156 0.000134302596391411 4.46990540694744e-05 7.57852143996088e-05 0.00639834402052182 1.29014977983093e-06 0.0113948357441775 1.7582677783665e-06 2.34685635235976e-06 7.82300193034383e-07 1.32635441819094e-06 0.0125188538752952 2.50644128344807e-06 0.0529548626189745 3.53051741439322e-06 4.71237505631182e-06 1.60047814944622e-06 2.71353795337917e-06 0.086978834249479 1.74108604045505e-05 0.363292421393572 2.44419530970627e-05 3.16945870662514e-05 1.08490428984892e-05 1.73366835650759e-05 0.00208077528271431 4.29928718560123e-07 0.0189629299613879 6.45951286012927e-07 2.50185273904289e-06 7.95617871841307e-07 3.12756212966002e-06 0.026794337455638 5.55739430612631e-06 0.243083376794696 7.86466792509171e-06 8.29235301852124e-06 3.02367399772561e-06 2.64286854007744e-06 0.000480445653517455 1.01275413400963e-07 0.0114468880942703 3.38500208618699e-07 1.94662592993425e-06 4.71021612814988e-07 2.5609763563901e-06
8 751.365995763117 62.3998681905608 846.577419207461 93.799822119184 125.199762572727 43.9999213099357 74.5998665845728 0.444186204135734 9.32620169350345e-05 0.635990686799562 0.000124171098126327 0.000165737968927677 5.4489015848821e-05 9.23836495982282e-05 0.00780361054883259 1.6301959848097e-06 0.0114326273641171 2.176276189935e-06 2.90479508507313e-06 9.56533158813752e-07 1.62175849198879e-06 0.0170592138724473 3.44727701484953e-06 0.0558553303824596 4.77852694651699e-06 6.37816176656639e-06 2.14690361253801e-06 3.63997748853035e-06 0.118409694981691 2.39264170601766e-05 0.38232765467179 3.30408860917472e-05 4.27085187370677e-05 1.44997975564745e-05 2.30208769881945e-05 0.00325833198435903 6.65992420210963e-07 0.0228734602672511 9.88860389592943e-07 3.81934466765655e-06 1.2079647507603e-06 4.72187664797603e-06 0.0424848817723615 8.71097293116779e-06 0.299513247476922 1.21885565268475e-05 1.28232019549274e-05 4.65060665821125e-06 4.05168702345752e-06 0.000802299587477912 1.66566910791267e-07 0.0145877855775568 5.36611736586552e-07 3.0552813998978e-06 7.39242737363407e-07 3.97560100013523e-06
9 751.217848507445 62.3998320117425 846.47865408666 93.7997772238341 125.199702648444 43.9999024758106 74.5998346521697 0.526891706594078 0.000115403151064799 0.648244118641804 0.000150571797364418 0.000200976428891525 6.52590309758694e-05 0.000110643720699997 0.00928230929094638 2.02167479974074e-06 0.0116328524802427 2.64467896681068e-06 3.52999793864388e-06 1.14809154830209e-06 1.94653703416602e-06 0.0222541705263793 4.58196829988872e-06 0.0584755141897293 6.24699298586594e-06 8.33820385746698e-06 2.78010121024191e-06 4.71353523372842e-06 0.154325428835842 3.17776200140537e-05 0.399461394503123 4.31447928815111e-05 5.56048467670402e-05 1.87123762942656e-05 2.9532408592803e-05 0.00479742972365339 9.79813135099219e-07 0.0268149932319464 1.43669872243749e-06 5.53447474278836e-06 1.73988722304705e-06 6.76513936100598e-06 0.0633441562099946 1.29648297926931e-05 0.358679584109695 1.79248079667185e-05 1.8819156356342e-05 6.78503680586697e-06 5.89324704955093e-06 0.00125629137394813 2.5920040276127e-07 0.0180374561835143 8.06397057706345e-07 4.54844769749977e-06 1.0996654210749e-06 5.85324237212665e-06
