"time" "age1_orange.S" "age1_green.S" "age2_no_comorbid_orange.S" "age2_no_comorbid_green.S" "age2_comorbid_green.S" "age3_no_comorbid_green.S" "age3_comorbid_green.S" "age1_orange.E" "age1_green.E" "age2_no_comorbid_orange.E" "age2_no_comorbid_green.E" "age2_comorbid_green.E" "age3_no_comorbid_green.E" "age3_comorbid_green.E" "age1_orange.P" "age1_green.P" "age2_no_comorbid_orange.P" "age2_no_comorbid_green.P" "age2_comorbid_green.P" "age3_no_comorbid_green.P" "age3_comorbid_green.P" "age1_orange.A" "age1_green.A" "age2_no_comorbid_orange.A" "age2_no_comorbid_green.A" "age2_comorbid_green.A" "age3_no_comorbid_green.A" "age3_comorbid_green.A" "age1_orange.I" "age1_green.I" "age2_no_comorbid_orange.I" "age2_no_comorbid_green.I" "age2_comorbid_green.I" "age3_no_comorbid_green.I" "age3_comorbid_green.I" "age1_orange.H" "age1_green.H" "age2_no_comorbid_orange.H" "age2_no_comorbid_green.H" "age2_comorbid_green.H" "age3_no_comorbid_green.H" "age3_comorbid_green.H" "age1_orange.R" "age1_green.R" "age2_no_comorbid_orange.R" "age2_no_comorbid_green.R" "age2_comorbid_green.R" "age3_no_comorbid_green.R" "age3_comorbid_green.R" "age1_orange.D" "age1_green.D" "age2_no_comorbid_orange.D" "age2_no_comorbid_green.D" "age2_comorbid_green.D" "age3_no_comorbid_green.D" "age3_comorbid_green.D"
0 752 62.4 847 93.8 125.2 44 74.6 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 751.977464810162 62.3999810856644 846.984982188314 93.799971672818 125.199962190158 43.9999867368099 74.5999775128641 0.0204328020025852 1.70920602774148e-05 0.75878530334644 2.55940142548727e-05 3.4161733312474e-05 1.19825345659539e-05 2.03158426959128e-05 0.00183794212157755 1.58850539791041e-06 0.195155414473159 2.38229377425812e-06 3.17977804410572e-06 1.11619084193947e-06 1.89245083656101e-06 2.78185721885181e-05 2.45811073982431e-08 0.00629174861488187 3.68942070344721e-08 4.92447198370566e-08 1.72932605215221e-08 2.93199371569443e-08 0.000228856292966577 2.0222106314524e-07 0.0517469788066174 3.03532100522032e-07 4.04862164395428e-07 1.42169886342557e-07 2.40729780276186e-07 4.70763932971498e-07 4.21368416359686e-10 0.000177118578527228 6.62377124004184e-10 2.62441027520301e-09 8.47656105609674e-10 3.49089500027325e-09 7.26402531220062e-06 6.51406582891285e-09 0.00281780199776565 9.63585409857104e-09 1.06627014752196e-08 3.93339081149403e-09 3.9858651436495e-09 3.60598500855071e-08 3.23332153926071e-11 4.34458680558397e-05 1.49394400932518e-10 9.36669626234256e-10 2.20495537159332e-10 1.3159274945001e-09
2 751.917337345335 62.399937514576 846.944911352569 93.7999074527033 125.199876472052 43.9999569115505 74.5999269454924 0.0680114266417347 5.08657320063847e-05 0.600600867374188 7.52376278184918e-05 0.00010042378467884 3.50056246616689e-05 5.93504454491023e-05 0.0112351606503473 8.82544278351359e-06 0.264535517787735 1.31353426715776e-05 1.75324616469245e-05 6.13081767148077e-06 1.03945226884651e-05 0.000348433928139003 2.8455095934932e-07 0.0185088325348734 4.25040122788032e-07 5.67324342996392e-07 1.98746289493668e-07 3.36965299914265e-07 0.00286503316309109 2.33968726598637e-06 0.152103659586065 3.49519382244024e-06 4.65862739951573e-06 1.631887764438e-06 2.75941186502976e-06 1.04489213516119e-05 8.71489764254764e-09 0.000883598008181795 1.36506896389138e-08 5.40517342645128e-08 1.74258260703338e-08 7.16801061730822e-08 0.000191211254976165 1.60507213922905e-07 0.018179647841317 2.36808363389609e-07 2.68932280610732e-07 9.85970775859709e-08 1.09586736395834e-07 9.40105436497695e-07 7.88883414153045e-10 0.000276524298962839 3.63321098476593e-09 2.27661764830273e-08 5.35024010282072e-09 3.18954685719059e-08
3 751.827911443226 62.399878582577 846.88531262983 93.7998233093412 125.199764161296 43.9999184835072 74.5998617924917 0.128709789805744 8.92486753596369e-05 0.49955254922356 0.000129307167924332 0.000172593362730558 5.95178423767533e-05 0.000100909796393314 0.0292982634003485 2.13626552127025e-05 0.276376632326647 3.13701159660689e-05 4.18714127820024e-05 1.45410841168881e-05 2.46537471618149e-05 0.00139047673293779 1.06369504449261e-06 0.0310743070035801 1.57558398170579e-06 2.10301827835357e-06 7.33599170329589e-07 1.24378404787698e-06 0.0114274165760788 8.74135784084808e-06 0.255144901198949 1.29499621212688e-05 1.7247466352318e-05 6.01567915244501e-06 1.0157510534034e-05 5.59282352627609e-05 4.38302309701736e-08 0.00191097087798518 6.82108142709916e-08 2.69908688968007e-07 8.6725994586589e-08 3.56290568629048e-07 0.00120082352151927 9.52564549003961e-07 0.0498768419958044 1.39834468968012e-06 1.62031421697065e-06 5.90343370936212e-07 7.00479382964944e-07 5.85850258428302e-06 4.64480141798261e-09 0.000751167544050873 2.12732616728906e-08 1.3322139247875e-07 3.12186419133242e-08 1.8590019907956e-07
4 751.714281329061 62.3998059167493 846.80957851978 93.7997237921999 125.199631330314 43.9998740801478 74.5997865086143 0.194829968979799 0.000129760528517548 0.43818043110471 0.000182891917279777 0.000244115864002431 8.2938371873128e-05 0.000140618239584894 0.0543198016495479 3.76090667008183e-05 0.265496487278988 5.41760692197165e-05 7.23117682975321e-05 2.48600153678105e-05 4.21490260554242e-05 0.00349199079089481 2.53861348397263e-06 0.0418696913959797 3.71541050907378e-06 4.95916200145029e-06 1.71923074321825e-06 2.91487757827458e-06 0.0286832643070181 2.08506084870629e-05 0.343474097938411 3.05220698040351e-05 4.06193415509782e-05 1.40791935599543e-05 2.37377363409245e-05 0.000168661929625774 1.25509691344363e-07 0.00297972862228491 1.93453972847694e-07 7.64954576327738e-07 2.44566347676983e-07 1.00339791359602e-06 0.00420459770811852 3.18349924199313e-06 0.0969713729848664 4.63878772221396e-06 5.45992082475984e-06 1.97609460330222e-06 2.4591563348777e-06 2.03855745871034e-05 1.54245848524507e-08 0.0014496708944661 7.00915527007273e-08 4.3867496781752e-07 1.02379644937801e-07 6.08951865783592e-07
5 751.579163580696 62.3997178542651 846.719516784384 93.799608320873 125.199477204406 43.9998238793385 74.5997013954238 0.262679297335794 0.000173341552016041 0.404835909420489 0.000236686225942407 0.000315918075564919 0.0001054242722739 0.000178742061628021 0.0840949585646713 5.65754848742779e-05 0.248902579330805 7.95550001135818e-05 0.000106186418062052 3.6030380454527e-05 6.10878723160844e-05 0.0068316004183433 4.78884020807865e-06 0.05041813191174 6.90173442531536e-06 9.21212313485591e-06 3.16785788716767e-06 5.37095905415245e-06 0.0560850058608908 3.93110042276579e-05 0.413220456038504 5.66688089109632e-05 7.5356883641566e-05 2.59071240991688e-05 4.36146187595792e-05 0.000373917624420425 2.67285405984442e-07 0.0039294654966481 4.06745678824701e-07 1.60718546939573e-06 5.10387686254179e-07 2.09111579459755e-06 0.0107199288018267 7.82385393371817e-06 0.15684497942095 1.12909444306392e-05 1.3453669417435e-05 4.83426173683051e-06 6.23417994359203e-06 5.17106982936326e-05 3.77142237875313e-08 0.00233169399707603 1.69667467082433e-07 1.06123848904684e-06 2.46377395857949e-07 1.46376864975646e-06
6 751.423570664136 62.3996114147686 846.615799181458 93.7994741492702 125.199298118216 43.9997669996301 74.5996049584638 0.330970111851975 0.000221808067929941 0.391814773668078 0.000293043488412243 0.000391141202017195 0.000127991078896077 0.000217003056491986 0.116828026770413 7.80367543380321e-05 0.234338093397506 0.00010675420534615 0.000142490687732814 4.76019401372265e-05 8.07069257781159e-05 0.0114523732996469 7.85126212879085e-06 0.0569520030509702 1.1110388321358e-05 1.48296441133691e-05 5.04947079953787e-06 8.56114821921648e-06 0.093969799559369 6.44156054231792e-05 0.466344376304169 9.11793347561413e-05 0.000121154517594503 4.12393565491533e-05 6.93234473036759e-05 0.000685883296079015 4.76702119508216e-07 0.00470498656231423 7.14100817057824e-07 2.81957820133974e-06 8.87853966956998e-07 3.63254354985357e-06 0.0224154657478014 1.59204130987479e-05 0.226690884527263 2.2709482524777e-05 2.73224802862549e-05 9.74076760672284e-06 1.29071351104965e-05 0.000107675338323163 7.64263718458075e-08 0.00335570103180127 3.39729619520376e-07 2.12367438944307e-06 4.89901895907143e-07 2.9072797041109e-06
7 751.247309681806 62.3994830974089 846.49829362933 93.7993176602083 125.19908924369 43.9997021301609 74.5994949752273 0.399778375456575 0.000276955037806361 0.394066671171078 0.000354455491440792 0.000473111167680034 0.000151759233301968 0.000257300881916518 0.151368778419583 0.000102279813683358 0.224896707123809 0.000135903254893001 0.000181397521456329 5.95646982370834e-05 0.000100989238374691 0.0173109276487067 1.17611934514316e-05 0.0619523396763526 1.63058971137734e-05 2.17643743991944e-05 7.32665777692165e-06 1.24220152308717e-05 0.14196569934612 9.64453365336249e-05 0.506840098160352 0.000133751911499493 0.000177589894973399 5.97582278967653e-05 0.000100308380849201 0.00110860884606342 7.58259135521062e-07 0.00531266861952984 1.11532176525936e-06 4.40057126895423e-06 1.37180250856466e-06 5.60471333509948e-06 0.0409618468206812 2.85662759017205e-05 0.304150326502631 4.02085884723502e-05 4.87485407316832e-05 1.72318240984183e-05 2.33170854633145e-05 0.000196081655914707 1.36674593993836e-07 0.0044875594168296 5.99326494075158e-07 3.74423991875078e-06 8.57395285537894e-07 5.08245749512871e-06
8 751.049326097629 62.3993291299514 846.366293028732 93.7991348511134 125.198845238373 43.9996277845804 74.5993689256749 0.469901280323573 0.00034035326295745 0.408322439137894 0.000423107850967941 0.000564745233914565 0.00017771277732739 0.000301303936105074 0.187165202374828 0.000129850902105522 0.221461594735997 0.000167607284995742 0.000223714627734189 7.2151858269173e-05 0.000122330196065461 0.0243238371178856 1.65732647496959e-05 0.0659361041165716 2.24796232931619e-05 3.00047850352225e-05 9.97408040126735e-06 1.69105999530578e-05 0.19937441209932 0.00013584061466846 0.538984403482964 0.000184307405939831 0.000244541333214673 8.12481924371779e-05 0.000136191892054424 0.00163923102897322 1.11613951272522e-06 0.00578669543047797 1.60893758723905e-06 6.34367718275104e-06 1.9549966867769e-06 7.97650918801266e-06 0.0679456329080599 4.69120263809427e-05 0.387512783015193 6.50707577164914e-05 7.93739847351057e-05 2.7802227335203e-05 3.82413149217848e-05 0.000324306518128457 2.23838224399997e-07 0.00570295134940191 9.67026124600284e-07 6.03798510727722e-06 1.37128717578447e-06 8.11987681684003e-06
9 750.827925807901 62.3991454838957 846.218662986952 93.7989214527841 125.198560403929 43.9995423792857 74.5992241248798 0.542483358787245 0.00041339617382318 0.432513838608665 0.000500859778589295 0.000668524992317481 0.000206668619628415 0.000350397250551812 0.22412591499505 0.000161399715070771 0.223960720799681 0.000202671622180682 0.00027051692001089 8.57010070564053e-05 0.000145302161963814 0.032402077873651 2.23682315726302e-05 0.0693691530802297 2.96638638446723e-05 3.95939845773238e-05 1.29859919898191e-05 2.2017159146375e-05 0.265454774834741 0.000183256886548401 0.566622304227664 0.000243104496350305 0.000322339886843768 0.000105656600335825 0.000176875692625896 0.00227142725540143 1.55584445388922e-06 0.00616934819518579 2.19531194244849e-06 8.64978067031449e-06 2.63244249745224e-06 1.07263967760346e-05 0.104837468926189 7.21955438271185e-05 0.475714583480325 9.85905466981331e-05 0.000120849457060474 4.19230416338033e-05 5.84125645278595e-05 0.000499169426884181 3.4370899013385e-07 0.00698706465680799 1.4615962390596e-06 9.12104913535069e-06 2.05301115672905e-06 1.2143894559669e-05
