"","age1_orange.A","age1_green.A","age2_no_comorbid_orange.A","age2_no_comorbid_green.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",12,0,10,1,0,0,0
"2",13,0,16,0,0,1,0
"3",10,0,10,0,2,0,1
"4",13,0,12,0,1,0,0
"5",1,0,0,0,0,0,0
"6",15,0,15,0,1,0,0
"7",0,0,0,0,0,0,0
"8",15,0,15,1,0,0,0
"9",14,0,14,0,0,0,0
"10",14,0,13,1,1,0,1
"11",12,0,9,0,0,0,0
"12",0,0,1,0,0,0,0
"13",0,0,0,0,0,0,0
"14",17,0,9,0,0,0,0
"15",15,0,15,0,0,0,0
"16",0,0,0,0,0,0,0
"17",0,0,1,0,0,0,0
"18",0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0
"20",9,0,14,0,0,0,0
"21",15,0,9,1,0,0,0
"22",10,0,17,0,1,0,1
"23",0,0,1,0,0,0,0
"24",19,0,13,1,0,0,1
"25",0,0,0,0,0,0,0
"26",1,0,1,0,0,0,0
"27",0,0,0,0,0,0,0
"28",19,1,17,0,0,0,0
"29",13,0,12,1,0,1,0
"30",0,0,0,0,0,0,0
"31",11,0,9,0,1,0,0
"32",18,1,11,0,1,0,0
"33",0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0
"35",13,0,14,0,0,0,0
"36",0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0
"40",2,0,0,0,0,0,0
"41",8,0,10,1,1,0,0
"42",0,0,0,0,0,0,0
"43",12,0,8,0,0,0,0
"44",0,0,0,0,0,0,0
"45",0,0,1,0,0,0,0
"46",15,0,8,0,0,0,0
"47",13,0,16,0,0,1,0
"48",0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0
"51",11,1,18,1,1,0,0
"52",0,0,1,0,0,0,0
"53",0,0,1,0,0,0,0
"54",0,0,0,0,0,0,0
"55",14,0,12,0,0,0,0
"56",9,0,9,0,0,0,0
"57",1,0,0,0,0,0,0
"58",10,1,12,1,1,0,0
"59",14,0,14,0,0,0,1
"60",9,0,10,0,0,0,0
"61",12,0,11,0,0,0,0
"62",0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0
"65",10,0,10,0,0,0,0
"66",11,0,8,0,0,0,0
"67",12,0,13,0,0,0,1
"68",0,0,0,0,0,0,0
"69",14,0,10,0,0,0,0
"70",15,0,7,0,0,0,1
"71",0,0,1,0,0,0,0
"72",13,0,8,0,0,0,0
"73",0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0
"75",0,0,1,0,0,0,0
"76",12,0,9,0,0,0,1
"77",0,0,0,0,0,0,0
"78",17,0,12,0,0,0,1
"79",16,0,14,0,0,0,1
"80",1,0,0,0,0,0,0
"81",0,0,0,0,0,0,0
"82",13,0,14,0,1,0,0
"83",11,0,10,0,1,0,0
"84",0,0,0,0,0,0,0
"85",19,0,13,0,0,1,1
"86",11,0,9,0,0,0,1
"87",13,1,9,0,0,1,1
"88",0,0,0,0,0,0,0
"89",13,0,10,2,1,0,0
"90",15,1,12,0,1,0,0
"91",11,0,9,0,0,1,1
"92",19,1,19,0,0,0,0
"93",0,0,1,0,0,0,0
"94",0,0,0,0,0,0,0
"95",10,1,14,0,0,1,0
"96",11,1,8,0,0,0,1
"97",0,0,1,0,0,0,0
"98",10,0,7,0,1,0,0
"99",0,0,0,0,0,0,0
"100",0,0,1,0,0,0,0
"101",13,1,19,0,1,0,0
"102",16,0,15,0,0,0,0
"103",8,0,10,0,0,0,0
"104",13,0,14,0,0,0,1
"105",1,0,1,0,0,0,0
"106",0,0,0,0,0,0,0
"107",14,0,13,0,1,0,0
"108",13,0,11,0,0,0,0
"109",0,0,0,0,0,0,0
"110",0,0,0,0,0,0,0
"111",1,0,0,0,0,0,0
"112",0,0,1,0,0,0,0
"113",0,0,0,0,0,0,0
"114",15,0,9,1,1,0,0
"115",22,0,13,0,0,0,0
"116",0,0,1,0,0,0,0
"117",0,0,0,0,0,0,0
"118",1,0,1,0,0,0,0
"119",13,0,8,0,1,0,1
"120",1,0,0,0,0,0,0
"121",0,0,0,0,0,0,0
"122",12,0,12,1,1,0,1
"123",12,0,9,0,0,0,1
"124",1,0,0,0,0,0,0
"125",15,1,8,0,0,0,0
"126",0,0,1,0,0,0,0
"127",0,0,0,0,0,0,0
"128",0,0,0,0,0,0,0
"129",16,0,12,0,0,0,0
"130",1,0,0,0,0,0,1
"131",0,0,0,0,0,0,0
"132",0,0,0,0,0,0,0
"133",0,0,0,0,0,0,0
"134",0,0,1,0,0,0,0
"135",15,0,10,0,0,0,0
"136",14,0,10,0,0,0,0
"137",18,0,15,0,2,1,1
"138",0,0,1,0,0,0,0
"139",15,0,14,0,0,0,0
"140",0,0,1,0,0,0,0
"141",14,1,10,1,0,1,0
"142",0,0,0,0,0,0,0
"143",9,1,10,0,1,0,0
"144",1,0,0,0,0,0,0
"145",0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0
"147",2,0,1,0,0,0,0
"148",0,0,0,0,0,0,0
"149",8,0,13,0,0,0,0
"150",0,0,0,0,0,0,0
"151",14,0,15,0,0,0,0
"152",15,0,11,1,1,0,0
"153",22,0,12,0,1,0,0
"154",0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0
"156",0,0,1,0,0,0,0
"157",0,0,0,0,0,0,0
"158",0,0,1,0,0,0,0
"159",1,0,0,0,0,0,0
"160",1,0,1,0,0,0,0
"161",0,0,0,0,0,0,0
"162",0,0,0,0,0,0,0
"163",12,1,10,1,1,0,0
"164",2,0,0,0,0,0,0
"165",17,0,15,0,0,0,0
"166",0,0,0,0,0,0,0
"167",12,0,9,0,0,0,0
"168",0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0
"170",11,0,12,0,1,0,0
"171",0,0,0,0,0,0,0
"172",2,0,0,0,0,0,0
"173",0,0,0,0,0,0,0
"174",13,0,13,0,0,0,1
