"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",147,11,136,14,18,6,7
"2",0,0,1,0,0,0,0
"3",132,14,140,13,20,7,9
"4",0,0,1,0,0,0,0
"5",160,13,134,11,21,5,11
"6",148,11,140,17,18,6,10
"7",145,13,132,16,20,6,15
"8",140,15,145,16,23,8,10
"9",138,11,141,16,21,8,12
"10",166,15,143,15,20,7,13
"11",0,0,1,0,0,0,0
"12",148,16,166,17,22,8,11
"13",0,0,1,0,0,0,0
"14",170,10,150,16,17,8,8
"15",132,14,134,15,21,8,12
"16",166,13,150,17,18,7,11
"17",131,11,139,14,23,6,8
"18",147,11,140,15,16,5,8
"19",0,0,1,0,0,0,0
"20",149,11,120,13,15,5,9
"21",0,0,1,0,0,0,0
"22",0,0,1,0,0,0,0
"23",150,12,146,17,20,8,9
"24",143,14,149,17,22,6,11
"25",140,16,146,14,15,6,9
"26",164,15,158,17,20,10,9
"27",176,12,146,15,15,7,12
"28",0,0,1,0,0,0,0
"29",159,10,136,20,19,7,9
"30",178,13,152,15,18,7,12
"31",0,0,1,0,0,0,0
"32",159,13,141,16,19,8,12
"33",161,14,145,17,16,7,8
"34",0,0,1,0,0,0,0
"35",135,10,123,14,20,6,11
"36",149,13,151,15,18,7,9
"37",155,16,118,12,21,6,11
"38",157,18,165,15,18,12,14
"39",152,13,141,19,21,6,13
"40",165,14,135,19,17,5,10
"41",128,12,149,14,19,6,8
"42",163,13,155,16,21,10,13
"43",168,9,157,12,20,6,14
"44",160,11,172,9,20,6,9
"45",165,15,149,14,21,5,13
"46",0,0,1,0,0,0,0
"47",149,11,121,15,14,7,9
"48",0,0,1,0,0,0,0
"49",139,12,141,9,20,7,10
"50",0,0,1,0,0,0,0
"51",0,0,1,0,0,0,0
"52",142,11,150,11,15,5,10
"53",159,12,142,16,20,6,12
"54",132,15,140,15,22,6,15
"55",143,12,157,12,18,5,12
"56",137,11,149,11,16,7,11
"57",147,10,146,15,17,4,8
"58",135,10,130,16,19,8,11
"59",0,0,1,0,0,0,0
"60",153,12,140,12,14,6,9
"61",117,11,114,20,23,7,13
"62",164,14,148,19,21,9,10
"63",155,17,125,14,22,7,11
"64",134,14,132,15,27,10,11
"65",160,12,147,16,16,7,9
"66",0,0,1,0,0,0,0
"67",140,14,133,15,24,9,12
"68",0,0,1,0,0,0,0
"69",144,12,126,15,22,9,10
"70",0,0,1,0,0,0,0
"71",153,16,127,15,18,7,12
"72",1,0,1,0,0,0,0
"73",158,14,150,15,18,9,11
"74",149,13,148,12,15,5,12
"75",0,0,1,0,0,0,0
"76",0,0,1,0,0,0,0
"77",144,9,137,18,19,5,11
"78",140,14,159,18,21,5,12
"79",139,16,126,13,16,6,9
"80",144,16,137,19,21,6,10
"81",138,13,158,19,15,10,8
"82",0,0,1,0,0,0,0
"83",152,14,130,12,17,6,8
"84",144,13,154,16,18,7,14
"85",172,11,147,16,21,7,10
"86",139,11,138,17,17,7,11
"87",138,11,138,17,19,9,9
