"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",31.1110371551338,54.8268922311307,34.7077236272729,53.8892061549175,53.6257292305699,58.5311509720896,40.6592281064266
"2",0,0,0,0,0,0,0
"3",30.0378574266664,41.458420474554,27.8945974213714,45.943765199473,42.7406121447466,51.2029818523694,51.3747777302051
"4",0,0,0,0,0,0,0
"5",39.502153161078,56.6239514710925,38.742560250827,56.5967321096003,57.226696263461,53.3777079682662,63.6206323927813
"6",30.9088356745042,41.0562078182654,31.5384290107992,40.9962705555331,47.6518573372718,43.9667811983517,49.4824831721735
"7",34.0415449808672,38.4511515646104,36.5358009434795,41.9212618692456,43.6715312746593,43.440762881463,44.7508749263525
"8",35.3313573622751,43.3770727464297,36.5655150140598,43.274193494831,46.2317453038685,44.4139281218436,41.0405224096499
"9",39.1606150516844,49.2402873852904,42.131476114136,54.3061971812981,52.3552819465629,55.7581244399806,58.6976130662119
"10",28.4452103622399,30.9017951196847,29.3557843251891,30.2294936669639,32.1487196441293,38.3120274729444,36.3660142588276
"11",0,0,0,0,0,0,0
"12",45.5994228663881,57.9520897674484,45.4548104264877,56.1610645689567,60.0039319058366,59.0981434305064,53.1917524324448
"13",0,0,0,0,0,0,0
"14",40.620898247242,59.4084729981899,44.2187553605075,56.256237343711,61.4023305358463,64.3208738252444,66.8265296835495
"15",29.8943428550048,43.3931472918965,34.3153471109907,45.9918747017182,45.8142777284167,44.775147258243,40.267601303871
"16",38.7689117758351,48.0960163929069,42.611256466565,49.5255930282928,53.8945892608847,56.3060141466047,57.2123434093784
"17",24.7539316804187,40.4889325250258,27.0885936784759,39.9948276017827,43.6634988768034,38.2014526597153,41.3837559127389
"18",24.2571478345793,36.0265071149698,27.6411326456261,39.8581475576017,46.5953223899748,41.2080680355565,36.0901942523959
"19",0,0,0,0,0,0,0
"20",31.8573393838656,49.5092494582502,29.71804041288,41.1655128451729,55.3190848203227,48.2395309664531,59.3460404707153
"21",0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0
"23",23.6093536438704,40.1533459614631,23.217805387725,39.9586936132423,43.0163236005543,47.0230920970565,49.8170688535012
"24",27.0215578035441,36.1065546668829,28.1594385900077,41.7678677369461,42.1689405257823,40.2786456867535,37.8238778842584
"25",27.4656715160139,37.6964976415382,30.8825048510586,33.6942689326335,35.3385167227315,33.1722209203119,38.1827456861284
"26",29.1716020642677,38.2145397216147,29.1716020642677,38.6481265060336,42.1215019824121,51.0310376966473,46.6502569335213
"27",23.8010606558363,39.1958374597601,23.8010606558363,41.5341270319172,46.3040760474199,36.1650095029008,48.367730067876
"28",0,0,0,0,0,0,0
"29",26.8176759719289,32.8788003640225,28.6442752335177,36.0760386701992,38.3905175497778,36.0882565607165,47.9367079722435
"30",33.9304591213082,49.0970480000084,36.4359759109402,51.0293792330148,45.9447436642026,51.4631925494989,45.2843647649719
"31",0,0,0,0,0,0,0
"32",31.7722928219435,46.7347661577135,33.3243489598064,47.7265776683448,42.9054585295065,45.4526725408745,43.492545462494
"33",25.2491741153806,44.8917073789247,23.544672729274,48.970253534942,50.2959201672082,51.0180933026514,46.8028701389994
"34",0,0,0,0,0,0,0
"35",29.1236148489679,50.523446565907,31.7119092410172,41.4782915891794,47.4498847864757,51.1733031783808,43.1389421927078
"36",29.8835068368727,40.199282983114,32.1809258793661,37.4303181212031,39.5935304824377,42.4904660204513,42.6458264777972
"37",23.8199035730075,38.005369306851,24.9257741287013,41.6209328438237,43.7231035763487,45.856746009228,41.4363931909089
"38",33.9385840572383,40.8407607621025,33.9385840572383,44.0086390338406,44.4263437037462,48.2497981998267,42.3942844019667
"39",23.4029438924294,34.9597406000839,23.4979733240051,38.3987452981717,42.1707441398652,40.8169863652732,43.9104887636253
"40",37.5847510942848,46.4646632653898,40.2424664362918,41.8421939453448,43.5116291364933,40.0598644223586,43.409367921536
"41",29.7175751074965,36.8718749557555,30.9588381672559,38.4095343445231,46.7152104417439,43.3207651846433,46.8799920519546
