"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",208.191101676685,0,201.71839225433,124.366018379843,177.271346423755,180.583475186625,180.970300054186
"2",204.669304256792,58.6611013815641,213.610356258112,119.208493835559,0,121.61283077415,84.407500832272
"3",204.313557526534,119.455876782609,206.94199646694,87.3795186055255,125.32211049355,0,78.0777384698673
"4",207.583897602809,99.411332086762,246.368683965485,112.880615504526,150.957229597935,0,85.4896272910333
"5",5.21987525482558,0,4.6541975317468,0,0,0,0
"6",179.452430423086,0,168.948143282758,57.3181129656369,63.2527652247326,8.02752088416042,0
"7",0,0,0,0,0,0,0
"8",196.708263239855,0,201.214676717362,119.259378200062,0,111.539547692385,189.809794195223
"9",179.875699426674,131.559615167484,181.769960727781,0,0,38.0334503821109,0
"10",171.992950405193,0,174.443836735181,80.8639372348706,98.4664382426575,0,87.2504615566411
"11",236.639956342559,188.450541236076,229.437565654786,0,70.9941228797978,0,0
"12",3.144847228194,0,15.1872360121134,0,0,0,0
"13",0,0,0,0,0,0,0
"14",238.676053125352,101.619888209876,235.620615584446,0,0,0,0
"15",174.069683264986,0,170.539428008698,76.5265355665611,0,63.3491264869707,0
"16",0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0
"19",0.347058865020226,0,0,0,0,0,0
"20",159.605581830633,99.6866527683873,156.395864268766,74.0334928122795,66.5167868493756,0,99.2097127815486
"21",229.281392428593,115.210648709218,227.13338411009,110.823272501564,96.2090251401709,163.273201395175,101.901061003348
"22",158.716979084142,0,150.216816761951,47.2751920167066,67.6192947504121,92.9866691318757,108.09786336672
"23",0,0,18.7645268571079,0,0,0,0
"24",193.573104485755,94.0071563926753,185.095860255904,88.7186092941401,152.992317600997,0,94.3264836442117
"25",0,0,0,0,0,0,0
"26",34.6871939683891,0,35.9129367390101,0,0,0,0
"27",0,0,0,0,0,0,0
"28",149.325105655546,92.2061485330953,151.94086770672,0,90.6303819171921,0,93.9479002067664
"29",309.807240304982,0,309.858089343648,184.496785862002,0,188.851958104763,201.511593640101
"30",0,0,0,0,0,0,0
"31",224.498829809353,142.952796468306,225.802671132284,159.065818477488,131.878499071265,0,0
"32",190.80848504888,98.7383693382457,174.925714334605,149.039475873254,98.9512720319304,84.1625489539527,0
"33",0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0
"35",202.021880863195,0,185.926011786733,111.101511120228,0,112.036814162612,94.6291134060177
"36",0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0
"40",61.2766011461586,0,62.3964099635683,0,0,0,0
"41",209.924446716487,62.6268192841542,214.69056021512,194.224148707077,58.1288410028753,98.2450083797712,117.797333694508
"42",12.9838910282114,0,2.63029654285032,0,0,0,0
"43",167.022638347639,67.0355417932143,169.866495543467,61.4118796649156,110.517527807147,0,85.4833294129133
"44",0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0
"46",171.789872017831,147.829443041272,201.099152229554,106.968835234767,128.851464820014,103.982206797599,0
"47",159.985410492933,58.6276001720345,159.221524327139,53.2941631746282,83.693181087312,55.3851407961981,0
"48",0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0
"50",0,0,2.59222769582924,0,0,0,0
"51",175.024010067565,105.541544610914,169.76384797978,136.004358025105,88.1305976176288,144.959184906835,0
"52",0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0
"55",189.380558818244,0,178.781624097522,72.2246988848697,0,0,85.4801070663365
"56",248.091131997422,0,255.652033187676,158.560575226834,0,0,119.488247628508
"57",1.93127744226378,0,2.15454855857451,0,0,0,0
"58",198.344101554142,88.6341969187225,193.991071634297,101.508552891067,104.994231531964,0,73.7624000250792
"59",218.194751258743,0,217.640554816223,0,138.673912858571,0,138.256306907692
"60",198.454244943519,116.494780517645,211.172880780187,0,126.187172055656,133.268926505039,0
"61",189.350036423416,134.845913628703,191.74567640493,131.124768012427,0,47.3537071488775,0
"62",0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0
"65",230.599630363107,0,215.312222866498,0,0,111.627725417602,114.595877823331
"66",236.849857819366,117.840956841624,231.48359878966,110.411540748756,0,127.284792061988,0
"67",267.402953089258,0,266.236312138379,161.036633144464,141.573730454815,95.5814028638184,159.13736747118
"68",10.1930442300303,0,6.23308169958506,0,0,0,0
"69",199.426700583744,0,196.265987347551,116.670004455223,129.358442496641,127.783316199235,106.852372768186
"70",223.239984369433,68.5335679511385,198.789603375766,122.291443773741,98.7445667347551,0,18.6193826545308
"71",0,0,0,0,0,0,0
"72",186.712065477531,76.522183778643,195.748971858149,148.456187992862,88.7402208062987,132.213514474426,58.4217359860786
"73",0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0
"76",248.587580950547,0,244.082674734114,0,140.577867132227,187.821611022877,51.9475270377767
"77",0,0,0,0,0,0,0
"78",190.759220164426,109.604478612712,192.00105299108,172.899003860024,130.017712393379,111.54121712663,114.982372693175
"79",149.282068599239,0,158.300526590718,87.760583619804,78.7842903198313,0,104.544318263943
"80",19.5835680082323,0,15.7634744154954,0,0,0,0
"81",0,0,0,0,0,0,0
"82",139.813505403233,52.6040919702654,141.411395853715,0,91.9999020421079,0,0
"83",207.574626715172,128.486683478856,184.499343453738,100.31624506423,157.2559887994,103.395438191488,75.8989680743746
"84",0,0,0,0,0,0,0
"85",196.261333533413,0,195.893100169799,133.213655524511,166.016534977439,78.9586322575662,130.237270127567
"86",188.904492850126,105.131782226633,202.732566022561,0,83.9741255855223,50.2479420802084,99.9220197718771
"87",213.579467301954,132.639310753645,177.548995139567,0,121.407373816014,113.899148430928,179.170708413653
"88",0,0,16.6731714376653,0,0,0,0
"89",140.365911006313,67.933168950777,153.632669399315,126.396113769574,88.673972947355,80.7787298002114,0
