"","age1_orange.A","age1_green.A","age2_no_comorbid_orange.A","age2_no_comorbid_green.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",48,4,50,7,3,2,5
"2",42,3,44,4,7,3,3
"3",37,5,38,4,4,3,5
"4",0,0,0,0,0,0,0
"5",43,5,42,4,10,2,4
"6",46,5,40,7,5,3,2
"7",47,4,51,3,5,4,4
"8",54,6,46,8,10,3,5
"9",0,0,0,0,0,0,0
"10",50,8,36,6,11,3,5
"11",41,6,51,6,6,2,4
"12",32,3,51,7,7,4,3
"13",52,5,51,4,9,3,5
"14",46,4,49,3,5,3,5
"15",50,5,56,9,3,2,6
"16",0,0,0,0,0,0,0
"17",51,5,45,5,6,2,4
"18",45,5,49,7,9,5,3
"19",0,0,0,0,0,0,0
"20",41,5,35,7,8,2,4
"21",48,6,43,6,6,2,4
"22",46,3,45,5,7,3,3
"23",48,3,43,7,9,3,3
"24",36,6,40,6,6,2,3
"25",39,4,39,5,9,2,5
"26",43,7,42,4,10,3,5
"27",46,2,45,11,9,3,3
"28",0,0,0,0,0,0,0
"29",41,7,60,5,9,3,3
"30",33,4,40,4,5,3,7
"31",50,3,48,7,6,3,4
"32",39,4,42,7,6,2,3
"33",45,4,47,4,5,2,2
"34",0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0
"37",41,3,44,4,5,1,4
"38",49,6,36,7,8,3,5
"39",45,6,42,6,7,4,7
"40",0,0,0,0,0,0,0
"41",37,8,47,4,8,1,5
"42",39,6,44,5,9,3,4
"43",47,6,36,5,7,4,3
"44",37,4,48,6,3,2,2
"45",37,4,39,9,6,3,6
"46",45,5,42,6,4,2,5
"47",38,3,51,4,8,2,5
"48",50,6,45,5,5,2,2
"49",46,4,50,7,7,3,5
"50",48,5,49,4,8,1,3
"51",52,3,37,5,7,3,3
"52",42,5,41,6,8,4,4
"53",41,2,30,6,7,6,4
"54",36,4,42,3,10,2,5
"55",39,4,45,7,7,4,3
"56",37,2,44,4,5,4,2
"57",47,5,35,6,10,3,3
"58",39,5,42,7,7,2,3
"59",0,0,1,0,0,0,0
"60",39,5,36,9,7,2,4
"61",41,4,50,7,5,2,5
"62",49,3,39,6,7,2,6
"63",33,6,42,5,8,1,5
"64",59,4,48,9,7,2,6
"65",44,7,53,5,8,2,3
"66",39,5,46,6,6,4,5
"67",49,7,34,5,9,3,3
"68",41,2,48,6,9,3,4
"69",42,2,36,4,4,1,6
"70",0,0,0,0,0,0,0
"71",43,5,46,6,8,2,3
"72",0,0,1,0,0,0,0
"73",39,4,46,5,7,1,4
"74",52,2,43,6,6,2,5
"75",48,4,51,4,6,2,4
"76",45,7,48,4,8,1,4
"77",55,3,43,4,6,2,6
"78",0,0,0,0,0,0,0
"79",2,0,0,0,0,0,0
"80",42,4,42,9,7,3,6
"81",45,6,49,7,7,2,3
"82",61,2,41,7,7,2,6
