"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",108,9,118,11,20,6,7
"2",127,9,128,10,11,5,5
"3",105,11,110,11,18,6,10
"4",0,0,1,0,0,0,0
"5",84,8,93,11,17,5,9
"6",126,12,95,11,17,5,7
"7",129,14,128,16,16,6,13
"8",105,12,95,13,18,6,11
"9",0,0,1,0,0,0,0
"10",104,9,99,17,15,6,8
"11",94,12,111,12,17,5,6
"12",122,9,119,13,11,6,9
"13",103,11,102,14,13,6,8
"14",89,12,104,14,14,6,7
"15",103,10,117,13,16,8,9
"16",0,0,1,0,0,0,0
"17",119,12,107,11,15,4,9
"18",119,11,110,12,13,9,9
"19",0,0,1,0,0,0,0
"20",100,11,111,11,16,5,8
"21",132,9,126,10,14,5,5
"22",109,10,106,16,20,6,7
"23",118,12,120,10,18,7,10
"24",116,9,112,17,11,7,12
"25",103,11,103,13,17,5,10
"26",95,13,113,13,18,8,12
"27",106,8,98,10,11,6,8
"28",0,0,1,0,0,0,0
"29",113,10,115,15,19,9,11
"30",105,10,110,11,12,6,9
"31",118,10,121,9,15,6,13
"32",109,11,100,8,15,5,9
"33",110,7,111,16,19,7,7
"34",0,0,1,0,0,0,0
"35",0,0,1,0,0,0,0
"36",0,0,1,0,0,0,0
"37",111,8,103,12,13,4,14
"38",115,15,125,12,16,7,9
"39",109,13,98,14,19,5,10
"40",0,0,1,0,0,0,0
"41",93,9,104,10,13,6,7
"42",90,9,105,12,15,8,8
"43",104,13,102,13,18,6,7
"44",102,9,91,7,13,4,7
"45",115,12,95,16,16,6,11
"46",118,9,99,11,14,9,8
"47",111,10,102,11,16,7,8
"48",122,12,100,10,14,8,7
"49",119,12,124,15,21,8,8
"50",111,12,100,10,15,6,9
"51",114,12,112,16,19,7,10
"52",114,14,135,12,17,9,8
"53",103,10,111,16,21,5,14
"54",105,10,94,10,13,6,7
"55",108,13,106,13,20,9,10
"56",110,10,101,11,18,7,8
"57",123,10,95,11,15,4,10
"58",100,10,97,11,20,6,8
"59",0,0,1,0,0,0,0
"60",98,11,110,10,21,5,7
"61",112,12,98,13,13,5,9
"62",102,9,94,9,11,5,10
"63",103,12,115,11,16,6,6
