"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",77,97,79,101,101,104,104
"2",248,284,3,281,281,278,278
"3",129,158,132,162,162,166,166
"4",137,167,140,172,172,174,174
"5",59,75,61,78,78,81,81
"6",190,221,193,225,225,228,228
"7",113,136,116,140,140,143,143
"8",164,189,167,193,193,195,195
"9",19,50,4,46,46,42,42
"10",71,90,73,94,94,96,96
"11",211,232,214,236,236,239,239
"12",70,90,73,93,93,96,96
"13",300,335,304,333,333,330,330
"14",8,13,3,11,11,10,10
"15",159,182,162,186,186,189,189
"16",110,134,113,138,138,141,141
"17",259,289,263,295,295,298,298
"18",163,187,167,191,191,194,194
"19",78,98,80,101,101,104,104
"20",72,91,74,95,95,97,97
"21",118,140,121,144,144,146,146
"22",316,354,321,352,352,349,349
"23",215,244,219,242,242,240,240
"24",122,159,4,157,157,154,154
"25",31,108,3,104,104,99,99
"26",13,23,4,19,19,17,17
"27",61,80,64,83,83,86,86
"28",366,366,366,366,366,366,366
"29",179,209,183,214,214,217,217
"30",251,280,4,278,278,276,276
"31",82,103,84,106,106,109,109
"32",18,33,3,28,28,25,25
"33",45,60,47,63,63,65,65
"34",103,123,106,126,126,129,129
"35",20,65,3,61,61,56,56
"36",19,40,4,35,35,30,30
"37",11,17,3,15,15,13,13
"38",253,276,256,280,280,283,283
"39",14,25,2,21,21,18,18
"40",80,102,83,106,106,109,109
"41",120,148,124,153,153,156,156
"42",12,44,3,41,41,38,38
"43",99,118,101,121,121,124,124
"44",262,294,266,292,292,289,289
"45",74,94,77,98,98,100,100
"46",58,77,61,80,80,83,83
"47",280,301,283,305,305,308,308
"48",309,345,4,343,343,340,340
"49",306,342,310,339,339,336,336
"50",19,29,2,24,24,22,22
"51",127,148,130,152,152,155,155
"52",121,150,125,155,155,159,159
"53",83,106,86,110,110,113,113
"54",16,39,4,35,35,30,30
"55",136,156,138,160,160,162,162
"56",266,300,270,298,298,295,295
"57",221,247,224,252,252,255,255
"58",53,70,55,73,73,75,75
"59",170,195,173,199,199,202,202
"60",13,31,3,27,27,23,23
"61",19,42,4,37,37,32,32
"62",95,118,98,122,122,125,125
"63",213,246,217,250,250,253,253
"64",118,145,122,149,149,151,151
"65",18,41,4,37,37,32,32
"66",226,251,229,255,255,258,258
"67",70,88,72,92,92,94,94
"68",72,90,74,93,93,96,96
"69",75,92,77,95,95,98,98
"70",290,316,294,321,321,325,325
"71",166,188,169,192,192,195,195
"72",294,331,4,328,328,325,325
"73",272,308,276,305,305,302,302
"74",96,113,98,116,116,119,119
"75",16,26,3,22,22,19,19
"76",136,162,139,167,167,170,170
"77",70,88,72,92,92,94,94
"78",121,146,124,150,150,153,153
"79",13,27,3,23,23,19,19
"80",74,96,77,99,99,102,102
"81",75,96,78,99,99,102,102
"82",61,79,63,82,82,84,84
"83",194,223,198,228,228,230,230
"84",79,100,82,104,104,107,107
"85",89,111,92,115,115,117,117
"86",13,19,2,16,16,15,15
"87",219,245,222,250,250,253,253
"88",17,38,4,34,34,29,29
"89",13,17,2,15,15,14,14
"90",14,26,4,22,22,19,19
"91",85,103,87,106,106,108,108
"92",101,125,104,130,130,133,133
"93",54,70,56,73,73,76,76
"94",16,27,3,23,23,21,21
"95",310,346,314,343,343,340,340
"96",105,126,108,129,129,132,132
"97",127,149,130,153,153,156,156
"98",26,87,3,83,83,78,78
"99",13,32,3,28,28,24,24
"100",260,292,264,289,289,287,287
"101",58,76,61,80,80,82,82
"102",25,70,4,66,66,61,61
"103",11,31,3,28,28,24,24
"104",10,15,3,12,12,11,11
"105",61,79,63,82,82,85,85
"106",128,153,132,157,157,160,160
"107",13,28,3,24,24,20,20
"108",186,214,189,219,219,222,222
"109",74,93,77,96,96,99,99
"110",16,25,3,22,22,20,20
"111",114,136,116,139,139,141,141
"112",80,101,83,104,104,107,107
