"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",1,0,2,0,0,0,0
"2",2,0,2,0,0,0,0
"3",0,0,1,0,0,0,0
"4",2,0,1,0,0,0,0
"5",1,0,1,0,0,0,0
"6",1,0,1,0,0,0,0
"7",1,0,1,0,0,0,0
"8",0,0,1,0,0,0,0
"9",0,0,1,0,0,0,0
"10",4,0,3,0,0,0,0
"11",0,0,1,0,0,0,0
"12",0,0,1,0,0,0,0
"13",0,0,1,0,0,0,0
"14",0,0,1,0,0,0,0
"15",5,0,1,0,0,0,0
"16",0,0,1,0,0,0,0
"17",0,0,1,0,0,0,0
"18",2,0,2,0,0,0,0
"19",0,0,1,0,0,0,0
"20",0,0,1,0,0,0,0
"21",1,0,1,0,0,0,0
"22",1,0,1,0,0,0,0
"23",6,0,3,0,0,0,0
"24",0,0,1,0,0,0,0
"25",38,6,42,9,8,4,6
"26",5,0,5,0,0,0,0
"27",0,0,1,0,0,0,0
"28",0,0,1,0,0,0,0
"29",0,0,1,0,0,0,0
"30",1,0,1,0,0,0,0
"31",1,0,1,0,0,0,0
"32",0,0,1,0,0,0,0
"33",6,0,2,0,0,0,0
"34",41,8,42,6,11,4,6
"35",1,0,2,0,0,0,0
"36",1,0,1,0,0,0,0
"37",0,0,1,0,0,0,0
"38",0,0,1,0,0,0,0
"39",1,0,1,0,0,0,0
"40",0,0,1,0,0,0,0
"41",1,0,1,0,0,0,0
"42",2,0,1,0,0,0,0
"43",0,0,1,0,0,0,0
"44",5,0,3,0,1,0,1
"45",0,0,1,0,0,0,0
"46",49,6,35,10,8,4,4
"47",44,7,58,7,8,3,6
"48",1,0,1,0,0,0,0
"49",0,0,1,0,0,0,0
"50",0,0,1,0,0,0,0
"51",0,0,1,0,0,0,0
"52",1,0,2,0,0,0,0
"53",1,0,1,0,0,0,0
"54",0,0,1,0,0,0,0
"55",0,0,2,0,0,0,0
"56",1,0,2,0,0,0,0
"57",1,0,1,0,0,0,0
"58",3,0,2,0,0,0,0
"59",2,0,3,0,0,0,0
"60",0,0,1,0,0,0,0
"61",0,0,1,0,0,0,0
"62",0,0,1,0,0,0,0
"63",1,0,1,0,0,0,0
"64",2,0,1,0,0,0,0
"65",1,0,2,0,0,0,0
"66",3,0,3,0,0,0,0
"67",0,0,1,0,0,0,0
"68",0,0,1,0,0,0,0
"69",1,0,1,0,0,0,0
"70",0,0,2,0,0,0,0
"71",0,0,1,0,0,0,0
"72",0,0,1,0,0,0,0
"73",0,0,1,0,0,0,0
"74",0,0,1,0,0,0,0
"75",1,0,1,0,0,0,0
"76",4,0,3,0,0,0,0
"77",1,0,1,0,0,0,0
"78",1,0,1,0,0,0,0
"79",0,0,1,0,0,0,0
"80",2,0,3,0,0,0,0
"81",1,0,1,0,0,0,0
"82",2,0,2,0,0,0,0
"83",2,0,1,0,0,0,0
"84",46,8,50,11,13,4,5
"85",0,0,1,0,0,0,0
"86",0,0,1,0,0,0,0
"87",0,0,1,0,0,0,0
"88",41,8,37,7,12,4,5
"89",6,0,5,1,2,0,1
"90",0,0,1,0,0,0,0
"91",0,0,1,0,0,0,0
"92",1,0,1,0,0,0,0
"93",2,0,2,0,0,0,0
"94",47,6,52,7,9,3,5
"95",1,0,1,0,0,0,0
"96",0,0,1,0,0,0,0
"97",2,0,2,0,0,0,0
"98",0,0,1,0,0,0,0
"99",0,0,1,0,0,0,0
"100",0,0,1,0,0,0,0
"101",0,0,1,0,0,0,0
"102",0,0,1,0,0,0,0
"103",2,0,1,0,0,0,0
"104",0,0,1,0,0,0,0
"105",9,0,9,0,0,0,0
"106",64,2,57,1,3,1,2
"107",0,0,1,0,0,0,0
"108",0,0,1,0,0,0,0
"109",0,0,1,0,0,0,0
"110",0,0,1,0,0,0,0
"111",0,0,1,0,0,0,0
"112",5,0,3,1,0,0,1
"113",0,0,1,0,0,0,0
"114",10,0,7,0,0,0,0
"115",0,0,1,0,0,0,0
"116",0,0,1,0,0,0,0
"117",0,0,1,0,0,0,0
"118",4,0,3,0,1,0,0
"119",0,0,1,0,0,0,0
"120",0,0,1,0,0,0,0
"121",2,0,2,0,0,0,0
"122",2,0,2,0,0,0,0
"123",2,0,2,0,0,0,0
"124",3,0,1,0,0,0,0
"125",0,0,1,0,0,0,0
"126",1,0,1,0,0,0,0
"127",2,0,1,0,0,0,0
"128",0,0,1,0,0,0,0
"129",0,0,1,0,0,0,0
"130",0,0,1,0,0,0,0
"131",0,0,1,0,0,0,0
"132",1,0,1,0,0,0,0
"133",0,0,1,0,0,0,0
"134",47,2,55,1,2,1,1
"135",3,0,5,0,0,0,0
"136",2,0,1,0,0,0,0
"137",5,0,3,0,0,0,0
"138",0,0,1,0,0,0,0
"139",0,0,1,0,0,0,0
"140",0,0,1,0,0,0,0
"141",0,0,1,0,0,0,0
"142",0,0,1,0,0,0,0
"143",0,0,1,0,0,0,0
"144",0,0,1,0,0,0,0
"145",0,0,1,0,0,0,0
"146",0,0,1,0,0,0,0
"147",2,0,1,0,0,0,0
"148",4,0,3,0,0,0,0
"149",0,0,1,0,0,0,0
"150",0,0,1,0,0,0,0
"151",33,4,32,5,7,4,3
"152",0,0,1,0,0,0,0
"153",2,0,1,0,0,0,0
"154",1,0,1,0,0,0,0
"155",0,0,1,0,0,0,0
"156",0,0,1,0,0,0,0
"157",5,0,3,0,0,0,0
"158",1,0,1,0,0,0,0
"159",1,0,1,0,0,0,0
"160",0,0,1,0,0,0,0
"161",0,0,1,0,0,0,0
"162",0,0,1,0,0,0,0
"163",0,0,1,0,0,0,0
"164",0,0,1,0,0,0,0
"165",0,0,1,0,0,0,0
"166",0,0,1,0,0,0,0
"167",0,0,1,0,0,0,0
"168",0,0,1,0,0,0,0
"169",0,0,1,0,0,0,0
"170",1,0,1,0,0,0,0
"171",0,0,1,0,0,0,0
"172",0,0,1,0,0,0,0
"173",0,0,1,0,0,0,0
"174",1,0,1,0,0,0,0
"175",1,0,1,0,0,0,0
"176",2,0,1,0,0,0,0
"177",0,0,1,0,0,0,0
"178",1,0,1,0,0,0,0
"179",0,0,1,0,0,0,0
"180",0,0,1,0,0,0,0
"181",49,6,51,6,8,4,4
"182",42,9,50,9,7,3,5
"183",2,0,2,0,0,0,0
"184",2,0,1,0,0,0,0
"185",0,0,1,0,0,0,0
"186",5,0,3,0,0,1,0
"187",0,0,1,0,0,0,0
"188",44,6,53,6,7,4,4
"189",1,0,2,0,0,0,0
"190",0,0,1,0,0,0,0
"191",0,0,1,0,0,0,0
"192",0,0,1,0,0,0,0
"193",3,0,2,0,0,0,0
"194",1,0,2,0,0,0,0
"195",0,0,1,0,0,0,0
"196",0,0,1,0,0,0,0
"197",2,0,1,0,0,0,0
"198",5,0,3,0,0,0,0
"199",0,0,1,0,0,0,0
"200",0,0,1,0,0,0,0
"201",1,0,1,0,0,0,0
"202",0,0,1,0,0,0,0
"203",0,0,1,0,0,0,0
"204",0,0,1,0,0,0,0
"205",1,0,1,0,0,0,0
"206",4,1,2,1,1,1,0
"207",2,0,1,0,0,0,0
"208",0,0,1,0,0,0,0
"209",0,0,1,0,0,0,0
"210",1,0,1,0,0,0,0
"211",2,0,1,0,0,0,0
"212",1,0,1,0,0,0,0
"213",2,0,2,0,0,0,0
"214",1,0,2,0,0,0,0
"215",0,0,1,0,0,0,0
"216",3,0,2,0,0,0,0
"217",0,0,1,0,0,0,0
"218",0,0,1,0,0,0,0
"219",0,0,1,0,0,0,0
"220",1,0,1,0,0,0,0
"221",0,0,1,0,0,0,0
"222",3,0,1,0,0,0,0
"223",2,0,1,0,0,0,0
"224",3,0,2,0,0,0,0
"225",1,0,1,0,0,0,0
"226",0,0,1,0,0,0,0
"227",7,1,2,0,0,0,0
"228",0,0,1,0,0,0,0
"229",0,0,1,0,0,0,0
"230",2,0,1,0,0,0,0
"231",0,0,1,0,0,0,0
"232",0,0,1,0,0,0,0
"233",1,0,2,0,0,0,0
"234",0,0,2,0,0,0,0
"235",0,0,1,0,0,0,0
"236",0,0,1,0,0,0,0
"237",45,7,38,7,10,3,6
"238",0,0,1,0,0,0,0
"239",2,0,1,0,0,0,0
"240",0,0,1,0,0,0,0
"241",6,0,4,0,0,0,0
"242",3,0,3,0,0,0,0
"243",0,0,1,0,0,0,0
"244",2,0,1,0,0,0,0
"245",0,0,1,0,0,0,0
"246",0,0,1,0,0,0,0
"247",0,0,1,0,0,0,0
"248",0,0,1,0,0,0,0
"249",0,0,1,0,0,0,0
"250",0,0,1,0,0,0,0
"251",43,6,42,8,7,4,4
"252",0,0,1,0,0,0,0
"253",3,0,1,0,0,0,0
"254",0,0,1,0,0,0,0
"255",5,0,4,0,0,0,0
"256",0,0,1,0,0,0,0
"257",0,0,1,0,0,0,0
"258",66,7,54,9,11,5,8
"259",0,0,1,0,0,0,0
"260",0,0,1,0,0,0,0
"261",56,4,59,7,6,2,3
"262",0,0,1,0,0,0,0
"263",0,0,1,0,0,0,0
"264",0,0,1,0,0,0,0
"265",0,0,1,0,0,0,0
"266",0,0,1,0,0,0,0
"267",0,0,1,0,0,0,0
"268",1,0,1,0,0,0,0
"269",2,0,1,0,0,0,0
"270",1,0,1,0,0,0,0
"271",0,0,1,0,0,0,0
"272",0,0,1,0,0,0,0
"273",0,0,1,0,0,0,0
"274",0,0,2,0,0,0,0
"275",2,0,1,0,0,0,0
"276",0,0,1,0,0,0,0
"277",0,0,1,0,0,0,0
"278",0,0,1,0,0,0,0
"279",1,0,2,0,0,0,0
"280",0,0,1,0,0,0,0
"281",0,0,1,0,0,0,0
"282",0,0,1,0,0,0,0
"283",0,0,1,0,0,0,0
"284",0,0,1,0,0,0,0
"285",0,0,1,0,0,0,0
"286",0,0,1,0,0,0,0
"287",1,0,1,0,0,0,0
"288",0,0,1,0,0,0,0
"289",0,0,1,0,0,0,0
"290",1,0,1,0,0,0,0
"291",1,0,1,0,0,0,0
"292",3,0,2,0,0,0,0
"293",4,0,1,0,0,0,0
"294",1,0,2,0,0,0,0
"295",0,0,1,0,0,0,0
"296",0,0,1,0,0,0,0
"297",0,0,1,0,0,0,0
"298",0,0,1,0,0,0,0
"299",1,0,1,0,0,0,0
"300",0,0,1,0,0,0,0
"301",67,7,56,8,10,4,4
"302",50,7,59,7,7,3,5
"303",0,0,1,0,0,0,0
"304",0,0,1,0,0,0,0
"305",0,0,1,0,0,0,0
"306",0,0,1,0,0,0,0
"307",2,0,1,0,0,0,0
"308",5,0,2,0,0,0,0
"309",2,0,2,0,0,0,0
"310",0,0,1,0,0,0,0
"311",0,0,1,0,0,0,0
"312",1,0,1,0,0,0,0
"313",1,0,1,0,0,0,0
"314",0,0,1,0,0,0,0
"315",0,0,1,0,0,0,0
"316",0,0,2,0,0,0,0
"317",0,0,2,0,0,0,0
"318",1,0,1,0,0,0,0
"319",0,0,1,0,0,0,0
"320",2,0,1,0,0,0,0
"321",0,0,1,0,0,0,0
"322",0,0,1,0,0,0,0
"323",2,0,2,0,0,0,0
"324",0,0,1,0,0,0,0
"325",1,0,2,0,0,0,0
"326",5,0,3,0,0,0,0
"327",0,0,1,0,0,0,0
"328",47,6,39,11,9,4,4
"329",0,0,1,0,0,0,0
"330",0,0,1,0,0,0,0
"331",2,0,1,0,0,0,0
"332",0,0,1,0,0,0,0
"333",0,0,1,0,0,0,0
"334",0,0,1,0,0,0,0
"335",0,0,1,0,0,0,0
"336",0,0,1,0,0,0,0
"337",5,1,3,0,1,0,1
"338",0,0,1,0,0,0,0
"339",6,0,2,0,0,0,0
"340",2,0,1,0,0,0,0
"341",4,0,4,0,0,0,0
"342",0,0,1,0,0,0,0
"343",0,0,1,0,0,0,0
"344",0,0,1,0,0,0,0
"345",1,0,2,0,0,0,0
