"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",9,1,7,1,1,1,1
"2",59,1,47,1,1,1,1
"3",1,1,1,1,1,1,1
"4",5,1,1,1,1,1,1
"5",8,1,5,1,1,1,1
"6",3,1,7,1,1,1,1
"7",3,1,1,1,1,1,1
"8",1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1
"10",145,1,141,1,1,1,1
"11",1,1,1,1,1,1,1
"12",1,1,1,1,1,1,1
"13",1,1,1,1,1,1,1
"14",1,1,1,1,1,1,1
"15",29,1,38,1,1,1,1
"16",1,1,1,1,1,1,1
"17",1,1,1,1,1,1,1
"18",45,1,53,1,1,1,1
"19",1,1,1,1,1,1,1
"20",1,1,1,1,1,1,1
"21",4,1,1,1,1,1,1
"22",4,1,1,1,1,1,1
"23",221,1,210,1,1,1,1
"24",1,1,1,1,1,1,1
"25",6731,6882,6715,6886,6890,6861,6848
"26",221,1,218,1,1,1,1
"27",1,1,1,1,1,1,1
"28",1,1,1,1,1,1,1
"29",1,1,1,1,1,1,1
"30",3,1,1,1,1,1,1
"31",3,1,1,1,1,1,1
"32",1,1,1,1,1,1,1
"33",228,1,265,1,1,1,1
"34",6757,6821,6702,6752,6782,6746,6829
"35",15,1,12,1,1,1,1
"36",10,1,4,1,1,1,1
"37",1,1,1,1,1,1,1
"38",1,1,1,1,1,1,1
"39",5,1,11,1,1,1,1
"40",1,1,1,1,1,1,1
"41",4,1,3,1,1,1,1
"42",4,1,1,1,1,1,1
"43",1,1,1,1,1,1,1
"44",315,1,326,1,251,1,227
"45",1,1,1,1,1,1,1
"46",6592,6602,6626,6619,6619,6614,6615
"47",5861,5981,5941,6085,6088,5914,6027
"48",3,1,1,1,1,1,1
"49",1,1,1,1,1,1,1
"50",1,1,1,1,1,1,1
"51",1,1,1,1,1,1,1
"52",12,1,15,1,1,1,1
"53",10,1,1,1,1,1,1
"54",1,1,1,1,1,1,1
"55",1,1,5,1,1,1,1
"56",21,1,13,1,1,1,1
"57",4,1,1,1,1,1,1
"58",43,1,27,1,1,1,1
"59",24,1,43,1,1,1,1
"60",1,1,1,1,1,1,1
"61",1,1,1,1,1,1,1
"62",1,1,1,1,1,1,1
"63",5,1,1,1,1,1,1
"64",9,1,15,1,1,1,1
"65",14,1,7,1,1,1,1
"66",61,1,52,1,1,1,1
"67",1,1,1,1,1,1,1
"68",1,1,1,1,1,1,1
"69",5,1,1,1,1,1,1
"70",1,1,3,1,1,1,1
"71",1,1,1,1,1,1,1
"72",1,1,1,1,1,1,1
"73",1,1,1,1,1,1,1
"74",1,1,3,1,1,1,1
"75",11,1,10,1,1,1,1
"76",266,1,255,1,1,1,1
"77",5,1,7,1,1,1,1
"78",3,1,1,1,1,1,1
"79",1,1,1,1,1,1,1
"80",47,1,31,1,1,1,1
"81",10,1,18,1,1,1,1
