"time" "age1_orange.S" "age2_no_comorbid_orange.S" "age2_comorbid_orange.S" "age3_no_comorbid_green.S" "age3_comorbid_green.S" "age1_orange.E" "age2_no_comorbid_orange.E" "age2_comorbid_orange.E" "age3_no_comorbid_green.E" "age3_comorbid_green.E" "age1_orange.P" "age2_no_comorbid_orange.P" "age2_comorbid_orange.P" "age3_no_comorbid_green.P" "age3_comorbid_green.P" "age1_orange.A" "age2_no_comorbid_orange.A" "age2_comorbid_orange.A" "age3_no_comorbid_green.A" "age3_comorbid_green.A" "age1_orange.I" "age2_no_comorbid_orange.I" "age2_comorbid_orange.I" "age3_no_comorbid_green.I" "age3_comorbid_green.I" "age1_orange.H" "age2_no_comorbid_orange.H" "age2_comorbid_orange.H" "age3_no_comorbid_green.H" "age3_comorbid_green.H" "age1_orange.R" "age2_no_comorbid_orange.R" "age2_comorbid_orange.R" "age3_no_comorbid_green.R" "age3_comorbid_green.R" "age1_orange.D" "age2_no_comorbid_orange.D" "age2_comorbid_orange.D" "age3_no_comorbid_green.D" "age3_comorbid_green.D"
0 814 941 125.2 44 74.6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 813.98065180219 940.986581640174 125.198214687938 43.9999979939912 74.5999965989033 0.0179610957909284 0.812429197094829 0.00165732053206096 1.85627830067539e-06 3.14723548250873e-06 0.00116167490516052 0.140695037485751 0.000107190799061046 1.24817472707013e-07 2.11622351453254e-07 4.19541913839644e-05 0.0109843140554307 3.87121955785629e-06 4.63407712850736e-09 7.85686713151476e-09 0.000176927125663868 0.0463198577949401 1.6322952822217e-05 1.95400290381338e-08 3.31191419104927e-08 3.4188966452361e-07 0.000161963627765756 9.80786799269171e-08 1.09937275439572e-10 4.53138155664014e-10 6.16299629031227e-06 0.00277458097084121 4.60171761560056e-07 5.88960208470951e-10 5.74325654842852e-10 4.09115787129851e-08 5.34087966858111e-05 4.83079541063469e-08 4.00206214090804e-11 2.35427390401085e-10
2 813.927890808764 940.949990193811 125.193346197944 43.9999934696483 74.5999889280856 0.0621538373969187 0.683061989415965 0.00573518797967266 5.56910562580746e-06 9.44216544739174e-06 0.0070592389125482 0.184038434881991 0.000651380622154766 6.71077514334796e-07 1.13778142203127e-06 0.000522572042024026 0.0314877785337714 4.82193405275487e-05 5.22493486179343e-08 8.85863956113159e-08 0.00220363475475257 0.132764557171826 0.000203271387341788 2.20270148599894e-07 3.73223375288064e-07 8.71560950785378e-06 0.00098201470384815 2.49994741131347e-06 2.5771738013038e-09 1.06197951509018e-08 0.000159971915321135 0.0173131634013007 1.19435108128402e-05 1.40674009071349e-08 1.37161701067106e-08 1.22060502765435e-06 0.000361868080510399 1.29926828475013e-06 1.00445523922334e-09 5.82181217358989e-09
3 813.847885891866 940.894502399401 125.185963549846 43.9999875386335 74.5999788723195 0.121842020438081 0.596450636210196 0.0112431066044182 9.79028487181503e-06 1.65989829872137e-05 0.0183691466786486 0.188366275724952 0.00169501175544566 1.57512726458481e-06 2.6705566804097e-06 0.00207933418048234 0.051908790112311 0.00019186854525589 1.90624298864607e-07 3.23194833984084e-07 0.00876781624111375 0.218838318057313 0.000808649511865536 8.03455530001008e-07 1.36090545280768e-06 5.31453267978145e-05 0.00254872847775444 1.5242026138836e-05 1.4583269895716e-08 6.00772480626169e-08 0.00099404861450551 0.0463368831491789 7.42090179102641e-05 8.12011504985362e-08 7.91637575404483e-08 8.59665463545746e-06 0.00104796886754254 8.36269308443855e-06 6.09012424179729e-09 3.47995317693574e-08
4 813.744513134346 940.822804495097 125.176424147488 43.9999805025257 74.5999669429187 0.19048774028404 0.541659925409212 0.0175779845617461 1.41563459887287e-05 2.40014411536173e-05 0.0341052023544585 0.179682942758862 0.00314712433404251 2.69165331728171e-06 4.56357585157308e-06 0.00521897370382859 0.0691272355899145 0.000481582541658408 4.44456736311493e-07 7.53556193837212e-07 0.022005212254248 0.291388076639208 0.00202921173689301 1.8729222254722e-06 3.1712855266592e-06 0.00018114291743019 0.0047107429611856 5.19450321097144e-05 4.65608973170775e-08 1.91759516886192e-07 0.00345513510276624 0.088470328653363 0.000257914542195024 2.64705920428125e-07 2.580313573907e-07 3.3459037940522e-05 0.00215625289129758 3.00897634285284e-05 2.08291742120152e-08 1.17431758614692e-07
5 813.619735483075 940.73625560051 125.164908821662 43.9999723175816 74.5999530657179 0.264567881579583 0.511126120740399 0.0244149155588784 1.86810425909765e-05 3.16728585747011e-05 0.0530413923359422 0.169072872848204 0.00489463795676074 3.93176257377531e-06 6.66612472735542e-06 0.0102264807559711 0.0827148821610068 0.000943669122801754 8.19471742166486e-07 1.38937709012772e-06 0.0431161336636472 0.348614689231706 0.00397535474712943 3.4524753575779e-06 5.84379851269887e-06 0.000450499677241613 0.00727026796691756 0.000129170423159932 1.09456224712947e-07 4.50666985113003e-07 0.00876804196422489 0.14125215444431 0.0006544498208412 6.35806093449814e-07 6.19695336147074e-07 9.40869482645304e-05 0.00369341209788943 7.89807085818398e-05 5.24038081478503e-08 2.91760863724757e-07
6 813.474050717883 940.635198289606 125.151463151816 43.9999627974205 74.5999369247174 0.342570258441276 0.499704713000005 0.0316145618941096 2.35011411270911e-05 3.98451165472953e-05 0.0742206188291225 0.160891641775555 0.00684929102508065 5.26777161835743e-06 8.93126733476056e-06 0.0172038301786586 0.0932414775409629 0.00158755383258556 1.31330070044616e-06 2.22664164212009e-06 0.0725290533421294 0.392926748945457 0.00668627959212612 5.53182852549147e-06 9.36019708631299e-06 0.000920466638676361 0.0100552667470975 0.000263890563935178 2.1323903255285e-07 8.77732775282412e-07 0.0182895604728206 0.202332784462871 0.00136502750321836 1.26620637960012e-06 1.23396684576243e-06 0.000215494214612381 0.00564907792207644 0.000170243773144126 1.09092156303189e-07 6.00360351926102e-07
7 813.306861613062 940.519215116329 125.136031596774 43.9999516957058 74.5999181022649 0.424261276773049 0.503957732269865 0.0391555993542167 2.8778986912759e-05 4.87934641748141e-05 0.097064876290206 0.156578537346254 0.00895780833676856 6.71097155608548e-06 1.13781472291813e-05 0.0261395199068841 0.10154822456699 0.00241219651993293 1.9231298790067e-06 3.26057929486137e-06 0.110194038429274 0.427875961774406 0.0101571085752393 8.09886878671065e-06 1.36992766981503e-05 0.00164602729267201 0.0129397346188895 0.000471847578856574 3.66582550620767e-07 1.50851526349971e-06 0.0334039811604819 0.269877838546459 0.00249288646496867 2.22575949123779e-06 2.16882244535593e-06 0.000428667085824786 0.00800685454879265 0.000320956396044212 1.99994997306821e-07 1.08893001595665e-06
8 813.116740147957 940.387311611526 125.118481842469 43.9999387351959 74.5998961283095 0.510195147225672 0.521649616251558 0.0470894525957336 3.46719252856088e-05 5.87846733251458e-05 0.121334235864752 0.156392885132933 0.0111981204209967 8.29218932360104e-06 1.4059030080469e-05 0.0369714031426852 0.108461616723682 0.00341188944892236 2.64947361118901e-06 4.49206207715227e-06 0.155847803593085 0.456950379316973 0.0143633606514726 1.11555565552385e-05 1.88637969243892e-05 0.00267528165343077 0.0158432803408288 0.000766805487243039 5.77178330880224e-07 2.37450678442784e-06 0.0554663259994274 0.34264027740924 0.00413906100104056 3.58349716016933e-06 3.49141443369581e-06 0.000769654564082382 0.0107503332989608 0.000549467925905549 3.34983797035426e-07 1.80620690094005e-06
9 812.901597969888 940.238034217038 125.098620493064 43.9999236140851 74.5998704911534 0.601404856450785 0.551401852626062 0.0555118031326319 4.1327837365776e-05 7.00694697156111e-05 0.14704658858395 0.160185599407741 0.0135719634545688 1.00502744625514e-05 1.70397835205985e-05 0.0496323790861024 0.114699366016258 0.00458047429350065 3.49743432397267e-06 5.92974092200821e-06 0.209206403521813 0.483177968672875 0.0192787349444781 1.47232198850875e-05 2.48894034000476e-05 0.00404913567643573 0.0187238639809101 0.00116046378767057 8.52275724834001e-07 3.50536434222488e-06 0.0857839312552017 0.419910643877824 0.00640101492574196 5.41008627959914e-06 5.27046920863358e-06 0.0012787355376303 0.0138664883806303 0.00087505239751856 5.24786864417085e-07 2.80461552736099e-06
