"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_orange.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",247,244,35,0,0
"2",0,1,0,0,0
"3",219,225,34,0,0
"4",247,217,33,0,0
"5",239,218,34,7,11
"6",237,230,34,11,17
"7",232,235,37,0,0
"8",255,244,31,0,1
"9",237,233,30,0,1
"10",231,249,34,0,0
"11",243,232,38,0,0
"12",247,226,33,8,12
"13",212,217,35,0,0
"14",233,229,33,5,8
"15",213,228,28,10,12
"16",240,247,39,8,11
"17",210,226,32,0,0
"18",238,219,36,0,0
"19",238,243,39,0,0
"20",238,232,38,8,23
"21",1,1,0,0,0
"22",232,226,38,0,0
"23",218,227,35,0,0
"24",210,211,36,13,15
"25",234,225,27,0,0
"26",211,225,40,0,0
"27",0,1,0,0,0
"28",238,225,30,0,0
"29",224,263,34,11,9
"30",231,225,34,1,0
"31",197,208,34,12,15
"32",0,1,0,0,0
"33",224,234,39,10,14
"34",211,216,32,0,1
"35",227,214,30,12,16
"36",222,211,34,0,0
"37",242,243,36,10,12
"38",229,229,31,4,7
"39",224,221,33,0,0
"40",0,0,0,0,0
"41",212,243,37,14,16
"42",229,220,31,0,0
"43",1,1,0,0,0
"44",247,207,31,9,18
"45",219,256,40,8,15
"46",204,214,31,12,19
"47",0,1,0,0,0
"48",224,228,37,7,14
"49",251,252,38,1,0
"50",240,256,30,8,20
"51",0,1,0,0,0
"52",221,220,33,0,0
"53",244,245,36,6,13
"54",233,236,36,6,16
"55",215,212,30,0,1
"56",214,249,36,0,0
"57",233,241,34,0,0
"58",0,1,0,0,0
"59",249,269,37,0,0
"60",207,224,30,14,16
"61",0,1,1,0,0
"62",221,253,34,6,12
"63",221,237,34,0,0
"64",218,234,35,0,0
"65",0,0,0,0,0
"66",238,239,28,1,0
"67",0,0,0,0,0
"68",215,252,32,0,1
"69",221,245,31,0,0
"70",239,250,39,0,0
"71",237,192,28,6,12
"72",223,210,36,0,0
"73",210,231,27,10,13
"74",0,1,0,0,0
"75",238,264,32,9,15
"76",247,240,31,0,0
"77",221,224,31,6,8
"78",237,248,34,10,16
"79",231,237,36,0,0
"80",219,249,34,0,0
"81",0,0,0,0,0
"82",200,220,35,8,10
"83",246,241,36,7,9
"84",240,237,30,0,0
"85",220,240,27,0,0
"86",235,226,39,0,0
"87",237,234,40,0,0
"88",235,215,38,12,20
"89",256,259,32,0,0
"90",214,221,29,9,14
"91",250,234,37,0,0
"92",229,208,30,8,16
"93",251,242,32,0,0
"94",209,218,29,0,0
"95",230,247,34,6,8
"96",211,229,30,6,18
"97",218,229,31,0,1
"98",220,218,31,9,13
"99",236,215,39,10,14
"100",0,1,0,0,0
"101",226,251,29,0,0
"102",231,226,34,8,12
"103",257,257,30,7,11
"104",215,230,37,0,0
"105",255,220,34,0,0
"106",232,220,35,0,0
"107",226,229,36,10,15
"108",251,250,34,0,0
"109",237,217,32,8,8
"110",248,250,37,10,20
"111",219,235,28,8,11
"112",233,249,38,12,13
"113",243,219,38,5,7
"114",218,215,36,0,0
"115",0,0,0,0,0
"116",226,235,25,0,0
"117",228,231,34,0,0
"118",224,244,40,6,7
"119",236,235,28,0,0
"120",238,256,44,0,1
"121",223,250,35,0,0
"122",241,241,31,1,0
"123",230,260,40,0,0
"124",0,1,0,0,0
"125",255,250,34,9,12
"126",223,204,34,0,0
