"","age1_orange.D","age2_no_comorbid_orange.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",67,83,30,7,39
"2",0,0,0,0,0
"3",59,80,32,4,38
"4",63,59,30,8,42
"5",63,80,33,11,36
"6",67,70,0,0,0
"7",69,84,27,9,56
"8",0,0,0,0,0
"9",53,70,0,0,0
"10",48,74,23,7,34
"11",69,80,39,10,38
"12",45,79,33,8,39
"13",53,81,0,0,0
"14",56,72,0,0,0
"15",70,72,0,0,0
"16",60,83,30,8,37
"17",58,69,0,0,0
"18",46,71,0,0,0
"19",53,75,38,13,43
"20",58,66,0,0,0
"21",61,95,0,0,0
"22",60,76,0,0,0
"23",0,0,0,0,0
"24",64,76,0,0,0
"25",58,76,32,9,38
"26",58,84,0,0,0
"27",64,82,31,10,37
"28",53,79,0,0,0
"29",0,0,0,0,0
"30",59,75,0,0,0
"31",56,74,0,0,0
"32",60,58,0,0,0
"33",50,86,0,0,1
"34",0,0,0,0,0
"35",64,62,46,14,39
"36",70,76,31,8,40
"37",66,66,0,0,0
"38",67,71,36,7,36
"39",55,71,26,7,45
"40",60,75,32,7,37
"41",52,68,0,0,0
"42",46,83,38,8,32
"43",54,76,0,0,0
"44",63,62,0,0,0
"45",49,78,0,0,0
"46",0,0,0,0,0
"47",55,83,0,0,0
"48",52,84,0,0,0
"49",61,89,24,9,34
"50",0,0,0,0,0
"51",54,99,22,10,36
"52",0,0,0,0,0
"53",0,0,0,0,0
"54",51,70,0,0,0
"55",61,62,0,0,0
"56",0,0,0,0,0
"57",0,0,0,0,0
"58",47,75,0,0,0
"59",61,72,31,3,30
"60",49,79,0,0,0
"61",50,78,0,0,0
"62",58,77,0,0,0
"63",46,72,29,7,48
"64",61,78,0,0,0
"65",65,74,0,0,0
"66",0,0,0,0,0
"67",57,76,0,0,0
"68",0,0,0,0,0
"69",62,72,31,8,33
"70",56,85,32,6,42
"71",60,99,0,0,0
"72",52,67,32,10,44
"73",63,86,35,13,33
"74",63,78,33,8,34
"75",58,60,29,5,35
"76",62,57,0,0,0
"77",0,0,0,0,0
"78",53,81,0,0,0
"79",54,67,30,14,42
"80",48,82,0,0,0
"81",0,0,0,0,0
"82",0,0,0,0,0
"83",63,67,0,0,0
"84",0,0,0,0,0
"85",57,83,0,0,0
"86",0,0,0,0,0
"87",64,62,0,0,0
"88",51,84,0,0,0
"89",55,73,0,0,0
"90",0,0,0,0,0
"91",53,65,0,0,0
"92",52,76,32,8,32
"93",0,0,0,0,0
"94",53,62,0,0,0
"95",64,83,0,0,0
"96",59,78,0,0,0
"97",56,82,0,0,0
"98",46,77,24,5,32
"99",0,0,0,0,0
"100",72,76,0,0,0
"101",58,90,27,8,27
"102",61,79,29,11,40
"103",50,80,0,0,0
"104",55,63,31,6,38
"105",60,71,33,14,40
"106",0,0,0,0,0
"107",0,0,0,0,0
"108",59,77,26,5,41
"109",64,63,0,0,0
"110",65,96,0,0,0
"111",60,85,0,0,0
"112",53,60,0,0,0
"113",53,69,1,0,0
"114",63,75,30,2,32
"115",0,0,0,0,0
"116",0,0,0,0,0
"117",60,74,0,0,0
"118",65,70,0,0,0
"119",52,90,0,0,0
"120",0,0,0,0,0
"121",0,0,0,0,0
"122",71,77,30,10,40
"123",64,78,28,9,38
"124",62,70,32,9,42
"125",60,73,0,0,0
"126",0,0,0,0,0
"127",0,0,0,0,0
"128",0,0,0,0,0
"129",69,66,29,15,35
"130",67,54,0,0,0
"131",57,78,25,10,44
"132",67,74,0,0,0
