"","age1_orange.S","age2_no_comorbid_orange.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",4,71,7,5,5
"2",814,941,125,44,75
"3",9,60,8,8,11
"4",6,65,14,5,14
"5",9,58,13,10,18
"6",10,61,125,44,75
"7",7,73,12,5,5
"8",814,941,125,44,75
"9",9,72,124,44,75
"10",11,79,11,10,16
"11",13,82,5,3,9
"12",2,71,11,8,14
"13",11,65,125,44,75
"14",9,60,125,44,75
"15",11,55,125,44,75
"16",5,55,7,6,17
"17",11,68,125,44,75
"18",13,83,125,44,75
"19",7,71,6,9,13
"20",8,71,125,44,75
"21",14,50,125,44,75
"22",6,64,124,44,75
"23",814,941,125,44,75
"24",8,82,125,44,75
"25",11,69,4,5,14
"26",13,59,125,44,74
"27",11,82,2,6,11
"28",11,71,125,43,74
"29",814,941,125,44,75
"30",8,65,125,44,75
"31",9,73,125,44,75
"32",15,73,125,43,75
"33",5,71,125,44,74
"34",814,941,125,44,75
"35",7,57,6,4,16
"36",7,57,3,6,3
"37",8,65,125,44,75
"38",10,67,3,7,10
"39",7,61,6,10,9
"40",5,69,6,12,14
"41",7,54,125,44,75
"42",11,66,8,7,13
"43",15,82,125,44,75
"44",9,75,125,44,74
"45",13,69,124,43,75
"46",812,941,125,44,75
"47",4,58,125,44,74
"48",10,52,125,44,75
"49",13,66,23,8,19
"50",814,941,125,44,75
"51",8,62,18,5,13
"52",814,941,125,44,75
"53",814,941,125,44,75
"54",11,67,125,44,75
"55",11,64,125,44,75
"56",813,941,125,44,75
"57",814,941,125,44,75
"58",6,67,125,44,75
"59",13,65,11,9,20
"60",16,70,125,43,75
"61",8,69,125,44,75
"62",8,84,125,44,75
"63",11,75,6,1,4
"64",11,55,125,44,75
"65",9,66,125,44,75
"66",814,941,125,44,75
"67",14,59,125,44,75
"68",814,941,125,44,75
"69",5,58,8,5,13
"70",5,56,10,10,12
"71",9,79,125,44,75
"72",12,88,4,5,13
"73",10,58,7,4,6
"74",8,60,8,7,14
"75",12,68,6,6,12
"76",10,81,125,44,75
"77",814,941,125,44,75
"78",10,77,125,44,75
"79",13,78,5,7,8
"80",10,80,125,44,75
"81",814,941,125,44,75
"82",814,941,125,44,75
"83",9,73,125,44,75
"84",814,941,125,44,75
"85",10,74,124,44,75
"86",814,941,125,44,75
"87",12,69,125,43,75
"88",11,72,125,44,75
"89",11,69,125,44,75
"90",814,941,125,44,75
"91",19,75,125,44,75
"92",7,48,15,14,20
"93",807,940,125,44,75
"94",15,80,125,44,75
"95",12,48,125,44,75
"96",11,63,125,44,75
"97",11,78,124,44,75
"98",12,85,8,9,9
"99",814,941,125,44,75
"100",7,60,125,44,75
"101",5,56,8,10,18
"102",12,74,4,7,11
"103",13,63,125,44,75
"104",9,84,4,8,12
"105",9,54,6,2,8
"106",814,941,125,44,75
"107",814,941,125,44,75
"108",11,53,4,6,11
"109",4,67,125,44,75
"110",10,56,125,44,75
"111",8,50,125,44,75
"112",6,89,124,44,75
"113",8,63,123,44,75
"114",12,70,14,10,13
"115",814,941,125,44,75
"116",813,939,125,44,75
"117",15,69,125,44,75
"118",9,57,125,44,75
"119",4,36,125,44,75
"120",814,941,125,44,75
"121",814,941,125,44,75
"122",10,65,8,6,12
"123",7,69,16,8,16
"124",8,68,5,5,11
"125",6,78,124,44,75
"126",814,941,125,44,75
"127",813,941,125,44,75
"128",814,941,125,44,75
"129",13,56,9,5,14
"130",11,83,125,44,75
"131",6,60,11,10,17
"132",13,61,125,44,75
"133",13,63,125,44,75
"134",8,68,125,44,75
"135",814,941,125,44,75
"136",10,74,125,44,75
"137",10,78,5,1,10
"138",11,67,124,43,75
"139",10,69,125,44,75
"140",3,63,9,12,16
"141",8,63,8,10,12
"142",15,67,4,9,5
"143",14,76,6,9,11
"144",814,941,125,44,75
"145",9,75,12,5,12
"146",8,62,125,44,75
"147",7,60,125,44,74
"148",13,82,125,44,75
"149",10,77,125,44,75
"150",814,941,125,44,75
"151",13,69,125,44,75
"152",7,80,4,10,9
"153",814,941,125,44,75
"154",10,75,125,44,75
"155",11,72,124,44,75
"156",6,67,6,4,12
"157",9,64,8,6,11
"158",3,73,125,44,75
"159",7,65,125,44,75
"160",10,61,125,44,75
"161",6,73,124,44,75
