"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",42,44,7,3,8
"2",56,43,0,0,0
"3",51,61,0,0,1
"4",0,0,0,0,0
"5",52,52,10,3,3
"6",50,56,0,0,0
"7",51,59,8,3,5
"8",48,45,7,1,4
"9",51,46,6,3,5
"10",40,38,0,0,0
"11",57,45,5,3,3
"12",39,44,3,4,5
"13",54,50,10,2,5
"14",37,51,6,2,5
"15",38,41,7,3,6
"16",56,53,5,3,4
"17",52,42,8,3,4
"18",36,47,0,0,0
"19",41,46,6,4,5
"20",0,0,0,0,0
"21",46,48,5,3,4
"22",42,63,9,2,4
"23",53,45,0,0,0
"24",53,49,6,4,3
"25",0,0,0,0,0
"26",39,52,0,0,0
"27",0,0,0,0,0
"28",48,52,6,2,5
"29",40,49,12,3,7
"30",49,50,6,2,7
"31",49,54,10,2,3
"32",48,33,8,3,5
"33",50,57,9,2,3
"34",0,0,0,0,0
"35",49,59,0,0,0
"36",55,50,6,3,1
"37",51,42,7,2,3
"38",50,56,7,5,3
"39",0,0,0,0,0
"40",54,44,7,2,4
"41",0,0,0,0,0
"42",38,42,3,2,4
"43",60,62,0,0,0
"44",50,47,0,0,0
"45",45,42,11,4,5
"46",0,0,0,0,0
"47",0,0,0,0,0
"48",51,42,9,2,7
"49",41,53,10,3,6
"50",55,47,10,1,3
"51",42,54,9,1,5
"52",43,44,0,0,0
"53",0,0,0,0,0
"54",44,52,6,3,2
"55",50,51,6,1,2
"56",41,55,5,1,7
"57",60,54,8,2,4
"58",53,51,11,2,4
"59",49,43,0,0,0
"60",45,57,7,1,2
"61",0,0,0,0,0
"62",57,65,6,3,6
"63",50,50,5,2,3
"64",43,47,7,2,2
"65",46,56,7,4,7
"66",1,0,0,0,0
"67",44,30,7,2,6
"68",53,53,7,1,4
"69",52,42,5,5,5
"70",39,52,0,0,0
"71",46,45,6,3,5
"72",49,56,4,2,6
"73",48,40,5,4,3
"74",45,50,8,3,4
"75",0,0,0,0,0
"76",46,49,8,2,4
"77",55,45,0,0,0
"78",0,0,0,0,0
"79",38,54,6,3,3
"80",39,50,1,0,0
"81",37,40,0,0,0
"82",55,41,0,0,0
"83",50,32,0,0,0
"84",49,44,0,0,0
"85",48,56,7,2,6
"86",47,41,7,2,4
"87",43,47,0,0,0
"88",42,49,3,2,4
"89",0,1,0,0,0
"90",45,54,0,0,0
"91",0,0,0,0,0
"92",52,43,9,2,3
"93",59,46,4,3,3
"94",44,43,4,3,3
"95",40,62,6,2,2
"96",0,0,0,0,0
"97",44,43,8,1,3
"98",51,50,0,0,0
"99",60,46,8,4,6
"100",54,50,9,4,6
"101",43,57,10,2,5
"102",51,45,0,0,0
"103",52,48,9,1,5
"104",53,50,5,1,5
