"","age1_orange.E","age2_no_comorbid_orange.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",108,115,11,5,10
"2",0,1,0,0,0
"3",104,108,11,3,8
"4",115,110,11,4,7
"5",107,106,13,4,7
"6",116,109,0,0,0
"7",119,111,10,6,8
"8",0,1,0,0,0
"9",104,97,1,0,0
"10",118,102,9,3,5
"11",94,103,11,7,9
"12",100,107,14,6,9
"13",117,110,0,0,0
"14",137,117,0,0,0
"15",104,135,0,0,0
"16",138,112,16,7,7
"17",128,110,0,0,0
"18",117,120,0,0,0
"19",103,102,11,4,7
"20",102,108,0,0,0
"21",107,112,0,0,0
"22",107,100,1,0,0
"23",0,1,0,0,0
"24",112,94,0,0,0
"25",105,115,12,5,8
"26",97,117,0,0,1
"27",113,114,15,6,9
"28",103,111,0,1,1
"29",0,1,0,0,0
"30",121,116,0,0,0
"31",100,121,0,0,0
"32",110,97,0,1,0
"33",109,101,0,0,1
"34",0,1,0,0,0
"35",102,106,12,6,7
"36",108,126,12,4,6
"37",130,100,0,0,0
"38",131,111,16,4,8
"39",116,114,12,5,8
"40",111,113,16,5,10
"41",107,99,0,0,0
"42",112,98,12,6,9
"43",94,98,0,0,0
"44",105,100,0,0,1
"45",118,123,1,1,0
"46",1,1,0,0,0
"47",97,97,0,0,1
"48",99,119,0,0,0
"49",113,119,10,5,6
"50",0,1,0,0,0
"51",132,109,9,5,7
"52",0,1,0,0,0
"53",0,1,0,0,0
"54",106,110,0,0,0
"55",104,101,0,0,0
"56",1,1,0,0,0
"57",0,1,0,0,0
"58",113,111,0,0,0
"59",107,111,11,5,8
"60",109,102,0,1,0
"61",96,103,0,0,0
"62",128,106,0,0,0
"63",106,110,12,8,8
"64",107,106,0,0,0
"65",101,102,0,0,0
"66",0,1,0,0,0
"67",95,96,0,0,0
"68",0,1,0,0,0
"69",104,108,13,5,6
"70",110,109,15,6,8
"71",124,113,0,0,0
"72",114,95,17,5,8
"73",106,110,15,5,8
"74",91,95,13,4,6
"75",102,108,14,6,7
"76",97,113,0,0,0
"77",0,1,0,0,0
"78",98,119,0,0,0
"79",115,110,8,6,6
"80",119,120,0,0,0
"81",0,1,0,0,0
"82",0,1,0,0,0
"83",113,123,0,0,0
"84",0,1,0,0,0
"85",104,104,1,0,0
"86",0,1,0,0,0
"87",108,126,0,1,0
"88",93,101,0,0,0
"89",102,106,0,0,0
"90",0,1,0,0,0
"91",103,96,0,0,0
"92",102,131,10,3,5
"93",1,1,0,0,0
"94",107,96,0,0,0
"95",109,103,0,0,0
"96",108,116,0,0,0
"97",96,110,1,0,0
"98",98,105,11,6,8
"99",0,1,0,0,0
"100",123,114,0,0,0
"101",121,107,12,4,5
"102",102,109,13,5,12
"103",117,112,0,0,0
"104",111,114,12,6,7
"105",97,93,12,5,10
"106",0,1,0,0,0
"107",0,1,0,0,0
"108",108,101,16,5,8
"109",109,103,0,0,0
"110",106,103,0,0,0
"111",112,113,0,0,0
"112",96,103,1,0,0
"113",121,120,1,0,0
"114",121,118,13,4,9
"115",0,1,0,0,0
"116",1,1,0,0,0
"117",116,99,0,0,0
"118",102,101,0,0,0
"119",96,94,0,0,0
"120",0,1,0,0,0
"121",0,1,0,0,0
"122",122,109,11,5,12
"123",103,119,12,6,8
"124",107,131,14,4,10
"125",121,113,1,0,0
"126",0,1,0,0,0
"127",1,1,0,0,0
"128",0,1,0,0,0
"129",99,94,12,6,7
"130",98,106,0,0,0
"131",94,105,10,5,8
"132",111,106,0,0,0
"133",100,105,0,0,0
"134",114,113,0,0,0
"135",0,1,0,0,0
"136",110,131,0,0,0
"137",105,112,12,9,6
"138",102,90,1,1,0
"139",104,109,0,0,0
"140",114,127,13,6,8
"141",107,111,11,4,6
"142",102,116,12,4,9
"143",99,111,13,4,8
"144",0,1,0,0,0
"145",103,96,14,5,7
"146",106,104,0,0,0
"147",115,112,0,0,1
"148",111,118,0,0,0
"149",111,105,0,0,0
"150",0,1,0,0,0
"151",108,99,0,0,0
"152",109,99,11,6,8
"153",0,1,0,0,0
"154",102,98,0,0,0
"155",105,106,1,0,0
"156",114,107,10,5,9
"157",105,109,15,6,7
"158",111,105,0,0,0
"159",119,125,0,0,0
"160",108,128,0,0,0
"161",106,113,1,0,0
"162",113,124,0,0,0
"163",101,106,0,0,0
"164",94,106,13,4,9
"165",0,1,0,0,0
"166",102,98,0,0,0
"167",115,112,2,0,1
"168",107,106,11,3,6
"169",107,120,12,5,9
"170",110,130,0,0,0
"171",98,127,0,0,0
"172",114,98,0,0,0
"173",106,93,0,0,0
"174",128,104,14,7,8
"175",95,105,15,6,9
"176",0,1,0,0,0
"177",96,119,0,0,0
"178",115,93,12,5,8
"179",1,1,0,0,0
"180",109,101,0,0,0
"181",110,108,13,4,7
"182",114,111,0,0,0
"183",121,115,0,0,0
"184",97,97,12,4,6
"185",0,1,0,0,0
"186",0,1,0,0,0
"187",106,121,14,4,5
"188",130,108,0,0,0
"189",118,101,0,0,0
"190",120,111,0,0,0
"191",127,115,1,1,0
"192",103,102,0,0,0
"193",113,107,0,0,0
"194",118,108,0,0,0
"195",117,96,0,0,0
"196",118,126,11,5,6
"197",0,1,0,0,0
"198",104,108,14,7,8
"199",112,113,0,0,0
"200",107,106,0,0,0
"201",0,1,0,0,0
"202",0,1,0,0,0
"203",0,1,0,0,0
"204",104,113,15,6,9
"205",86,98,12,4,9
"206",0,1,0,0,0
"207",0,1,0,0,0
"208",103,122,1,0,0
"209",113,110,0,0,1
"210",101,98,1,0,0
"211",0,1,0,0,0
"212",112,122,0,0,0
"213",99,108,0,0,0
"214",123,108,10,5,9
"215",105,97,0,0,0
"216",114,102,10,5,7
"217",114,111,1,1,0
"218",120,99,14,5,8
"219",113,100,0,0,0
"220",116,115,0,0,0
"221",0,1,0,0,0
"222",109,120,13,4,7
"223",117,110,0,0,0
"224",122,115,0,0,0
"225",100,96,0,0,0
"226",100,112,0,0,0
"227",115,116,0,0,0
"228",92,93,0,0,0
"229",0,1,0,0,0
"230",110,109,0,0,0
"231",111,107,13,5,9
"232",111,117,0,0,0
"233",106,110,11,5,9
"234",0,1,0,0,0
"235",101,120,15,5,10
"236",109,108,18,3,8
"237",107,113,10,5,7
"238",101,106,12,4,6
"239",100,102,1,0,1
"240",121,112,1,0,1
"241",104,101,0,0,0
"242",96,95,14,7,11
"243",102,106,13,4,7
"244",102,115,13,4,7
"245",89,90,13,5,8
"246",115,122,11,8,8
"247",0,1,0,0,0
"248",121,102,11,7,11
"249",0,1,0,0,0
"250",117,109,14,7,9
"251",109,111,0,0,0
"252",102,100,0,0,0
"253",96,106,9,3,6
"254",99,97,0,0,0
"255",101,105,0,0,0
"256",124,127,10,4,10
"257",0,1,0,0,0
"258",113,105,0,0,0
"259",0,1,0,0,0
"260",104,109,0,0,0
"261",115,102,10,5,6
"262",111,94,1,0,1
"263",102,100,0,0,0
"264",107,109,0,0,0
"265",114,132,0,0,0
"266",116,120,14,9,8
"267",101,100,14,7,12
"268",105,123,10,8,8
"269",101,116,0,0,0
"270",103,114,10,5,9
"271",108,102,0,0,0
"272",111,107,0,0,0
"273",108,104,0,0,0
"274",105,100,10,5,5
"275",110,103,15,4,7
"276",101,102,0,0,1
"277",99,99,12,7,8
"278",115,102,0,0,0
"279",107,114,0,0,0
"280",118,100,15,5,7
"281",104,106,0,0,0
"282",119,104,0,1,0
"283",99,105,15,5,5
"284",0,1,0,0,0
"285",114,117,0,0,0
"286",109,109,0,0,0
"287",106,101,0,0,0
"288",113,101,0,0,0
"289",0,1,0,0,0
"290",100,107,11,4,6
"291",119,107,12,6,7
"292",0,1,0,0,0
"293",115,117,1,0,0
"294",130,111,15,5,11
"295",105,109,0,0,0
"296",110,96,12,7,9
"297",128,101,13,5,10
"298",113,101,0,0,1
"299",97,107,0,0,0
"300",108,129,0,0,0
"301",110,119,10,4,11
"302",133,111,12,7,9
"303",119,109,0,0,0
"304",108,112,0,0,0
"305",127,115,0,0,0
"306",0,1,0,0,0
"307",97,106,0,0,0
