"","age1_orange.H","age2_no_comorbid_orange.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"1",20,20,5,6,7
"2",26,19,0,0,0
"3",30,14,0,0,0
"4",0,0,0,0,0
"5",14,31,9,4,8
"6",20,26,0,0,0
"7",16,20,11,4,10
"8",14,27,5,3,6
"9",18,23,6,2,8
"10",19,16,0,0,0
"11",17,20,5,4,8
"12",17,21,10,2,7
"13",16,23,7,4,6
"14",15,18,9,3,5
"15",15,22,4,5,7
"16",14,14,10,1,5
"17",16,23,10,1,7
"18",21,19,0,0,0
"19",25,16,7,3,11
"20",0,0,0,0,0
"21",20,20,12,4,9
"22",16,19,7,4,4
"23",18,20,0,0,0
"24",17,18,8,2,14
"25",0,1,0,0,0
"26",14,20,0,0,0
"27",0,0,0,0,0
"28",27,20,8,4,9
"29",19,25,7,2,7
"30",27,24,7,2,9
"31",13,16,12,1,5
"32",26,18,9,3,7
"33",17,23,9,5,7
"34",0,0,0,0,0
"35",16,17,0,0,0
"36",21,32,7,4,7
"37",16,24,7,1,8
"38",12,17,6,3,8
"39",0,0,0,0,0
"40",15,24,8,3,10
"41",0,0,0,0,0
"42",19,20,11,3,8
"43",15,19,0,0,0
"44",21,25,0,0,0
"45",18,21,10,4,9
"46",0,0,0,0,0
"47",0,0,0,0,0
"48",19,31,9,2,9
"49",19,20,14,4,11
"50",21,19,11,4,8
"51",27,21,6,2,7
"52",18,27,0,0,0
"53",0,0,0,0,0
"54",22,21,8,4,10
"55",18,27,7,5,6
"56",22,21,10,2,5
"57",18,15,7,3,9
"58",20,20,5,7,9
"59",16,22,0,0,0
"60",21,21,8,2,6
"61",0,0,0,0,0
"62",23,21,6,1,7
"63",19,19,10,1,8
"64",17,15,5,2,8
"65",19,20,6,2,5
"66",0,0,0,0,0
"67",18,18,8,2,10
"68",20,24,5,3,5
"69",16,25,10,3,7
"70",19,25,0,0,0
"71",27,26,8,5,11
"72",20,20,7,2,9
"73",18,24,7,3,9
"74",23,13,7,3,8
"75",0,0,0,0,0
"76",18,18,4,2,11
"77",15,14,0,0,0
"78",0,0,0,0,0
"79",22,26,5,3,8
"80",22,15,0,0,0
"81",16,25,0,0,0
"82",19,18,0,0,0
"83",16,23,0,0,0
"84",22,22,0,0,0
"85",18,16,8,6,8
"86",17,23,8,3,9
"87",17,17,0,0,0
"88",22,17,7,2,6
"89",0,0,0,0,0
"90",17,21,0,0,0
"91",0,0,0,0,0
"92",28,21,12,5,7
"93",17,16,7,2,10
"94",20,20,5,1,13
"95",14,24,6,5,10
"96",0,0,0,0,0
"97",23,12,5,4,8
"98",21,23,0,0,0
"99",20,29,6,4,7
"100",24,17,9,2,9
"101",20,22,9,2,10
"102",20,21,0,0,0
"103",17,18,9,2,12
"104",14,14,5,4,10
"105",15,21,5,3,8
"106",19,22,7,6,13
"107",18,18,0,0,0
"108",23,26,0,0,0
"109",17,20,12,3,7
"110",16,16,11,4,14
"111",19,15,10,5,7
"112",18,21,8,2,7
"113",10,20,0,0,0
"114",18,22,5,2,6
"115",17,21,0,0,0
"116",0,0,0,0,0
"117",15,20,8,3,10
"118",17,18,4,3,8
"119",21,19,11,3,12
"120",28,23,6,3,8
"121",21,17,4,3,5
"122",17,21,7,1,7
"123",24,24,8,2,10
"124",25,19,10,1,8
"125",22,18,8,2,6
"126",0,0,0,0,0
"127",19,19,13,1,15
"128",24,19,13,4,9
"129",18,21,7,4,10
"130",20,18,10,4,6
"131",21,29,5,2,5
"132",15,19,6,5,10
"133",24,14,0,0,0
"134",0,0,0,0,0
"135",28,19,0,0,0
"136",17,20,5,2,6
"137",21,14,8,3,5
"138",0,1,0,0,0
"139",0,1,0,0,0
"140",18,31,5,3,13
