"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",3029,1,3021,1,1,1,1
"2",3093,1,3116,1,1,1,1
"3",3395,3579,3710,3692,3693,3649,3712
"4",3150,3681,3123,3774,3761,3756,3741
"5",2942,1,3146,1,1,1,1
"6",3060,1,3092,1,1,1,1
"7",3077,1,3069,1,1,1,1
"8",3055,1,3093,1,1,1,1
"9",1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1
"11",3096,1,3087,1,1,1,1
"12",3060,1,3080,1,1,1,1
"13",1,1,1,1,1,1,1
"14",2962,1,3048,1,1,1,1
"15",3112,1,3101,1,1,1,1
"16",3115,1,3104,1,1,1,1
"17",3079,1,3100,1,1,1,1
"18",3067,1,3118,1,1,1,1
"19",3114,3653,3086,3840,3797,3847,3841
"20",3047,1,3102,1,1,1,1
"21",3138,1,3112,1,1,1,1
"22",3139,1,3142,1,1,1,1
"23",3042,3770,3705,3774,3830,3816,3817
"24",1,1,3,1,1,1,1
"25",3709,3501,3756,3682,3671,3699,3697
"26",3026,1,3005,1,1,1,1
"27",3004,1,3060,1,1,1,1
"28",3085,1,3107,1,1,1,1
"29",3016,1,3050,1,1,1,1
"30",2904,3624,3643,3653,3658,3641,3686
"31",3361,3877,3502,3789,3878,3849,3895
"32",3087,1,3130,1,1,1,1
"33",3078,1,3088,1,1,1,1
"34",2994,3764,3066,3735,3803,3736,3788
"35",3043,1,3137,1,1,1,1
"36",3085,3715,3129,3801,3831,3734,3824
"37",3089,1,3075,1,1,1,1
"38",3093,1,3117,1,1,1,1
"39",3084,3716,3476,3678,3726,3697,3652
"40",3060,3810,3485,3821,3839,3826,3861
"41",2943,1,3040,1,1,1,1
"42",3107,1,3118,1,1,1,1
"43",3096,1,3114,1,1,1,1
"44",3792,3426,3799,3757,3758,3680,3702
"45",3229,3651,3792,3857,3842,3823,3859
"46",3011,1,3075,1,1,1,1
"47",1,1,1,1,1,1,1
"48",3090,3758,3686,3738,3748,3750,3793
"49",3186,3652,3492,3810,3832,3834,3804
"50",1,1,1,1,1,1,1
"51",3057,1,3079,1,1,1212,1
