"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",8,2,64,12,15,3,9
"2",752,62,847,94,125,44,75
"3",752,62,847,94,125,44,75
"4",752,62,847,94,125,44,75
"5",14,0,71,9,11,9,10
"6",752,62,847,94,125,44,75
"7",7,62,68,94,125,44,75
"8",10,62,75,93,125,44,75
"9",751,62,847,94,125,44,75
"10",11,0,56,9,12,7,7
"11",8,62,64,94,125,44,75
"12",8,1,78,5,8,5,16
"13",12,1,49,5,11,8,18
"14",752,62,847,94,125,44,75
"15",752,62,847,94,125,44,75
"16",12,62,58,94,124,44,75
"17",8,2,79,7,8,7,14
"18",5,62,41,94,125,43,75
"19",3,62,58,94,125,44,75
"20",752,62,847,94,125,44,75
"21",6,62,51,94,125,44,75
"22",7,62,65,94,125,44,75
"23",7,2,62,6,10,4,10
"24",12,62,57,94,124,44,75
"25",751,62,847,94,125,44,75
"26",10,2,48,11,14,13,16
"27",752,62,846,94,125,44,75
"28",4,62,63,94,125,44,75
"29",8,1,47,5,11,8,12
"30",10,62,56,94,125,44,75
"31",8,62,51,94,125,44,75
"32",12,0,59,17,11,8,10
"33",4,0,53,5,8,8,16
"34",10,1,53,2,8,5,15
"35",11,1,70,12,9,6,20
"36",10,2,52,8,9,7,12
"37",9,62,61,94,125,44,75
"38",10,62,82,94,125,44,75
"39",752,62,847,94,125,44,75
"40",14,62,75,94,125,44,75
"41",752,62,847,94,125,44,75
"42",7,2,67,6,19,8,19
"43",9,62,74,93,125,44,75
"44",10,62,70,94,124,44,75
"45",11,62,62,93,125,44,75
"46",12,1,81,6,4,5,12
"47",752,62,847,94,125,44,75
"48",20,2,59,8,10,7,13
"49",10,62,67,94,125,44,75
"50",9,62,53,94,125,44,75
"51",2,62,64,94,125,44,75
"52",7,0,57,10,8,5,14
"53",6,62,63,94,125,44,75
"54",13,0,73,6,14,9,11
"55",11,62,71,94,125,44,75
"56",13,62,62,94,125,44,75
"57",751,62,847,94,125,44,75
"58",7,0,67,4,5,6,9
"59",11,5,58,11,13,8,20
"60",9,0,68,2,6,6,11
"61",12,62,68,94,125,44,75
"62",11,62,65,94,125,44,75
"63",4,62,56,94,125,44,75
"64",752,62,847,94,125,44,75
"65",7,62,53,94,125,44,75
"66",3,1,55,6,8,8,9
"67",7,62,57,94,125,44,75
"68",14,62,60,94,125,44,75
"69",12,2,58,9,3,14,14
"70",15,1,75,10,7,7,15
"71",16,62,65,94,125,44,75
"72",5,0,43,7,8,6,10
"73",9,62,59,94,125,44,75
"74",8,2,91,11,24,9,15
"75",751,62,847,94,125,44,75
"76",18,62,64,94,125,44,75
"77",9,62,45,94,125,44,75
"78",12,1,47,9,11,8,15
"79",752,62,846,94,125,44,75
"80",9,0,55,6,9,8,8
"81",16,62,56,94,125,44,75
"82",752,62,847,94,125,44,75
"83",9,1,68,6,7,6,4
"84",10,62,46,94,125,44,75
"85",7,2,65,11,10,13,12
"86",12,2,71,13,8,9,14
"87",16,62,73,94,125,44,75
"88",752,62,847,94,125,44,75
"89",752,62,847,94,125,44,75
"90",5,62,61,94,125,44,75
"91",13,0,63,6,11,8,8
"92",752,62,847,94,125,44,75
"93",6,1,63,10,6,5,9
"94",12,0,66,10,12,5,24
"95",12,62,71,94,125,44,75
"96",11,1,63,8,3,7,11
"97",11,1,68,2,7,7,13
"98",14,2,63,1,11,5,10
"99",752,62,847,94,125,44,75
"100",7,2,57,10,6,3,16
"101",752,62,847,94,125,44,75
"102",8,0,59,7,10,8,15
"103",12,0,79,4,9,5,13
"104",11,0,44,3,10,9,7
"105",10,60,61,94,124,44,75
"106",9,62,51,94,125,44,75
"107",15,62,66,94,125,44,75
"108",10,62,53,94,124,44,75
"109",15,0,60,7,10,4,14
"110",14,62,69,93,125,44,75
"111",752,62,847,94,125,44,75
"112",9,62,63,94,125,44,75
"113",6,62,53,94,125,44,75
"114",10,1,75,8,7,6,13
"115",21,62,75,94,125,44,75
"116",10,61,42,94,125,44,75
"117",9,62,44,94,125,44,75
"118",11,0,59,8,13,9,9
"119",752,62,847,94,125,44,75
"120",11,0,57,9,7,5,17
"121",7,0,52,3,7,7,6
"122",7,62,73,94,125,44,75
"123",6,2,64,9,11,9,16
"124",11,62,60,94,125,44,75
"125",8,0,72,4,6,6,7
"126",11,2,67,12,8,13,17
"127",13,0,70,4,7,9,12
"128",13,62,66,94,125,44,75
"129",9,62,47,94,125,44,75
"130",14,62,75,94,125,44,75
"131",752,62,847,94,125,44,75
"132",17,62,72,94,124,43,74
"133",1,0,60,3,8,10,13
"134",8,0,51,7,14,5,13
"135",12,62,48,94,125,44,74
"136",8,62,52,94,125,44,75
"137",752,62,847,94,125,44,75
"138",18,62,68,94,125,44,75
"139",10,62,60,94,125,44,75
"140",6,62,73,94,125,44,75
"141",11,60,80,94,125,44,75
"142",9,0,62,5,9,6,6
"143",13,62,72,94,125,44,75
"144",752,62,847,94,125,44,75
"145",5,1,45,3,8,8,8
"146",8,1,63,6,8,7,13
"147",752,62,847,94,125,44,75
"148",11,62,61,94,125,44,75
"149",9,2,64,2,10,3,17
"150",15,2,86,5,12,11,17
"151",11,62,61,94,125,44,75
"152",752,62,847,94,125,44,75
"153",17,62,64,94,125,44,75
"154",12,0,55,8,12,5,21
"155",12,0,70,4,4,8,19
"156",8,62,79,94,125,44,75
"157",17,1,68,6,9,9,18
"158",751,62,847,94,125,44,75
"159",752,62,847,94,125,44,75
"160",8,1,57,4,14,7,19
"161",7,0,54,14,8,7,10
"162",8,62,50,93,125,44,75
"163",8,62,52,94,125,44,75
"164",8,1,59,5,7,6,11
"165",12,1,57,5,8,7,12
"166",7,5,62,12,6,8,14
"167",9,0,50,9,3,3,11
"168",749,62,844,94,125,44,75
"169",8,62,69,94,125,44,75
"170",12,62,73,94,125,44,75
"171",14,0,44,10,4,6,7
"172",12,0,74,3,5,5,13
"173",11,62,72,94,125,44,75
"174",751,62,847,94,125,44,75
"175",6,62,59,94,125,44,75
"176",16,0,54,7,5,8,16
"177",6,62,70,94,125,44,75
"178",9,1,54,6,7,8,9
"179",10,0,65,8,10,8,11
"180",6,61,55,94,124,44,75
"181",9,62,64,94,125,44,75
"182",8,62,55,94,125,44,75
"183",752,62,847,94,125,44,75
"184",11,62,65,94,125,44,75
"185",15,62,59,93,125,44,75
"186",752,62,847,94,125,44,75
"187",752,62,847,94,125,44,75
"188",11,1,66,2,12,9,21
"189",13,62,69,94,125,44,75
"190",752,62,847,94,125,44,75
"191",8,62,53,94,125,44,75
"192",751,62,847,94,125,44,75
"193",10,2,60,3,8,6,17
"194",9,1,74,9,10,6,18
"195",10,0,65,4,5,4,11
"196",12,0,56,5,8,6,10
"197",11,62,72,94,124,44,75
"198",7,62,59,94,125,44,75
"199",8,62,62,94,125,44,75
"200",9,0,74,11,11,13,11
"201",6,2,71,10,8,17,11
"202",11,62,69,94,125,44,75
"203",752,62,846,94,125,44,75
"204",10,62,66,94,125,44,75
"205",9,1,59,8,15,8,14
"206",7,1,55,6,11,13,16
"207",12,62,72,94,125,44,75
"208",9,1,66,8,9,11,11
"209",2,62,73,94,125,44,75
"210",9,0,53,3,6,7,9
"211",10,1,67,6,5,8,10
"212",11,0,65,14,9,11,14
"213",8,61,64,94,125,44,75
"214",752,62,847,94,125,44,75
"215",752,62,847,94,125,44,75
"216",6,62,69,94,125,44,75
"217",752,62,847,94,125,44,75
"218",752,62,847,94,125,44,75
"219",7,0,61,7,11,9,20
"220",14,62,83,94,125,44,75
"221",10,62,88,94,125,44,75
"222",7,62,60,94,125,44,75
"223",8,62,63,94,125,44,75
"224",9,62,55,94,125,44,75
"225",12,62,65,94,125,44,75
"226",12,62,67,94,125,44,75
"227",12,1,66,7,15,10,14
"228",9,1,60,10,10,6,15
"229",752,62,847,94,125,44,75
"230",7,61,62,94,125,44,75
"231",14,62,60,94,125,44,75
"232",11,62,68,94,125,44,75
"233",5,62,65,94,125,44,75
"234",10,62,62,94,124,44,74
"235",8,62,63,94,125,44,75
"236",8,0,60,6,10,7,13
"237",7,0,65,8,12,3,14
"238",15,62,73,94,125,44,75
"239",16,62,79,94,125,44,75
"240",9,1,51,1,9,12,19
"241",12,0,55,7,8,10,13
"242",14,62,61,94,125,44,75
"243",752,62,846,94,125,44,75
"244",14,62,72,94,125,44,75
"245",10,62,76,94,125,44,75
"246",752,62,847,94,125,44,75
"247",752,62,846,94,125,44,75
"248",8,62,76,94,125,44,75
"249",9,62,65,94,125,44,75
"250",752,62,847,94,125,44,75
"251",8,1,58,12,11,9,14
"252",7,1,42,9,20,5,15
"253",12,62,60,94,125,44,75
"254",751,62,845,94,125,44,75
"255",9,3,47,9,9,10,14
"256",752,62,847,94,125,44,75
"257",10,1,67,12,12,13,16
"258",3,62,53,94,125,44,75
"259",752,62,847,94,125,44,75
"260",752,62,847,94,125,44,75
"261",7,62,61,94,125,44,75
"262",8,62,67,94,125,44,75
"263",15,2,66,9,17,11,13
"264",9,2,57,6,6,11,14
"265",752,62,846,94,125,44,75
"266",7,62,59,94,125,44,75
"267",9,0,65,10,11,11,22
"268",11,62,69,94,125,44,75
"269",752,62,847,94,125,44,75
"270",5,62,63,94,125,44,75
"271",6,62,55,94,125,42,75
"272",12,62,49,94,125,44,74
"273",12,62,73,94,125,44,75
"274",752,62,847,94,125,44,75
"275",10,0,63,9,12,8,18
"276",752,62,847,94,125,44,75
"277",752,62,847,94,125,44,75
"278",8,62,55,94,125,44,75
"279",9,62,78,94,125,44,75
"280",6,1,42,7,8,8,16
"281",14,62,68,94,125,43,75
"282",6,62,49,94,125,44,75
"283",9,1,56,3,7,9,12
"284",752,62,847,94,125,44,75
"285",10,0,70,14,9,11,15
"286",12,62,73,94,125,44,75
"287",9,62,48,94,125,44,75
"288",752,62,847,94,125,44,75
"289",752,62,847,94,125,44,75
"290",8,62,62,94,125,44,75
"291",12,62,61,94,125,44,75
"292",752,62,847,94,125,44,75
"293",4,62,39,94,125,44,75
"294",9,62,75,94,125,44,75
"295",18,62,61,94,125,44,75
"296",7,0,63,11,7,8,9
"297",752,62,847,94,125,44,75
"298",7,62,55,94,125,44,75
"299",7,62,54,94,125,44,75
"300",9,0,55,10,9,4,20
"301",10,2,49,8,13,5,18
"302",7,61,64,94,124,44,75
"303",11,0,70,10,14,11,16
"304",752,62,847,94,125,44,75
"305",13,1,60,2,9,10,9
"306",752,62,847,94,125,44,75
"307",16,62,70,94,125,44,75
"308",9,0,58,7,6,5,15
"309",10,62,80,94,125,44,75
"310",6,62,65,94,125,44,75
"311",15,62,83,93,124,44,75
"312",6,62,62,94,125,44,75
"313",10,62,74,94,125,44,75
"314",14,0,71,8,7,9,17
"315",4,2,50,3,7,7,3
"316",13,62,68,94,125,44,75
"317",14,0,62,4,9,7,8
"318",752,62,847,94,125,44,75
"319",7,3,71,13,12,11,14
"320",8,62,58,94,125,44,75
"321",752,62,847,94,125,44,75
"322",6,62,70,94,125,44,75
"323",11,62,68,94,125,44,75
"324",11,62,72,94,125,44,74
"325",6,0,67,7,14,9,20
"326",12,62,65,94,125,44,75
"327",5,0,63,3,3,10,9
"328",12,62,58,94,125,44,75
"329",752,62,847,94,125,44,75
"330",7,62,60,94,125,44,75
"331",752,62,847,94,125,44,75
"332",11,0,56,11,13,1,14
"333",15,0,87,11,9,5,11
"334",4,1,56,8,14,9,17
"335",7,1,76,8,9,10,11
"336",4,0,64,2,8,12,11
"337",6,2,63,5,6,7,15
"338",11,62,65,94,125,44,75
"339",752,62,847,94,125,44,75
"340",7,62,64,94,125,44,75
"341",7,62,58,94,125,44,75
"342",19,62,77,94,125,44,74
"343",9,62,56,94,125,44,75
