"","age1_orange.A","age1_green.A","age2_no_comorbid_orange.A","age2_no_comorbid_green.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",34,6,33,5,5,4,2
"2",0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0
"4",0,0,0,0,0,0,0
"5",39,5,26,3,4,1,5
"6",0,0,0,0,0,0,0
"7",24,0,36,0,0,0,0
"8",30,0,39,0,0,0,0
"9",1,0,0,0,0,0,0
"10",31,4,29,2,4,2,4
"11",28,0,45,0,0,0,0
"12",31,3,36,4,4,2,2
"13",33,3,37,3,5,2,4
"14",0,0,1,0,0,0,0
"15",0,0,0,0,0,0,0
"16",41,0,29,0,0,0,0
"17",41,2,35,4,8,2,3
"18",34,0,26,0,0,0,0
"19",35,0,35,0,0,0,0
"20",0,0,0,0,0,0,0
"21",36,0,37,0,0,0,0
"22",31,0,38,0,0,0,0
"23",29,4,40,5,4,2,5
"24",30,0,34,0,0,0,0
"25",0,0,0,0,0,0,0
"26",40,2,29,5,5,2,3
"27",0,0,0,0,0,0,0
"28",37,0,41,0,0,0,0
"29",25,3,41,3,5,4,2
"30",32,0,36,0,0,0,0
"31",34,0,41,0,0,0,0
"32",34,3,39,5,4,3,5
"33",40,3,35,4,5,2,6
"34",31,3,31,7,4,4,4
"35",31,4,36,1,5,2,3
"36",37,3,29,5,3,4,3
"37",33,0,36,0,0,0,0
"38",36,0,30,0,0,0,0
"39",0,0,0,0,0,0,0
"40",33,0,32,0,0,0,0
"41",0,0,0,0,0,0,0
"42",35,3,43,3,4,1,2
"43",26,0,29,0,0,0,0
"44",37,0,30,0,0,0,0
"45",34,0,34,0,0,0,0
"46",27,2,30,3,6,3,4
"47",0,0,0,0,0,0,0
"48",26,2,36,6,10,2,6
"49",37,0,25,0,0,0,0
"50",29,0,31,0,0,0,0
"51",42,0,27,0,0,0,0
"52",36,4,35,3,5,2,4
"53",34,0,29,0,0,0,0
"54",28,6,36,6,3,4,1
"55",32,0,25,0,0,0,0
"56",37,0,39,0,0,0,0
"57",0,0,0,0,0,0,0
"58",38,4,36,8,8,1,2
"59",35,4,25,4,8,1,3
"60",35,4,30,9,5,2,3
"61",27,0,29,0,0,0,0
"62",32,0,43,0,0,0,0
"63",43,0,30,0,0,0,0
"64",0,0,0,0,0,0,0
"65",34,0,40,0,0,0,0
"66",33,3,31,3,5,4,3
"67",45,0,34,0,0,0,0
"68",34,0,30,0,0,0,0
"69",30,3,35,3,8,2,4
"70",29,2,36,4,5,1,6
"71",45,0,30,0,0,0,0
"72",37,4,36,5,4,1,3
"73",45,0,30,0,0,0,0
"74",27,2,34,3,6,1,4
"75",0,0,0,0,0,0,0
"76",34,0,23,0,0,0,0
"77",40,0,33,0,0,0,0
"78",33,4,44,6,5,1,3
"79",0,0,0,0,0,0,0
"80",27,5,37,4,8,4,3
"81",34,0,33,0,0,0,0
"82",0,0,0,0,0,0,0
"83",36,4,36,6,5,2,5
"84",32,0,36,0,0,0,0
"85",32,5,25,5,3,4,3
"86",40,2,34,5,5,2,2
"87",34,0,37,0,0,0,0
"88",0,0,0,0,0,0,0
"89",0,0,0,0,0,0,0
"90",32,0,35,0,0,0,0
"91",25,4,36,4,5,1,4
"92",0,0,0,0,0,0,0
"93",26,2,28,5,5,2,3
"94",29,3,34,4,6,2,4
"95",44,0,33,0,0,0,0
"96",40,3,34,5,6,3,7
"97",34,3,43,7,6,2,3
"98",24,4,37,4,6,3,3
"99",0,0,0,0,0,0,0
"100",32,5,27,4,8,4,3
"101",0,0,0,0,0,0,0
"102",30,3,35,5,3,4,8
"103",30,2,25,3,7,2,5
"104",39,5,32,5,7,3,3
"105",31,1,41,0,1,0,0
"106",26,0,40,0,0,0,0
"107",42,0,31,0,0,0,0
"108",34,0,36,0,1,0,0
"109",28,3,37,3,3,2,5
"110",36,0,30,1,0,0,0
"111",0,0,0,0,0,0,0
"112",31,0,33,0,0,0,0
"113",43,0,33,0,0,0,0
"114",36,4,30,4,5,2,3
"115",35,0,24,0,0,0,0
"116",37,1,39,0,0,0,0
"117",37,0,38,0,0,0,0
"118",30,6,46,4,8,1,3
"119",0,0,0,0,0,0,0
"120",34,3,27,6,6,2,2
"121",33,5,34,8,4,4,4
"122",35,0,40,0,0,0,0
"123",30,4,33,4,6,2,3
"124",36,0,40,0,0,0,0
"125",29,2,26,5,5,3,3
"126",30,6,27,5,5,2,3
"127",38,4,40,3,6,3,5
"128",25,0,37,0,0,0,0
"129",28,0,33,0,0,0,0
"130",36,0,30,0,0,0,0
"131",0,0,0,0,0,0,0
"132",36,0,27,0,0,0,0
"133",27,4,38,6,5,2,5
"134",32,5,27,6,9,2,3
"135",39,0,35,0,0,0,0
"136",33,0,36,0,0,0,0
"137",0,0,0,0,0,0,0
"138",39,0,33,0,0,0,0
"139",28,0,36,0,0,0,0
"140",34,0,32,0,0,0,0
"141",29,0,33,0,0,0,0
"142",33,5,40,5,5,2,3
"143",43,0,33,0,0,0,0
"144",0,0,0,0,0,0,0
"145",30,5,31,6,7,4,3
"146",39,4,31,6,5,2,2
"147",0,0,1,0,0,0,0
"148",35,0,40,0,0,0,0
"149",28,4,30,6,9,3,4
"150",31,5,34,5,6,2,3
"151",33,0,31,0,0,0,0
"152",0,0,0,0,0,0,0
"153",34,0,30,0,0,0,0
"154",41,2,47,4,4,2,3
"155",30,3,38,4,8,4,3
"156",35,0,28,0,0,0,0
"157",37,4,17,3,7,5,4
"158",0,0,0,0,0,0,0
"159",0,0,0,0,0,0,0
"160",37,3,30,3,5,3,4
"161",37,3,28,5,10,2,5
"162",32,0,36,0,0,0,0
"163",42,0,33,0,0,0,0
"164",32,3,37,6,5,1,3
"165",29,5,35,3,5,2,3
"166",30,3,40,3,5,3,3
"167",36,2,34,4,7,1,3
"168",0,0,0,0,0,0,0
"169",34,0,35,0,0,0,0
"170",34,0,32,0,0,0,0
"171",33,2,37,8,3,4,3
"172",38,2,34,3,6,4,2
"173",27,0,28,0,0,0,0
"174",0,0,0,0,0,0,0
"175",30,0,42,0,0,0,0
"176",32,2,33,3,5,2,3
"177",38,0,27,0,0,0,0
"178",38,3,33,6,7,3,4
"179",31,4,38,4,4,4,3
"180",32,0,36,0,0,0,0
"181",29,0,31,0,0,0,0
"182",31,0,36,0,0,0,0
"183",0,0,0,0,0,0,0
"184",35,0,30,0,0,0,0
"185",24,0,27,0,0,0,0
"186",0,0,0,0,0,0,0
"187",0,0,0,0,0,0,0
"188",34,5,35,4,4,2,3
"189",37,0,25,0,0,0,0
"190",0,0,1,0,0,0,0
"191",30,0,33,0,0,0,0
"192",0,0,0,0,0,0,0
"193",38,5,33,5,9,3,3
"194",34,5,31,3,6,3,3
"195",30,4,36,2,9,3,3
"196",26,4,32,5,5,1,3
"197",32,0,33,0,0,0,0
"198",36,0,29,0,0,0,0
"199",24,0,32,0,0,0,0
"200",42,3,30,6,6,2,2
"201",34,2,25,4,5,3,5
"202",31,0,39,0,0,0,0
"203",0,0,0,0,0,0,0
"204",31,0,36,0,0,0,0
"205",38,5,35,5,4,1,3
"206",33,4,30,4,6,3,5
"207",37,0,27,0,0,0,0
"208",44,4,31,4,7,1,3
"209",33,0,35,0,0,0,0
"210",37,6,41,5,4,2,7
"211",33,4,38,7,4,1,6
"212",34,5,36,6,5,3,2
"213",33,0,38,0,0,0,0
"214",0,0,1,0,0,0,0
"215",0,0,1,0,0,0,0
"216",37,0,33,0,0,0,0
"217",0,0,1,0,0,0,0
"218",0,0,0,0,0,0,0
"219",31,4,36,8,7,1,4
"220",28,0,45,0,0,0,0
"221",36,0,37,0,0,0,0
"222",36,0,28,0,0,0,0
"223",41,0,29,0,0,0,0
"224",29,0,33,0,0,0,0
"225",33,0,36,0,0,0,0
"226",33,0,30,0,0,0,0
"227",26,3,33,4,8,4,3
"228",36,3,33,3,4,2,4
"229",0,0,0,0,0,0,0
"230",32,0,35,0,0,0,0
"231",33,0,32,0,0,0,0
"232",33,0,35,0,0,0,0
"233",41,0,34,0,0,0,0
"234",37,0,37,0,0,0,0
"235",34,0,40,0,0,0,0
"236",36,3,36,7,6,3,4
"237",42,4,33,3,4,3,4
"238",36,0,42,0,0,0,0
"239",32,0,26,0,0,0,0
"240",38,3,37,3,8,3,2
"241",33,3,35,6,4,3,3
"242",31,0,41,0,0,0,0
"243",0,0,0,0,0,0,0
"244",32,0,33,0,0,0,0
"245",33,0,33,0,0,0,0
"246",0,0,0,0,0,0,0
"247",0,0,0,0,0,0,0
"248",33,0,35,0,0,0,0
"249",35,0,42,0,0,0,0
"250",0,0,1,0,0,0,0
"251",39,2,35,4,4,2,3
"252",39,5,35,5,4,1,4
"253",34,0,33,0,0,0,0
"254",0,0,0,0,0,0,0
"255",36,3,37,4,9,1,4
"256",0,0,0,0,0,0,0
"257",24,4,41,4,6,3,3
"258",45,0,34,0,0,0,0
"259",0,0,1,0,0,0,0
"260",0,0,1,0,0,0,0
"261",32,0,33,0,0,0,0
"262",27,0,40,0,0,0,0
"263",32,5,32,3,7,2,2
"264",34,3,34,6,7,2,4
"265",0,0,1,0,0,0,0
"266",45,0,30,0,0,0,0
"267",32,3,38,4,6,2,3
"268",37,0,32,0,0,0,0
"269",0,0,0,0,0,0,0
"270",41,0,40,0,0,0,0
"271",32,0,42,0,0,0,0
"272",27,0,33,0,0,0,0
"273",36,0,32,0,0,0,0
"274",0,0,0,0,0,0,0
"275",44,5,39,6,4,4,3
"276",0,0,0,0,0,0,0
"277",0,0,0,0,0,0,0
"278",29,0,44,0,0,0,0
"279",30,0,35,0,0,0,0
"280",35,5,37,6,7,3,1
"281",35,0,26,0,0,1,0
"282",37,0,39,0,0,0,0
"283",34,4,35,5,7,3,4
"284",0,0,0,0,0,0,0
"285",35,4,26,7,5,2,3
"286",31,0,28,0,0,0,0
"287",34,0,34,0,0,0,0
"288",0,0,0,0,0,0,0
"289",0,0,0,0,0,0,0
"290",40,0,31,0,0,0,0
"291",27,0,35,0,0,0,0
"292",0,0,0,0,0,0,0
"293",32,0,30,0,0,0,0
"294",35,0,35,0,0,0,0
"295",33,0,30,0,0,0,0
"296",31,9,38,3,4,2,3
"297",0,0,1,0,0,0,0
"298",43,0,35,0,0,0,0
"299",39,0,39,0,0,0,0
"300",37,3,30,6,6,2,2
"301",40,4,32,4,6,2,3
"302",46,0,39,0,0,0,0
"303",37,2,37,5,6,3,4
"304",0,0,0,0,0,0,0
"305",29,5,27,6,6,2,3
"306",0,0,1,0,0,0,0
"307",31,0,37,0,0,0,0
"308",31,3,38,5,7,3,4
"309",38,0,34,0,0,0,0
"310",37,0,38,0,0,0,0
"311",33,0,36,1,0,0,0
"312",31,0,37,0,0,0,0
"313",30,0,29,0,0,0,0
"314",40,7,34,4,6,5,5
"315",35,1,32,4,6,3,5
"316",37,0,41,0,0,0,0
"317",35,5,30,5,4,3,4
"318",0,0,0,0,0,0,0
"319",31,4,28,5,6,2,3
"320",35,0,32,0,0,0,0
"321",0,0,0,0,0,0,0
"322",34,0,39,0,0,0,0
"323",36,0,35,0,0,0,0
"324",34,0,30,0,0,0,0
"325",34,5,28,4,5,3,3
"326",35,0,30,0,0,0,0
"327",41,2,43,3,8,1,4
"328",33,0,27,0,0,0,0
"329",0,0,0,0,0,0,0
"330",39,0,29,0,0,0,0
"331",0,0,0,0,0,0,0
"332",35,2,32,4,4,2,6
"333",37,4,25,4,5,2,2
"334",36,2,34,4,5,2,2
"335",34,3,38,4,7,4,3
"336",30,4,26,5,6,1,1
"337",47,3,41,4,4,2,3
"338",38,0,30,0,0,0,0
"339",0,0,0,0,0,0,0
"340",35,0,31,0,0,0,0
"341",31,0,38,0,0,0,0
"342",27,0,33,0,0,0,0
"343",41,0,38,0,0,0,0
"344",36,0,29,0,0,0,0
"345",27,0,37,0,0,0,0
"346",0,0,0,0,0,0,0
"347",31,4,32,4,5,2,3
"348",32,0,34,0,0,0,0
"349",40,0,28,0,0,0,0
"350",33,0,31,0,0,0,0
"351",0,0,1,0,0,0,0
"352",36,0,31,0,0,0,0
"353",33,3,37,3,7,5,3
"354",34,5,21,6,4,3,2
"355",0,0,0,0,0,0,0
"356",33,0,32,0,0,0,0
"357",0,0,0,0,0,0,0
"358",38,0,25,0,0,0,0
"359",35,0,28,0,0,0,0
"360",0,0,0,0,0,0,0
"361",31,0,32,0,0,0,0
"362",36,6,38,6,7,3,3
"363",34,0,37,0,0,0,0
"364",37,0,32,0,0,0,0
"365",32,0,33,0,0,0,0
"366",0,0,0,0,0,0,0
"367",33,4,25,9,6,3,4
"368",38,0,24,0,0,0,0
"369",0,0,0,0,0,0,0
"370",38,0,30,0,0,0,0
"371",30,0,35,0,0,0,0
"372",29,0,31,0,0,0,0
"373",28,0,28,0,0,0,0
"374",36,0,33,0,0,0,0
"375",31,0,32,0,0,0,0
"376",0,0,0,0,0,0,0
"377",35,3,41,6,4,1,6
"378",31,3,32,6,7,4,2
"379",0,0,0,0,0,0,0
"380",32,0,36,0,0,0,0
"381",37,6,32,3,6,2,3
"382",0,0,0,0,0,0,0
"383",29,3,30,2,4,2,5
"384",27,4,39,5,5,2,5
"385",29,0,31,0,0,0,0
"386",38,4,37,5,7,2,4
"387",33,0,36,0,0,0,0
"388",33,4,37,3,4,4,5
"389",0,0,0,0,0,0,0
"390",32,4,34,4,8,1,4
"391",40,3,34,4,6,2,4
"392",41,4,33,3,3,3,4
"393",0,0,1,0,0,0,0
"394",37,4,31,2,5,1,2
"395",36,5,39,5,5,2,4
"396",42,0,36,0,0,0,0
"397",26,0,39,0,0,0,0
"398",38,3,31,5,5,5,3
"399",47,0,36,0,0,0,0
"400",39,0,34,0,0,0,0
"401",34,0,40,0,0,0,0
"402",39,4,29,3,5,3,4
"403",39,0,27,0,0,0,0
"404",38,1,27,4,5,3,5
"405",0,0,0,0,0,0,0
"406",0,0,0,0,0,0,0
"407",0,0,0,0,0,0,0
"408",27,0,30,0,0,0,0
"409",34,0,35,0,0,0,0
"410",0,0,0,0,0,0,0
"411",26,0,29,0,0,0,0
"412",35,0,37,0,0,0,0
"413",35,0,32,0,0,0,0
"414",31,4,29,4,6,2,4
"415",43,0,32,0,0,0,0
"416",35,0,33,1,0,0,0
"417",0,0,0,0,0,0,0
"418",34,0,31,0,0,0,0
"419",27,0,34,0,0,0,0
"420",36,0,38,0,0,0,0
"421",35,0,26,0,0,0,0
"422",40,4,50,5,7,2,6
"423",32,3,28,10,6,2,3
"424",35,0,27,0,0,0,0
"425",31,0,35,0,0,0,0
"426",41,0,33,0,0,0,1
"427",28,0,28,0,0,0,0
"428",33,0,35,0,0,0,0
"429",31,0,36,0,0,0,0
"430",31,0,38,0,0,0,0
"431",40,0,30,0,0,0,0
"432",30,0,33,0,0,0,0
"433",40,4,37,5,3,3,6
"434",37,0,35,0,0,0,0
"435",0,0,0,0,0,0,0
"436",40,0,29,0,0,0,0
"437",31,0,32,0,0,0,0
"438",0,0,0,0,0,0,0
"439",34,0,40,0,0,0,0
"440",39,3,29,4,5,2,6
"441",0,0,0,0,0,0,0
"442",35,0,28,0,0,0,0
"443",27,0,34,0,0,0,0
"444",0,0,1,0,0,0,0
"445",37,6,33,4,4,1,6
"446",31,4,30,4,8,1,2
"447",33,0,23,0,0,0,0
"448",1,0,1,0,0,0,0
"449",31,0,37,0,0,0,0
"450",46,0,39,0,0,0,0
"451",31,6,34,5,4,4,2
"452",37,2,40,3,5,2,3
"453",31,0,36,0,0,0,0
"454",30,0,44,0,0,0,0
"455",34,0,22,0,0,0,0
"456",37,0,28,0,0,0,0
