"","age1_orange.R","age1_green.R","age2_no_comorbid_orange.R","age2_no_comorbid_green.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"1",0,0,1,0,0,0,0
"2",563,0,490,0,0,0,0
"3",541,43,490,43,49,16,11
"4",547,1,486,2,1,1,1
"5",540,0,482,0,0,0,0
"6",0,0,1,0,0,0,0
"7",0,0,1,0,0,0,0
"8",547,3,486,1,1,1,0
"9",0,0,1,0,0,0,0
"10",0,0,1,0,0,0,0
"11",0,0,1,0,0,0,0
"12",1,0,1,0,0,0,0
"13",0,0,1,0,0,0,0
"14",2,0,3,0,0,0,0
"15",555,0,481,0,0,0,0
"16",0,0,1,0,0,0,0
"17",1,0,1,0,0,0,0
"18",578,0,461,0,0,0,0
"19",532,0,439,0,0,0,0
"20",0,0,1,0,0,0,0
"21",2,0,1,0,0,0,0
"22",577,0,469,1,0,0,0
"23",0,0,0,0,0,0,0
"24",560,0,461,0,1,0,0
"25",0,0,1,0,0,0,0
"26",547,38,507,33,51,8,9
"27",0,0,1,0,0,0,0
"28",533,0,465,0,0,0,0
"29",1,0,1,0,0,0,0
"30",543,0,483,0,0,0,0
"31",1,0,2,0,0,0,0
"32",554,0,473,0,0,0,0
"33",1,0,1,0,0,0,0
"34",0,0,1,0,0,0,0
"35",570,0,494,0,0,0,0
"36",549,41,460,44,57,11,13
"37",1,0,1,0,0,0,0
"38",550,0,464,0,0,0,0
"39",524,1,476,0,0,0,1
"40",527,0,435,0,0,0,0
"41",0,0,1,0,0,0,0
"42",558,0,493,0,0,0,0
"43",4,0,2,0,0,0,0
"44",1,0,1,0,0,0,0
"45",584,38,526,41,47,9,11
"46",0,0,1,0,0,0,0
"47",564,1,475,0,1,0,0
"48",0,0,1,0,0,0,0
"49",545,0,442,0,0,0,1
"50",2,0,4,0,0,0,0
"51",530,0,449,0,0,0,0
"52",1,0,2,0,0,0,0
"53",542,0,436,0,0,0,0
"54",1,0,4,0,0,0,0
"55",537,0,450,0,0,0,0
"56",566,0,478,0,0,0,0
"57",0,0,1,0,0,0,0
"58",570,0,484,1,0,0,0
"59",0,0,1,0,0,0,0
"60",558,36,471,47,44,16,7
"61",0,0,1,0,0,0,0
"62",0,0,2,0,0,0,0
"63",0,0,1,0,0,0,0
"64",564,42,493,46,53,17,13
"65",9,0,6,0,0,0,0
"66",585,37,491,38,32,13,8
"67",0,0,2,0,0,0,0
"68",0,0,1,0,0,0,0
"69",555,0,502,0,0,0,0
"70",0,0,1,0,0,0,0
"71",562,0,487,0,0,0,0
"72",529,47,460,57,62,20,14
"73",579,1,506,0,0,0,0
"74",555,0,467,0,0,0,0
"75",0,0,1,0,0,0,0
"76",0,0,1,0,0,0,0
"77",0,0,2,0,0,0,0
"78",1,0,2,0,0,0,0
"79",10,0,4,0,0,0,0
"80",0,0,1,0,0,0,0
"81",572,0,469,0,0,0,0
"82",552,0,523,0,0,0,0
"83",559,0,489,0,1,0,0
"84",0,0,1,0,0,0,0
"85",516,44,455,54,61,13,10
"86",3,0,3,0,0,0,0
"87",534,0,489,0,0,0,0
"88",0,0,1,0,0,0,0
"89",0,0,3,0,0,0,0
"90",574,36,521,52,50,16,12
"91",0,0,1,0,0,0,0
"92",1,0,1,0,0,0,0
"93",526,0,442,0,0,0,0
"94",2,0,2,0,0,0,0
"95",539,0,431,1,0,0,0
"96",0,0,1,0,0,0,0
"97",8,0,3,0,0,0,0
"98",523,0,465,0,0,0,0
"99",547,0,473,0,0,0,0
"100",530,0,448,0,0,0,0
"101",0,0,1,0,0,0,0
"102",2,0,3,0,0,0,0
"103",1,0,2,0,0,0,0
"104",526,0,451,1,0,0,0
"105",1,0,1,0,0,0,0
"106",2,0,2,0,0,0,0
"107",531,0,464,0,0,0,0
"108",0,0,1,0,0,0,0
"109",533,0,457,0,0,0,0
"110",531,0,449,0,0,0,0
"111",540,45,489,51,67,19,15
"112",0,0,1,0,0,0,0
"113",0,0,1,0,0,0,0
"114",0,0,1,0,0,0,0
"115",1,0,1,0,0,0,0
"116",533,47,446,49,46,12,7
"117",578,0,516,0,0,0,0
"118",0,0,1,0,0,0,0
"119",0,0,1,0,0,0,0
"120",542,0,467,0,0,0,0
"121",0,0,1,0,0,0,0
"122",537,2,482,2,7,1,1
"123",558,0,468,0,0,0,0
"124",520,36,442,43,43,14,15
"125",571,0,498,0,0,0,0
"126",560,0,491,1,0,0,0
"127",0,0,1,0,0,0,0
"128",0,0,0,0,0,0,0
"129",563,0,481,0,0,0,0
"130",0,0,1,0,0,0,0
"131",557,0,480,0,0,0,0
"132",550,0,480,0,0,0,0
"133",1,0,1,0,0,0,0
"134",0,0,1,0,0,0,0
"135",0,0,1,0,0,0,0
"136",0,0,1,0,0,0,0
"137",535,1,453,0,0,0,0
"138",1,0,1,0,0,0,0
"139",562,40,486,42,48,12,12
"140",1,0,1,0,0,0,0
"141",531,50,440,56,58,19,16
"142",1,0,1,0,0,0,0
"143",1,0,1,0,0,0,0
"144",0,0,1,0,0,0,0
"145",554,0,459,0,0,0,0
"146",513,0,443,0,0,0,0
"147",574,47,530,46,42,14,10
"148",562,1,480,1,2,0,1
"149",2,0,1,0,0,0,0
"150",569,7,487,8,7,1,2
"151",0,0,2,0,0,0,0
"152",509,0,440,0,0,0,0
"153",529,0,473,0,0,0,0
"154",549,0,473,0,0,0,0
"155",3,0,1,0,0,0,0
"156",6,0,7,0,0,0,0
"157",497,0,412,0,0,0,0
"158",551,44,451,39,45,12,10
"159",552,0,496,0,0,0,0
"160",5,0,5,0,0,0,0
"161",500,40,426,57,58,15,16
"162",0,0,1,0,0,0,0
"163",0,0,1,0,0,0,0
"164",500,32,428,39,39,9,6
"165",550,0,490,0,0,0,0
"166",1,0,1,0,0,0,0
"167",566,0,478,0,0,0,0
"168",1,0,1,0,0,0,0
"169",1,0,1,0,0,0,0
"170",605,48,491,51,58,14,10
"171",1,0,2,0,0,0,0
"172",550,0,469,0,0,0,0
"173",544,0,490,0,0,0,0
"174",0,0,2,0,0,0,0
"175",557,0,503,0,1,0,0
"176",0,0,1,0,0,0,0
"177",589,0,503,0,0,0,0
"178",1,0,1,0,0,0,0
"179",553,0,479,0,0,0,1
"180",557,0,489,0,0,0,0
"181",1,0,5,0,0,0,0
"182",548,0,495,0,0,0,0
"183",0,0,1,0,0,0,0
"184",0,0,1,0,0,0,0
"185",521,4,457,9,7,2,2
"186",4,0,2,0,0,0,0
"187",564,0,507,0,0,0,0
"188",563,44,461,41,50,11,12
"189",562,0,478,0,0,0,0
"190",562,1,475,0,1,0,0
"191",0,0,1,0,0,0,0
"192",0,0,1,0,0,0,0
"193",564,0,498,1,1,0,0
"194",0,0,1,0,0,0,0
"195",0,0,1,0,0,0,0
"196",0,0,1,0,0,0,0
"197",540,41,486,52,43,12,13
"198",581,0,498,0,0,0,0
"199",0,0,1,0,0,0,0
"200",0,0,1,0,0,0,0
"201",2,0,3,0,0,0,0
"202",4,0,0,0,0,0,0
"203",0,0,1,0,0,0,0
"204",0,0,1,0,0,0,0
"205",0,0,1,0,0,0,0
"206",0,0,1,0,0,0,0
"207",1,0,1,0,0,0,0
"208",533,29,425,29,35,10,6
"209",11,0,6,0,0,0,0
"210",0,0,1,0,0,0,0
"211",567,0,482,0,0,0,0
"212",591,0,481,0,0,0,0
"213",572,0,496,0,0,0,0
"214",0,0,1,0,0,0,0
"215",0,0,1,0,0,0,0
"216",560,0,504,0,0,0,0
"217",579,37,505,37,37,15,7
"218",546,45,464,51,54,12,16
"219",592,1,492,0,0,0,0
"220",0,0,1,0,0,0,0
"221",503,0,443,0,0,0,0
"222",5,0,3,0,0,0,0
"223",0,0,1,0,0,0,0
"224",1,0,2,0,0,0,0
"225",0,0,3,0,0,0,0
"226",568,1,484,0,1,0,1
"227",534,0,468,0,0,0,0
"228",0,0,1,0,0,0,0
"229",0,0,1,0,0,0,0
"230",539,0,462,0,2,0,0
"231",0,0,0,0,0,0,0
"232",0,0,2,0,0,0,0
"233",0,0,0,0,0,0,0
"234",0,0,1,0,0,0,0
"235",2,0,2,0,0,0,0
"236",552,0,468,0,0,0,0
"237",0,0,1,0,0,0,0
"238",567,44,525,42,43,15,9
"239",565,0,478,0,0,0,0
"240",567,0,478,0,1,0,0
"241",532,15,492,18,19,3,9
"242",548,0,448,0,0,0,0
"243",532,0,460,0,0,0,0
"244",0,0,1,0,0,0,0
"245",557,0,444,0,0,0,0
"246",564,0,473,0,0,0,0
"247",0,0,1,0,0,0,0
"248",528,0,457,0,0,0,0
"249",537,44,442,44,41,12,16
"250",0,0,1,0,0,0,0
"251",0,0,1,0,0,0,0
"252",505,29,403,35,43,6,3
"253",549,0,499,0,0,0,0
"254",539,0,488,0,0,0,0
"255",539,4,438,0,6,0,0
"256",0,0,1,0,0,0,0
"257",550,0,496,0,0,0,0
"258",0,0,1,0,0,0,0
"259",0,0,1,0,0,0,0
"260",568,0,487,0,0,0,0
"261",556,48,518,62,61,22,18
"262",0,0,1,0,0,0,0
"263",578,34,513,31,31,4,6
