"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",168,0,160,0,0,1,0
"2",136,10,155,21,25,11,15
"3",152,0,150,0,0,0,0
"4",147,0,145,0,0,0,0
"5",174,18,174,18,26,8,13
"6",173,0,151,0,0,0,0
"7",0,0,1,0,0,0,0
"8",174,15,166,19,25,8,11
"9",160,0,157,0,0,0,0
"10",153,15,151,19,21,7,14
"11",149,0,175,0,0,0,0
"12",147,14,155,15,22,8,10
"13",169,12,168,19,23,10,13
"14",0,0,1,0,0,0,0
"15",150,15,153,20,20,11,19
"16",162,14,182,14,23,14,12
"17",0,0,0,0,0,0,0
"18",0,0,1,0,0,0,0
"19",169,0,145,0,0,0,0
"20",155,14,145,20,19,7,12
"21",0,0,1,0,0,0,0
"22",155,13,149,13,21,7,12
"23",0,0,1,0,0,0,0
"24",0,0,1,0,0,0,0
"25",154,11,167,20,25,8,10
"26",0,0,1,0,0,0,0
"27",169,0,137,0,0,0,0
"28",167,10,162,13,14,5,10
"29",0,0,1,0,0,0,0
"30",173,15,171,17,22,7,12
"31",144,21,167,19,25,9,13
"32",153,19,159,23,27,8,15
"33",172,0,147,1,1,1,1
"34",150,0,144,0,0,0,0
"35",148,12,163,17,26,11,14
"36",0,0,0,0,0,0,0
"37",173,0,152,0,0,0,0
"38",167,13,174,15,21,9,16
"39",156,0,157,0,0,0,0
"40",166,0,177,0,0,0,0
"41",157,0,157,0,0,0,0
"42",174,17,171,20,21,7,14
"43",175,16,145,16,21,12,14
"44",0,0,1,0,0,0,0
"45",187,11,153,14,23,9,11
"46",158,0,155,0,0,0,0
"47",148,14,171,19,22,11,9
"48",146,0,167,1,0,0,0
"49",159,0,161,0,0,0,0
"50",165,0,166,0,0,0,0
"51",1,0,1,0,0,0,0
"52",171,0,153,0,0,0,0
"53",0,0,1,0,0,0,0
"54",0,0,1,0,0,0,0
"55",153,14,152,16,21,8,14
"56",153,17,155,17,24,8,13
"57",171,13,155,13,20,6,15
"58",169,0,162,0,0,0,0
"59",157,15,151,22,29,11,14
"60",0,0,1,0,0,0,0
"61",192,0,151,0,0,0,0
"62",151,0,157,0,0,0,0
"63",168,17,148,21,26,5,11
"64",183,1,144,1,1,0,1
"65",154,11,148,19,21,6,12
"66",157,0,169,0,0,0,0
"67",143,0,173,0,0,0,1
"68",168,16,166,23,30,7,10
"69",143,1,138,0,1,0,0
"70",163,10,173,22,24,12,13
"71",199,0,164,0,0,0,0
"72",167,0,144,0,0,0,0
"73",161,0,157,0,0,0,0
"74",161,12,159,20,21,10,10
"75",150,15,165,20,21,10,13
"76",0,0,1,0,0,0,0
"77",170,0,163,0,0,0,0
"78",198,16,164,17,20,8,13
"79",175,1,154,0,0,0,0
"80",0,0,1,0,0,0,0
"81",175,21,171,16,26,7,14
"82",159,16,154,22,20,8,10
"83",175,17,138,21,23,10,15
"84",154,21,187,17,18,6,12
"85",156,1,138,1,1,0,1
"86",160,13,166,18,23,8,13
"87",142,23,148,20,27,12,16
"88",0,0,0,0,0,0,0
"89",142,11,157,20,20,6,11
"90",175,12,169,18,24,7,10
"91",159,12,162,27,24,10,16
"92",0,0,1,0,0,0,0
"93",159,0,153,0,0,0,0
"94",158,12,159,18,24,8,9
"95",126,14,155,15,23,8,16
"96",0,0,1,0,0,0,0
"97",155,0,152,0,0,0,0
"98",0,0,1,0,0,0,0
"99",169,0,165,0,0,0,0
"100",160,14,143,20,24,7,12
"101",166,1,143,0,0,0,0
"102",153,13,159,18,19,10,13
"103",159,14,153,25,21,8,14
"104",161,16,160,18,21,8,9
"105",177,0,155,0,0,0,0
"106",154,0,156,0,0,0,0
"107",145,11,147,17,24,12,12
"108",156,0,173,0,0,0,0
"109",163,11,186,19,25,7,13
"110",171,15,159,19,23,9,12
"111",152,22,165,24,30,8,12
"112",148,16,173,15,26,7,12
"113",158,2,168,1,1,1,1
"114",145,10,157,17,20,8,11
"115",146,1,169,0,0,0,0
"116",153,14,160,21,25,6,8
"117",166,12,145,22,16,8,11
"118",159,0,167,0,0,0,0
"119",174,15,159,16,22,7,14
"120",184,16,157,16,19,8,10
"121",154,16,149,15,23,7,14
"122",165,0,141,0,0,0,0
"123",154,17,158,15,27,6,13
"124",0,0,1,0,0,0,0
"125",178,15,182,18,31,6,13
"126",168,1,171,0,1,0,0
"127",164,0,157,0,1,0,0
"128",164,12,157,21,28,10,13
"129",159,15,142,17,23,8,11
"130",149,17,168,13,22,8,13
"131",172,0,165,0,0,0,0
"132",167,0,148,0,0,0,0
"133",158,0,150,1,0,0,0
"134",161,15,153,20,23,6,12
"135",170,13,167,19,24,8,13
"136",159,2,146,0,0,0,0
"137",161,0,147,1,1,1,1
"138",177,0,156,0,0,0,0
"139",166,13,169,14,20,6,11
"140",178,15,170,12,20,7,10
"141",163,0,157,0,0,0,0
"142",162,16,137,15,16,8,11
"143",182,16,161,16,19,8,12
"144",153,0,147,0,1,0,0
"145",164,18,159,14,29,6,10
"146",189,14,172,17,22,8,14
"147",151,0,158,0,0,0,0
"148",165,0,168,0,0,0,0
"149",166,17,167,13,21,10,14
"150",166,0,154,0,0,0,0
"151",162,0,157,0,0,0,0
"152",171,17,157,26,21,10,11
"153",170,0,159,0,1,0,0
"154",156,18,149,22,31,12,21
"155",149,1,170,0,1,1,0
"156",171,0,159,0,0,0,0
"157",166,14,173,16,20,9,11
