"","age1_orange.H","age1_green.H","age2_no_comorbid_orange.H","age2_no_comorbid_green.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"1",94.0520018376325,0,115.955491349038,0,0,0,0
"2",0,0,0,0,0,0,0
"3",80.986449884356,0,83.3231420937652,0,0,0,0
"4",0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0
"6",26.6556119751753,0,0,0,0,0,0
"7",0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0
"9",93.44858394398,0,102.501520051198,0,0,0,0
"10",128.306318216353,175.570667513117,132.015854121621,0,0,0,0
"11",141.338663491677,0,165.122884209094,0,92.5050244775383,0,0
"12",0,0,21.5317617159581,0,0,0,0
"13",80.9886035308535,0,113.116815704352,0,0,0,0
"14",101.758678294301,0,99.7646681093248,0,88.9877138682532,0,0
"15",0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0
"21",104.260540426534,0,157.596088072063,0,0,120.981170618017,0
"22",138.466877213164,0,94.561859735488,0,0,0,0
"23",0,0,0,0,0,0,0
"24",87.9551637295488,0,91.0180079389054,0,0,0,0
"25",86.6890361811017,0,78.7219636597698,0,0,0,0
"26",0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0
"28",118.497790705359,0,122.91115825972,0,0,0,0
"29",167.958724257558,0,138.174671256278,0,0,0,0
"30",0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0
"32",71.3739308154311,0,49.9874273298957,49.6676854592662,0,0,0
"33",0,0,0,0,0,0,0
"34",96.0930861262491,0,104.231522177362,0,0,0,0
"35",0,0,14.4703231126905,0,0,0,0
"36",92.7551115281527,0,95.9278857544254,0,0,0,0
"37",106.851474689435,0,97.8714910116121,0,0,0,0
"38",0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0
"40",96.1031614493565,0,100.139237993372,0,0,0,0
"41",189.134503526049,0,130.437010465231,0,0,0,0
"42",79.7255082503274,0,82.2727714669428,0,0,0,0
"43",77.9694924539311,0,97.9654069169517,0,0,0,90.3518509819008
"44",0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0
"47",85.9317635865375,0,119.903491664502,0,0,0,0
"48",119.485845928886,0,114.489228938363,0,0,0,0
"49",0,0,0,0,0,0,0
"50",103.99793032204,0,105.388791215041,0,0,0,0
"51",0,0,0,0,0,0,0
"52",166.448886494854,0,128.925119517301,0,172.91864161724,0,0
"53",62.8974580476637,0,79.2737283671297,0,0,0,0
"54",0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0
"56",73.4343895364832,0,94.8523149973635,0,0,0,0
"57",104.725243588561,0,142.643900795046,0,0,0,0
"58",80.9916602472034,0,59.25924943765,0,0,0,0
"59",0,0,0,0,0,0,0
"60",118.500724626292,0,89.437082591188,0,0,0,0
"61",0,0,4.99597769548483,0,0,0,0
"62",0,0,0,0,0,0,0
"63",87.5964165443574,0,96.4051540279687,101.302035085268,0,0,0
"64",0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0
"66",84.0217837517771,0,59.8967585010406,0,0,0,0
"67",0,0,0,0,0,0,0
"68",142.388153832171,0,107.558336750551,0,0,130.753144533449,0
"69",0,0,0,0,0,0,0
"70",100.087844451398,0,87.6952611434172,0,0,0,0
"71",0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0
"74",0,0,6.13419254080035,0,0,0,0
"75",0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0
"78",111.867746839747,0,113.428417687165,0,0,0,175.086686551531
"79",124.912193843344,0,98.8439278078708,0,0,0,102.026398860874
"80",0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0
"82",0,0,5.20932967963346,0,0,0,0
"83",0,0,0,0,0,0,0
"84",0,0,3.82498024415742,0,0,0,0
"85",90.8279867352543,0,134.072255612345,0,0,0,0
"86",0,0,0,0,0,0,0
"87",0,0,2.59097795058929,0,0,0,0
"88",0,0,3.09707506635345,0,0,0,0
"89",0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0
"91",106.208835839657,0,126.849164665304,0,0,0,0
"92",0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0
"95",71.9650969245974,0,73.7084445494137,0,0,0,0
"96",152.904294573907,0,153.587162637278,0,0,0,0
"97",87.5774056353984,0,76.7061667288583,0,0,0,0
"98",0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0
"100",0,0,0,0,0,0,0
"101",0,0,0,0,0,0,0
"102",0,0,0,0,0,0,0
"103",125.978971435887,0,111.178366642866,0,0,0,0
"104",0,0,0,0,0,0,0
"105",0,0,0,0,0,0,0
"106",0,0,0,0,0,0,0
"107",64.1286394493452,0,74.3186593804955,0,91.1198185448385,0,0
"108",0,0,0,0,0,0,0
"109",153.908386422649,0,137.293856532476,0,0,138.803334030465,0
"110",110.985687277346,0,115.670685193965,0,0,0,0
"111",69.4696967101762,0,87.4527522244918,0,0,0,0
"112",0,0,0,0,0,0,0
"113",33.1218378322147,0,0,0,0,0,0
"114",106.582057284911,0,96.7481541983312,0,0,0,0
"115",75.6185627544616,0,105.644429979794,0,0,0,0
"116",78.0703345928481,0,85.7197466651095,0,121.185406423523,0,0
"117",84.9919323294947,0,116.718871802854,0,0,0,0
"118",126.866262102533,0,128.98153132,0,0,0,0
"119",29.1888816818487,0,0,0,0,0,0
"120",0,0,0,0,0,0,0
"121",0,0,13.6327585425854,0,0,0,0
"122",0,0,0,0,0,0,0
"123",25.3396888755299,0,0,0,0,0,0
"124",97.0508996576823,0,103.865724262017,0,0,0,0
"125",124.966423743233,0,86.4113177588638,0,125.115494066892,0,0
"126",92.7086431441956,0,94.3772728415604,0,0,0,0
"127",0,0,0,0,0,0,0
"128",0,0,0,0,0,0,0
"129",0,0,0,0,0,0,0
"130",0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0
"132",131.135302302981,0,127.561193597017,0,0,0,0
"133",0,0,0,0,0,0,0
"134",0,0,0,0,0,0,0
"135",54.0041685488382,0,87.1087460422724,0,61.8517728731616,0,0
"136",67.9110609542499,0,66.9284053085883,0,0,0,0
"137",0,0,0,0,0,0,0
"138",141.242742735011,0,145.594927707076,0,0,0,0
"139",76.9958427299304,0,106.956198450152,0,0,0,0
"140",0,0,0,0,0,0,0
"141",97.8680996864484,0,94.6372664761062,0,146.816086125252,0,0
"142",85.6430500928916,0,83.1559528829307,0,0,0,0
"143",136.371913479897,0,89.2154406871011,0,0,0,0
"144",0,0,0,0,0,0,0
"145",0,0,0,0,0,0,0
"146",67.1623401426774,0,62.5398201603875,0,0,0,144.924834223882
"147",0,0,0,0,0,0,0
"148",0,0,0,0,0,0,0
"149",0,0,27.7599637949321,0,0,0,0
"150",0,0,0,0,0,0,0
"151",109.253182629021,78.8672066808402,102.99356014151,0,0,0,0
"152",0,0,0,0,0,0,0
"153",81.6654232390965,0,91.5851091169579,0,0,0,0
"154",0,0,0,0,0,0,0
"155",81.8764542918656,0,84.0114760051119,0,0,0,0
"156",0,0,0,0,0,0,0
"157",97.128666164676,0,71.7488900005413,0,0,0,0
"158",0,0,0,0,0,0,0
"159",0,0,0,0,0,0,0
"160",114.802133228617,0,111.650664503709,0,0,0,0
"161",0,0,0,0,0,0,0
"162",0,0,0,0,0,0,0
"163",0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0
"165",91.8346886326779,0,84.4631058819106,0,0,0,0
"166",0,0,0,0,0,0,0
"167",0,0,0,0,0,0,0
"168",77.5058877569436,0,68.0037639457062,0,0,0,101.05746771394
"169",0,0,0,0,0,0,0
"170",97.3526204265186,0,132.593721021507,0,0,0,0
"171",149.47221474023,0,152.821598914739,0,0,0,0
"172",0,0,0,0,0,0,0
"173",0,0,0,0,0,0,0
"174",65.5779371024065,0,86.8116212247197,107.677861990795,0,0,0
"175",0,0,0,0,0,0,0
"176",0,0,0,0,0,0,0
"177",0,0,0,0,0,0,0
"178",0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0
"180",0,0,0,0,0,0,0
"181",84.5639528209622,0,96.960112180284,0,0,0,0
"182",0,0,15.8819938460121,0,0,0,0
"183",0,0,0,0,0,0,0
"184",0,0,0,0,0,0,0
"185",98.7243730669799,0,128.157989446463,0,0,0,0
"186",115.635766637681,0,118.998518726069,0,0,0,0
"187",0,0,0,0,0,0,0
"188",0,0,4.94116631524577,0,0,0,0
"189",85.1794191625378,0,120.215582486743,0,0,0,0
"190",0,0,0,0,0,0,0
"191",0,0,0,0,0,0,0
"192",104.197137133959,0,96.3088528388206,0,0,0,0
"193",0,0,0,0,0,0,0
"194",113.794865168079,0,86.8807901574756,0,0,0,0
"195",57.7519659294071,0,62.3209260348519,0,0,0,0
"196",132.502436040149,0,109.767442263895,0,0,0,0
"197",100.194836058069,0,128.021798610297,0,0,0,0
"198",117.797707571404,0,104.149200902567,0,0,0,0
"199",0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0
"202",0,0,0,0,0,0,0
"203",116.110476618923,0,72.5877460293221,0,0,0,0
"204",0,0,0,0,0,0,0
"205",0,0,0,0,0,0,0
"206",96.0241244078745,0,129.238193205735,0,0,0,0
"207",96.207408216723,0,81.4781288039152,0,0,0,0
"208",18.3818848089042,0,0,0,0,0,0
"209",0,0,0,0,0,0,0
"210",69.016656422116,0,94.6882112421821,0,0,0,0
"211",100.163579890972,0,76.5668240878708,0,0,0,0
"212",0,0,0,0,0,0,0
"213",0,0,0,0,0,0,0
"214",0,0,0,0,0,0,0
"215",74.0284554576971,0,90.1236446533457,0,0,0,0
"216",82.176122749756,0,119.191477961936,0,0,0,0
"217",0,0,0,0,0,0,0
"218",0,0,0,0,0,0,0
"219",91.2090970123921,0,58.3118462887139,0,0,0,0
"220",0,0,0,0,0,0,0
"221",0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0
"223",90.4371160331584,0,99.5425194441673,0,0,0,0
"224",123.864708742495,0,149.363512351403,0,0,0,0
"225",103.477107319237,0,98.2964904726129,0,0,0,0
"226",79.8813615756571,0,105.95103858721,0,0,0,0
"227",88.9146519997428,0,81.7499845427844,0,0,0,0
"228",108.168036283575,0,102.870861326714,0,0,0,0
"229",0,0,0,0,0,0,0
"230",143.261206135957,0,143.213310223666,0,0,0,0
"231",0,0,0,0,0,0,0
"232",0,0,0,0,0,0,0
"233",0,0,0,0,0,0,0
"234",94.5331249224683,0,95.9232819042827,0,0,0,0
"235",0,0,0,0,0,0,0
"236",62.9765254494483,0,93.6703127289378,0,0,0,0
"237",99.8082217674883,0,129.72370790795,0,0,0,0
"238",0,0,0,0,0,0,0
"239",0,0,0,0,0,0,0
"240",40.0160900558521,0,63.8983443124643,0,0,0,0
"241",15.0113387673125,0,0,0,0,0,0
"242",85.0267326020804,0,74.5512312030227,0,0,0,0
"243",110.668138009989,0,153.019733400652,0,0,0,0
"244",0,0,0,0,0,0,0
"245",110.821181598269,0,123.963290958155,0,0,0,0
"246",0,0,0,0,0,0,0
"247",0,0,0,0,0,0,0
"248",82.7691799539332,0,115.595223609857,0,0,0,0
"249",0,0,0,0,0,0,0
"250",0,0,0,0,0,0,0
"251",0,0,0,0,0,0,0
"252",0,0,0,0,0,0,0
"253",90.4617153181295,0,102.5524895278,0,0,109.459905924805,0
"254",82.5525339253238,0,75.9683248737822,0,0,0,0
"255",0,0,0,0,0,0,0
"256",78.3545791530757,0,76.9425110645485,0,0,0,0
"257",108.355188427378,0,109.751394484233,0,0,0,0
"258",0,0,0,0,0,0,0
"259",65.8322506284065,0,88.5560546511022,0,0,0,0
"260",0,0,0,0,0,0,0
"261",71.8787372410134,0,106.259833255617,0,0,0,0
"262",107.476191332799,0,103.179077399285,0,0,0,0
"263",89.7862934213202,0,124.4968123427,0,141.308810308308,0,0
"264",109.326663163368,0,90.0030023665768,0,0,0,0
"265",0,0,0,0,0,0,0
"266",54.6825160593918,0,60.6127777736271,0,0,0,0
"267",0,0,0,0,0,0,0
"268",0,0,0,0,0,0,0
"269",96.9753316403276,0,87.6579910490296,0,0,0,99.5888365816339
"270",89.4504553812732,0,101.786205830449,134.148570721455,0,0,0
"271",0,0,23.0606637843793,0,0,0,0
"272",78.8979294576496,0,77.0414521167076,0,58.5335375445168,0,0
"273",110.750052145405,0,98.2023160609637,0,0,0,0
"274",0,0,0,0,0,0,0
"275",107.901039768449,0,78.1831521728906,0,0,0,0
