"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",48,0,69,0,0,0,0
"2",55,0,71,0,0,0,0
"3",49,0,89,0,0,0,0
"4",48,0,70,0,0,0,0
"5",33,6,74,2,37,6,39
"6",53,5,65,8,29,10,45
"7",56,0,82,0,0,0,0
"8",61,0,78,0,0,0,0
"9",0,0,0,0,0,0,0
"10",53,2,76,7,33,7,44
"11",53,5,78,4,44,10,41
"12",44,0,74,0,0,0,0
"13",65,5,82,5,26,6,29
"14",59,3,72,8,39,13,43
"15",0,0,0,0,0,0,0
"16",54,0,65,0,0,0,0
"17",0,0,0,0,0,0,0
"18",69,2,72,8,34,11,37
"19",54,3,65,5,30,6,33
"20",57,2,75,9,25,8,37
"21",61,0,74,0,0,0,0
"22",39,0,72,0,0,0,0
"23",0,0,0,0,0,0,0
"24",45,4,73,3,34,6,37
"25",53,1,68,8,35,11,38
"26",54,7,82,8,26,10,47
"27",0,0,0,0,0,0,0
"28",46,6,74,8,36,7,36
"29",58,2,74,7,19,7,36
"30",51,7,70,4,35,6,38
"31",62,5,72,6,35,15,42
"32",56,0,80,0,0,0,0
"33",72,5,85,13,28,10,29
"34",52,1,61,3,42,11,29
"35",53,3,62,4,31,11,37
"36",55,0,70,0,0,0,0
"37",53,5,61,7,37,9,34
"38",44,1,73,8,39,10,37
"39",57,5,54,15,30,12,41
"40",0,0,0,0,0,0,0
"41",52,3,64,10,30,10,31
"42",67,0,72,0,0,0,0
"43",56,0,67,0,0,0,0
"44",39,7,84,9,30,2,45
"45",52,6,68,7,38,10,37
"46",65,2,67,9,33,11,37
"47",0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0
"50",64,0,76,0,0,0,0
"51",41,4,73,8,35,13,40
"52",49,7,73,6,36,9,31
"53",33,0,60,0,0,0,0
"54",55,4,68,8,23,11,46
"55",50,2,71,4,32,7,40
"56",57,0,63,0,0,0,0
"57",61,3,71,6,33,10,34
"58",55,0,64,0,0,0,0
"59",51,2,67,4,34,5,37
"60",0,0,0,0,0,0,0
"61",59,2,85,9,30,10,28
"62",57,0,61,0,0,0,0
"63",0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0
"65",53,0,57,0,0,0,0
"66",69,3,59,8,31,10,32
"67",0,0,0,0,0,0,0
"68",77,0,70,0,0,0,0
"69",52,4,82,5,35,6,44
"70",47,6,61,4,28,12,38
"71",72,2,73,7,33,8,35
"72",35,4,65,7,41,11,28
"73",56,3,74,8,25,11,44
"74",55,0,69,0,0,0,0
"75",0,0,0,0,0,0,0
"76",56,0,79,0,0,0,0
"77",65,5,83,7,39,4,34
"78",0,0,0,0,0,0,0
"79",51,1,66,8,37,6,39
"80",53,5,85,14,35,15,34
"81",37,4,83,9,36,7,40
"82",57,0,79,0,0,0,0
"83",43,4,67,13,42,8,40
"84",59,3,63,8,30,11,47
"85",48,4,76,7,37,9,44
"86",61,10,82,10,28,12,39
"87",0,0,0,0,0,0,0
"88",51,5,74,14,45,7,41
"89",51,7,78,5,32,8,40
"90",61,0,72,0,0,0,0
"91",0,0,0,0,0,0,0
"92",70,3,73,11,34,4,39
"93",0,0,1,0,0,0,0
"94",66,0,61,0,0,0,0
"95",58,2,62,5,41,7,34
"96",38,0,69,0,0,0,0
