"","age1_orange.H","age1_green.H","age2_no_comorbid_orange.H","age2_no_comorbid_green.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"1",16,0,21,0,0,0,0
"2",15,0,18,0,0,0,0
"3",0,0,1,0,0,0,0
"4",21,0,23,0,0,0,0
"5",0,0,0,0,0,0,0
"6",21,0,20,0,0,0,0
"7",0,0,0,0,0,0,0
"8",16,0,22,0,0,0,0
"9",21,0,29,0,0,0,0
"10",19,0,22,0,0,0,0
"11",18,0,20,0,0,0,0
"12",20,0,10,0,0,0,0
"13",1,0,0,0,0,0,0
"14",20,0,22,0,0,0,0
"15",18,0,13,0,0,0,0
"16",0,0,0,0,0,0,0
"17",18,0,18,0,0,0,0
"18",0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0
"20",21,0,23,0,0,0,0
"21",12,0,17,0,0,0,0
"22",18,0,25,0,0,0,0
"23",21,0,20,0,0,0,0
"24",23,0,23,0,0,0,0
"25",20,0,18,0,0,0,0
"26",19,0,19,0,0,0,0
"27",14,0,14,0,0,0,0
"28",19,0,23,0,0,0,0
"29",19,0,18,0,0,0,0
"30",0,0,0,0,0,0,0
"31",17,0,16,0,0,0,0
"32",14,0,22,0,0,0,0
"33",0,0,0,0,0,0,0
"34",18,0,17,0,0,0,0
"35",23,0,13,0,0,0,0
"36",18,0,17,0,0,0,0
"37",0,0,0,0,0,0,0
"38",16,0,26,0,0,0,0
"39",16,0,14,0,0,0,0
"40",18,0,18,0,0,0,0
"41",22,0,18,0,0,0,0
"42",17,0,22,0,0,0,0
"43",20,0,18,0,0,0,0
"44",18,0,19,0,0,0,0
"45",20,0,24,0,0,0,0
"46",17,0,17,0,0,0,0
"47",17,0,17,0,0,0,0
"48",0,0,0,0,0,0,0
"49",16,0,18,0,0,0,0
"50",21,0,21,0,0,0,0
"51",20,0,22,0,0,0,0
"52",15,0,23,0,0,0,0
"53",18,0,21,0,0,0,0
"54",13,0,28,0,0,0,0
"55",16,0,18,0,0,0,0
"56",25,0,18,0,0,0,0
"57",0,0,0,0,0,0,0
"58",16,0,21,0,0,0,0
"59",12,0,19,0,0,0,0
"60",16,0,24,0,0,0,0
"61",13,0,16,0,0,0,0
"62",16,0,15,0,0,0,0
"63",0,0,1,0,0,0,0
"64",15,0,22,0,0,0,0
"65",11,0,21,0,0,0,0
"66",19,0,16,0,0,0,0
"67",0,0,0,0,0,0,0
"68",21,0,18,0,0,0,0
"69",12,0,19,0,0,0,0
"70",19,0,15,0,0,0,0
"71",23,0,16,0,0,0,0
"72",21,0,14,0,0,0,0
"73",15,0,23,0,0,0,0
"74",18,0,12,0,0,0,0
"75",16,0,16,0,0,0,0
"76",20,0,17,0,0,0,0
"77",19,0,17,0,0,0,0
"78",27,0,25,0,0,0,0
"79",18,0,23,0,0,0,0
"80",17,0,16,0,0,0,0
"81",25,0,20,0,0,0,0
"82",0,0,0,0,0,0,0
"83",19,0,20,0,0,0,0
"84",22,2,29,3,11,3,10
"85",18,0,17,0,0,0,0
"86",20,0,14,0,0,0,0
"87",15,0,16,0,0,0,0
"88",17,0,16,0,0,0,0
"89",22,0,20,0,0,0,0
"90",19,0,16,0,0,0,0
"91",13,0,19,0,0,0,0
"92",25,0,18,0,0,0,0
"93",19,0,18,0,0,0,0
"94",19,0,14,0,0,0,0
"95",20,0,20,0,0,0,0
"96",15,0,13,0,0,0,0
"97",22,0,21,0,0,0,0
"98",16,0,18,0,0,0,0
"99",17,0,16,0,0,0,0
"100",16,0,17,0,0,0,0
"101",20,0,22,0,0,0,0
"102",18,0,19,0,0,0,0
"103",15,0,21,0,0,0,0
"104",23,0,19,0,0,0,0
"105",19,0,22,0,0,0,0
"106",17,0,16,0,0,0,0
"107",17,0,12,0,0,0,0
"108",14,0,20,0,0,0,0
"109",18,0,12,0,0,0,0
"110",23,0,18,0,0,0,0
"111",19,0,15,0,0,0,0
"112",15,0,19,0,0,0,0
"113",0,0,0,0,0,0,0
"114",13,0,17,0,0,0,0
"115",28,0,22,0,0,0,0
"116",17,0,14,0,0,0,0
"117",0,0,0,0,0,0,0
"118",14,0,21,0,0,0,0
"119",15,0,18,0,0,0,0
"120",12,0,14,0,0,0,0
