"","age1_orange.A","age1_green.A","age2_no_comorbid_orange.A","age2_no_comorbid_green.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",44,0,36,0,0,0,0
"2",41,2,43,6,7,2,4
"3",0,0,0,0,0,0,0
"4",45,5,44,5,8,2,4
"5",44,5,36,4,7,1,5
"6",0,0,0,0,0,0,0
"7",48,5,41,6,8,3,4
"8",0,0,1,0,0,0,0
"9",39,0,32,0,0,0,0
"10",38,0,43,0,0,0,0
"11",42,0,44,0,0,0,0
"12",43,4,32,4,7,1,3
"13",0,0,1,0,0,0,0
"14",31,5,41,2,6,1,4
"15",39,4,45,6,8,4,5
"16",0,0,1,0,0,0,0
"17",35,0,35,0,0,0,0
"18",0,0,0,0,0,0,0
"19",38,5,37,6,6,2,3
"20",39,1,37,6,6,4,3
"21",35,0,40,0,0,0,0
"22",29,4,27,5,9,3,4
"23",42,4,36,4,7,4,4
"24",48,2,44,4,6,2,5
"25",0,0,0,0,0,0,0
"26",0,0,1,0,0,0,0
"27",36,0,36,0,0,0,0
"28",41,4,40,6,5,3,5
"29",46,5,44,6,9,2,4
"30",31,3,44,4,6,2,6
"31",0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0
"33",40,0,47,0,0,0,0
"34",0,0,0,0,0,0,0
"35",48,4,37,3,6,3,3
"36",38,6,43,8,7,3,3
"37",40,0,37,0,0,0,0
"38",0,0,0,0,0,0,0
"39",32,4,32,4,6,2,5
"40",38,6,41,6,5,1,3
"41",0,0,0,0,0,0,0
"42",41,0,40,0,0,0,0
"43",0,0,0,0,0,0,0
"44",42,5,36,5,7,5,3
"45",31,0,33,0,0,0,0
"46",48,3,57,6,6,3,4
"47",45,5,41,8,6,3,4
"48",42,7,36,6,5,2,3
"49",38,4,44,4,9,2,5
"50",43,3,43,5,8,1,3
"51",33,0,29,0,0,0,0
"52",36,3,35,3,4,2,3
"53",41,0,39,0,0,0,0
"54",49,3,44,4,4,2,5
"55",31,7,34,4,9,3,2
"56",37,8,31,6,7,2,3
"57",29,4,43,5,5,2,2
"58",36,5,33,5,5,3,4
"59",39,5,35,4,8,3,2
"60",43,4,38,6,7,3,4
"61",47,0,36,0,0,0,0
"62",33,6,38,7,6,2,3
"63",42,3,35,7,6,3,4
"64",33,7,37,4,8,1,4
"65",0,0,0,0,0,0,0
"66",40,3,47,6,5,2,4
"67",35,4,37,6,4,2,2
"68",43,7,53,4,6,1,3
"69",34,3,31,3,6,1,3
"70",0,0,1,0,0,0,0
"71",35,8,30,7,5,2,4
"72",27,0,37,0,0,0,0
"73",39,4,39,4,4,1,3
"74",45,5,31,5,5,2,3
"75",40,3,38,4,8,3,5
"76",0,0,0,0,0,0,0
"77",32,5,35,4,4,3,3
"78",0,0,0,0,0,0,0
"79",34,0,47,0,0,0,0
"80",26,8,31,4,6,3,2
"81",28,0,37,0,0,0,0
"82",39,6,37,3,5,3,3
"83",0,0,0,0,0,0,0
"84",1,0,1,0,0,0,0
"85",0,0,0,0,0,0,0
"86",37,3,33,5,7,2,3
"87",33,6,36,4,6,1,2
"88",40,5,25,3,7,2,4
"89",40,0,28,0,0,0,0
"90",37,7,38,5,7,3,3
"91",38,0,37,0,0,0,0
"92",50,5,32,4,6,2,3
"93",46,0,34,0,0,0,0
"94",36,0,37,0,0,0,0
"95",43,3,26,6,6,2,6
"96",29,5,38,3,8,2,5
"97",42,4,34,7,5,4,2
"98",34,3,42,5,6,1,4
"99",0,0,0,0,0,0,0
"100",0,0,0,0,0,0,0
"101",0,0,0,0,0,0,0
"102",0,0,0,0,0,0,0
"103",33,6,37,5,8,3,5
"104",37,3,37,4,9,4,2
"105",38,2,51,3,4,2,2
"106",38,4,38,4,4,2,6
"107",37,2,34,5,7,5,2
"108",0,0,0,0,0,0,0
"109",43,3,48,3,6,2,3
"110",45,2,32,6,3,2,2
"111",36,5,44,5,6,2,2
"112",32,3,33,4,6,2,5
"113",44,6,46,2,4,2,3
"114",40,0,40,1,0,0,0
"115",36,4,40,3,6,3,3
"116",38,3,35,4,5,2,2
"117",0,0,0,0,0,0,0
"118",0,0,0,0,0,0,0
"119",28,5,43,2,4,3,4
"120",31,4,42,4,6,1,6
"121",34,4,36,8,8,3,4
"122",38,0,33,0,0,0,0
"123",35,7,40,6,8,4,2
"124",0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0
"126",30,0,35,1,0,0,0
"127",32,0,39,0,0,0,0
"128",38,0,35,0,0,0,0
"129",36,3,50,6,9,1,4
"130",46,3,36,7,7,4,3
"131",36,0,32,0,0,0,0
"132",45,6,39,6,9,3,2
"133",35,1,34,0,0,1,0
"134",41,4,39,5,3,3,2
"135",0,0,0,0,0,0,0
"136",0,0,0,0,0,0,0
"137",37,4,35,6,8,2,4
"138",45,0,41,0,0,0,0
"139",43,7,39,4,4,2,2
"140",0,0,1,0,0,0,0
"141",31,0,33,0,0,0,0
"142",0,0,0,0,0,0,0
"143",0,0,0,0,0,0,0
"144",0,0,0,0,0,0,0
"145",42,5,46,8,6,5,3
"146",42,7,28,6,5,3,6
"147",33,4,43,3,7,4,1
"148",0,0,0,0,0,0,0
"149",31,5,41,4,6,3,3
"150",45,5,32,5,3,2,5
"151",30,0,37,0,0,1,0
"152",34,4,34,4,5,2,5
"153",0,0,0,0,0,0,0
"154",48,4,31,4,5,2,2
"155",1,0,0,0,0,0,0
"156",29,2,38,5,4,2,2
"157",0,0,2,0,0,0,0
"158",32,4,39,9,5,1,4
"159",35,5,38,7,7,2,3
"160",35,4,33,7,4,2,3
"161",40,6,34,4,4,2,5
"162",41,2,39,5,5,2,3
"163",0,0,0,0,0,0,0
"164",50,6,35,9,8,4,1
"165",41,2,44,5,5,2,4
"166",30,5,32,5,8,3,3
"167",38,5,50,6,8,2,4
"168",41,0,38,0,0,0,0
"169",43,0,29,0,0,0,0
"170",0,0,0,0,0,0,0
"171",42,3,43,7,7,2,3
"172",43,2,46,5,8,2,4
"173",0,0,0,0,0,0,0
"174",40,2,34,3,6,1,4
"175",0,0,0,0,0,0,0
"176",33,3,42,6,5,2,2
"177",41,5,26,4,2,5,4
"178",42,4,44,3,5,2,3
"179",32,6,34,5,5,3,1
"180",0,0,1,0,0,0,0
"181",37,2,34,4,6,3,3
"182",40,5,33,8,6,2,2
"183",37,2,38,5,6,2,2
"184",39,3,48,4,5,2,5
"185",0,0,0,0,0,0,0
"186",34,3,45,2,6,2,2
"187",33,5,50,8,6,2,6
"188",33,2,29,4,9,2,3
"189",45,7,48,5,7,3,4
"190",45,5,43,5,7,2,3
"191",0,0,1,0,0,0,0
"192",37,4,38,4,8,1,3
"193",38,3,50,4,6,2,3
"194",49,5,50,6,4,3,3
"195",37,0,39,0,0,0,0
"196",0,0,0,0,0,0,0
"197",40,4,34,6,8,0,5
"198",44,6,35,4,5,2,3
"199",46,2,40,6,7,2,3
"200",31,3,39,6,7,3,3
"201",41,3,41,4,5,0,4
"202",38,2,43,5,6,2,4
"203",38,3,32,7,9,3,3
"204",36,4,47,3,8,2,3
"205",0,0,0,0,0,0,0
"206",36,4,44,7,5,2,4
"207",36,0,41,0,0,0,0
"208",40,6,35,4,9,2,5
"209",38,6,36,2,7,2,2
"210",35,10,41,6,6,2,5
"211",46,7,35,7,6,2,3
"212",38,0,35,0,1,0,0
"213",45,4,35,8,6,3,3
"214",37,3,33,2,6,1,4
"215",42,5,27,4,6,3,2
"216",44,3,42,3,8,4,2
"217",0,0,0,0,0,0,0
"218",36,6,40,4,4,2,4
"219",36,0,40,0,0,0,0
"220",29,4,48,4,6,2,4
"221",40,5,42,4,4,1,5
"222",41,4,35,5,10,1,5
"223",37,6,32,4,7,2,4
"224",45,4,27,4,5,2,2
"225",43,2,31,6,5,5,5
"226",37,0,32,0,0,0,0
"227",38,0,37,0,0,0,0
"228",44,6,35,5,6,2,2
"229",38,7,31,7,8,2,3
"230",0,0,1,0,0,0,0
"231",37,0,43,0,0,0,0
"232",41,4,43,2,7,2,2
"233",46,0,30,0,0,0,0
"234",47,3,35,6,6,1,3
"235",40,4,40,6,9,2,5
"236",35,0,53,0,0,0,0
"237",36,0,43,0,0,0,0
"238",31,0,30,0,0,0,0
"239",51,0,51,0,0,0,0
"240",42,5,37,5,8,2,4
"241",35,4,35,6,5,6,7
"242",0,0,0,0,0,0,0
"243",40,0,45,0,0,0,0
"244",38,4,33,4,5,2,4
"245",40,4,38,6,5,2,5
"246",31,0,30,0,0,0,0
"247",44,2,44,7,7,2,2
"248",46,10,44,5,8,2,3
"249",32,4,34,3,4,1,3
"250",0,0,0,0,0,0,0
"251",45,0,30,0,0,0,0
"252",41,2,37,4,3,2,2
"253",35,3,37,7,7,3,5
"254",42,0,44,0,0,0,0
"255",39,7,36,7,5,2,3
"256",0,0,1,0,0,0,0
"257",38,4,32,5,4,3,4
"258",33,0,37,0,0,0,0
"259",0,0,1,0,0,0,0
"260",40,5,34,5,6,3,4
"261",31,4,28,7,6,3,5
"262",37,3,35,7,6,3,4
"263",29,6,43,7,5,1,4
"264",29,8,40,8,6,3,3
"265",41,1,39,0,0,0,0
"266",46,0,47,0,0,0,0
"267",0,0,0,0,0,0,0
"268",31,3,36,3,8,3,4
"269",39,3,47,8,4,2,6
"270",31,0,35,0,0,0,0
"271",42,0,40,0,0,0,0
"272",33,5,44,3,7,3,5
"273",0,0,0,0,0,0,0
"274",36,3,37,4,6,2,4
"275",39,3,34,5,5,2,7
"276",44,5,35,7,7,4,5
"277",33,3,32,7,6,2,2
"278",0,0,0,0,0,0,0
"279",25,3,38,7,6,3,3
"280",45,5,37,4,6,2,7
"281",41,3,29,3,6,2,4
"282",0,0,0,0,0,0,0
"283",28,2,41,4,7,2,4
