"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",37.5892112142138,0,37.7266389949355,0,0,0,0
"2",51.2536033111423,70.0138513561794,51.5693802187548,71.2695995249296,77.8218785458808,62.5788412719215,73.5314017502929
"3",0,0,0,0,0,0,0
"4",32.2551019638791,66.490972158623,34.8616892199202,67.8065885760833,72.963985265015,56.118199876076,61.4155301090457
"5",47.5263422124,63.3232214186189,53.422635526819,76.6895377903284,67.8563911621857,70.1992473757534,72.1742250371062
"6",0,0,0,0,0,0,0
"7",40.0790631492659,77.7307652977616,42.0814585705361,76.6110260218454,79.5383182370411,68.7779211672798,63.7112296310728
"8",0,0,0,0,0,0,0
"9",36.2175378084745,0,37.0063675496357,0,0,0,0
"10",33.6890526055487,0,33.6890526055487,0,0,0,0
"11",43.3071703268057,0,43.5165197646832,0,0,0,0
"12",41.1547237402603,69.7001518010151,42.1688122328485,76.4241999125675,77.6380890333397,66.3401666248244,73.127866159019
"13",0,0,0,0,0,0,0
"14",46.8597645104812,86.1474711188522,50.8841164851151,76.2769714022986,84.6515790239272,87.0253750916999,85.7189951540519
"15",45.8484544212072,65.0517775781998,44.8676525902195,62.4045686873043,69.510098176258,60.9289824534663,71.3129247714867
"16",0,0,0,0,0,0,0
"17",49.3814802777023,0,48.6147689234112,0,0,0,46.2756343775424
"18",0,0,0,0,0,0,0
"19",32.4017151638386,77.5841895715343,34.4523866899375,83.5623915383378,71.380757691715,69.5694649199493,78.6875354115514
"20",37.4503682883663,87.0230022528261,37.9298005023414,83.8667977978562,90.6023187853265,95.326752385372,92.7368799690387
"21",29.5202855082531,0,32.5198249382743,0,0,0,0
"22",38.4403145880816,69.5842581123371,37.20640737454,72.7244443023438,82.0037887930852,78.6482336715508,77.6224953552527
"23",40.0454168934713,82.3499832615031,39.3019906739641,90.7958296227886,89.7263956165624,84.2959555341066,95.4366294977568
"24",42.013490456081,69.1708530036502,43.5519122664574,74.5022508044947,65.4086560750746,76.3516574452815,72.7636485584789
"25",0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0
"27",39.2210283785138,0,41.0948162582699,0,0,0,0
"28",44.9175036852437,78.5003001674503,46.3168635632137,77.080676241682,80.2699751567639,83.5408319732228,75.053692390612
"29",27.6778493160927,46.7021409125995,28.5735721411755,61.3973899291515,59.8330170047805,61.1962570069431,65.2635204490196
"30",28.0696294214502,65.1262444891022,31.6616468066583,68.3913582268935,71.2550544187899,74.7260345761792,79.4089814409152
"31",0,0,0,0,0,0,0
"32",2.60938407432134,0,0,0,0,0,0
"33",35.0596964037995,0,39.4703329609596,0,0,0,0
"34",0,0,0,0,0,0,0
"35",35.5784191774546,88.3885351156486,35.9894622207103,82.4535313356627,87.417821047192,80.2317346809657,91.4445112401728
"36",27.369885491471,51.9630579129963,29.0504991581899,48.3922354110062,53.2232145712061,51.2030569454726,46.9432776121109
"37",32.987893999726,0,35.1012018883024,0,0,22.8852895130953,0
"38",0,0,0,0,0,0,0
"39",40.6324610079566,95.8281753030484,43.0470262867696,109.439193397903,98.5419423264585,112.712307419927,111.648224268993
"40",31.0113138756966,58.3930763402176,37.8617509916298,71.0870365247989,59.0132344032933,67.0964461446759,64.7759943596461
"41",0,0,0,0,0,0,0
"42",44.2403064929299,0,44.5887380221024,0,0,0,0
"43",0,0,0,0,0,0,0
"44",42.0227980010368,61.986988136024,42.5800158197792,67.9440931686948,65.6188883449444,66.7206977331514,64.1796804136614
"45",33.4134051216197,0,35.1688017529159,0,0,0,0
"46",35.3368927865948,75.0845036972123,37.7480840885572,80.324907378095,77.8051719107364,86.4579982628991,69.7246703510723
"47",39.8752303794561,73.1754179039811,40.2149123578293,84.9142392422656,78.3359653865488,78.9983009637941,76.4808658986934
"48",25.766353074139,28.5612844408092,32.4354542063079,30.6892463425449,31.9807137812704,34.8956760243532,33.7931895022312
"49",32.5559405938841,66.0929030196215,37.2392086050457,74.8630109917767,70.2575335017019,64.2484966158067,70.4579833110711
"50",31.7670181325413,80.842992957358,32.3897672104899,92.5397842900426,90.6291321879042,75.4222310882018,83.2606868740571
"51",24.0078190335115,0,24.7615473806077,0,0,0,0
"52",24.2297949603306,53.2987733312276,27.1563369748074,55.938957153446,67.7875902447098,63.1270727185081,60.256199443296
"53",37.178004403515,0,46.3837109005538,48.0713402062926,0,0,0
"54",37.4035633129685,75.9675863858486,41.1566176852447,66.595586966214,63.2670043012602,80.5531185411819,75.7560146357884
"55",27.7240267459839,58.4451629822305,31.9728195283199,62.3711373626672,51.5463403367221,57.510597177877,55.4270895247644
"56",46.9987798133469,77.6285245129065,52.2091968375594,81.0175916660967,80.3212814761169,83.6879120700141,92.2150116256737
"57",24.9593477761886,53.9309168649803,29.4473623266493,51.9702696586854,56.470303734324,63.286543178673,53.7189756323588
"58",40.3448663368475,72.2713356766521,45.4300867844512,73.8584087999528,68.8743972256876,65.6900751140058,69.5565141688778
"59",44.8679489159374,88.4362366119611,47.2641514688782,95.3631346880528,91.048669936581,103.855604102691,92.5382036184636
"60",44.3601123085977,58.2483075333402,45.9990708745873,74.8633768750525,69.1910470024456,72.5187262413561,72.952246239284
"61",28.4333914687997,0,30.6774549042951,0,28.1313487646672,0,31.4594969683682
"62",36.341047205441,47.8918634465407,32.6228345490577,57.4219869387135,64.5407348982115,53.6125308049618,65.1523059289424
"63",44.7432975310999,61.0570973029269,41.3335958023727,61.4824528710443,57.5330512288885,66.6976183972053,67.0921072076222
"64",31.7955325615821,51.5777142516856,38.4364810416808,60.6171734316821,63.6749211400662,56.3477821234356,75.2477983627211
"65",0,0,0,0,0,0,0
"66",51.3448118700534,97.0309895356094,53.2047297627592,101.028620803401,104.902723752879,103.48575374939,111.30072701675
"67",47.2199509309427,74.0429659670127,50.7369873933513,71.4217893274475,73.202722638392,78.4409576127365,71.470232837378
"68",39.279102154107,59.1479108404188,40.5899957659555,61.3567543513643,63.734317435656,66.1646973089966,70.1821150813437
"69",34.9631041967019,67.1770556206841,34.6667243505379,72.7863055151991,68.6020038431228,73.3637571033787,72.9319777828012
"70",0,0,0,0,0,0,0
"71",30.1688565999569,63.3565927663901,31.9776665154354,72.6100745419799,63.7766045648392,81.8483703136685,71.8427450607315
"72",39.7674618598046,0,39.5446210803271,0,0,0,0
"73",27.44187552979,53.3483279567848,31.8751615181624,55.7928134210019,64.890846609735,57.9095231424549,60.541131896506
"74",44.7384465505754,95.606663902583,44.7384465505754,98.3304698381528,98.1373097795847,109.330834916792,98.3213919854661
"75",35.7919764825836,58.8204999928332,38.1412639365663,68.0025877886175,65.1705313936144,74.1875958533613,68.6763766005336
"76",1.07235665956421,0,0,0,0,0,0
"77",39.3005730662089,86.9680861959334,43.6916478521305,77.9524382088301,83.9597285543918,87.6683142051793,86.2150871810206
"78",0,0,0,0,0,0,0
"79",61.131680876914,0,64.4101928721991,0,0,0,0
"80",40.7136098785159,81.4918152726327,41.2669485490132,77.2089103421859,79.198224384645,79.1753865193088,86.3632900281638
"81",48.6844826691499,0,48.246097956013,0,0,0,0
"82",35.0075692747003,66.909507804368,37.5174600615101,56.7126928294199,66.4606389011755,67.6116927995783,68.3475008663619
"83",0,0,0,0,0,0,0
"84",6.27632417654153,0,0,0,0,0,0
"85",0,0,0,0,0,0,0
"86",34.541491285628,75.258222899247,39.7350598552248,75.5666610584513,82.9225510011341,82.1859200502158,73.6679847072002
"87",38.0553445302656,75.7402635496151,38.6052748227422,83.0153098371418,83.596546450916,68.883850935085,82.1568300431737
