"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",141,10,126,12,11,9,6
"2",144,13,136,8,15,9,8
"3",1,0,1,0,0,0,0
"4",0,0,0,0,0,0,0
"5",132,15,122,17,22,6,13
"6",131,8,101,13,17,7,9
"7",0,0,1,0,0,0,0
"8",138,1,103,1,1,0,1
"9",120,13,128,9,16,6,12
"10",0,0,1,0,0,0,0
"11",163,0,140,0,0,0,0
"12",130,0,112,0,0,0,0
"13",142,0,117,0,0,0,0
"14",127,12,102,12,18,6,9
"15",138,9,105,8,13,4,7
"16",0,0,1,0,0,0,0
"17",0,0,1,0,0,0,0
"18",0,0,0,0,0,0,0
"19",137,12,139,19,18,6,11
"20",148,1,129,0,1,0,0
"21",131,0,105,0,0,0,0
"22",136,0,119,0,0,0,0
"23",0,0,2,0,0,0,0
"24",0,0,0,0,0,0,0
"25",104,13,104,14,15,4,10
"26",1,0,0,0,0,0,0
"27",138,14,118,14,20,8,9
"28",144,9,122,9,9,5,6
"29",140,1,137,0,1,0,0
"30",117,7,137,16,18,5,4
"31",139,7,118,8,12,3,9
"32",152,11,126,12,15,5,10
"33",135,1,128,1,0,0,0
"34",152,1,148,0,0,0,0
"35",138,9,124,11,13,4,5
"36",117,0,107,0,1,0,0
"37",0,0,1,0,0,0,0
"38",148,10,146,19,18,5,8
"39",0,0,1,0,0,0,0
"40",142,0,122,0,0,0,0
"41",123,0,134,0,0,0,0
"42",0,0,0,0,0,0,0
"43",135,12,103,11,17,4,7
"44",150,0,131,0,0,0,0
"45",129,1,132,0,0,0,0
"46",141,0,114,0,0,0,1
"47",141,0,138,0,0,0,0
"48",129,2,116,0,0,0,0
"49",0,0,1,0,0,0,0
"50",0,0,1,0,0,0,0
"51",125,12,141,13,18,3,10
"52",149,7,140,8,9,4,6
"53",137,9,143,12,13,6,8
"54",137,14,119,17,12,5,8
"55",134,0,136,0,0,0,0
"56",137,9,130,7,12,4,8
"57",0,0,1,0,0,0,0
"58",151,0,125,0,0,0,0
"59",0,0,1,0,0,0,0
"60",139,14,129,15,23,6,9
"61",122,0,128,0,0,0,0
"62",128,6,123,17,13,5,7
"63",135,15,115,10,11,4,5
"64",137,9,119,14,14,5,9
"65",132,12,112,13,18,4,11
"66",1,0,1,0,0,0,0
"67",123,16,113,13,11,7,9
"68",0,0,2,0,0,0,0
"69",3,0,1,0,0,0,0
"70",138,0,125,0,0,0,0
"71",0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0
"73",106,11,105,12,19,6,9
"74",139,0,140,0,1,0,0
"75",156,8,136,12,15,5,8
"76",0,0,1,0,0,0,0
"77",139,0,122,0,1,0,0
"78",1,0,0,0,0,0,0
"79",0,0,1,0,0,0,0
"80",148,0,116,0,0,0,0
"81",0,0,1,0,0,0,0
"82",157,0,137,0,0,0,0
"83",147,10,133,10,22,7,9
"84",119,11,129,12,12,6,7
"85",0,0,1,0,0,0,0
"86",140,0,149,0,0,0,0
"87",0,0,1,0,0,0,0
"88",118,6,113,8,8,4,6
"89",0,0,1,0,0,0,0
"90",139,12,145,9,21,6,6
"91",0,0,1,0,0,0,0
"92",146,0,154,0,0,0,0
"93",0,0,1,0,0,0,0
"94",147,12,124,15,22,5,10
"95",132,9,119,15,14,8,7
"96",0,0,1,0,0,0,0
"97",145,7,162,11,9,5,7
"98",149,8,119,10,10,4,5
"99",128,0,113,1,0,0,0
"100",127,0,126,0,0,0,0
"101",131,11,121,11,12,5,6
"102",125,15,116,12,12,6,9
"103",132,1,109,1,1,0,0
"104",0,0,0,0,0,0,0
"105",149,12,129,10,14,7,8
"106",0,0,1,0,0,0,0
"107",139,14,116,13,14,7,10
"108",105,12,122,14,24,7,10
"109",120,0,119,0,2,0,0
"110",1,0,0,0,0,0,0
"111",131,11,118,12,15,5,6
"112",0,0,1,0,0,0,0
"113",124,0,121,0,0,0,1
"114",130,0,118,0,0,0,0
"115",158,0,119,0,0,0,0
"116",0,0,1,0,0,0,0
"117",127,0,134,0,0,0,0
"118",0,0,3,0,0,0,0
"119",121,10,133,11,14,4,4
"120",154,14,121,12,16,6,10
"121",125,10,120,10,16,6,7
"122",128,11,122,9,13,5,5
"123",154,12,142,11,11,5,11
"124",157,10,132,12,13,6,9
"125",138,13,135,12,12,6,10
"126",109,0,117,1,1,0,0
"127",147,10,125,10,24,5,8
"128",128,10,113,14,18,5,10
"129",119,7,136,14,17,4,6
"130",0,0,1,0,0,0,0
