"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",0,0,0,0,0,0,0
"2",5.0531914893617,0,6.48584905660377,0,0,0,0
"3",0,0,0,0,0,0,0
"4",4.78723404255319,0,6.72169811320755,0,0,0,0
"5",0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0
"7",7.84574468085106,0,4.83490566037736,0,0,0,0
"8",6.64893617021277,0,6.83962264150943,7.46268656716418,11.9808306709265,11.3636363636364,26.8096514745308
"9",4.78723404255319,0,5.54245283018868,0,0,0,0
"10",7.18085106382979,0,7.07547169811321,0,0.798722044728434,0,0
"11",0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0
"14",5.85106382978723,0,6.95754716981132,0,0,0,0
"15",0,0,0,0,0,0,0
"16",5.58510638297872,6.41025641025641,7.42924528301887,7.46268656716418,18.370607028754,15.9090909090909,24.1286863270778
"17",6.11702127659574,0,6.25,0,0,0,0
"18",0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0
"20",6.25,0,5.54245283018868,0,0,0,0
"21",6.64893617021277,0,5.54245283018868,0,0,0,0
"22",6.38297872340426,0,6.13207547169811,0,0,0,0
"23",0,0,0,0,0,0,0
"24",6.64893617021277,4.80769230769231,6.72169811320755,5.33049040511727,17.5718849840256,13.6363636363636,25.4691689008043
"25",4.78723404255319,0,6.95754716981132,0,0,0,0
"26",0,0,0,0,0,0,0
"27",6.64893617021277,0,5.77830188679245,0,0,0,0
"28",0,0,0.117924528301887,0,0,0,0
"29",7.18085106382979,0,6.13207547169811,0,0,0,0
"30",0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0
"36",6.11702127659574,0,6.95754716981132,0,0,0,0
"37",5.18617021276596,0,6.01415094339623,0,0,0,0
"38",5.18617021276596,8.01282051282051,6.72169811320755,3.19829424307036,15.9744408945687,11.3636363636364,18.7667560321716
"39",0,0,0,0,0,0,0
"40",7.04787234042553,0,5.66037735849057,0,0.798722044728434,0,0
"41",3.98936170212766,0,6.48584905660377,0,0.798722044728434,0,1.34048257372654
"42",0,0,0,0,0,0,0
"43",5.98404255319149,4.80769230769231,5.42452830188679,2.13219616204691,15.1757188498403,11.3636363636364,13.4048257372654
"44",8.11170212765957,0,6.60377358490566,0,0.798722044728434,0,0
"45",4.78723404255319,3.20512820512821,5.42452830188679,11.727078891258,22.3642172523962,15.9090909090909,30.8310991957105
"46",0,0,0.117924528301887,0,0,0,0
"47",6.51595744680851,0,5.77830188679245,0,0,0,0
"48",0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0
"50",6.64893617021277,3.20512820512821,5.77830188679245,8.52878464818763,15.1757188498403,13.6363636363636,18.7667560321716
"51",7.04787234042553,0,4.71698113207547,0,0,0,0
"52",0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0
"54",5.58510638297872,0,5.42452830188679,0,0,0,0
"55",0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0
"57",5.98404255319149,0,5.30660377358491,0,0,0,0
"58",0,0,0,0,0,0,0
"59",7.31382978723404,0,6.01415094339623,0,0,0,0
"60",7.18085106382979,0,6.60377358490566,0,0,0,0
"61",6.91489361702128,0,5.66037735849057,0,0,0,0
"62",0,0,0,0,0,0,0
"63",6.38297872340426,0,6.48584905660377,0,0,2.27272727272727,1.34048257372654
"64",5.18617021276596,4.80769230769231,8.13679245283019,4.26439232409382,12.779552715655,9.09090909090909,22.7882037533512
"65",0,0,0.117924528301887,0,0,0,0
"66",5.85106382978723,0,5.66037735849057,0,0,0,0
"67",7.31382978723404,0,8.49056603773585,0,0,0,0
"68",7.04787234042553,0,5.54245283018868,0,0,0,0
"69",5.0531914893617,3.20512820512821,5.66037735849057,1.06609808102345,12.779552715655,4.54545454545455,18.7667560321716
"70",0.132978723404255,0,0.117924528301887,0,0,0,0
"71",7.18085106382979,0,5.30660377358491,0,0,0,0
"72",0,0,0.117924528301887,0,0,0,0
"73",7.04787234042553,0,6.72169811320755,0,0,0,0
"74",6.78191489361702,0,6.13207547169811,0,0,0,0
"75",6.11702127659574,8.01282051282051,7.31132075471698,3.19829424307036,14.3769968051118,11.3636363636364,22.7882037533512
"76",6.91489361702128,0,6.25,0,0,0,0
"77",7.57978723404255,4.80769230769231,6.01415094339623,6.39658848614073,11.9808306709265,11.3636363636364,25.4691689008043
"78",5.0531914893617,0,7.66509433962264,0,0.798722044728434,2.27272727272727,0
"79",0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0
"82",7.57978723404255,0,6.01415094339623,0,0,0,0
"83",7.04787234042553,0,6.25,9.59488272921109,15.1757188498403,6.81818181818182,24.1286863270778
"84",0,0,0,0,0,0,0
"85",7.4468085106383,0,5.30660377358491,0,0,0,1.34048257372654
"86",4.38829787234043,0,5.89622641509434,0,0,0,0
"87",0,0,0,0,0,0,0
